voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
;-85.36384582519531;-0.000006048791419743793,5.670495628606886e-9,-0.0036010066978633404,-0.00006923322507645935;1.1505998931404804e-10,0.21568410098552704,0.000013761256013822276,-0.2626325488090515;0.20247505605220795,-0.12812134623527527,0.022248990833759308,-0.0456511527299881
;-85.36388397216797;-0.00000604868228037958,5.6701252582058714e-9,-0.0036012097261846066,-0.00006920532177900895;1.1505262714761599e-10,0.21568402647972107,0.000013753955499851145,-0.26263272762298584;0.20246556401252747,-0.12812136113643646,0.022248990833759308,-0.045651160180568695
;-85.36392974853516;-0.000006048595423635561,5.669809066688458e-9,-0.003601413918659091,-0.0000691774403094314;1.1504647234872323e-10,0.2156839817762375,0.000013746813237958122,-0.262632817029953;0.20245765149593353,-0.12812139093875885,0.022248990833759308,-0.04565117135643959
;-85.36396789550781;-0.000006048519480827963,5.669493763349465e-9,-0.003601618343964219,-0.00006914964615134522;1.1504034530540608e-10,0.21568389236927032,0.000013739698260906152,-0.26263299584388733;0.2024497389793396,-0.12812140583992004,0.022248990833759308,-0.04565117508172989
;-85.36400604248047;-0.000006048399427527329,5.669126057483709e-9,-0.003601823002099991,-0.00006912194658070803;1.1503298313897403e-10,0.21568380296230316,0.000013732482329942286,-0.26263317465782166;0.2024402618408203,-0.12812143564224243,0.022248990833759308,-0.04565118998289108
;-85.36405181884766;-0.0000060483093875518534,5.668811198233925e-9,-0.0036020269617438316,-0.00006909429794177413;1.1502698099574715e-10,0.21568375825881958,0.000013725421013077721,-0.2626333236694336;0.20243234932422638,-0.12812145054340363,0.022248990833759308,-0.04565119743347168
;-85.36408996582031;-0.0000060482329899969045,5.668497227162561e-9,-0.003602230455726385,-0.00006906672206241637;1.150208470135361e-10,0.21568366885185242,0.000013718389709538314,-0.26263347268104553;0.20242442190647125,-0.128121480345726,0.022248990833759308,-0.04565120115876198
;-85.36412811279297;-0.00000604811248194892,5.668130853564435e-9,-0.003602435113862157,-0.0000690392407705076;1.1501348484710405e-10,0.21568362414836884,0.000013711257452087011,-0.26263362169265747;0.20241494476795197,-0.1281215101480484,0.022248990833759308,-0.04565121605992317
;-85.36416625976562;-0.000006048035174899269,5.6678177706714905e-9,-0.0036026390735059977,-0.00006901181041030213;1.1500733698710519e-10,0.21568356454372406,0.000013704280718229711,-0.262633740901947;0.20240704715251923,-0.1281215250492096,0.022248990833759308,-0.04565121978521347
;-85.36420440673828;-0.000006047947408660548,5.667506020046176e-9,-0.003602843265980482,-0.00006898444553371519;1.1500119606600023e-10,0.21568351984024048,0.000013697332178708166,-0.26263391971588135;0.2023991495370865,-0.12812155485153198,0.022248990833759308,-0.04565122723579407
;-85.36424255371094;-0.000006047858732927125,5.667194713510071e-9,-0.003603047924116254,-0.00006895715341670439;1.1499507596157699e-10,0.21568341553211212,0.000013690410014532972,-0.2626340389251709;0.20239123702049255,-0.12812156975269318,0.022248990833759308,-0.04565123841166496
;-85.3642807006836;-0.000006047770057193702,5.666883406973966e-9,-0.0036032518837600946,-0.0000689299195073545;1.1498908075724401e-10,0.21568337082862854,0.000013683515135198832,-0.26263418793678284;0.20238329470157623,-0.12812159955501556,0.022248990833759308,-0.04565124586224556
;-85.36431884765625;-0.000006047715942258947,5.666626279321463e-9,-0.0036034563090652227,-0.00006890273652970791;1.1498416108146614e-10,0.21568331122398376,0.000013676775779458694,-0.26263427734375;0.20237700641155243,-0.12812161445617676,0.022248990833759308,-0.04565124958753586
;-85.36434936523438;-0.000006047626357030822,5.666316749142197e-9,-0.003603660501539707,-0.00006887566269142553;1.1497802016036118e-10,0.215683251619339,0.00001366993546980666,-0.26263442635536194;0.2023690789937973,-0.12812164425849915,0.022248990833759308,-0.045651260763406754
;-85.36438751220703;-0.0000060475363170553464,5.666007218962932e-9,-0.0036038656253367662,-0.00006884867616463453;1.1497189311704403e-10,0.2156832069158554,0.000013663120626006275,-0.2626345753669739;0.20236116647720337,-0.12812165915966034,0.022248990833759308,-0.04565126821398735
;-85.36441802978516;-0.000006047479473636486,5.665751423578058e-9,-0.0036040707491338253,-0.00006882170418975875;1.1496698038016007e-10,0.21568316221237183,0.000013656460396305192,-0.2626346945762634;0.20235486328601837,-0.12812168896198273,0.022248990833759308,-0.04565127193927765
;-85.36445617675781;-0.000006047390343155712,5.665443669755632e-9,-0.003604276105761528,-0.00006879484135424718;1.1496084639794901e-10,0.21568311750888824,0.000013649697393702809,-0.262634813785553;0.20234695076942444,-0.12812170386314392,0.022248990833759308,-0.045651279389858246
;-85.36448669433594;-0.000006047336228220956,5.665188762549178e-9,-0.0036044802982360125,-0.00006876801489852369;1.1495607937783703e-10,0.21568308770656586,0.00001364309082418913,-0.26263490319252014;0.20234061777591705,-0.12812171876430511,0.022248990833759308,-0.04565128684043884
;-85.36451721191406;-0.000006047278020560043,5.664935187610354e-9,-0.003604685887694359,-0.00006874126847833395;1.1495117357984697e-10,0.21568302810192108,0.000013636509720527101,-0.2626350522041321;0.20233426988124847,-0.1281217336654663,0.022248990833759308,-0.04565129056572914
;-85.36454772949219;-0.000006047222996130586,5.664682056760739e-9,-0.0036048907786607742,-0.00006871459481772035;1.14946260842963e-10,0.2156829982995987,0.000013629956811200827,-0.26263514161109924;0.20232796669006348,-0.1281217485666275,0.022248990833759308,-0.04565129801630974
;-85.36457824707031;-0.0000060471534197859,5.664429814089544e-9,-0.003605096135288477,-0.00006868797936476767;1.1494136198386684e-10,0.2156829684972763,0.000013623428458231501,-0.2626352608203888;0.2023216038942337,-0.1281217783689499,0.022248990833759308,-0.04565130174160004
;-85.36460876464844;-0.000006047097485861741,5.664178015507559e-9,-0.003605301259085536,-0.00006866145122330636;1.1493644924698287e-10,0.21568293869495392,0.00001361692284262972,-0.26263532042503357;0.2023153156042099,-0.12812179327011108,0.022248990833759308,-0.045651309192180634
;-85.36463928222656;-0.000006047041551937582,5.663926216925574e-9,-0.0036055061500519514,-0.00006863496673759073;1.1493153651009891e-10,0.21568287909030914,0.000013610446330858395,-0.2626354694366455;0.20230896770954132,-0.12812180817127228,0.022248990833759308,-0.04565131664276123
