voltage;INa, Ito, ICaL, IKr;IKs, IK1, INaCa, INaK;INab, ICab, IKb, IpCa;INalate,NA,NA,NA
;-87.83482360839844;-0.002617493737488985,-0.0000029668531169591006,-1.8356230668814533e-7,-0.0006299079395830631;-1.925202663954906e-9,-0.02894412726163864,-0.026063794270157814,0.09511370211839676;-0.01726863719522953,-0.019500533118844032,-0.0000018571856799098896,0.00007415199070237577;-0.00011677385919028893,0,0,0
;-87.8348388671875;-0.0026174860540777445,-0.0000029671525680896593,-1.8356195141677745e-7,-0.0006299004307948053;-1.9251924499030793e-9,-0.02894684299826622,-0.026061691343784332,0.09511367231607437;-0.01726863905787468,-0.01950053684413433,-0.0000018573555280454457,0.00007414968422381207;-0.0001167753798654303,0,0,0
;-87.8348617553711;-0.0026174753438681364,-0.0000029675893529201858,-1.835616387779737e-7,-0.0006299217347986996;-1.925183790163487e-9,-0.02895091101527214,-0.026059553027153015,0.09511355310678482;-0.017268642783164978,-0.01950054243206978,-0.0000018576113234303193,0.00007414737046929076;-0.00011677683505695313,0,0,0
;-87.83487701416016;-0.0026174692902714014,-0.0000029678888040507445,-1.835612408740417e-7,-0.000629914051387459;-1.9251733540670557e-9,-0.02895362116396427,-0.026057444512844086,0.09511353075504303;-0.017268644645810127,-0.019500546157360077,-0.0000018577826494947658,0.00007414504943881184;-0.0001167783557320945,0,0,0
;-87.83487701416016;-0.002617473481222987,-0.000002967913133034017,-1.835608713918191e-7,-0.0006298481021076441;-1.92516047547997e-9,-0.02895362116396427,-0.026055291295051575,0.09511349350214005;-0.017268644645810127,-0.019500546157360077,-0.0000018577826494947658,0.00007414274296024814;-0.00011678024748107418,0,0,0
;-87.83487701416016;-0.0026174772065132856,-0.000002967937689390965,-1.8356061559643422e-7,-0.00062978221103549;-1.9251473748482795e-9,-0.02895362116396427,-0.026053184643387794,0.09511346369981766;-0.017268644645810127,-0.019500546157360077,-0.0000018577826494947658,0.00007414043648168445;-0.00011678213923005387,0,0,0
;-87.83487701416016;-0.0026174811646342278,-0.0000029679631552426144,-1.835604166444682e-7,-0.0006297162617556751;-1.925134496261194e-9,-0.02895362116396427,-0.026051092892885208,0.09511341899633408;-0.017268644645810127,-0.019500546157360077,-0.0000018577826494947658,0.00007413813000312075;-0.00011678403097903356,0,0,0
;-87.83487701416016;-0.002617484424263239,-0.0000029679883937205886,-1.8356028874677577e-7,-0.000629650370683521;-1.9251213956295032e-9,-0.02895362116396427,-0.026048950850963593,0.09511341154575348;-0.017268644645810127,-0.019500546157360077,-0.0000018577826494947658,0.00007413581624859944;-0.0001167859009001404,0,0,0
;-87.83489227294922;-0.002617479534819722,-0.0000029682892090932,-1.835602176925022e-7,-0.0006296426290646195;-1.9251111815776767e-9,-0.028956329450011253,-0.02604682371020317,0.0951133519411087;-0.017268646508455276,-0.019500548020005226,-0.0000018579522702566464,0.00007413349521812052;-0.00011678751616273075,0,0,0
;-87.83489990234375;-0.002617477672174573,-0.0000029684520086448174,-1.835601324273739e-7,-0.0006296059582382441;-1.9250994132136157e-9,-0.028957689180970192,-0.0260446947067976,0.09511320292949677;-0.017268650233745575,-0.019500549882650375,-0.0000018580383311928017,0.00007413119601551443;-0.00011678924056468531,0,0,0
;-87.83489990234375;-0.0026174813974648714,-0.000002968477474496467,-1.8356001874053618e-7,-0.00062954006716609;-1.92508653462653e-9,-0.028957689180970192,-0.026042621582746506,0.09511319547891617;-0.017268650233745575,-0.019500549882650375,-0.0000018580383311928017,0.00007412888953695074;-0.00011679112503770739,0,0,0
;-87.83489990234375;-0.00261748512275517,-0.0000029685033950954676,-1.8356001874053618e-7,-0.000629474117886275;-1.9250734339948394e-9,-0.028957689180970192,-0.026040498167276382,0.09511315822601318;-0.017268650233745575,-0.019500549882650375,-0.0000018580383311928017,0.00007412659033434466;-0.00011679300951072946,0,0,0
;-87.83489990234375;-0.0026174888480454683,-0.0000029685295430681435,-1.835600471622456e-7,-0.0006294081103987992;-1.925060333363149e-9,-0.028957689180970192,-0.02603837661445141,0.09511314332485199;-0.017268650233745575,-0.019500549882650375,-0.0000018580383311928017,0.00007412429113173857;-0.00011679489398375154,0,0,0
;-87.83489990234375;-0.0026174921076744795,-0.000002968555463667144,-1.8356008979480976e-7,-0.0006293422193266451;-1.925047454776063e-9,-0.028957689180970192,-0.026036271825432777,0.09511308372020721;-0.017268650233745575,-0.019500549882650375,-0.0000018580383311928017,0.00007412199192913249;-0.00011679677845677361,0,0,0
;-87.83490753173828;-0.002617491874843836,-0.000002968719172713463,-1.8356020348164748e-7,-0.0006293052574619651;-1.925035686412002e-9,-0.028959041461348534,-0.0260341614484787,0.09511307626962662;-0.017268650233745575,-0.019500551745295525,-0.000001858123141573742,0.0000741196854505688;-0.00011679845920298249,0,0,0
