voltage;ICaL,ICaNa,IpCa,ICab;ICaK,IKs,IKr,IK1;IKb,INaK,INab,INa;INaCa,Ito,INalate,NA,NA
;-87.64806365966797;-4.401812816468009e-7,-2.5921483626234476e-8,0.00007573892798973247,-0.019459443166851997;2.8663943441031847e-10,-0.0000038069319998612627,0.00006316470535239205,0.003981512039899826;2.008850827905917e-7,0.07644524425268173,-0.017234813421964645,-0.0026838190387934446;-0.040899813175201416,0.000001288141106670082,-0.00011094424553448334,0.0002849892480298877
;-87.64807891845703;-4.4018167955073295e-7,-2.592150138980287e-8,0.00007573583570774645,-0.019459450617432594;2.8663937889916724e-10,-0.000003806766926572891,0.000063077372033149,0.003976344130933285;2.0062367411810555e-7,0.07644524425268173,-0.017234815284609795,-0.0026838111225515604;-0.040895555168390274,0.0000012864763903053245,-0.00011094737419625744,0.00028398685390129685
;-87.64810180664062;-4.40182077454665e-7,-2.5921522706084943e-8,0.00007573272887384519,-0.019459452480077744;2.8663940665474286e-10,-0.000003806599124800414,0.00006301741814240813,0.003972899168729782;2.0044950588271604e-7,0.07644522190093994,-0.017234817147254944,-0.002683809259906411;-0.040891218930482864,0.0000012853697626269422,-0.00011095056106569245,0.0002847869764082134
;-87.64811706542969;-4.4018244693688757e-7,-2.5921545798723855e-8,0.00007572962931590155,-0.01945945993065834;2.8663943441031847e-10,-0.0000038064338241383666,0.00006293007754720747,0.003967731259763241;2.0018825352963177e-7,0.07644521445035934,-0.01723482273519039,-0.0026837983168661594;-0.04088691622018814,0.0000012837050462621846,-0.00011095371883129701,0.0002838218351826072
;-87.64813232421875;-4.401827311539819e-7,-2.592156178593541e-8,0.0000757265297579579,-0.01945946179330349;2.866394899214697e-10,-0.0000038062655676185386,0.00006287013820838183,0.003964285831898451;2.0001409950509697e-7,0.07644521445035934,-0.01723482646048069,-0.00268379645422101;-0.04088260605931282,0.000001282598191210127,-0.00011095689842477441,0.00028462166665121913
;-87.64815521240234;-4.4018310063620447e-7,-2.5921584878574322e-8,0.00007572342292405665,-0.019459465518593788;2.866395176770453e-10,-0.0000038060977658460615,0.00006281019886955619,0.0039608413353562355;1.9983994548056216e-7,0.07644522935152054,-0.01723482832312584,-0.002683792030438781;-0.0408782958984375,0.0000012814913361580693,-0.00011096015077782795,0.0002854276681318879
;-87.6481704711914;-4.4018355538355536e-7,-2.5921606194856395e-8,0.00007572032336611301,-0.019459471106529236;2.8663957318819655e-10,-0.0000038059326925576897,0.00006272292375797406,0.0039556738920509815;1.995785225972213e-7,0.07644522935152054,-0.017234832048416138,-0.0026837829500436783;-0.040874045342206955,0.000001279826506106474,-0.00011096327216364443,0.00028442125767469406
;-87.648193359375;-4.401838680223591e-7,-2.5921627511138468e-8,0.00007571722380816936,-0.019459474831819534;2.8663957318819655e-10,-0.0000038057648907852126,0.00006266300624702126,0.003952228929847479;1.9940441120525065e-7,0.07644518464803696,-0.017234835773706436,-0.00268377922475338;-0.04086974635720253,0.0000012787196510544163,-0.00011096645175712183,0.0002851657918654382
;-87.64820861816406;-4.4018420908287226e-7,-2.592165060377738e-8,0.00007571412425022572,-0.019459478557109833;2.8663957318819655e-10,-0.0000038056000448705163,0.00006257576023926958,0.003947061020880938;1.9914325832814939e-7,0.07644516974687576,-0.017234839498996735,-0.0026837706100195646;-0.04086539149284363,0.0000012770545936291455,-0.00011096957314293832,0.0002842466055881232
;-87.64823150634766;-4.40184521721676e-7,-2.5921666590988934e-8,0.00007571102469228208,-0.01945948228240013;2.866396564549234e-10,-0.0000038054320157243637,0.00006251584272831678,0.003943615593016148;1.9896909009275987e-7,0.07644514739513397,-0.017234841361641884,-0.002683768980205059;-0.04086114838719368,0.0000012759477385770879,-0.00011097276001237333,0.0002849498705472797
;-87.64824676513672;-4.4018494804731745e-7,-2.5921691459984686e-8,0.00007570793241029605,-0.01945948787033558;2.8663960094377217e-10,-0.000003805266942435992,0.00006242862582439557,0.003938448149710894;1.9870770984198316e-7,0.07644513249397278,-0.017234845086932182,-0.002683760365471244;-0.04085686430335045,0.000001274282681151817,-0.00011097588139818981,0.0002839605149347335
;-87.64826965332031;-4.401852891078306e-7,-2.592170744719624e-8,0.00007570484012831002,-0.019459491595625877;2.866396564549234e-10,-0.000003805098685916164,0.00006236875924514607,0.003935003653168678;1.9853357002830307e-7,0.07644513994455338,-0.01723484694957733,-0.0026837552431970835;-0.04085259884595871,0.0000012731759397865972,-0.00011097904643975198,0.00028472713893279433
;-87.64828491210938;-4.4018568701176264e-7,-2.5921726987121474e-8,0.000075701747846324,-0.019459495320916176;2.86639684210499e-10,-0.0000038049338400014676,0.00006228155689314008,0.003929836209863424;1.982724171512018e-7,0.07644514739513397,-0.01723485067486763,-0.002683747559785843;-0.0408482700586319,0.000001271510996048164,-0.00011098218965344131,0.0002837989304680377
;-87.64830017089844;-4.401860280722758e-7,-2.5921746527046707e-8,0.00007569866284029558,-0.019459499046206474;2.86639684210499e-10,-0.0000038047660382289905,0.00006222169031389058,0.003926390316337347;1.9809813522897457e-7,0.07644515484571457,-0.01723485253751278,-0.002683742670342326;-0.04084398224949837,0.0000012704040273092687,-0.00011098536924691871,0.0002845879062078893
;-87.64832305908203;-4.4018636913278897e-7,-2.592176784332878e-8,0.00007569557783426717,-0.019459502771496773;2.8663973972165024e-10,-0.000003804598463830189,0.00006216185283847153,0.003922945819795132;1.9792402383700392e-7,0.07644511014223099,-0.017234858125448227,-0.0026837417390197515;-0.04083971306681633,0.000001269297172257211,-0.00011098861432401463,0.0002852933539543301
;-87.6483383178711;-4.4018682388013985e-7,-2.592179448868137e-8,0.00007569247100036591,-0.01945950835943222;2.866398229883771e-10,-0.000003804433390541817,0.00006207467231433839,0.00391777791082859;1.9766271464050078e-7,0.07644511759281158,-0.017234861850738525,-0.0026837321929633617;-0.040835436433553696,0.0000012676318874582648,-0.00011099165567429736,0.00028432044200599194
;-87.64836120605469;-4.4018699441039644e-7,-2.5921805146822408e-8,0.0000756893859943375,-0.01945951022207737;2.8663976747722586e-10,-0.00000380426558876934,0.00006201484939083457,0.003914332948625088;1.9748846113998297e-7,0.07644512504339218,-0.017234863713383675,-0.0026837277691811323;-0.04083114489912987,0.0000012665249187193695,-0.00011099490075139329,0.00028511096024885774
;-87.64837646484375;-4.401874491577473e-7,-2.592182646310448e-8,0.00007568629371235147,-0.019459515810012817;2.8663971196607463e-10,-0.0000038041000607336173,0.00006192771979840472,0.003909165505319834;1.9722732247373642e-7,0.07644510269165039,-0.017234865576028824,-0.0026837193872779608;-0.040826890617609024,0.000001264859747607261,-0.00011099794937763363,0.00028408621437847614
