voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
;-85.3526611328125;-0.000006097979621699778,5.666023650263696e-9,-0.0036822110414505005,-0.00006234494503587484;1.14980705512302e-10,0.21555787324905396,0.000012495966984715778,-0.26222431659698486;0.2020430713891983,-0.12812656164169312,0.022221675142645836,-0.04565524682402611
;-85.35267639160156;-0.0000060979468798905145,5.66589353212521e-9,-0.003682350041344762,-0.00006233516614884138;1.1497824914386001e-10,0.21555788815021515,0.00001249456727236975,-0.26222437620162964;0.2020399123430252,-0.1281265765428543,0.022221675142645836,-0.045655250549316406
;-85.35269165039062;-0.000006097916866565356,5.665764302165144e-9,-0.0036824902053922415,-0.00006232540908968076;1.1497594543108391e-10,0.21555791795253754,0.000012493171198002528,-0.2622244358062744;0.20203672349452972,-0.1281265765428543,0.022221675142645836,-0.045655250549316406
;-85.35270690917969;-0.000006097870482335566,5.6656350722050774e-9,-0.00368262967094779,-0.00006231568841030821;1.1497348212374803e-10,0.21555796265602112,0.000012491778761614114,-0.2622244358062744;0.20203359425067902,-0.1281265914440155,0.022221675142645836,-0.045655250549316406
;-85.35272216796875;-0.000006097837740526302,5.665506730423431e-9,-0.0036827698349952698,-0.00006230598228285089;1.1497101187751824e-10,0.21555794775485992,0.000012490394510678016,-0.2622244954109192;0.20203043520450592,-0.1281265914440155,0.022221675142645836,-0.045655250549316406
;-85.35273742675781;-0.000006097806362959091,5.665378388641784e-9,-0.0036829093005508184,-0.00006229629798326641;1.1496856244797016e-10,0.2155579775571823,0.000012489011169236619,-0.2622245252132416;0.20202726125717163,-0.1281266063451767,0.022221675142645836,-0.045655254274606705
;-85.35275268554688;-0.000006097771802160423,5.665250935038557e-9,-0.0036830489989370108,-0.00006228665006347;1.1496609220174037e-10,0.2155579924583435,0.000012487634194258135,-0.26222455501556396;0.20202408730983734,-0.1281266212463379,0.022221675142645836,-0.045655254274606705
;-85.35276794433594;-0.000006097740879340563,5.66512392552454e-9,-0.0036831882316619158,-0.00006227701669558883;1.1496364277219229e-10,0.2155580073595047,0.000012486263585742563,-0.26222455501556396;0.20202094316482544,-0.1281266212463379,0.022221675142645836,-0.045655254274606705
;-85.352783203125;-0.000006097709047026001,5.664997360099733e-9,-0.0036833269987255335,-0.00006226740515558049;1.149611794648564e-10,0.2155579775571823,0.000012484895705711097,-0.26222464442253113;0.20201775431632996,-0.12812663614749908,0.022221675142645836,-0.045655257999897
;-85.35279846191406;-0.0000060976749409746844,5.6648707946749255e-9,-0.003683465765789151,-0.00006225782271940261;1.1495872309641442e-10,0.2155580371618271,0.00001248353328264784,-0.2622246742248535;0.20201461017131805,-0.12812663614749908,0.022221675142645836,-0.045655257999897
;-85.35281372070312;-0.000006097644018154824,5.664744673339328e-9,-0.003683604532852769,-0.00006224826938705519;1.1495625978907853e-10,0.21555805206298828,0.000012482176316552795,-0.2622247040271759;0.20201142132282257,-0.12812665104866028,0.022221675142645836,-0.045655257999897
