voltage;INa, Ito, ICaL, IKr;IKs, IK1, INaCa, INaK;INab, ICab, IKb, IpCa;INalate,NA,NA,NA
;-87.83031463623047;-0.0026200031861662865,-0.000002881330601667287,-1.8370683108059893e-7,-0.0006292857578955591;-1.9267645257059485e-9,-0.028142819181084633,-0.026207303628325462,0.09457747638225555;-0.017267921939492226,-0.019499540328979492,-0.000001806725890673988,0.00007430100231431425;-0.0001163387278211303,0,0,0
;-87.83032989501953;-0.002619996899738908,-0.00000288162982542417,-1.837065184417952e-7,-0.0006292798207141459;-1.926754533698727e-9,-0.028145529329776764,-0.026205135509371758,0.09457739442586899;-0.017267921939492226,-0.01949954591691494,-0.000001806896989364759,0.0000742986667319201;-0.00011634056136244908,0,0,0
;-87.8303451538086;-0.002619989449158311,-0.0000028819290491810534,-1.8370619159213675e-7,-0.0006292738253250718;-1.9267443196469003e-9,-0.028148241341114044,-0.026202991604804993,0.094577357172966;-0.017267925664782524,-0.01949954777956009,-0.00000180706808805553,0.00007429633114952594;-0.00011634240217972547,0,0,0
;-87.83036041259766;-0.0026199861895292997,-0.000002882228500311612,-1.837058647424783e-7,-0.0006292680627666414;-1.926733883550469e-9,-0.028150949627161026,-0.026200860738754272,0.09457730501890182;-0.017267927527427673,-0.019499553367495537,-0.000001807238049877924,0.00007429401011904702;-0.0001163441629614681,0,0,0
;-87.83037567138672;-0.00261997920460999,-0.0000028825272693211446,-1.8370552368196513e-7,-0.0006292618927545846;-1.9267236694986423e-9,-0.028153659775853157,-0.026198720559477806,0.09457725286483765;-0.017267929390072823,-0.019499555230140686,-0.0000018074090348818572,0.00007429167453665286;-0.00011634598922682926,0,0,0
;-87.83039093017578;-0.002619972685351968,-0.000002882826493078028,-1.837052110431614e-7,-0.0006292558391578496;-1.9267134554468157e-9,-0.028156371787190437,-0.0261965561658144,0.09457723051309586;-0.01726793497800827,-0.019499558955430984,-0.0000018075801335726283,0.00007428934623021632;-0.00011634776456048712,0,0,0
;-87.83040618896484;-0.0026199682615697384,-0.0000028831254894612357,-1.8370488419350295e-7,-0.0006292497855611145;-1.926703241394989e-9,-0.028159083798527718,-0.026194412261247635,0.09457714110612869;-0.01726793497800827,-0.019499562680721283,-0.0000018077502090818598,0.00007428701064782217;-0.00011634959082584828,0,0,0
;-87.8304214477539;-0.0026199626736342907,-0.0000028834244858444436,-1.837045573438445e-7,-0.0006292438483797014;-1.9266930273431626e-9,-0.02816179394721985,-0.02619224041700363,0.09457714855670929;-0.01726793684065342,-0.01949956640601158,-0.000001807921194085793,0.00007428468234138563;-0.00011635142436716706,0,0,0
;-87.83043670654297;-0.0026199559215456247,-0.000002883723254853976,-1.8370423049418605e-7,-0.0006292376783676445;-1.926682813291336e-9,-0.02816450595855713,-0.026190102100372314,0.09457708895206451;-0.017267942428588867,-0.01949956826865673,-0.0000018080922927765641,0.00007428234675899148;-0.00011635318514890969,0,0,0
;-87.83045959472656;-0.0026199459098279476,-0.0000028841595849371515,-1.8370393206623703e-7,-0.00062926160171628;-1.926674153551744e-9,-0.02816857025027275,-0.026187973096966743,0.09457706660032272;-0.017267942428588867,-0.01949957385659218,-0.0000018083493387166527,0.00007428001117659733;-0.00011635488772299141,0,0,0
;-87.83048248291016;-0.0026199345011264086,-0.0000028845956876466516,-1.83703534162305e-7,-0.0006292854668572545;-1.926665493812152e-9,-0.02817263826727867,-0.02618582546710968,0.09457702189683914;-0.017267948016524315,-0.019499577581882477,-0.0000018086044519805,0.00007427768287016079;-0.00011635649570962414,0,0,0
;-87.83048248291016;-0.0026199386920779943,-0.000002884619561882573,-1.837031504692277e-7,-0.0006292196339927614;-1.9266523931804613e-9,-0.02817263826727867,-0.026183655485510826,0.09457702189683914;-0.017267948016524315,-0.019499577581882477,-0.0000018086044519805,0.00007427535456372425;-0.00011635860573733225,0,0,0
;-87.83048248291016;-0.00261994288302958,-0.0000028846438908658456,-1.8370283783042396e-7,-0.0006291537429206073;-1.926639070504166e-9,-0.02817263826727867,-0.026181543245911598,0.09457694739103317;-0.017267948016524315,-0.019499577581882477,-0.0000018086044519805,0.0000742730189813301;-0.0001163607303169556,0,0,0
;-87.83048248291016;-0.0026199468411505222,-0.0000028846684472227935,-1.8370262466760323e-7,-0.0006290879682637751;-1.9266259698724753e-9,-0.02817263826727867,-0.026179412379860878,0.09457690268754959;-0.017267948016524315,-0.019499577581882477,-0.0000018086044519805,0.00007427069795085117;-0.00011636284034466371,0,0,0
;-87.83048248291016;-0.0026199505664408207,-0.0000028846936857007677,-1.837024967699108e-7,-0.0006290220189839602;-1.9266128692407847e-9,-0.02817263826727867,-0.02617723122239113,0.0945768654346466;-0.017267948016524315,-0.019499577581882477,-0.0000018086044519805,0.00007426836964441463;-0.00011636496492428705,0,0,0
;-87.83049774169922;-0.0026199445128440857,-0.0000028849938189523527,-1.837024115047825e-7,-0.000629016081802547;-1.926602877233563e-9,-0.02817535027861595,-0.0261751189827919,0.09457681328058243;-0.017267951741814613,-0.019499583169817924,-0.000001808775550671271,0.00007426605588989332;-0.00011636681301752105,0,0,0
;-87.83050537109375;-0.002619943581521511,-0.0000028851563911302947,-1.8370228360709007e-7,-0.0006289801094681025;-1.926590886824897e-9,-0.028176704421639442,-0.026172982528805733,0.09457676112651825;-0.017267953604459763,-0.019499585032463074,-0.000001808861725294264,0.00007426372758345678;-0.00011636867566267028,0,0,0
;-87.83050537109375;-0.002619948238134384,-0.0000028851820843556197,-1.8370215570939763e-7,-0.0006289142183959484;-1.9265780082378114e-9,-0.028176704421639442,-0.026170866563916206,0.09457674622535706;-0.017267953604459763,-0.019499585032463074,-0.000001808861725294264,0.00007426141382893547;-0.00011637080751825124,0,0,0
;-87.83050537109375;-0.0026199521962553263,-0.000002885207777580945,-1.8370211307683348e-7,-0.0006288484437391162;-1.926564907606121e-9,-0.028176704421639442,-0.0261687058955431,0.09457667917013168;-0.017267953604459763,-0.019499585032463074,-0.000001808861725294264,0.00007425908552249894;-0.00011637292482191697,0,0,0
;-87.83050537109375;-0.002619955688714981,-0.00000288523347080627,-1.8370211307683348e-7,-0.0006287824944593012;-1.9265518069744303e-9,-0.028176704421639442,-0.026166565716266632,0.09457665681838989;-0.017267953604459763,-0.019499585032463074,-0.000001808861725294264,0.00007425677176797763;-0.0001163750421255827,0,0,0
;-87.83050537109375;-0.002619959879666567,-0.0000028852593914052704,-1.837021272876882e-7,-0.000628716719802469;-1.9265387063427397e-9,-0.028176704421639442,-0.02616444230079651,0.09457661211490631;-0.017267953604459763,-0.019499585032463074,-0.000001808861725294264,0.00007425444346154109;-0.00011637717398116365,0,0,0
;-87.83051300048828;-0.002619959879666567,-0.000002885422873077914,-1.8370224097452592e-7,-0.0006286807474680245;-1.9265269379786787e-9,-0.028178060427308083,-0.026162320747971535,0.09457655996084213;-0.017267953604459763,-0.019499586895108223,-0.0000018089465356752044,0.00007425212243106216;-0.0001163791457656771,0,0,0
