voltage;ICaL,ICaNa,IpCa,ICab;ICaK,IKs,IKr,IK1;IKb,INaK,INab,INa;INaCa,Ito,INalate,NA,NA
;-87.62083435058594;-4.704337754901644e-7,-2.6042215495181154e-8,0.00007803198968758807,-0.019453460350632668;2.882232230660975e-10,-0.000003894223482348025,0.0001483214582549408,0.009278061799705029;4.6962577471276745e-7,0.0743451938033104,-0.017230438068509102,-0.002701020101085305;-0.04417875409126282,0.0000029976192763569998,-0.00011074778740294278,0.0002850100863724947
;-87.620849609375;-4.7043437234606245e-7,-2.6042249245961102e-8,0.00007802924665156752,-0.019453462213277817;2.8822333408839995e-10,-0.000003894055225828197,0.000148254053783603,0.009274627082049847;4.6945115173002705e-7,0.07434520125389099,-0.017230438068509102,-0.002701016841456294;-0.04417476803064346,0.0000029965281100885477,-0.0001107511343434453,0.00028550325077958405
;-87.6208724975586;-4.704349692019605e-7,-2.604228122038421e-8,0.00007802648906363174,-0.019453467801213264;2.8822352837742926e-10,-0.00000389388742405572,0.00014818667841609567,0.009271194227039814;4.692763013736112e-7,0.07434520125389099,-0.01723044365644455,-0.0027010152116417885;-0.0441708043217659,0.0000029954378533147974,-0.00011075447400799021,0.00028595197363756597
;-87.62088775634766;-4.704356229012774e-7,-2.6042320300234678e-8,0.00007802375330356881,-0.019453469663858414;2.882237781776098e-10,-0.000003893722350767348,0.0001480917853768915,0.00926604401320219;4.690142816343723e-7,0.0743451789021492,-0.017230447381734848,-0.0027010065969079733;-0.044166844338178635,0.0000029937907584098866,-0.00011075763904955238,0.0002846382849384099
;-87.62090301513672;-4.7043624817888485e-7,-2.604234872194411e-8,0.00007802101754350588,-0.01945347525179386;2.8822386144433665e-10,-0.000003893554548994871,0.0001480244827689603,0.009262609295547009;4.6883971549505077e-7,0.0743451863527298,-0.017230449244379997,-0.0027010012418031693;-0.044162847101688385,0.0000029927000468887854,-0.00011076097143813968,0.00028513919096440077
;-87.62091827392578;-4.7043690187820175e-7,-2.6042386025437736e-8,0.00007801827450748533,-0.01945347897708416;2.882241112445172e-10,-0.000003893386747222394,0.00014795713650528342,0.009259175509214401;4.6866480829521606e-7,0.0743451789021492,-0.017230452969670296,-0.002700997516512871;-0.0441589318215847,0.0000029916095627413597,-0.0001107642674469389,0.0002855429193004966
;-87.62094116210938;-4.704374134689715e-7,-2.6042410894433488e-8,0.0000780155387474224,-0.01945348083972931;2.882242777779709e-10,-0.000003893218945449917,0.00014788979024160653,0.00925574079155922;4.684902421558945e-7,0.0743451789021492,-0.017230452969670296,-0.0027009937912225723;-0.04415486007928848,0.000002990519078593934,-0.00011076761438744143,0.0002861105604097247
;-87.62095642089844;-4.7043809558999783e-7,-2.6042449974283954e-8,0.00007801281026331708,-0.019453488290309906;2.882244443114246e-10,-0.000003893054326908896,0.00014779499906580895,0.009250590577721596;4.6822853505545936e-7,0.0743451789021492,-0.017230456694960594,-0.002700985409319401;-0.04415089637041092,0.0000029888722110626986,-0.00011077079398091882,0.00028481610934250057
;-87.6209716796875;-4.704386071807676e-7,-2.6042483725063903e-8,0.00007801006722729653,-0.019453490152955055;2.8822458308930266e-10,-0.000003892886525136419,0.00014772765280213207,0.009247156791388988;4.680539404944284e-7,0.07434514909982681,-0.017230460420250893,-0.0027009823825210333;-0.04414692148566246,0.0000029877814995415974,-0.00011077411181759089,0.0002852549368981272
;-87.62098693847656;-4.704391756149562e-7,-2.604251747584385e-8,0.0000780073314672336,-0.019453490152955055;2.8822488840063443e-10,-0.0000038927187233639415,0.00014766039384994656,0.009243723005056381;4.6787900487288425e-7,0.07434514909982681,-0.01723046600818634,-0.002700978424400091;-0.04414296895265579,0.000002986690560646821,-0.00011077746603405103,0.0002857068320736289
