voltage;ICaL,ICaNa,IpCa,ICab;ICaK,IKs,IKr,IK1;IKb,INaK,INab,INa;INaCa,Ito,INalate,NA,NA
;-87.60116577148438;-4.755123370614456e-7,-2.6324595836513254e-8,0.00007905942766228691,-0.019449131563305855;2.915307439899095e-10,-0.0000035865205063601024,0.00020502008555922657,0.013155603781342506;6.674424639641074e-7,0.07198154181241989,-0.01722741685807705,-0.002717626979574561;-0.045741863548755646,0.000004281411747797392,-0.0001128468502429314,0.0002860484237316996
;-87.60118865966797;-4.7551307602589077e-7,-2.6324629587293202e-8,0.000079057012044359,-0.019449135288596153;2.9153099379009006e-10,-0.0000035863693028659327,0.0002049494069069624,0.01315218023955822;6.672675567642727e-7,0.07198154181241989,-0.01722741685807705,-0.0027176241856068373;-0.04573827609419823,0.00000428032308263937,-0.00011284962965874001,0.00028613428003154695
;-87.60120391845703;-4.755135876166605e-7,-2.632466511442999e-8,0.00007905459642643109,-0.01944913901388645;2.915310493012413e-10,-0.0000035862203731085174,0.0002048519381787628,0.013147037476301193;6.670045422652038e-7,0.0719815343618393,-0.017227422446012497,-0.002717614406719804;-0.0457347147166729,0.000004278674168745056,-0.00011285233631497249,0.00028445024508982897
;-87.6012191772461;-4.755141560508491e-7,-2.632469175978258e-8,0.0000790521880844608,-0.0194491446018219;2.91531215834695e-10,-0.0000035860687148669967,0.0002047812449745834,0.013143613934516907;6.668295782219502e-7,0.0719815194606781,-0.017227424308657646,-0.002717609517276287;-0.045731090009212494,0.000004277584594092332,-0.00011285511573078111,0.00028456031577661633
;-87.60123443603516;-4.7551463921990944e-7,-2.6324718405135172e-8,0.0000790497797424905,-0.01944914646446705;2.9153135461257307e-10,-0.0000035859172839991516,0.00020471058087423444,0.013140186667442322;6.666547847089532e-7,0.0719815343618393,-0.017227428033947945,-0.002717604162171483;-0.04572752118110657,0.00000427649592893431,-0.00011285796790616587,0.0002846328425221145
;-87.60124969482422;-4.755151508106792e-7,-2.632475037955828e-8,0.00007904735684860498,-0.019449150189757347;2.9153146563487553e-10,-0.000003585765625757631,0.00020463993132580072,0.013136761263012886;6.664798206656997e-7,0.0719815120100975,-0.017227431759238243,-0.0027176004368811846;-0.045723918825387955,0.000004275405899534235,-0.00011286082008155063,0.00028471279074437916
;-87.60126495361328;-4.7551577608828666e-7,-2.6324778801267712e-8,0.00007904494850663468,-0.019449155777692795;2.915316321683292e-10,-0.0000035856146496371366,0.00020456926722545177,0.013133336789906025;6.663045724053518e-7,0.0719815194606781,-0.017227431759238243,-0.0027175957802683115;-0.04572036489844322,0.000004274316779628862,-0.00011286359949735925,0.0002847800205927342
;-87.60128021240234;-4.755161739922187e-7,-2.6324800117549785e-8,0.00007904253288870677,-0.019449155777692795;2.915317709462073e-10,-0.000003585462991395616,0.00020449870498850942,0.013129910454154015;6.661296083620982e-7,0.0719815194606781,-0.017227433621883392,-0.0027175904251635075;-0.04571675881743431,0.000004273227659723489,-0.00011286646622465923,0.0002848820586223155
;-87.6012954711914;-4.755167708481167e-7,-2.6324837421043412e-8,0.00007904012454673648,-0.019449161365628242;2.9153199299081223e-10,-0.000003585310651033069,0.00020442812819965184,0.013126484118402004;6.659547011622635e-7,0.0719815045595169,-0.01722744107246399,-0.0027175876311957836;-0.04571319371461868,0.000004272138085070765,-0.00011286932567600161,0.0002849269367288798
;-87.60131072998047;-4.755173108605959e-7,-2.6324864066396003e-8,0.00007903770165285096,-0.01944916509091854;2.915320762575391e-10,-0.0000035851585380441975,0.00020435755141079426,0.013123058713972569;6.657798508058477e-7,0.07198147475719452,-0.01722744107246399,-0.0027175825089216232;-0.04570963606238365,0.0000042710489651653916,-0.000112872090539895,0.00028495845617726445
;-87.60132598876953;-4.755178792947845e-7,-2.6324894264462273e-8,0.00007903529331088066,-0.01944916695356369;2.9153235381329523e-10,-0.000003585006879802677,0.00020428701827768236,0.013119630515575409;6.656044888586621e-7,0.07198147475719452,-0.017227444797754288,-0.002717577153816819;-0.04570603370666504,0.000004269959390512668,-0.00011287492816336453,0.0002850533346645534
;-87.6013412475586;-4.755184477289731e-7,-2.632492801524222e-8,0.00007903287041699514,-0.019449172541499138;2.915325203467489e-10,-0.0000035848543120664544,0.00020421642693690956,0.013116207905113697;6.654295816588274e-7,0.07198148965835571,-0.017227448523044586,-0.002717574592679739;-0.04570243880152702,0.0000042688702706072945,-0.00011287770757917315,0.0002851578174158931
