voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;7.987801551818848;-2.257822701536889e-16,0.01079169474542141,-0.9531232118606567,0.387234091758728;0.07571061700582504,0.3823964297771454,0.2012067586183548,-0.08977507799863815;0.011269611306488514,-0.06039895862340927,0.06363528221845627,-0.018574539572000504
;7.954396724700928;-2.299216936971411e-16,0.010802529752254486,-0.952793300151825,0.3878844082355499;0.07528608292341232,0.38237982988357544,0.2015012800693512,-0.08977357298135757;0.011303258128464222,-0.060427166521549225,0.06360214203596115,-0.018584227189421654
;7.920860290527344;-2.3415331148294596e-16,0.010813423432409763,-0.9524612426757812,0.38853368163108826;0.07486214488744736,0.3823632001876831,0.20179636776447296,-0.0897727906703949;0.011337128467857838,-0.06045546010136604,0.06356897950172424,-0.01859395019710064
;7.887191295623779;-2.384798763681821e-16,0.010824378579854965,-0.9521268606185913,0.3891827464103699;0.07443878799676895,0.38234642148017883,0.20209205150604248,-0.08977270126342773;0.011371233500540257,-0.060483843088150024,0.06353577226400375,-0.01860371232032776
;7.853389739990234;-2.429038765121321e-16,0.010835391469299793,-0.9517903923988342,0.38983118534088135;0.07401607930660248,0.3823295831680298,0.20238833129405975,-0.08977332711219788;0.011405582539737225,-0.06051231175661087,0.06350253522396088,-0.018613511696457863
;7.819455146789551;-2.474274294971641e-16,0.010846464894711971,-0.9514513611793518,0.3904784321784973;0.07359395176172256,0.3823126554489136,0.20268522202968597,-0.08977465331554413;0.011440161615610123,-0.06054086983203888,0.06346926093101501,-0.0186233501881361
;7.785387992858887;-2.5205334111991586e-16,0.0108575951308012,-0.9511106610298157,0.39112505316734314;0.07317249476909637,0.3822956085205078,0.20298270881175995,-0.0897800475358963;0.01147498656064272,-0.0605694055557251,0.06343638151884079,-0.018633227795362473
;7.751187324523926;-2.5678436423746595e-16,0.010868784971535206,-0.9507675766944885,0.391771137714386;0.07275167107582092,0.38227856159210205,0.20328080654144287,-0.08978285640478134;0.011510049924254417,-0.060598134994506836,0.06340303272008896,-0.018643144518136978
;7.716853618621826;-2.6162277525086013e-16,0.010880033485591412,-0.9504224061965942,0.3924161493778229;0.0723315104842186,0.3822614550590515,0.20357953011989594,-0.0897897481918335;0.011545352637767792,-0.06062684208154678,0.06337008625268936,-0.018653100356459618
;7.6823859214782715;-2.665717505336506e-16,0.010891338810324669,-0.9500748515129089,0.3930604159832001;0.07191202044487,0.3822442591190338,0.20387886464595795,-0.08979391306638718;0.011580899357795715,-0.060655754059553146,0.06333666294813156,-0.018663091585040092
;7.64778470993042;-2.716338047148995e-16,0.010902704671025276,-0.9497254490852356,0.39370399713516235;0.07149320840835571,0.38222694396972656,0.2041788399219513,-0.08980561792850494;0.011616702191531658,-0.06068452447652817,0.06330408155918121,-0.018673125654459
;7.6130499839782715;-2.7681200828904066e-16,0.01091412641108036,-0.9493736028671265,0.3943471908569336;0.07107512652873993,0.38220956921577454,0.2044794112443924,-0.08981458097696304;0.011652753688395023,-0.060713496059179306,0.06327102333307266,-0.018683195114135742
;7.578181743621826;-2.821087700060178e-16,0.01092560589313507,-0.9490199089050293,0.3949890732765198;0.07065774500370026,0.38219207525253296,0.20478065311908722,-0.08982770144939423;0.011689040809869766,-0.060742445290088654,0.06323837488889694,-0.01869330368936062
;7.543179035186768;-2.8752813974211003e-16,0.010937144048511982,-0.9486638307571411,0.3956301808357239;0.07024110853672028,0.3821745812892914,0.20508253574371338,-0.0898415595293045;0.011725587770342827,-0.060771480202674866,0.06320568919181824,-0.018703455105423927
;7.508042335510254;-2.930727644752775e-16,0.01094873994588852,-0.9483053684234619,0.3962704837322235;0.06982522457838058,0.3821569085121155,0.20538504421710968,-0.0898561179637909;0.011762385256588459,-0.06080060824751854,0.06317296624183655,-0.01871364191174507
;7.472771167755127;-2.9874574116973355e-16,0.010960392653942108,-0.9479447603225708,0.39690977334976196;0.06941007077693939,0.38213926553726196,0.2056882083415985,-0.08987145125865936;0.011799442581832409,-0.06082981824874878,0.06314021348953247,-0.01872386783361435
;7.437365531921387;-3.045509344133001e-16,0.010972104035317898,-0.9475821852684021,0.3975483179092407;0.06899571418762207,0.3821214437484741,0.20599204301834106,-0.08988745510578156;0.011836756020784378,-0.06085912138223648,0.06310741603374481,-0.01873413473367691
;7.401824474334717;-3.1049141470041093e-16,0.010983871296048164,-0.9472171068191528,0.3981860280036926;0.06858213245868683,0.3821036219596863,0.20629653334617615,-0.08990417420864105;0.011874333024024963,-0.06088851019740105,0.06307458877563477,-0.018744438886642456
;7.366147994995117;-3.165703319348386e-16,0.010995699092745781,-0.946850061416626,0.39882341027259827;0.06816931813955307,0.38208574056625366,0.20660167932510376,-0.08992167562246323;0.01191216055303812,-0.060917992144823074,0.06304173171520233,-0.018754782155156136
;7.33033561706543;-3.227921595093359e-16,0.011007582768797874,-0.9464805722236633,0.39945974946022034;0.06775733828544617,0.3820676803588867,0.2069075107574463,-0.08993981778621674;0.011950254440307617,-0.06094755604863167,0.06300882995128632,-0.01876516453921795
;7.294386863708496;-3.291603120254713e-16,0.011019525118172169,-0.9461091160774231,0.40009522438049316;0.06734614074230194,0.3820496201515198,0.20721402764320374,-0.08995867520570755;0.011988615617156029,-0.06097721680998802,0.06297589093446732,-0.018775587901473045
;7.258301734924316;-3.356786011315076e-16,0.01103152148425579,-0.9457350969314575,0.4007292687892914;0.06693579256534576,0.3820314407348633,0.20752117037773132,-0.08997833728790283;0.012027247808873653,-0.06100696325302124,0.06294292211532593,-0.018786050379276276
;7.222080707550049;-3.4235126199218095e-16,0.011043578386306763,-0.9453590512275696,0.40136298537254333;0.06652626395225525,0.3820131719112396,0.207829087972641,-0.0900021344423294;0.012066137045621872,-0.06103668734431267,0.06291036307811737,-0.01879655197262764
;7.185723304748535;-3.4918176214861923e-16,0.011055690236389637,-0.9449810981750488,0.40199577808380127;0.06611759960651398,0.38199475407600403,0.2081376165151596,-0.09002659469842911;0.01210531685501337,-0.06106649711728096,0.06287777423858643,-0.018807092681527138
;7.149229049682617;-3.5617502497982834e-16,0.011067860759794712,-0.944600522518158,0.4026271104812622;0.06570981442928314,0.38197633624076843,0.20844689011573792,-0.09004846215248108;0.012144758366048336,-0.061096515506505966,0.06284469366073608,-0.01881767250597477
;7.11259651184082;-3.6333507389230775e-16,0.011080087162554264,-0.944218099117279,0.4032580554485321;0.06530284881591797,0.38195788860321045,0.20875684916973114,-0.09007100015878677;0.012184481136500835,-0.061126623302698135,0.06281158328056335,-0.018828293308615685
