voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-84.05042266845703;-0.000006664089141850127,1.799946680591802e-8,-0.0022567380219697952,-0.014800196513533592;3.62567365019828e-10,0.22346016764640808,0.035802386701107025,-0.5095800161361694;0.4145505726337433,-0.12228450179100037,0.0363338477909565,-0.04513157531619072
;-84.05280303955078;-0.000006668570676993113,1.7971306220943006e-8,-0.0022583631798624992,-0.014734596945345402;3.620051203245822e-10,0.22345222532749176,0.03562800586223602,-0.50911945104599;0.4142095744609833,-0.12229295819997787,0.03631097450852394,-0.04513224959373474
;-84.05516815185547;-0.000006673021289316239,1.794324866466468e-8,-0.0022599848452955484,-0.014669286087155342;3.6144506831981005e-10,0.22344423830509186,0.03545452281832695,-0.508687436580658;0.4138695001602173,-0.12230099737644196,0.036289457231760025,-0.045132916420698166
;-84.05753326416016;-0.0000066774446167983115,1.791528880801252e-8,-0.002261605579406023,-0.014604263007640839;3.6088723676108714e-10,0.22343634068965912,0.03528193384408951,-0.5082442760467529;0.4135303199291229,-0.12230919301509857,0.03626740351319313,-0.04513358697295189
;-84.05989837646484;-0.000006681825652776752,1.788736092578347e-8,-0.0022632237523794174,-0.014539540745317936;3.6032976602484723e-10,0.2234283834695816,0.035110101103782654,-0.5077856779098511;0.4131910502910614,-0.12231762707233429,0.03624459728598595,-0.04513425752520561
;-84.06226348876953;-0.0000066861398408946116,1.7859468570691206e-8,-0.0022648388985544443,-0.01447511650621891;3.5977265611109033e-10,0.22342044115066528,0.03493902459740639,-0.5073438286781311;0.41285160183906555,-0.12232581526041031,0.036222588270902634,-0.045134928077459335
;-84.06461334228516;-0.000006690436293865787,1.783167569158195e-8,-0.002266451483592391,-0.014410977251827717;3.592173225541728e-10,0.22341251373291016,0.03476883843541145,-0.5069153308868408;0.4125129282474518,-0.12233380973339081,0.03620120510458946,-0.04513559490442276
;-84.06696319580078;-0.000006694715921184979,1.78039822884557e-8,-0.002268061740323901,-0.014347122050821781;3.586646257769388e-10,0.223404660820961,0.03459952771663666,-0.5064831972122192;0.41217532753944397,-0.12234186381101608,0.036179643124341965,-0.045136258006095886
;-84.06929779052734;-0.00000669896871841047,1.7776386584955617e-8,-0.0022696703672409058,-0.014283550903201103;3.5811414944575404e-10,0.22339682281017303,0.0344310961663723,-0.5060503482818604;0.4118386507034302,-0.12234991788864136,0.03615804389119148,-0.045136917382478714
;-84.0716323852539;-0.000006703205144731328,1.774889391015222e-8,-0.0022712773643434048,-0.014220265671610832;3.5756581029389167e-10,0.2233889400959015,0.034263525158166885,-0.505613386631012;0.4115028381347656,-0.122358039021492,0.03613623231649399,-0.04513758048415184
;-84.07396697998047;-0.000006707390184601536,1.772143143341509e-8,-0.0022728818003088236,-0.014157270081341267;3.570174156308781e-10,0.2233811318874359,0.034096695482730865,-0.5051831007003784;0.4111669361591339,-0.12236606329679489,0.03611473739147186,-0.04513823986053467
;-84.0762939453125;-0.000006711518835800234,1.7694002707457912e-8,-0.0022744834423065186,-0.014094562269747257;3.5646985363513295e-10,0.22337333858013153,0.03393059968948364,-0.504745602607727;0.41083094477653503,-0.12237419933080673,0.036092884838581085,-0.045138899236917496
;-84.07861328125;-0.000006715663857903564,1.7666742735400476e-8,-0.0022760843858122826,-0.014032125473022461;3.5592626068670086e-10,0.22336558997631073,0.03376549109816551,-0.5043203830718994;0.41049686074256897,-0.12238214910030365,0.03607162460684776,-0.045139554888010025
;-84.0809326171875;-0.000006719737939420156,1.763951118505247e-8,-0.00227768300101161,-0.013969974592328072;3.553825567159663e-10,0.22335776686668396,0.03360110893845558,-0.503884494304657;0.4101625978946686,-0.1223902702331543,0.03604983910918236,-0.045140210539102554
;-84.08324432373047;-0.000006723815204168204,1.761238266340115e-8,-0.0022792790550738573,-0.013908102177083492;3.5484154503606646e-10,0.22335001826286316,0.0334375835955143,-0.5034471750259399;0.40982940793037415,-0.12239839881658554,0.03602797910571098,-0.045140866190195084
;-84.0855484008789;-0.0000067278233473189175,1.758528256345926e-8,-0.0022808730136603117,-0.013846511021256447;3.5430036682271293e-10,0.22334228456020355,0.033274777233600616,-0.5030086636543274;0.40949591994285583,-0.12240655720233917,0.036006055772304535,-0.045141518115997314
;-84.08785247802734;-0.000006731825124006718,1.7558285492214054e-8,-0.0022824653424322605,-0.013785194605588913;3.537618531446185e-10,0.22333462536334991,0.03311281278729439,-0.5025809407234192;0.4091634750366211,-0.12241455167531967,0.03598463535308838,-0.045142170041799545
;-84.09014892578125;-0.000006735768693033606,1.753131861903512e-8,-0.002284054411575198,-0.013724159449338913;3.5322364477785584e-10,0.22332684695720673,0.032951559871435165,-0.5021528601646423;0.40883076190948486,-0.12242256104946136,0.03596319258213043,-0.045142821967601776
;-84.09243774414062;-0.000006739726813975722,1.7504518723399087e-8,-0.0022856416180729866,-0.013663391582667828;3.526890168803476e-10,0.2233191877603531,0.032791271805763245,-0.5017118453979492;0.40850019454956055,-0.12243075668811798,0.035941120237112045,-0.04514346644282341
;-84.0947265625;-0.000006743647190887714,1.7477749025829326e-8,-0.0022872271947562695,-0.013602899387478828;3.521551661389566e-10,0.22331151366233826,0.032631684094667435,-0.501275360584259;0.40816938877105713,-0.12243888527154922,0.03591926395893097,-0.04514411464333534
;-84.09701538085938;-0.000006747506631654687,1.7451014855396352e-8,-0.0022888106759637594,-0.013542684726417065;3.5162123213083873e-10,0.2233038693666458,0.03247280791401863,-0.500850260257721;0.40783849358558655,-0.12244684994220734,0.03589794784784317,-0.045144762843847275
;-84.09930419921875;-0.000006751311047992203,1.742430910667281e-8,-0.002290391130372882,-0.013482747599482536;3.5108810303441373e-10,0.22329619526863098,0.03231462836265564,-0.5004099011421204;0.40750738978385925,-0.12245505303144455,0.03587587922811508,-0.04514541104435921
;-84.1015853881836;-0.000006755070899089333,1.7397631779658695e-8,-0.002291968325152993,-0.013423082418739796;3.5055486291568627e-10,0.22328847646713257,0.03215715289115906,-0.4999901056289673;0.4071761965751648,-0.12246295064687729,0.035854801535606384,-0.04514605551958084
;-84.1038589477539;-0.000006758838935638778,1.7371123206544326e-8,-0.002293543890118599,-0.013363676145672798;3.500260359334817e-10,0.22328093647956848,0.03200061619281769,-0.49957364797592163;0.40684694051742554,-0.12247078865766525,0.03583386912941933,-0.045146696269512177
;-84.10613250732422;-0.000006762559678463731,1.7344644831496225e-8,-0.002295117126777768,-0.013304543681442738;3.494970424178234e-10,0.22327327728271484,0.03184477239847183,-0.4991491436958313;0.4065176546573639,-0.12247876822948456,0.03581255301833153,-0.04514734074473381
;-84.1083984375;-0.000006766245860490017,1.7318193101800716e-8,-0.002296687802299857,-0.013245680369436741;3.489684652357994e-10,0.22326572239398956,0.03168961778283119,-0.4987255334854126;0.406188040971756,-0.12248672544956207,0.03579126298427582,-0.045147981494665146
;-84.11065673828125;-0.000006769932952011004,1.7291904796934432e-8,-0.0022982568480074406,-0.013187072239816189;3.48444245679147e-10,0.2232581377029419,0.03153538331389427,-0.4982876479625702;0.40586063265800476,-0.1224948912858963,0.03576928377151489,-0.04514862224459648
;-84.1129150390625;-0.0000067735722950601485,1.7265648466491257e-8,-0.0022998240310698748,-0.0131287332624197;3.479199706113434e-10,0.2232505828142166,0.03138183802366257,-0.49785315990448;0.4055330455303192,-0.12250301241874695,0.035747457295656204,-0.04514925926923752
;-84.11517333984375;-0.000006777174803573871,1.723942766318487e-8,-0.0023013886529952288,-0.013070663437247276;3.4739600085487155e-10,0.22324304282665253,0.03122897259891033,-0.4974377453327179;0.40520524978637695,-0.1225108653306961,0.03572653979063034,-0.045149896293878555
;-84.11742401123047;-0.000006780710918974364,1.7213229952517395e-8,-0.002302950480952859,-0.013012856245040894;3.4687280825451694e-10,0.22323548793792725,0.031076781451702118,-0.4970249831676483;0.40487730503082275,-0.12251866608858109,0.035705748945474625,-0.04515053331851959
;-84.11966705322266;-0.000006784269771742402,1.7187199219392824e-8,-0.002304510213434696,-0.012955301441252232;3.463530851011143e-10,0.22322794795036316,0.03092549741268158,-0.4966132342815399;0.4045514762401581,-0.12252645194530487,0.03568499535322189,-0.04515116661787033
;-84.12191009521484;-0.000006787791335227666,1.7161195131620843e-8,-0.0023060685489326715,-0.012898010201752186;3.4583372277019464e-10,0.22322049736976624,0.030774882063269615,-0.4961872696876526;0.4042254090309143,-0.12253445386886597,0.03566355258226395,-0.04515179991722107
;-84.12415313720703;-0.000006791254236304667,1.7135219465558293e-8,-0.0023076236248016357,-0.012840982526540756;3.4531513759539223e-10,0.22321295738220215,0.030624935403466225,-0.49576064944267273;0.403899222612381,-0.12254247814416885,0.035642072558403015,-0.045152436941862106
;-84.12638854980469;-0.000006794705768697895,1.710934149912191e-8,-0.002309177303686738,-0.012784210033714771;3.4479824551070237e-10,0.22320543229579926,0.03047577105462551,-0.49532851576805115;0.40357398986816406,-0.1225505843758583,0.0356203131377697,-0.045153066515922546
;-84.12861633300781;-0.000006798111371608684,1.7083491954394958e-8,-0.00231072842143476,-0.012727697379887104;3.4428163098176867e-10,0.22319798171520233,0.030327269807457924,-0.49489209055900574;0.4032485783100128,-0.12255875766277313,0.035598333925008774,-0.045153696089982986
;-84.13084411621094;-0.000006801506060583051,1.7057738332937333e-8,-0.002312276978045702,-0.012671437114477158;3.4376715363215737e-10,0.2231905311346054,0.030179539695382118,-0.49446994066238403;0.40292418003082275,-0.12256671488285065,0.03557704761624336,-0.045154325664043427
;-84.13307189941406;-0.000006804855729569681,1.7032014909545978e-8,-0.0023138239048421383,-0.012615428306162357;3.4325350894981455e-10,0.22318312525749207,0.03003246709704399,-0.49406883120536804;0.40259963274002075,-0.12257435917854309,0.03555676341056824,-0.04515495523810387
