voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-84.15033721923828;-0.000006156706149340607,1.6891389620354857e-8,-0.0021809639874845743,-0.01637253537774086;3.4033037499270336e-10,0.22074677050113678,0.03617934137582779,-0.487455815076828;0.40096431970596313,-0.12270442396402359,0.03517376258969307,-0.0452626571059227
;-84.15264892578125;-0.000006161949386296328,1.6864769136759605e-8,-0.00218264851719141,-0.01629958115518093;3.3979757896318574e-10,0.22073912620544434,0.03600085899233818,-0.48704805970191956;0.40062540769577026,-0.12271232903003693,0.03515295684337616,-0.04526330903172493
;-84.15495300292969;-0.000006167196261230856,1.683831030163674e-8,-0.0021843325812369585,-0.01622694358229637;3.3926911280346417e-10,0.22073140740394592,0.035823460668325424,-0.4866402745246887;0.40028858184814453,-0.12272024154663086,0.03513214364647865,-0.04526396095752716
;-84.1572494506836;-0.000006172384928504471,1.6811879888223302e-8,-0.0021860136184841394,-0.016154639422893524;3.3874059113259136e-10,0.22072374820709229,0.03564684838056564,-0.48623231053352356;0.3999514877796173,-0.1227281466126442,0.03511131927371025,-0.04526461660861969
;-84.15953826904297;-0.000006177578143251594,1.678561467599593e-8,-0.0021876932587474585,-0.016082650050520897;3.38216371575939e-10,0.22071611881256104,0.03547130152583122,-0.48582425713539124;0.399616539478302,-0.12273605167865753,0.03509048372507095,-0.045265261083841324
;-84.16182708740234;-0.000006182713150337804,1.675937788547799e-8,-0.0021893710363656282,-0.016010992228984833;3.3769206875255975e-10,0.22070848941802979,0.03529653325676918,-0.48541614413261414;0.39928144216537476,-0.12274396419525146,0.03506964445114136,-0.045265913009643555
;-84.16410064697266;-0.000006187834060256137,1.6733238794586214e-8,-0.002191046718508005,-0.015939654782414436;3.3717029168656154e-10,0.22070087492465973,0.035122692584991455,-0.4850080609321594;0.39894726872444153,-0.1227518767118454,0.03504879027605057,-0.04526655748486519
;-84.16637420654297;-0.000006192917680891696,1.6707195626963767e-8,-0.0021927214693278074,-0.015868639573454857;3.366502077106759e-10,0.22069334983825684,0.03494974970817566,-0.4845997393131256;0.3986140489578247,-0.12275978922843933,0.03502792865037918,-0.04526720196008682
;-84.16864013671875;-0.000006197953098308062,1.668118088105075e-8,-0.002194393426179886,-0.015797950327396393;3.361309286464831e-10,0.22068579494953156,0.03477758169174194,-0.4841914772987366;0.39828065037727356,-0.12276770174503326,0.0350070558488369,-0.045267846435308456
;-84.1708984375;-0.000006202998065418797,1.6655329559966958e-8,-0.002196063520386815,-0.015727564692497253;3.35615063518091e-10,0.22067831456661224,0.0346064493060112,-0.48378312587738037;0.39794930815696716,-0.1227756142616272,0.03498617187142372,-0.04526848345994949
;-84.17315673828125;-0.0000062079811868898105,1.6629510213306276e-8,-0.0021977319847792387,-0.01565750688314438;3.350995037010307e-10,0.22067077457904816,0.03443608805537224,-0.48337462544441223;0.3976178467273712,-0.12278354167938232,0.03496528044342995,-0.04526912420988083
;-84.17540740966797;-0.0000062129079196893144,1.6603721064711863e-8,-0.002199397422373295,-0.015587770380079746;3.3458472104008763e-10,0.22066326439380646,0.03426648676395416,-0.48296621441841125;0.39728614687919617,-0.12279146164655685,0.03494437783956528,-0.045269761234521866
;-84.17765045166016;-0.000006217853751877556,1.6578095340946675e-8,-0.002201061462983489,-0.015518336556851864;3.340734078260965e-10,0.22065575420856476,0.03409790247678757,-0.4825575351715088;0.3969566226005554,-0.12279938161373138,0.03492346405982971,-0.0452703982591629
