voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-84.30656433105469;-0.000006077279067540076,1.516206005192089e-8,-0.002246698597446084,-0.013156702741980553;3.0576738363485845e-10,0.2197713404893875,0.028772544115781784,-0.4605086147785187;0.3781992793083191,-0.12324372678995132,0.03376868739724159,-0.04532674700021744
;-84.30856323242188;-0.000006081765150156571,1.514008296510383e-8,-0.002248293487355113,-0.01309818122535944;3.053288177845559e-10,0.21976469457149506,0.028630951419472694,-0.4601355195045471;0.37789681553840637,-0.12325119972229004,0.03374917060136795,-0.045327313244342804
;-84.31056213378906;-0.000006086210305511486,1.511813252363936e-8,-0.002249885816127062,-0.013039928860962391;3.048905017344339e-10,0.2197580486536026,0.02849000133574009,-0.4597623646259308;0.3775942027568817,-0.12325866520404816,0.03372964262962341,-0.04532787576317787
;-84.31256103515625;-0.000006090608167141909,1.5096205174813804e-8,-0.0022514769807457924,-0.01298194658011198;3.044524354844924e-10,0.21975143253803253,0.028349684551358223,-0.45938923954963684;0.3772914409637451,-0.12326614558696747,0.03371011093258858,-0.04532844200730324
;-84.31455993652344;-0.000006094972832215717,1.5074304471340838e-8,-0.0022530655842274427,-0.012924225069582462;3.040146467903071e-10,0.21974478662014008,0.028209997341036797,-0.4590160548686981;0.3769884407520294,-0.12327362596988678,0.033690568059682846,-0.045329008251428604
;-84.31654357910156;-0.000006099306119722314,1.5052489032996164e-8,-0.0022546511609107256,-0.01286676712334156;3.035788287419905e-10,0.21973814070224762,0.028071066364645958,-0.45864275097846985;0.37668654322624207,-0.12328111380338669,0.03367101401090622,-0.04532957077026367
;-84.31852722167969;-0.0000061036384977342095,1.503076241249346e-8,-0.0022562353406101465,-0.012809566222131252;3.0314531440645e-10,0.21973161399364471,0.027932878583669662,-0.45826947689056396;0.3763856589794159,-0.123288594186306,0.03365145996212959,-0.04533013328909874
;-84.32051086425781;-0.000006107914941821946,1.5009058884629667e-8,-0.0022578176576644182,-0.012752629816532135;3.027116335374558e-10,0.21972502768039703,0.02779531292617321,-0.45789608359336853;0.37608468532562256,-0.12329608201980591,0.033631887286901474,-0.04533069580793381
;-84.32249450683594;-0.000006112166829552734,1.4987382002118466e-8,-0.0022593969479203224,-0.01269595418125391;3.0227825797979335e-10,0.21971844136714935,0.0276583693921566,-0.4575227200984955;0.37578344345092773,-0.12330357730388641,0.03361231088638306,-0.045331258326768875
;-84.32447814941406;-0.000006116359145380557,1.4965726435889337e-8,-0.0022609736770391464,-0.012639541178941727;3.0184513222231146e-10,0.21971186995506287,0.027522047981619835,-0.45714932680130005;0.37548211216926575,-0.12331108003854752,0.03359272703528404,-0.04533182084560394
;-84.32644653320312;-0.000006120538273535203,1.494415968750218e-8,-0.0022625478450208902,-0.012583381496369839;3.0141392159954705e-10,0.219705268740654,0.027386456727981567,-0.45677587389945984;0.37518179416656494,-0.12331858277320862,0.03357313573360443,-0.045332375913858414
