voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;9.010732650756836;-1.2748117171418137e-16,0.01032687071710825,-0.9240599870681763,0.3942543864250183;0.08986511826515198,0.38978156447410583,0.19551455974578857,-0.10620155185461044;0.010299968533217907,-0.05870262160897255,0.06788748502731323,-0.018106583505868912
;8.978199005126953;-1.297604447310141e-16,0.01033759955316782,-0.9238051176071167,0.3949248194694519;0.08937931805849075,0.38976556062698364,0.1958053708076477,-0.10619231313467026;0.01032995618879795,-0.058730244636535645,0.06785492599010468,-0.018116014078259468
;8.945535659790039;-1.3208986474530222e-16,0.010348387062549591,-0.9235484004020691,0.39559462666511536;0.08889404684305191,0.3897494077682495,0.19609671831130981,-0.10618215054273605;0.010360144078731537,-0.05875799432396889,0.06782213598489761,-0.018125483766198158
;8.912742614746094;-1.3447058319245844e-16,0.010359237901866436,-0.9232895374298096,0.3962634801864624;0.08840934187173843,0.3897332549095154,0.1963885873556137,-0.10617521405220032;0.010390544310212135,-0.05878576263785362,0.06778958439826965,-0.018134990707039833
;8.879819869995117;-1.3690367209855662e-16,0.010370148345828056,-0.9230289459228516,0.3969316780567169;0.08792519569396973,0.3897170126438141,0.196680948138237,-0.10616781562566757;0.010421148501336575,-0.05881364643573761,0.06775686889886856,-0.018144534900784492
;8.84676742553711;-1.3939069318059325e-16,0.010381120257079601,-0.9227662682533264,0.39759933948516846;0.08744164556264877,0.3897007405757904,0.19697387516498566,-0.10616317391395569;0.010451970621943474,-0.05884156376123428,0.0677243247628212,-0.018154116347432137
;8.813583374023438;-1.4193285081354022e-16,0.010392151772975922,-0.9225013256072998,0.3982660174369812;0.08695868402719498,0.3896843194961548,0.1972673237323761,-0.10615945607423782;0.010483000427484512,-0.05886956304311752,0.06769176572561264,-0.018163735046982765
;8.780269622802734;-1.4453156113060622e-16,0.010403244756162167,-0.9222344756126404,0.398931622505188;0.08647632598876953,0.3896678388118744,0.19756130874156952,-0.10615681111812592;0.010514246299862862,-0.05889763683080673,0.06765920668840408,-0.018173392862081528
;8.746824264526367;-1.4718829320455913e-16,0.010414397343993187,-0.9219657182693481,0.39959681034088135;0.08599459379911423,0.3896513283252716,0.1978558599948883,-0.10615353286266327;0.010545709170401096,-0.05892584100365639,0.06762643903493881,-0.018183087930083275
;8.713248252868652;-1.4990447640349746e-16,0.010425609536468983,-0.9216945171356201,0.4002607762813568;0.08551350980997086,0.3896346986293793,0.19815094769001007,-0.10615302622318268;0.010577382519841194,-0.05895407497882843,0.06759386509656906,-0.018192822113633156
