voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-84.13077545166016;-0.000006772563210688531,1.7003417340788474e-8,-0.002324074273929,-0.012394551187753677;3.42721934165624e-10,0.22368194162845612,0.03000716120004654,-0.4980088770389557;0.40204283595085144,-0.12250982969999313,0.03575960546731949,-0.045133188366889954
;-84.1329574584961;-0.000006776187092327746,1.6978233929876296e-8,-0.0023256184067577124,-0.012339774519205093;3.422188088464395e-10,0.22367461025714874,0.029861493036150932,-0.49757784605026245;0.40172451734542847,-0.12251785397529602,0.03573797643184662,-0.0451338030397892
;-84.13513946533203;-0.0000067797645897371694,1.695308071703039e-8,-0.0023271602112799883,-0.012285248376429081;3.4171607210531363e-10,0.22366730868816376,0.02971646934747696,-0.4971539378166199;0.40140607953071594,-0.12252576649188995,0.03571669012308121,-0.045134417712688446
;-84.13731384277344;-0.000006783331173210172,1.692801987474013e-8,-0.0023287006188184023,-0.012230963446199894;3.412153615212077e-10,0.22366003692150116,0.029572203755378723,-0.496748685836792;0.40108850598335266,-0.1225334033370018,0.03569629043340683,-0.04513503238558769
;-84.13948059082031;-0.000006786843187001068,1.6902985677802462e-8,-0.0023302393965423107,-0.012176928110420704;3.4071501175958474e-10,0.22365275025367737,0.029428571462631226,-0.4963194727897644;0.4007709324359894,-0.1225414052605629,0.035674724727869034,-0.04513564705848694
;-84.14164733886719;-0.000006790343377360841,1.6878045627777283e-8,-0.0023317758459597826,-0.012123135849833488;3.4021674366613297e-10,0.22364549338817596,0.029285689815878868,-0.49589285254478455;0.4004541337490082,-0.12254936248064041,0.03565327823162079,-0.045136258006095886
;-84.14381408691406;-0.000006793800821469631,1.6853128670391015e-8,-0.002333309967070818,-0.012069586664438248;3.3971878088401297e-10,0.22363823652267456,0.0291434433311224,-0.49547070264816284;0.400137335062027,-0.12255726754665375,0.03563203662633896,-0.045136868953704834
;-84.1459732055664;-0.000006797249170631403,1.6828309412630915e-8,-0.0023348419927060604,-0.012016278691589832;3.3922292752563976e-10,0.22363102436065674,0.029001936316490173,-0.49504679441452026;0.399821400642395,-0.12256518751382828,0.035610705614089966,-0.04513747990131378
;-84.14812469482422;-0.000006800641131121665,1.6803516800223406e-8,-0.002336371224373579,-0.011963214725255966;3.387273517230227e-10,0.22362379729747772,0.02886105887591839,-0.4946433901786804;0.3995053768157959,-0.12257280945777893,0.035590361803770065,-0.04513809084892273
;-84.15027618408203;-0.0000068040244514122605,1.6778816558371545e-8,-0.0023378992918878794,-0.011910385452210903;3.3823388534415244e-10,0.2236166149377823,0.02872091345489025,-0.4942150115966797;0.3991903066635132,-0.12258080393075943,0.03556879982352257,-0.04513869807124138
;-84.15241241455078;-0.00000680739958625054,1.6754212239789013e-8,-0.002339425031095743,-0.011857791803777218;3.377420565442435e-10,0.22360940277576447,0.02858150377869606,-0.4937930107116699;0.3988761901855469,-0.12258870899677277,0.03554753586649895,-0.04513930156826973
;-84.15454864501953;-0.0000068107574406894855,1.672969851540529e-8,-0.0023409503046423197,-0.01180543564260006;3.3725269799056434e-10,0.22360220551490784,0.02844282053411007,-0.4933627247810364;0.39856305718421936,-0.12259673327207565,0.03552587330341339,-0.04513990506529808
;-84.15668487548828;-0.0000068140816438244656,1.6705214989087835e-8,-0.0023424734827131033,-0.011753316037356853;3.367636725037926e-10,0.2235950529575348,0.028304750099778175,-0.49295496940612793;0.3982498347759247,-0.12260442972183228,0.03550528734922409,-0.04514051228761673
;-84.15882110595703;-0.000006817352186772041,1.6680756331766133e-8,-0.002343993866816163,-0.011701436713337898;3.362749523283526e-10,0.22358787059783936,0.02816729061305523,-0.492544949054718;0.3979363739490509,-0.12261216342449188,0.03548458591103554,-0.04514111205935478
;-84.16094970703125;-0.000006820615908509353,1.665639182135692e-8,-0.002345512853935361,-0.011649787425994873;3.3578825830993253e-10,0.22358068823814392,0.028030550107359886,-0.4921303391456604;0.3976238965988159,-0.12261995673179626,0.03546365723013878,-0.04514171555638313
;-84.16307067871094;-0.000006823818239354296,1.6632053956300297e-8,-0.0023470292799174786,-0.011598377488553524;3.3530148102478563e-10,0.22357352077960968,0.02789442054927349,-0.4917255938053131;0.39731135964393616,-0.1226276084780693,0.035443197935819626,-0.045142315328121185
;-84.16519165039062;-0.000006827033757872414,1.6607806685442483e-8,-0.0023485433775931597,-0.011547195725142956;3.348171739858685e-10,0.22356641292572021,0.02775900438427925,-0.49130263924598694;0.396999716758728,-0.12263555079698563,0.035421840846538544,-0.045142918825149536
;-84.16731262207031;-0.00000683019197822432,1.658358605993726e-8,-0.0023500556126236916,-0.011496246792376041;3.343331722582832e-10,0.22355926036834717,0.027624186128377914,-0.4908941388130188;0.39668792486190796,-0.12264325469732285,0.03540118783712387,-0.04514351487159729
;-84.16941833496094;-0.000006833342922618613,1.6559457804987687e-8,-0.0023515652865171432,-0.011445526033639908;3.3385127995444464e-10,0.2235521823167801,0.027490073814988136,-0.49049749970436096;0.3963770866394043,-0.12265079468488693,0.035381097346544266,-0.04514411464333534
;-84.17152404785156;-0.000006836480679339729,1.6535420144236923e-8,-0.0023530740290880203,-0.011395030654966831;3.3337094196284056e-10,0.2235451340675354,0.027356665581464767,-0.4900885820388794;0.3960672914981842,-0.12265852093696594,0.03536041080951691,-0.045144710689783096
;-84.17362976074219;-0.0000068395838752621785,1.6511414457909268e-8,-0.002354580210521817,-0.01134476624429226;3.328913811273537e-10,0.22353802621364594,0.027223847806453705,-0.48967626690864563;0.39575737714767456,-0.12266629934310913,0.03533955290913582,-0.04514530301094055
;-84.17572784423828;-0.000006842631137260469,1.6487431864220525e-8,-0.002356084529310465,-0.011294732801616192;3.3241209784762304e-10,0.22353097796440125,0.02709162048995495,-0.489271342754364;0.3954472541809082,-0.12267396599054337,0.03531904146075249,-0.045145899057388306
;-84.17781829833984;-0.000006845715233794181,1.646360736629049e-8,-0.0023575876839458942,-0.01124491635710001;3.3193614523696624e-10,0.22352394461631775,0.026960190385580063,-0.4888524115085602;0.39513924717903137,-0.12268184125423431,0.03529784083366394,-0.04514648765325546
;-84.1799087524414;-0.000006848753400845453,1.6439809513713044e-8,-0.0023590889759361744,-0.011195328086614609;3.3146096978242667e-10,0.22351686656475067,0.026829347014427185,-0.4884558618068695;0.39483118057250977,-0.122689388692379,0.035277727991342545,-0.04514708369970322
;-84.18199920654297;-0.000006851742000435479,1.641603830648819e-8,-0.002360587939620018,-0.011145967058837414;3.309856277944334e-10,0.22350986301898956,0.02669907920062542,-0.48804962635040283;0.3945228159427643,-0.12269708514213562,0.03525713458657265,-0.045147672295570374
;-84.18408203125;-0.000006854697858216241,1.6392293744615927e-8,-0.002362083876505494,-0.01109683234244585;3.3051097969583054e-10,0.22350284457206726,0.026569396257400513,-0.4876483380794525;0.39421436190605164,-0.12270470708608627,0.03523677587509155,-0.04514826461672783
;-84.1861572265625;-0.00000685766235619667,1.636870550214553e-8,-0.0023635791148990393,-0.0110479099676013;3.300397455330284e-10,0.22349590063095093,0.026440495625138283,-0.4872457683086395;0.3939080834388733,-0.12271233648061752,0.03521634638309479,-0.045148853212594986
;-84.188232421875;-0.000006860598205093993,1.6345143905027726e-8,-0.0023650715593248606,-0.010999210178852081;3.29569177504041e-10,0.22348889708518982,0.026312168687582016,-0.4868334233760834;0.39360159635543823,-0.12272012233734131,0.03519544005393982,-0.045149438083171844
;-84.1903076171875;-0.000006863493126729736,1.6321608953262512e-8,-0.0023665628395974636,-0.010950736701488495;3.290984984527512e-10,0.2234819233417511,0.026184413582086563,-0.48643165826797485;0.3932950496673584,-0.12272776663303375,0.035175032913684845,-0.045150026679039
;-84.19237518310547;-0.0000068663471211038996,1.629809531777937e-8,-0.0023680515587329865,-0.010902483947575092;3.2862854104642736e-10,0.22347496449947357,0.026057222858071327,-0.48603853583335876;0.3929882049560547,-0.12273527681827545,0.0351550467312336,-0.04515060782432556
;-84.1944351196289;-0.000006869211574667133,1.6274738001698097e-8,-0.0023695386480540037,-0.010854439809918404;3.281618865536018e-10,0.22346803545951843,0.025930805131793022,-0.4856375455856323;0.39268359541893005,-0.12274289131164551,0.03513466939330101,-0.04515119269490242
;-84.19649505615234;-0.000006872047833894612,1.6251407330969414e-8,-0.0023710234090685844,-0.010806616395711899;3.2769595370574223e-10,0.22346115112304688,0.025804953649640083,-0.4852359890937805;0.3923788070678711,-0.12275052070617676,0.03511425852775574,-0.04515177384018898
;-84.19855499267578;-0.000006874844984849915,1.6228103305593322e-8,-0.0023725067730993032,-0.010759011842310429;3.2722985432442897e-10,0.22345422208309174,0.025679657235741615,-0.48483553528785706;0.3920738697052002,-0.12275815010070801,0.035093892365694046,-0.04515235871076584
;-84.20059967041016;-0.000006877625310153235,1.62048880980592e-8,-0.0023739871103316545,-0.010711620561778545;3.2676628070049674e-10,0.22344735264778137,0.025555022060871124,-0.4844365119934082;0.39176997542381287,-0.12276574224233627,0.03507359325885773,-0.0451529361307621
;-84.20264434814453;-0.000006880404725961853,1.6181765261080727e-8,-0.0023754669819027185,-0.010664439760148525;3.26304261388799e-10,0.22344046831130981,0.025431038811802864,-0.48403146862983704;0.39146700501441956,-0.1227734386920929,0.035052988678216934,-0.04515351355075836
;-84.2046890258789;-0.000006883143214508891,1.6158665516741166e-8,-0.002376944525167346,-0.010617473162710667;3.2584249187728176e-10,0.22343362867832184,0.025307608768343925,-0.48363640904426575;0.3911639153957367,-0.12278097867965698,0.03503286466002464,-0.04515409097075462
;-84.20673370361328;-0.000006885843049531104,1.6135592417754197e-8,-0.0023784206714481115,-0.010570723563432693;3.2538144401073055e-10,0.2234267294406891,0.02518473006784916,-0.48325103521347046;0.3908607065677643,-0.12278837710618973,0.035013217478990555,-0.045154672116041183
;-84.2087631225586;-0.000006888543794048019,1.6112609912966036e-8,-0.0023798940237611532,-0.01052417978644371;3.2492200596756504e-10,0.2234199047088623,0.025062497705221176,-0.48285818099975586;0.3905584514141083,-0.12279588729143143,0.034993190318346024,-0.04515524581074715
;-84.2107925415039;-0.000006891226348670898,1.6089716226019846e-8,-0.0023813655134290457,-0.010477839037775993;3.2446453857026825e-10,0.2234131395816803,0.02494090609252453,-0.48245590925216675;0.39025720953941345,-0.12280355393886566,0.034972693771123886,-0.04515581578016281
;-84.21282196044922;-0.000006893870704516303,1.6066847408069407e-8,-0.00238283583894372,-0.010431712493300438;3.2400782057351307e-10,0.2234063297510147,0.024819862097501755,-0.48207297921180725;0.3899558484554291,-0.12281091511249542,0.03495314344763756,-0.04515639320015907
