voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-84.21759796142578;-0.000006504704288090579,1.605424770900754e-8,-0.002302596578374505,-0.012347710318863392;3.237376200448949e-10,0.22135166823863983,0.028520550578832626,-0.47159576416015625;0.38994503021240234,-0.12299342453479767,0.03438590466976166,-0.04524575546383858
;-84.21965789794922;-0.00000650859328743536,1.603111776660171e-8,-0.0023041560780256987,-0.012293006293475628;3.2327415744326515e-10,0.22134484350681305,0.02838156931102276,-0.47120457887649536;0.3896389901638031,-0.1230010837316513,0.0343656912446022,-0.045246340334415436
;-84.2217025756836;-0.0000065124777393066324,1.600807486568101e-8,-0.002305713016539812,-0.012238548137247562;3.228127209986553e-10,0.22133804857730865,0.02824332006275654,-0.4708326458930969;0.38933390378952026,-0.12300843000411987,0.034346431493759155,-0.045246921479701996
;-84.22374725341797;-0.000006516340818052413,1.598512078260228e-8,-0.00230726832523942,-0.012184333056211472;3.2235369928912405e-10,0.22133120894432068,0.028105800971388817,-0.4704412519931793;0.3890298306941986,-0.12301608920097351,0.03432619944214821,-0.04524749517440796
;-84.22579193115234;-0.000006520157512568403,1.5962188015805623e-8,-0.002308822236955166,-0.012130367569625378;3.218945388017147e-10,0.22132442891597748,0.02796889655292034,-0.4700305759906769;0.38872554898262024,-0.12302405387163162,0.03430499881505966,-0.04524807631969452
;-84.22783660888672;-0.000006523922820633743,1.5939280118004717e-8,-0.0023103731218725443,-0.012076647952198982;3.2143604444812013e-10,0.22131763398647308,0.027832599356770515,-0.4696391820907593;0.3884212374687195,-0.12303172796964645,0.03428474813699722,-0.04524865373969078
;-84.2298812866211;-0.000006527652658405714,1.5916393536485884e-8,-0.002311921678483486,-0.012023172341287136;3.209774668277987e-10,0.2213108390569687,0.027696913108229637,-0.4692283570766449;0.3881166875362396,-0.12303970009088516,0.034263525158166885,-0.04524923115968704
;-84.23191833496094;-0.000006531340659421403,1.5893531823962803e-8,-0.002313467441126704,-0.011969945393502712;3.2051913900765783e-10,0.2213040590286255,0.027561835944652557,-0.4688369035720825;0.387812077999115,-0.12304738909006119,0.034243255853652954,-0.045249804854393005
;-84.23394775390625;-0.0000065350473050784785,1.587081932541423e-8,-0.0023150115739554167,-0.011916949413716793;3.2006489125713244e-10,0.2212972790002823,0.027427585795521736,-0.4684259593486786;0.3875095248222351,-0.12305537611246109,0.034222010523080826,-0.04525038227438927
;-84.23597717285156;-0.000006538707111758413,1.584813169586141e-8,-0.00231655384413898,-0.011864198371767998;3.196105602398802e-10,0.22129054367542267,0.027293933555483818,-0.4680537283420563;0.38720691204071045,-0.12306274473667145,0.034202691167593,-0.04525095224380493
;-84.23800659179688;-0.000006542328719660873,1.5825463606233825e-8,-0.0023180937860161066,-0.011811689473688602;3.191564790228085e-10,0.22128383815288544,0.027160877361893654,-0.4676814377307892;0.38690415024757385,-0.1230701208114624,0.03418336063623428,-0.045251525938510895
;-84.24002075195312;-0.000006545942596858367,1.5802886110805048e-8,-0.0023196309339255095,-0.01175941713154316;3.187048125408154e-10,0.22127708792686462,0.0270285252481699,-0.46730902791023254;0.3866023123264313,-0.12307749688625336,0.03416402265429497,-0.04525209590792656
;-84.24203491210938;-0.000006549537374667125,1.578039743321824e-8,-0.002321166917681694,-0.011707376688718796;3.1825475588220797e-10,0.22127042710781097,0.026896873489022255,-0.46691733598709106;0.38630151748657227,-0.12308518588542938,0.03414371237158775,-0.045252662152051926
;-84.24404907226562;-0.000006553088951477548,1.5757928295556667e-8,-0.0023227010387927294,-0.011655572801828384;3.178049212682055e-10,0.22126373648643494,0.026765812188386917,-0.4665447771549225;0.38600054383277893,-0.12309256196022034,0.034124355763196945,-0.04525323584675789
;-84.24604797363281;-0.000006556638254551217,1.5735546199380224e-8,-0.002324232831597328,-0.011604001745581627;3.173570573000717e-10,0.2212570607662201,0.026635443791747093,-0.46617236733436584;0.38570064306259155,-0.12309994548559189,0.03410499542951584,-0.045253802090883255
;-84.248046875;-0.000006560168003488798,1.571325647375943e-8,-0.0023257636930793524,-0.011552664451301098;3.1691121948895784e-10,0.22125039994716644,0.026505764573812485,-0.4657997190952301;0.3854016363620758,-0.12310733646154404,0.03408562019467354,-0.04525436460971832
;-84.25003814697266;-0.000006563656370417448,1.569098451170703e-8,-0.0023272926919162273,-0.011501559056341648;3.1646604781165877e-10,0.22124379873275757,0.026376668363809586,-0.46542713046073914;0.38510259985923767,-0.12311471253633499,0.03406624495983124,-0.04525493085384369
;-84.25202178955078;-0.0000065671779339027125,1.5668868869056496e-8,-0.0023288207594305277,-0.011450679041445255;3.160241235367067e-10,0.2212371826171875,0.02624836191534996,-0.46505436301231384;0.3848056495189667,-0.12312210351228714,0.034046854823827744,-0.04525548592209816
;-84.2540054321289;-0.000006570645837200573,1.5646774542688036e-8,-0.002330347429960966,-0.011400030925869942;3.155824490619352e-10,0.2212306261062622,0.026120625436306,-0.4646815359592438;0.38450857996940613,-0.12312949448823929,0.03402745723724365,-0.04525604844093323
;-84.2559814453125;-0.000006574086910404731,1.5624706861672166e-8,-0.002331872470676899,-0.011349615640938282;3.151410798984955e-10,0.22122402489185333,0.025993460789322853,-0.46430879831314087;0.38421136140823364,-0.12313687801361084,0.03400805592536926,-0.045256607234478
;-84.25794982910156;-0.000006577531166840345,1.5602788394630807e-8,-0.002333395415917039,-0.011299421079456806;3.14703374471037e-10,0.22121745347976685,0.025867074728012085,-0.46393588185310364;0.3839162588119507,-0.12314427644014359,0.03398863971233368,-0.045257166028022766
;-84.25991821289062;-0.000006580953140655765,1.5580896572942038e-8,-0.0023349171970039606,-0.011249453760683537;3.1426586333260786e-10,0.22121088206768036,0.025741253048181534,-0.46356290578842163;0.38362112641334534,-0.12315166741609573,0.0339692197740078,-0.04525772109627724
;-84.26188659667969;-0.00000658431554256822,1.555902784389218e-8,-0.0023364361841231585,-0.011199718341231346;3.138286852610861e-10,0.22120432555675507,0.0256159957498312,-0.4631899297237396;0.38332581520080566,-0.12315907329320908,0.03394978865981102,-0.045258279889822006
;-84.26383972167969;-0.000006587678853975376,1.5537247932684295e-8,-0.0023379542399197817,-0.011150206439197063;3.1339347783543303e-10,0.22119778394699097,0.02549140341579914,-0.46281692385673523;0.38303142786026,-0.12316646426916122,0.033930350095033646,-0.04525883123278618
;-84.26579284667969;-0.000006591041255887831,1.551555506296154e-8,-0.002339470200240612,-0.011100915260612965;3.1296015778892183e-10,0.22119127213954926,0.02536747045814991,-0.46244382858276367;0.3827381432056427,-0.12317387014627457,0.033910904079675674,-0.04525938630104065
