voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-84.12916564941406;-0.000006765015314158518,1.7026252407958964e-8,-0.002321133855730295,-0.012479718774557114;3.4318836661384466e-10,0.2236391305923462,0.03019624389708042,-0.49819710850715637;0.40235739946365356,-0.12250621616840363,0.03576817363500595,-0.04513480141758919
;-84.13134002685547;-0.000006768688763258979,1.7001070773403626e-8,-0.0023226856719702482,-0.012424549087882042;3.4268501925005523e-10,0.2236318290233612,0.030049707740545273,-0.49776965379714966;0.4020392894744873,-0.12251418083906174,0.035746727138757706,-0.045135416090488434
;-84.13351440429688;-0.000006772345841454808,1.6975981509403937e-8,-0.0023242351599037647,-0.012369624339044094;3.4218372579886136e-10,0.223624587059021,0.02990392968058586,-0.4973398745059967;0.4017220437526703,-0.12252217531204224,0.03572515398263931,-0.04513603448867798
;-84.13568115234375;-0.000006775993824703619,1.6950984615959896e-8,-0.002325782785192132,-0.012314945459365845;3.416845695269899e-10,0.2236173450946808,0.029758911579847336,-0.4969210624694824;0.4014057517051697,-0.1225300058722496,0.0357041098177433,-0.04513664171099663
;-84.13784790039062;-0.000006779594514227938,1.6926019696938965e-8,-0.0023273280821740627,-0.012260517105460167;3.411857185664502e-10,0.223610058426857,0.029614532366394997,-0.49649128317832947;0.4010893404483795,-0.1225380077958107,0.035682521760463715,-0.045137252658605576
;-84.1400146484375;-0.000006783149729017168,1.6901077870556946e-8,-0.0023288705851882696,-0.012206336483359337;3.4068714516166665e-10,0.2236028015613556,0.029470795765519142,-0.49605217576026917;0.4007728397846222,-0.12254615873098373,0.03566047549247742,-0.04513787105679512
;-84.14218139648438;-0.000006786655376345152,1.6876164465884358e-8,-0.00233041075989604,-0.012152406387031078;3.4018846073458064e-10,0.223595529794693,0.029327698051929474,-0.49563494324684143;0.40045613050460815,-0.12255397439002991,0.035639479756355286,-0.04513847827911377
;-84.14433288574219;-0.000006790154657210223,1.685134165541058e-8,-0.0023319481406360865,-0.01209871657192707;3.3969230206487566e-10,0.22358836233615875,0.029185350984334946,-0.495199590921402;0.4001404047012329,-0.12256208062171936,0.03561759740114212,-0.04513908550143242
;-84.146484375;-0.000006793633474444505,1.6826612991849288e-8,-0.00233348342590034,-0.012045263312757015;3.3919825281891747e-10,0.22358110547065735,0.029043741524219513,-0.4947719871997833;0.3998255729675293,-0.12257006019353867,0.035596080124378204,-0.04513969272375107
;-84.14863586425781;-0.00000679706818118575,1.6801914526354267e-8,-0.0023350168485194445,-0.011992061510682106;3.3870450888429104e-10,0.2235739380121231,0.02890276536345482,-0.4943527281284332;0.3995106816291809,-0.12257791310548782,0.035574961453676224,-0.045140303671360016
;-84.15078735351562;-0.000006800458322686609,1.6777240929854997e-8,-0.0023365477100014687,-0.011939098127186298;3.382110702609964e-10,0.22356672585010529,0.02876240573823452,-0.4939291179180145;0.39919567108154297,-0.12258584797382355,0.03555362671613693,-0.045140910893678665
;-84.1529312133789;-0.000006803801625210326,1.675259397870832e-8,-0.0023380762431770563,-0.011886379681527615;3.377179369490335e-10,0.22355949878692627,0.028622673824429512,-0.4935102164745331;0.39888039231300354,-0.1225937083363533,0.03553250804543495,-0.045141514390707016
;-84.15506744384766;-0.000006807168119848939,1.6728103346963508e-8,-0.0023396022152155638,-0.011833889409899712;3.372286616620812e-10,0.22355231642723083,0.028483783826231956,-0.49308520555496216;0.3985672891139984,-0.12260165810585022,0.035511087626218796,-0.045142121613025665
;-84.1572036743164;-0.000006810500508436235,1.6703639360571287e-8,-0.0023411260917782784,-0.011781638488173485;3.367392198416752e-10,0.2235451340675354,0.028345510363578796,-0.4926566481590271;0.3982539772987366,-0.12260966747999191,0.035489488393068314,-0.045142728835344315
;-84.15933990478516;-0.0000068137733251205646,1.6679202019531658e-8,-0.0023426481056958437,-0.011729627847671509;3.3625052742181083e-10,0.22353793680667877,0.028207853436470032,-0.49224141240119934;0.3979405462741852,-0.12261748313903809,0.03546852618455887,-0.04514332860708237
;-84.1614761352539;-0.000006817003395553911,1.665479132384462e-8,-0.002344166859984398,-0.011677856557071209;3.3576216806885384e-10,0.22353076934814453,0.028070803731679916,-0.49182042479515076;0.3976270258426666,-0.12262538820505142,0.03544727712869644,-0.045143935829401016
;-84.16360473632812;-0.00000682018844599952,1.6630403720796494e-8,-0.002345683518797159,-0.011626320891082287;3.35274086271653e-10,0.2235235869884491,0.0279343631118536,-0.49140438437461853;0.39731326699256897,-0.12263322621583939,0.03542625904083252,-0.04514453932642937
;-84.16573333740234;-0.0000068233703132136725,1.6606108488304017e-8,-0.0023471976164728403,-0.011575017124414444;3.3478805838704773e-10,0.22351640462875366,0.027798637747764587,-0.4909924566745758;0.3970005214214325,-0.12264099717140198,0.03540543094277382,-0.04514513909816742
;-84.16785430908203;-0.000006826544904470211,1.658190029729667e-8,-0.0023487091530114412,-0.011523940600454807;3.343036958369794e-10,0.2235092967748642,0.027663622051477432,-0.4905858337879181;0.3966887593269348,-0.1226486936211586,0.035384856164455414,-0.04514574259519577
;-84.16997528076172;-0.000006829664471297292,1.6557720527998754e-8,-0.002350219991058111,-0.011473097838461399;3.3382002717630144e-10,0.22350220382213593,0.027529213577508926,-0.4901682734489441;0.3963768482208252,-0.12265654653310776,0.03536375239491463,-0.045146338641643524
;-84.17208862304688;-0.000006832744929852197,1.653356740405343e-8,-0.0023517273366451263,-0.011422489769756794;3.333366915825309e-10,0.22349505126476288,0.027395393699407578,-0.4897702634334564;0.39606475830078125,-0.12266411632299423,0.035343579947948456,-0.045146942138671875
;-84.1741943359375;-0.00000683585540173226,1.6509567046796292e-8,-0.0023532335180789232,-0.011372099630534649;3.328567144134098e-10,0.2234879732131958,0.027262384071946144,-0.4893709719181061;0.3957548141479492,-0.1226717084646225,0.03532334417104721,-0.04514753445982933
;-84.17630004882812;-0.000006838910394435516,1.6485595111248585e-8,-0.002354737836867571,-0.011321940459311008;3.3237748664483036e-10,0.2234809249639511,0.027129966765642166,-0.48896658420562744;0.39544472098350525,-0.12267937511205673,0.03530284762382507,-0.045148130506277084
;-84.17839813232422;-0.000006841936738055665,1.646164626833979e-8,-0.002356239827349782,-0.011272011324763298;3.3189850867643145e-10,0.22347381711006165,0.026998138055205345,-0.4885578453540802;0.39513447880744934,-0.12268710881471634,0.03528214246034622,-0.04514872282743454
;-84.18048858642578;-0.000006844968083896674,1.6437857297546543e-8,-0.0023577401880174875,-0.011222298257052898;3.3142294464383326e-10,0.22346679866313934,0.026867104694247246,-0.4881448745727539;0.39482638239860535,-0.12269490212202072,0.03526122123003006,-0.045149315148591995
