voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-84.16748046875;-0.000006328271410893649,1.6658775692235395e-8,-0.0022227298468351364,-0.014947719871997833;3.357169819917516e-10,0.22120925784111023,0.03334001079201698,-0.48645538091659546;0.3978731334209442,-0.12272826582193375,0.035130247473716736,-0.0452449731528759
;-84.16972351074219;-0.000006332867997116409,1.6633162402968082e-8,-0.002224368741735816,-0.01488124206662178;3.352051414218238e-10,0.2212018072605133,0.03317616134881973,-0.4860469102859497;0.39754393696784973,-0.1227361410856247,0.03510942682623863,-0.04524561017751694
;-84.17195129394531;-0.000006337439572234871,1.660764148425642e-8,-0.00222600600682199,-0.014815056696534157;3.346949384308573e-10,0.2211943417787552,0.03301317244768143,-0.48563840985298157;0.3972155749797821,-0.12274401634931564,0.035088591277599335,-0.045246243476867676
;-84.17417907714844;-0.000006341980224533472,1.6582212936100404e-8,-0.002227641874924302,-0.014749170280992985;3.341868448636376e-10,0.22118695080280304,0.032851044088602066,-0.4852297902107239;0.39688822627067566,-0.122751884162426,0.03506774827837944,-0.045246876776218414
;-84.17639923095703;-0.0000063464808590651955,1.65568163623675e-8,-0.0022292749490588903,-0.014683585613965988;3.3367908436332527e-10,0.2211795151233673,0.03268963098526001,-0.4848211705684662;0.3965606987476349,-0.12275977432727814,0.03504689037799835,-0.045247502624988556
;-84.1786117553711;-0.000006350996500259498,1.65315778843933e-8,-0.002230907091870904,-0.014618287794291973;3.331751541324479e-10,0.22117213904857635,0.03252919763326645,-0.48441243171691895;0.39623528718948364,-0.12276764959096909,0.035026032477617264,-0.0452481284737587
;-84.18082427978516;-0.000006355446657835273,1.6506367828128532e-8,-0.002232537604868412,-0.01455328892916441;3.326719733021122e-10,0.2211647480726242,0.03236947953701019,-0.48400360345840454;0.3959096372127533,-0.12277552485466003,0.03500515595078468,-0.04524875804781914
;-84.18302917480469;-0.00000635985679764417,1.6481189746286873e-8,-0.0022341650910675526,-0.014488588087260723;3.321687092050496e-10,0.22115741670131683,0.032210469245910645,-0.48359477519989014;0.3955838978290558,-0.12278342247009277,0.034984275698661804,-0.04524938017129898
;-84.18522644042969;-0.000006364281944115646,1.645616798384708e-8,-0.002235791180282831,-0.014424166642129421;3.3166924762184635e-10,0.22115008533000946,0.0320524200797081,-0.48318588733673096;0.3952602446079254,-0.12279129773378372,0.03496338054537773,-0.04525000602006912
;-84.18742370605469;-0.000006368652975652367,1.643117464311672e-8,-0.0022374161053448915,-0.014360044151544571;3.311701191055505e-10,0.2211427539587021,0.03189507871866226,-0.48277679085731506;0.3949364125728607,-0.12279919534921646,0.03494247794151306,-0.04525062441825867
;-84.18961334228516;-0.00000637296352579142,1.6406213276809467e-8,-0.0022390380036085844,-0.014296216890215874;3.3067132365616203e-10,0.2211354523897171,0.031738437712192535,-0.4823678135871887;0.3946123421192169,-0.1228070855140686,0.034921564161777496,-0.04525124654173851
;-84.1917953491211;-0.0000063772977227927186,1.6381408229904082e-8,-0.002240658737719059,-0.014232667163014412;3.301763029650573e-10,0.2211282104253769,0.03158274665474892,-0.48195865750312805;0.39429041743278503,-0.12281497567892075,0.034900642931461334,-0.045251861214637756
;-84.19397735595703;-0.0000063815837165748235,1.6356633381064967e-8,-0.0022422769106924534,-0.01416940987110138;3.2968164309643555e-10,0.2211209386587143,0.03142775222659111,-0.4815494120121002;0.3939684331417084,-0.12282288074493408,0.03487970679998398,-0.0452524833381176
;-84.19615936279297;-0.000006385818323906278,1.6331886953935282e-8,-0.0022438925225287676,-0.014106439426541328;3.2918726078356997e-10,0.2211136519908905,0.03127344697713852,-0.48114028573036194;0.3936462104320526,-0.12283078581094742,0.03485877066850662,-0.045253098011016846
;-84.19833374023438;-0.000006390003818523837,1.6307168948515027e-8,-0.002245505340397358,-0.014043755829334259;3.286932392931874e-10,0.2211064100265503,0.03111983649432659,-0.48073098063468933;0.3933238089084625,-0.12283868342638016,0.034837815910577774,-0.04525371640920639
;-84.20050048828125;-0.000006394205229298677,1.628261081521032e-8,-0.0022471165284514427,-0.013981350697577;3.2820299256108854e-10,0.22109918296337128,0.03096715547144413,-0.48032164573669434;0.39300358295440674,-0.1228465884923935,0.03481685370206833,-0.04525432735681534
;-84.20266723632812;-0.000006398357527359622,1.6258077550901362e-8,-0.0022487256210297346,-0.013919232413172722;3.2771305114032145e-10,0.22109200060367584,0.030815159901976585,-0.47991225123405457;0.39268311858177185,-0.12285450100898743,0.03479588031768799,-0.045254942029714584
;-84.204833984375;-0.000006402456165233161,1.6233574484658675e-8,-0.0022503321524709463,-0.013857399113476276;3.2722344278646176e-10,0.22108475863933563,0.030663838610053062,-0.4795028269290924;0.3923625648021698,-0.12286241352558136,0.03477489948272705,-0.04525555297732353
;-84.20699310302734;-0.00000640651342109777,1.620909628741174e-8,-0.0022519356571137905,-0.013795852661132812;3.267341119883582e-10,0.2210775464773178,0.03051319718360901,-0.4790933430194855;0.39204174280166626,-0.12287034094333649,0.03475390747189522,-0.04525616765022278
;-84.20914459228516;-0.000006410582955140853,1.618477796228035e-8,-0.0022535372991114855,-0.013734569773077965;3.2624861145968964e-10,0.22107039391994476,0.030363474041223526,-0.4786836802959442;0.3917231261730194,-0.12287825345993042,0.03473290428519249,-0.04525677487254143
;-84.21129608154297;-0.000006414602012227988,1.6160484506144712e-8,-0.0022551375441253185,-0.013673567213118076;3.2576294439756737e-10,0.22106322646141052,0.030214419588446617,-0.4782741963863373;0.3914043605327606,-0.12288617342710495,0.034711893647909164,-0.045257385820150375
;-84.21344757080078;-0.0000064185769588220865,1.6136221248075344e-8,-0.0022567349951714277,-0.013612844981253147;3.252779989804111e-10,0.22105607390403748,0.030066031962633133,-0.47786447405815125;0.39108535647392273,-0.12289411574602127,0.034690871834754944,-0.045257993042469025
;-84.2155990600586;-0.00000642251870885957,1.6111984635358567e-8,-0.0022583298850804567,-0.013552400283515453;3.247933866301622e-10,0.22104893624782562,0.029918305575847626,-0.4774547815322876;0.3907662630081177,-0.1229020431637764,0.03466983884572983,-0.04525860399007797
;-84.2177505493164;-0.000006426399977499386,1.6087772891637542e-8,-0.002259921282529831,-0.013492234982550144;3.2430913510239634e-10,0.221041738986969,0.029771244153380394,-0.47704511880874634;0.3904469609260559,-0.12290998548269272,0.034648798406124115,-0.04525920748710632
;-84.21988677978516;-0.000006430258963519009,1.6063651742115326e-8,-0.0022615103516727686,-0.013432337902486324;3.2382685422049917e-10,0.22103466093540192,0.02962495945394039,-0.4766353368759155;0.3901287019252777,-0.12291792780160904,0.03462774679064751,-0.04525981470942497
;-84.2220230102539;-0.0000064341211327700876,1.603962118679192e-8,-0.0022630977910012007,-0.013372709974646568;3.2334662725119756e-10,0.22102756798267365,0.02947945147752762,-0.47622552514076233;0.3898113965988159,-0.12292586266994476,0.0346066839993,-0.04526042193174362
;-84.22415924072266;-0.000006437920546886744,1.6015619053177943e-8,-0.0022646829020231962,-0.01331335585564375;3.228662892595935e-10,0.2210204303264618,0.029334595426917076,-0.47581565380096436;0.3894939720630646,-0.12293381243944168,0.0345856137573719,-0.045261021703481674
;-84.2262954711914;-0.000006441684945457382,1.599164178855972e-8,-0.0022662649862468243,-0.013254274614155293;3.223866451573798e-10,0.22101335227489471,0.029190393164753914,-0.47540566325187683;0.3891763389110565,-0.12294177711009979,0.034564536064863205,-0.045261628925800323
;-84.22843170166016;-0.000006445397048082668,1.5967689392937245e-8,-0.0022678442765027285,-0.013195461593568325;3.219073341220735e-10,0.22100618481636047,0.029046835377812386,-0.4749957323074341;0.38885852694511414,-0.12294973433017731,0.034543443471193314,-0.045262232422828674
;-84.2305679321289;-0.000006449078682635445,1.5943761866310524e-8,-0.002269420539960265,-0.01313691958785057;3.2142830064252337e-10,0.22099913656711578,0.028903920203447342,-0.47458574175834656;0.3885405957698822,-0.12295769900083542,0.034522343426942825,-0.045262835919857025
;-84.23270416259766;-0.000006452699381043203,1.5919855655965875e-8,-0.0022709935437887907,-0.013078649528324604;3.20949572474305e-10,0.22099199891090393,0.02876165136694908,-0.47417575120925903;0.38822248578071594,-0.12296566367149353,0.03450123220682144,-0.045263439416885376
;-84.23482513427734;-0.000006456312348745996,1.5896040039820036e-8,-0.0022725635208189487,-0.01302064023911953;3.204724263738967e-10,0.22098495066165924,0.02862013317644596,-0.4737657308578491;0.38790541887283325,-0.12297363579273224,0.03448010981082916,-0.04526403918862343
;-84.23694610595703;-0.000006459908490796806,1.5872311465159328e-8,-0.002274132100865245,-0.0129628861322999;3.1999777827529385e-10,0.22097791731357574,0.02847936935722828,-0.47335562109947205;0.38758933544158936,-0.12298161536455154,0.03445897996425629,-0.04526464268565178
;-84.23906707763672;-0.0000064634605223545805,1.584860775949437e-8,-0.002275698585435748,-0.012905401177704334;3.1952340773244714e-10,0.22097080945968628,0.028339235112071037,-0.4729841947555542;0.38727301359176636,-0.1229889839887619,0.03443975746631622,-0.04526523873209953
