voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-84.13835906982422;-0.000006766337719454896,1.6911917199990967e-8,-0.002327458932995796,-0.012253149412572384;3.4090127942754123e-10,0.22367392480373383,0.02964525856077671,-0.4967774748802185;0.4008740782737732,-0.12253358960151672,0.03569768741726875,-0.04513458162546158
;-84.1405258178711;-0.000006769929314032197,1.6886986031749984e-8,-0.00232899934053421,-0.012199005112051964;3.40402900311787e-10,0.2236666977405548,0.029501348733901978,-0.4963532090187073;0.40055739879608154,-0.12254150956869125,0.035676367580890656,-0.045135192573070526
;-84.14269256591797;-0.000006773477252863813,1.6862077956147914e-8,-0.0023305381182581186,-0.012145109474658966;3.399047987517889e-10,0.22365941107273102,0.02935807593166828,-0.4959305226802826;0.4002406597137451,-0.12254941463470459,0.03565511107444763,-0.045135803520679474
;-84.14485168457031;-0.000006776979716960341,1.6837198302255274e-8,-0.002332074800506234,-0.012091458775103092;3.394070025031226e-10,0.22365213930606842,0.029215436428785324,-0.49551957845687866;0.399923712015152,-0.1225571408867836,0.03563441336154938,-0.04513641819357872
;-84.14700317382812;-0.0000067804985519615,1.681247674412134e-8,-0.0023336089216172695,-0.012038042768836021;3.389130642794669e-10,0.22364497184753418,0.029073655605316162,-0.495113343000412;0.399608850479126,-0.12256480008363724,0.03561394289135933,-0.04513702541589737
;-84.1491470336914;-0.000006783970547985518,1.678777827862632e-8,-0.0023351414129137993,-0.011984871700406075;3.3841945912271854e-10,0.22363777458667755,0.02893250435590744,-0.4946969151496887;0.39929381012916565,-0.12257261574268341,0.03559296950697899,-0.04513762891292572
;-84.15128326416016;-0.000006787463007640326,1.6763243237960523e-8,-0.002336673205718398,-0.011931928806006908;3.379292401461953e-10,0.2236306220293045,0.02879220061004162,-0.4942871928215027;0.3989808261394501,-0.12258031219244003,0.035572320222854614,-0.04513823240995407
;-84.1534194946289;-0.000006790922725485871,1.6738736619004158e-8,-0.0023382031358778477,-0.011879226192831993;3.3743974281463807e-10,0.22362346947193146,0.02865251712501049,-0.49387165904045105;0.3986678123474121,-0.12258811295032501,0.03555137664079666,-0.04513883963227272
;-84.15554809570312;-0.000006794322416681098,1.6714254869043543e-8,-0.0023397314362227917,-0.011826770380139351;3.3695060630556384e-10,0.22361628711223602,0.028513452038168907,-0.49345123767852783;0.39835453033447266,-0.12259598821401596,0.03553019091486931,-0.04513943940401077
;-84.15766906738281;-0.000006797745754738571,1.6689934767555314e-8,-0.0023412578739225864,-0.011774539016187191;3.3646527231034895e-10,0.22360914945602417,0.02837522141635418,-0.493038147687912;0.3980433940887451,-0.12260375171899796,0.03550935909152031,-0.045140042901039124
;-84.1597900390625;-0.000006801134077250026,1.6665641311419677e-8,-0.0023427826818078756,-0.011722546070814133;3.35979799537256e-10,0.22360201179981232,0.028237605467438698,-0.492620050907135;0.39773210883140564,-0.12261158972978592,0.03548827022314072,-0.04514063894748688
;-84.16191101074219;-0.000006804463737353217,1.664137272427979e-8,-0.0023443049285560846,-0.011670796200633049;3.3549507616470464e-10,0.22359488904476166,0.028100598603487015,-0.49219146370887756;0.3974206745624542,-0.12261959165334702,0.035466667264699936,-0.04514124244451523
;-84.16403198242188;-0.0000068077533796895295,1.6617136111563013e-8,-0.0023458246141672134,-0.011619280092418194;3.3501063034790945e-10,0.2235877513885498,0.02796420082449913,-0.4917660057544708;0.39710915088653564,-0.12262755632400513,0.0354452058672905,-0.04514183849096298
;-84.16615295410156;-0.000006811007551732473,1.659291903877147e-8,-0.002347342437133193,-0.011568001471459866;3.3452648984244604e-10,0.22358061373233795,0.027828406542539597,-0.49135297536849976;0.39679741859436035,-0.12263533473014832,0.035424333065748215,-0.04514244198799133
;-84.16825866699219;-0.000006814243533881381,1.6568794336535575e-8,-0.002348857233300805,-0.011516952887177467;3.3404401467151956e-10,0.2235735058784485,0.02769332192838192,-0.49093496799468994;0.39648666977882385,-0.12264318764209747,0.03540322184562683,-0.04514303803443909
;-84.17036437988281;-0.000006817469056841219,1.6544765557569008e-8,-0.0023503706324845552,-0.011466129682958126;3.3356395423567164e-10,0.2235664576292038,0.0275589469820261,-0.490522176027298;0.39617690443992615,-0.12265096604824066,0.035382356494665146,-0.04514363035559654
;-84.17247009277344;-0.00000682065547152888,1.6520759871241353e-8,-0.0023518819361925125,-0.011415539309382439;3.3308425462230673e-10,0.22355936467647552,0.027425169944763184,-0.4901009798049927;0.39586693048477173,-0.122658871114254,0.035361070185899734,-0.045144226402044296
;-84.17457580566406;-0.0000068237909545132425,1.649677905390945e-8,-0.0023533906787633896,-0.01136518083512783;3.326043884754881e-10,0.22355230152606964,0.02729198709130287,-0.4896903932094574;0.39555689692497253,-0.1226666197180748,0.03534029424190521,-0.04514482244849205
;-84.17667388916016;-0.0000068268827817519195,1.6472826658286976e-8,-0.002354896627366543,-0.011315054260194302;3.3212527172921114e-10,0.2235451489686966,0.027159398421645164,-0.4892820417881012;0.3952467143535614,-0.12267434597015381,0.03531961888074875,-0.045145418494939804
;-84.17876434326172;-0.000006830005077063106,1.644902880570953e-8,-0.002356401178985834,-0.011265145614743233;3.31649485652008e-10,0.22353819012641907,0.027027610689401627,-0.4888736307621002;0.3949386775493622,-0.12268205732107162,0.03529892861843109,-0.04514600709080696
;-84.18085479736328;-0.000006833089173596818,1.6425257598484677e-8,-0.0023579031694680452,-0.011215461418032646;3.311744212197709e-10,0.22353115677833557,0.02689640410244465,-0.4884665608406067;0.3946303725242615,-0.12268976867198944,0.035278305411338806,-0.045146599411964417
;-84.18294525146484;-0.000006836115971964318,1.6401513036612414e-8,-0.00235940283164382,-0.011166008189320564;3.306996898544412e-10,0.22352412343025208,0.02676578238606453,-0.48804956674575806;0.3943220376968384,-0.1226976215839386,0.035257186740636826,-0.045147188007831573
;-84.1850357055664;-0.000006839114575996064,1.6377791567379063e-8,-0.0023609003983438015,-0.01111678034067154;3.302248197112334e-10,0.22351710498332977,0.02663574554026127,-0.4876348674297333;0.39401349425315857,-0.12270545214414597,0.0352361761033535,-0.04514778032898903
;-84.1871109008789;-0.00000684209317114437,1.635416069234452e-8,-0.0023623963352292776,-0.011067773215472698;3.297523920586798e-10,0.22351008653640747,0.026506388559937477,-0.4872324466705322;0.39370599389076233,-0.12271308898925781,0.03521575406193733,-0.045148368924856186
;-84.1891860961914;-0.0000068450708567979746,1.633062041150879e-8,-0.0023638897109776735,-0.011018981225788593;3.2928154647393626e-10,0.22350311279296875,0.026377713307738304,-0.4868306517601013;0.39339935779571533,-0.12272071838378906,0.035195354372262955,-0.04514895752072334
;-84.1912612915039;-0.000006847994427516824,1.6307106776025648e-8,-0.002365381922572851,-0.01097041554749012;3.2881147804530997e-10,0.22349616885185242,0.026249608024954796,-0.4864272475242615;0.39309266209602356,-0.1227283701300621,0.03517487272620201,-0.0451495423913002
;-84.19332122802734;-0.000006850929821666796,1.6283681958384477e-8,-0.0023668715730309486,-0.010922068729996681;3.2834296392891815e-10,0.2234892100095749,0.02612217515707016,-0.48603761196136475;0.3927869200706482,-0.12273582816123962,0.03515505790710449,-0.04515012726187706
;-84.19538116455078;-0.000006853837930975715,1.6260345958585276e-8,-0.002368359826505184,-0.010873934254050255;3.278768923031805e-10,0.22348232567310333,0.025995414704084396,-0.4856427311897278;0.3924822509288788,-0.12274335324764252,0.03513498231768608,-0.04515071213245392
;-84.19744110107422;-0.000006856712843728019,1.6237036604138666e-8,-0.002369846450164914,-0.010826019570231438;3.274106818995648e-10,0.22347542643547058,0.02586921490728855,-0.48524487018585205;0.3921773433685303,-0.12275093048810959,0.035114750266075134,-0.04515128955245018
;-84.19949340820312;-0.0000068595504671975505,1.6213750342330968e-8,-0.002371330978348851,-0.010778326541185379;3.269452208964907e-10,0.22346848249435425,0.025743577629327774,-0.48485663533210754;0.3918722867965698,-0.12275836616754532,0.0350949801504612,-0.04515187442302704
;-84.2015380859375;-0.000006862408554297872,1.6190622176281977e-8,-0.0023728141095489264,-0.010730838403105736;3.2648303505133924e-10,0.22346164286136627,0.025618702173233032,-0.48446139693260193;0.39156946539878845,-0.1227659061551094,0.0350748673081398,-0.045152448117733
;-84.20358276367188;-0.000006865227987873368,1.616751532651506e-8,-0.0023742958437651396,-0.010683569125831127;3.260211822730952e-10,0.2234547734260559,0.02549438551068306,-0.4840787649154663;0.39126643538475037,-0.12277323752641678,0.03505536541342735,-0.04515302926301956
;-84.20561981201172;-0.0000068680055846925825,1.614443512210073e-8,-0.0023757750168442726,-0.01063651591539383;3.255600233842415e-10,0.22344785928726196,0.02537061832845211,-0.48368266224861145;0.39096319675445557,-0.12278079986572266,0.03503519669175148,-0.045153602957725525
;-84.20764923095703;-0.000006870808192616096,1.612151301344511e-8,-0.0023772530257701874,-0.010589663870632648;3.251021951644617e-10,0.22344107925891876,0.02524760365486145,-0.4832899868488312;0.39066216349601746,-0.12278831005096436,0.03501519188284874,-0.045154180377721786
;-84.20967864990234;-0.0000068735730565094855,1.60986139974284e-8,-0.0023787294048815966,-0.010543029755353928;3.2464458898928683e-10,0.22343426942825317,0.025125138461589813,-0.48288586735725403;0.3903610408306122,-0.12279598414897919,0.034994617104530334,-0.04515475034713745
;-84.21170806884766;-0.000006876294719404541,1.6075739850407444e-8,-0.002380204387009144,-0.01049660611897707;3.2418767670350235e-10,0.22342747449874878,0.02500321716070175,-0.48249077796936035;0.3900596797466278,-0.12280353158712387,0.03497448191046715,-0.04515532776713371
;-84.2137222290039;-0.000006879005468363175,1.6052956297585297e-8,-0.0023816770408302546,-0.010450387373566628;3.237324019966792e-10,0.22342069447040558,0.024881934747099876,-0.4821019172668457;0.3897593021392822,-0.1228109821677208,0.03495464101433754,-0.04515589773654938
;-84.21573638916016;-0.000006881729404994985,1.603026333896196e-8,-0.0023831482976675034,-0.010404372587800026;3.2327912569130035e-10,0.22341392934322357,0.024761293083429337,-0.48170793056488037;0.3894599676132202,-0.12281850725412369,0.03493454307317734,-0.045156463980674744
;-84.2177505493164;-0.0000068843951339658815,1.6007595249334372e-8,-0.0023846174590289593,-0.010358572006225586;3.228260436749508e-10,0.22340716421604156,0.024641187861561775,-0.48131945729255676;0.38916048407554626,-0.12282595038414001,0.034914713352918625,-0.04515703395009041
;-84.21976470947266;-0.000006887026302138111,1.5984952028702537e-8,-0.002386084757745266,-0.01031298004090786;3.2237373881471854e-10,0.22340039908885956,0.02452162094414234,-0.4809100925922394;0.388860821723938,-0.1228337362408638,0.03489384055137634,-0.045157600194215775
;-84.22177124023438;-0.00000688961654304876,1.5962331900709614e-8,-0.002387549728155136,-0.010267596691846848;3.2192126742103255e-10,0.22339366376399994,0.02440258301794529,-0.4805288314819336;0.38856106996536255,-0.12284108251333237,0.03487434983253479,-0.04515817016363144
;-84.22377014160156;-0.000006892233159305761,1.593986631576172e-8,-0.0023890130687505007,-0.010222409851849079;3.2147245976332783e-10,0.2233869433403015,0.024284271523356438,-0.48015111684799194;0.388263463973999,-0.12284836173057556,0.03485503047704697,-0.04515873268246651
;-84.22576904296875;-0.000006894826583447866,1.5917425599809576e-8,-0.0023904750123620033,-0.010177431628108025;3.210239574169549e-10,0.22338026762008667,0.024166487157344818,-0.4797636568546295;0.38796570897102356,-0.12285579741001129,0.034835219383239746,-0.04515929892659187
;-84.22776794433594;-0.000006897366802149918,1.5895007976496345e-8,-0.0023919346276670694,-0.01013265736401081;3.205757048707625e-10,0.22337353229522705,0.024049226194620132,-0.47936418652534485;0.38766780495643616,-0.12286342680454254,0.03481481224298477,-0.04515986517071724
;-84.2297592163086;-0.000006899867457832443,1.5872616998535705e-8,-0.002393391914665699,-0.010088089853525162;3.201281739695361e-10,0.2233668565750122,0.02393249049782753,-0.47898077964782715;0.3873697817325592,-0.12287081778049469,0.034795187413692474,-0.04516042768955231
;-84.23175048828125;-0.000006902368113514967,1.5850311285703356e-8,-0.0023948473390191793,-0.010043720714747906;3.1968216962496854e-10,0.22336016595363617,0.023816371336579323,-0.4785992205142975;0.38707274198532104,-0.12287817150354385,0.03477565199136734,-0.045160990208387375
;-84.23373413085938;-0.000006904856491019018,1.5828094390712977e-8,-0.0023963002022355795,-0.009999549016356468;3.192381359262697e-10,0.2233535349369049,0.023700863122940063,-0.4782138466835022;0.38677674531936646,-0.1228855773806572,0.034755922853946686,-0.04516155272722244
;-84.2357177734375;-0.00000690731985741877,1.580590236471835e-8,-0.002397752134129405,-0.009955581277608871;3.1879443529447826e-10,0.22334690392017365,0.02358587458729744,-0.4778110980987549;0.38648054003715515,-0.12289326637983322,0.03473532572388649,-0.04516211152076721
;-84.23770141601562;-0.000006909735475346679,1.5783733431362634e-8,-0.0023992015048861504,-0.009911811910569668;3.1835092895171613e-10,0.2233402281999588,0.023471396416425705,-0.4774281680583954;0.3861842751502991,-0.12290065735578537,0.034715697169303894,-0.04516267031431198
;-84.23968505859375;-0.0000069121119850024115,1.576158759064583e-8,-0.0024006483145058155,-0.00986824557185173;3.1790767240913453e-10,0.22333361208438873,0.02335742674767971,-0.47703152894973755;0.38588783144950867,-0.12290825694799423,0.03469539061188698,-0.04516322910785675
;-84.24166107177734;-0.000006914468485774705,1.5739461289854262e-8,-0.002402092795819044,-0.00982487853616476;3.1746474893346033e-10,0.2233269214630127,0.023243971168994904,-0.4766574501991272;0.3855912387371063,-0.12291551381349564,0.03467618674039841,-0.04516379162669182
;-84.2436294555664;-0.000006916835445736069,1.571748953210772e-8,-0.002403535647317767,-0.009781698696315289;3.1702546143819177e-10,0.22332033514976501,0.02313120849430561,-0.47627562284469604;0.3852968215942383,-0.122922882437706,0.034656599164009094,-0.04516435042023659
