voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;9.215435028076172;-1.137934236890173e-16,0.010228235274553299,-0.9233846664428711,0.3953615427017212;0.09298014640808105,0.39054349064826965,0.19527816772460938,-0.10725589096546173;0.010116624645888805,-0.05846920609474182,0.06832253187894821,-0.018030844628810883
;9.183037757873535;-1.1582030735734784e-16,0.010239039547741413,-0.923143208026886,0.39603525400161743;0.09248071163892746,0.390527606010437,0.19556738436222076,-0.10724577307701111;0.010145962238311768,-0.058496732264757156,0.06829006224870682,-0.018040236085653305
;9.150511741638184;-1.178913690878336e-16,0.010249905288219452,-0.9228999018669128,0.39670902490615845;0.09198182821273804,0.3905116319656372,0.19585709273815155,-0.1072351485490799;0.010175494477152824,-0.05852437764406204,0.0682574063539505,-0.018049664795398712
;9.117857933044434;-1.200079191345649e-16,0.010260829702019691,-0.9226547479629517,0.3973816931247711;0.09148350358009338,0.390495628118515,0.19614732265472412,-0.10722537338733673;0.010205239057540894,-0.05855211243033409,0.06822472810745239,-0.018059130758047104
;9.085074424743652;-1.2217092364449715e-16,0.010271813720464706,-0.9224072098731995,0.3980536162853241;0.0909857302904129,0.39047953486442566,0.19643805921077728,-0.10721820592880249;0.010235177353024483,-0.05857987701892853,0.06819221377372742,-0.01806863583624363
;9.05216121673584;-1.2438161346238187e-16,0.010282858274877071,-0.9221579432487488,0.3987249732017517;0.09048853814601898,0.39046335220336914,0.19672933220863342,-0.10721054673194885;0.01026532519608736,-0.058607764542102814,0.06815952062606812,-0.01807817630469799
;9.019118309020996;-1.2664124590275013e-16,0.010293961502611637,-0.9219061732292175,0.39939525723457336;0.08999195694923401,0.39044705033302307,0.19702112674713135,-0.10720644146203995;0.010295683518052101,-0.0586356520652771,0.0681270956993103,-0.018087755888700485
;8.985945701599121;-1.289509988707942e-16,0.010305125266313553,-0.9216527938842773,0.40006497502326965;0.08949596434831619,0.3904306888580322,0.19731342792510986,-0.10720004141330719;0.01032625138759613,-0.05866371840238571,0.06809429824352264,-0.018097372725605965
;8.952643394470215;-1.3131194439258795e-16,0.01031634584069252,-0.9213974475860596,0.4007340967655182;0.08900060504674911,0.3904142379760742,0.19760629534721375,-0.10719790309667587;0.010357019491493702,-0.05869176611304283,0.06806183606386185,-0.01810702681541443
;8.919211387634277;-1.3372553830600948e-16,0.010327624157071114,-0.9211400151252747,0.4014021158218384;0.08850588649511337,0.3903977870941162,0.19789966940879822,-0.10719654709100723;0.010388011112809181,-0.05871990695595741,0.06802935153245926,-0.018116718158125877
;8.885649681091309;-1.3619311733492867e-16,0.010338963009417057,-0.9208801984786987,0.4020695686340332;0.08801185339689255,0.39038118720054626,0.19819362461566925,-0.10719770938158035;0.010419200174510479,-0.05874807760119438,0.0679970234632492,-0.01812644675374031
;8.851957321166992;-1.387160579078848e-16,0.010350358672440052,-0.9206187129020691,0.4027363061904907;0.08751849830150604,0.39036455750465393,0.19848813116550446,-0.10719878226518631;0.010450617410242558,-0.058776360005140305,0.06796455383300781,-0.018136214464902878
;8.818134307861328;-1.4129565704407837e-16,0.010361812077462673,-0.9203550219535828,0.40340182185173035;0.08702582120895386,0.3903478682041168,0.19878320395946503,-0.10719999670982361;0.010482244193553925,-0.058804746717214584,0.06793197244405746,-0.01814601942896843
;8.784180641174316;-1.4393333087671807e-16,0.01037332322448492,-0.9200892448425293,0.40406644344329834;0.08653386682271957,0.39033108949661255,0.19907879829406738,-0.10720448940992355;0.010514086112380028,-0.05883314460515976,0.06789965182542801,-0.018155861645936966
;8.75009536743164;-1.466307470019188e-16,0.01038489118218422,-0.9198213815689087,0.40473073720932007;0.086042620241642,0.3903142213821411,0.1993749886751175,-0.10720839351415634;0.010546145960688591,-0.05886167287826538,0.06786711513996124,-0.018165742978453636
;8.715879440307617;-1.4938929508310963e-16,0.010396517813205719,-0.9195516705513,0.4053937494754791;0.08555210381746292,0.39029720425605774,0.19967173039913177,-0.1072133406996727;0.010578433983027935,-0.05889027938246727,0.06783458590507507,-0.01817566156387329
;8.68153190612793;-1.5221031184416047e-16,0.01040820125490427,-0.9192798137664795,0.4060560464859009;0.08506236970424652,0.39028018712997437,0.19996905326843262,-0.10722125321626663;0.010610939003527164,-0.05891891196370125,0.06780225783586502,-0.01818561926484108
;8.647051811218262;-1.5509576928365165e-16,0.010419938713312149,-0.919005811214447,0.4067172110080719;0.08457337319850922,0.3902631402015686,0.2002669721841812,-0.10722732543945312;0.010643665678799152,-0.05894770100712776,0.0677696019411087,-0.018195614218711853
;8.61244010925293;-1.5804716294413065e-16,0.010431734845042229,-0.918729841709137,0.4073776602745056;0.08408517390489578,0.3902460038661957,0.20056548714637756,-0.10723476856946945;0.01067662239074707,-0.058976564556360245,0.06773697584867477,-0.01820564828813076
;8.577695846557617;-1.610662133612716e-16,0.01044358778744936,-0.9184516072273254,0.4080369770526886;0.08359776437282562,0.39022865891456604,0.20086459815502167,-0.10724524408578873;0.010709804482758045,-0.05900545045733452,0.06770455837249756,-0.018215719610452652
;8.542819023132324;-1.641547601847568e-16,0.010455495677888393,-0.9181713461875916,0.40869563817977905;0.08311114460229874,0.3902113735675812,0.20116427540779114,-0.10725721716880798;0.010743214748799801,-0.05903439596295357,0.06767219305038452,-0.018225831910967827
;8.507808685302734;-1.6731449748048075e-16,0.010467461310327053,-0.9178890585899353,0.40935391187667847;0.08262534439563751,0.3901939392089844,0.20146456360816956,-0.10726728290319443;0.010776855051517487,-0.05906352028250694,0.06763947010040283,-0.018235979601740837
;8.472664833068848;-1.70547251663236e-16,0.01047948282212019,-0.9176044464111328,0.41001102328300476;0.08214040845632553,0.3901764452457428,0.20176547765731812,-0.10728195309638977;0.010810726322233677,-0.05909261107444763,0.06760714203119278,-0.01824616827070713
;8.437387466430664;-1.7385487561759463e-16,0.01049155555665493,-0.9173179268836975,0.4106670618057251;0.08165629953145981,0.39015892148017883,0.20206697285175323,-0.10729561746120453;0.010844837874174118,-0.05912184715270996,0.06757458299398422,-0.01825639232993126
;8.401976585388184;-1.772393810468064e-16,0.010503686964511871,-0.9170292019844055,0.41132187843322754;0.08117305487394333,0.3901412785053253,0.20236912369728088,-0.10731123387813568;0.010879176668822765,-0.05915113911032677,0.06754211336374283,-0.01826665922999382
;8.366432189941406;-1.8070288553323943e-16,0.010515875183045864,-0.9167384505271912,0.4119766652584076;0.0806906670331955,0.390123575925827,0.20267188549041748,-0.10732889920473099;0.010913758538663387,-0.059180475771427155,0.06750975549221039,-0.018276961520314217
;8.330753326416016;-1.8424746695459246e-16,0.01052811648696661,-0.9164454936981201,0.41263002157211304;0.08020921051502228,0.3901057839393616,0.20297525823116302,-0.10734659433364868;0.010948587208986282,-0.059209924191236496,0.0674772560596466,-0.018287304788827896
;8.294939994812012;-1.8787505760477642e-16,0.010540415532886982,-0.9161505699157715,0.41328248381614685;0.0797286331653595,0.3900878429412842,0.2032793015241623,-0.10736577212810516;0.010983644984662533,-0.05923944711685181,0.067444808781147,-0.01829768531024456
;8.258992195129395;-1.9158813240818405e-16,0.010552767664194107,-0.9158535599708557,0.4139336049556732;0.07924900949001312,0.3900699317455292,0.2035839557647705,-0.10738673806190491;0.01101895235478878,-0.059269025921821594,0.06741244345903397,-0.018308106809854507
;8.222908020019531;-1.9538858395405688e-16,0.010565174743533134,-0.9155542850494385,0.41458413004875183;0.07877027988433838,0.3900519013404846,0.20388926565647125,-0.10740817338228226;0.011054507456719875,-0.05929870530962944,0.06737998127937317,-0.01831856742501259
;8.186689376831055;-1.9927892687145708e-16,0.010577638633549213,-0.9152528047561646,0.41523388028144836;0.07829249650239944,0.3900337219238281,0.20419523119926453,-0.10743385553359985;0.011090300045907497,-0.05932836979627609,0.06734789907932281,-0.018329067155718803
;8.150335311889648;-2.032615699103284e-16,0.01059015654027462,-0.9149494767189026,0.4158831834793091;0.0778157114982605,0.39001554250717163,0.20450183749198914,-0.10745710879564285;0.011126345954835415,-0.05935821309685707,0.06731539964675903,-0.018339604139328003
;8.11384391784668;-2.073391203439616e-16,0.010602730326354504,-0.9146437644958496,0.41653120517730713;0.07733986526727676,0.3899972438812256,0.20480911433696747,-0.10748083889484406;0.011162644252181053,-0.059388164430856705,0.06728281825780869,-0.018350182101130486
;8.077217102050781;-2.1151394721763102e-16,0.010615358129143715,-0.9143359065055847,0.41717809438705444;0.07686496526002884,0.3899788558483124,0.20511706173419952,-0.10750911384820938;0.01119920052587986,-0.05941808968782425,0.06725063920021057,-0.018360799178481102
;8.040453910827637;-2.1578851222083965e-16,0.010628040879964828,-0.9140257835388184,0.4178241491317749;0.07639113813638687,0.3899604082107544,0.2054256647825241,-0.10753747820854187;0.011236011050641537,-0.059448130428791046,0.06721832603216171,-0.018371457234025
;8.003554344177246;-2.2016611084114788e-16,0.01064077764749527,-0.9137136340141296,0.41846951842308044;0.0759182795882225,0.389941930770874,0.2057349532842636,-0.1075655147433281;0.011273075826466084,-0.05947829410433769,0.06718584895133972,-0.018382154405117035
;7.966516494750977;-2.2464838420489103e-16,0.010653568431735039,-0.9133993983268738,0.41911354660987854;0.07544643431901932,0.3899232745170593,0.20604491233825684,-0.10759548097848892;0.0113103948533535,-0.05950850993394852,0.06715347617864609,-0.018392890691757202
;7.929340362548828;-2.2923930277900934e-16,0.01066641602665186,-0.913083016872406,0.4197571277618408;0.0749756246805191,0.38990461826324463,0.20635558664798737,-0.10762449353933334;0.011347981169819832,-0.05953887104988098,0.06712084263563156,-0.018403664231300354
;7.892025947570801;-2.3394142089723437e-16,0.010679316706955433,-0.9127644300460815,0.42039942741394043;0.07450585812330246,0.38988587260246277,0.2066669464111328,-0.10765430331230164;0.011385827325284481,-0.05956932529807091,0.06708818674087524,-0.018414480611681938
;7.8545732498168945;-2.387574120073059e-16,0.010692273266613483,-0.9124438166618347,0.42104098200798035;0.07403717190027237,0.3898669481277466,0.20697900652885437,-0.10768876224756241;0.011423943564295769,-0.05959975719451904,0.06705592572689056,-0.018425337970256805
;7.816982269287109;-2.4369077012013137e-16,0.010705282911658287,-0.9121207594871521,0.4216812551021576;0.07356950640678406,0.389847993850708,0.20729178190231323,-0.10772600024938583;0.011462322436273098,-0.059630222618579865,0.0670238584280014,-0.018436234444379807
;7.779252052307129;-2.4874461866970375e-16,0.010718348436057568,-0.911795973777771,0.42232048511505127;0.07310295850038528,0.38982900977134705,0.2076052576303482,-0.10775993019342422;0.011500969529151917,-0.0596608929336071,0.06699126213788986,-0.01844717189669609
;7.741382598876953;-2.5392213402957527e-16,0.010731467977166176,-0.9114688038825989,0.4229588806629181;0.07263748347759247,0.38980987668037415,0.20791946351528168,-0.1077970564365387;0.01153988391160965,-0.059691593050956726,0.06695892661809921,-0.01845814846456051
;7.703373432159424;-2.5922702196889014e-16,0.010744641534984112,-0.9111393094062805,0.42359626293182373;0.07217312604188919,0.3897906243801117,0.20823439955711365,-0.10783390700817108;0.011579083278775215,-0.0597224198281765,0.06692640483379364,-0.01846916601061821
;7.665224075317383;-2.646623794518618e-16,0.010757870972156525,-0.9108076691627502,0.4242325723171234;0.07170990109443665,0.38977140188217163,0.20855005085468292,-0.10787399858236313;0.01161854900419712,-0.059753257781267166,0.06689413636922836,-0.018480224534869194
;7.62693452835083;-2.7023228282454885e-16,0.010771152563393116,-0.9104737639427185,0.4248678684234619;0.07124777883291245,0.38975203037261963,0.2088664472103119,-0.10791413486003876;0.01165830995887518,-0.05978421866893768,0.06686173379421234,-0.01849132403731346
;7.588504314422607;-2.7594017315829957e-16,0.010784490965306759,-0.910137951374054,0.4255021810531616;0.07078677415847778,0.38973259925842285,0.20918357372283936,-0.10795488208532333;0.011698340997099876,-0.05981527641415596,0.06682927161455154,-0.018502462655305862
;7.549932956695557;-2.817900209200542e-16,0.010797884315252304,-0.9097998142242432,0.4261355400085449;0.07032698392868042,0.38971301913261414,0.2095014452934265,-0.1079954132437706;0.011738651432096958,-0.05984644964337349,0.06679664552211761,-0.018513644114136696
