voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;0.48724475502967834;-1.354563993117468e-14,0.013820473104715347,-1.1393648386001587,0.2523536682128906;0.02071213163435459,0.3747059106826782,0.2029191553592682,-0.0752473920583725;0.02195541001856327,-0.06742400676012039,0.05355618894100189,-0.020843513309955597
;0.44223931431770325;-1.3876258913344663e-14,0.013833928853273392,-1.1387324333190918,0.2528609335422516;0.02054901234805584,0.37467965483665466,0.2032829225063324,-0.07532396912574768;0.022042714059352875,-0.06745894998311996,0.05352409929037094,-0.020856553688645363
;0.3970510959625244;-1.4216307913316427e-14,0.013847478665411472,-1.138098120689392,0.2533676028251648;0.020386498421430588,0.37465324997901917,0.20364761352539062,-0.0754014253616333;0.022130724042654037,-0.06749400496482849,0.0534919872879982,-0.020869649946689606
;0.35167980194091797;-1.4566098639214563e-14,0.013861119747161865,-1.137461543083191,0.2538740634918213;0.02022458426654339,0.37462666630744934,0.20401328802108765,-0.07547976076602936;0.02221943996846676,-0.06752917915582657,0.05345984175801277,-0.020882798358798027
;0.30612504482269287;-1.492593686993303e-14,0.013874851167201996,-1.1368227005004883,0.2543799579143524;0.02006329782307148,0.37459999322891235,0.20437991619110107,-0.07555900514125824;0.022308871150016785,-0.0675644651055336,0.053427666425704956,-0.020896000787615776
;0.2603868842124939;-1.5296137701728205e-14,0.013888676650822163,-1.1361820697784424,0.25488516688346863;0.019902626052498817,0.3745731711387634,0.2047475129365921,-0.0756431370973587;0.02239901013672352,-0.06759972125291824,0.053396064788103104,-0.020909255370497704
;0.2144652158021927;-1.567701284272468e-14,0.013902596198022366,-1.135539174079895,0.25539013743400574;0.019742580130696297,0.37454622983932495,0.20511609315872192,-0.07572813332080841;0.022489869967103004,-0.06763508915901184,0.053364429622888565,-0.02092256210744381
;0.16835980117321014;-1.606894515181461e-14,0.013916606083512306,-1.1348941326141357,0.25589433312416077;0.01958315819501877,0.37451913952827454,0.20548565685749054,-0.07581406086683273;0.022581463679671288,-0.06767057627439499,0.05333276465535164,-0.020935922861099243
;0.12207093089818954;-1.6472248031188484e-14,0.013930710963904858,-1.134247064590454,0.2563982605934143;0.019424378871917725,0.37449193000793457,0.20585617423057556,-0.07590489834547043;0.022673778235912323,-0.06770602613687515,0.053301673382520676,-0.020949337631464005
;0.07559823989868164;-1.688731958633151e-14,0.013944908045232296,-1.133597493171692,0.25690150260925293;0.019266240298748016,0.3744645416736603,0.20622770488262177,-0.07599659264087677;0.0227668359875679,-0.06774158775806427,0.053270548582077026,-0.020962808281183243
;0.02894102968275547;-1.7314520653279215e-14,0.013959196396172047,-1.1329456567764282,0.2574044167995453;0.019108746200799942,0.37443703413009644,0.20660021901130676,-0.07608518749475479;0.022860655561089516,-0.06777742505073547,0.053238801658153534,-0.02097632922232151
;-0.017902065068483353;-1.7754252725648602e-14,0.013973578810691833,-1.1322916746139526,0.2579069435596466;0.0189518965780735,0.37440943717956543,0.20697377622127533,-0.07617063820362091;0.022955214604735374,-0.06781353801488876,0.0532064288854599,-0.020989902317523956
;-0.06493142992258072;-1.8206900356397722e-14,0.013988054357469082,-1.131635308265686,0.2584090530872345;0.018795695155858994,0.3743816316127777,0.2073482871055603,-0.07625702023506165;0.023050537332892418,-0.0678497701883316,0.05317402631044388,-0.02100353129208088
;-0.11214742064476013;-1.8672932801779354e-14,0.014002622105181217,-1.1309767961502075,0.2589108645915985;0.018640141934156418,0.37435367703437805,0.20772382616996765,-0.07634425908327103;0.023146629333496094,-0.067886121571064,0.05314158275723457,-0.02101721614599228
;-0.1595497578382492;-1.9152736308817447e-14,0.014017282985150814,-1.130315899848938,0.25941193103790283;0.01848524622619152,0.37432563304901123,0.20810039341449738,-0.07643646001815796;0.023243507370352745,-0.0679224357008934,0.05310972034931183,-0.021030953153967857
;-0.20713947713375092;-1.9646797074423725e-14,0.014032036066055298,-1.129652738571167,0.25991255044937134;0.018331017345190048,0.3742974102497101,0.20847801864147186,-0.07652551680803299;0.02334115467965603,-0.0679590255022049,0.053077224642038345,-0.021044744178652763
;-0.25491660833358765;-2.0155575884521493e-14,0.014046883210539818,-1.1289870738983154,0.260412335395813;0.018177449703216553,0.3742690980434418,0.20885665714740753,-0.07661951333284378;0.023439589887857437,-0.067995585501194,0.053045302629470825,-0.021058591082692146
;-0.30288150906562805;-2.067957587668142e-14,0.014061822555959225,-1.1283193826675415,0.26091182231903076;0.01802455075085163,0.37424060702323914,0.20923632383346558,-0.07671038806438446;0.023538831621408463,-0.0680324137210846,0.053012747317552567,-0.021072490140795708
;-0.3510339558124542;-2.1219273083419865e-14,0.014076853170990944,-1.127648949623108,0.2614109218120575;0.017872320488095284,0.37421196699142456,0.2096170336008072,-0.07681021094322205;0.023638881742954254,-0.06806904822587967,0.05298137664794922,-0.021086443215608597
;-0.39937466382980347;-2.1775197747361807e-14,0.014091979712247849,-1.1269760131835938,0.2619094252586365;0.017720771953463554,0.37418320775032043,0.20999880135059357,-0.07690692692995071;0.02373972348868847,-0.06810595840215683,0.052949365228414536,-0.021100454032421112
;-0.44790342450141907;-2.234786147640739e-14,0.01410719845443964,-1.1263004541397095,0.2624073326587677;0.01756989397108555,0.37415432929992676,0.2103816568851471,-0.07700859010219574;0.023841390386223793,-0.068142831325531,0.05291793495416641,-0.021114517003297806
;-0.4966205656528473;-2.2937858887685583e-14,0.01412250753492117,-1.125622272491455,0.2629046142101288;0.017419710755348206,0.374125212430954,0.21076560020446777,-0.07711121439933777;0.023943888023495674,-0.06817983090877533,0.0528864711523056,-0.021128633990883827
;-0.5455265641212463;-2.354572361195316e-14,0.014137910678982735,-1.1249414682388306,0.26340144872665405;0.01727020926773548,0.37409600615501404,0.21115057170391083,-0.07721469551324844;0.024047216400504112,-0.0682169497013092,0.0528549887239933,-0.021142804995179176
;-0.5946218371391296;-2.4172104476447714e-14,0.014153409749269485,-1.124258041381836,0.2638978064060211;0.017121396958827972,0.37406662106513977,0.21153664588928223,-0.07731913030147552;0.02415136806666851,-0.06825418770313263,0.052823469042778015,-0.02115703374147415
