voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-84.0993423461914;-0.000006741586730640847,1.7396573070982413e-8,-0.002298385137692094,-0.013286002911627293;3.5054661950972843e-10,0.2235768437385559,0.03216710686683655,-0.5024460554122925;0.4070599377155304,-0.1224227100610733,0.03598026931285858,-0.04513334855437279
;-84.10161590576172;-0.000006745443442923715,1.7370084037793276e-8,-0.002299955813214183,-0.01322722714394331;3.500171263937091e-10,0.22356921434402466,0.032010532915592194,-0.5020084381103516;0.40673068165779114,-0.12243083864450455,0.03595838323235512,-0.04513398930430412
;-84.10388946533203;-0.000006749237400072161,1.734362875538409e-8,-0.0023015241604298353,-0.013168721459805965;3.494884937005338e-10,0.2235616147518158,0.03185465186834335,-0.5015707612037659;0.40640121698379517,-0.12243897467851639,0.03593648225069046,-0.04513463005423546
;-84.10614776611328;-0.00000675302271702094,1.731726406717371e-8,-0.0023030899465084076,-0.013110474683344364;3.489615263418955e-10,0.22355401515960693,0.03169957548379898,-0.5011416077613831;0.40607279539108276,-0.12244697660207748,0.035914987325668335,-0.045135270804166794
;-84.10840606689453;-0.000006756778475391911,1.72909970785895e-8,-0.0023046538699418306,-0.013052491471171379;3.484367516737308e-10,0.22354644536972046,0.03154531121253967,-0.5007162094116211;0.4057452380657196,-0.1224549412727356,0.03589366376399994,-0.04513590782880783
;-84.11066436767578;-0.0000067604869400383905,1.7264760288071557e-8,-0.0023062159307301044,-0.012994769960641861;3.479126986505321e-10,0.22353889048099518,0.03139172121882439,-0.5002701282501221;0.40541762113571167,-0.12246320396661758,0.03587133809924126,-0.04513654485344887
;-84.1129150390625;-0.000006764161753380904,1.7238555471976724e-8,-0.0023077751975506544,-0.012937313877046108;3.473886456273334e-10,0.2235313057899475,0.031238820403814316,-0.4998387396335602;0.405089795589447,-0.12247125059366226,0.035849712789058685,-0.0451371893286705
;-84.11515808105469;-0.000006767836111976067,1.7212510527997438e-8,-0.002309332834556699,-0.012880105525255203;3.4686839511799405e-10,0.22352376580238342,0.03108682669699192,-0.49941757321357727;0.40476399660110474,-0.1224791407585144,0.035828568041324615,-0.04513781890273094
;-84.11740112304688;-0.0000067714772740146145,1.718649578208442e-8,-0.0023108883760869503,-0.012823158875107765;3.463490327870744e-10,0.22351622581481934,0.030935509130358696,-0.4989965558052063;0.4044380486011505,-0.12248703837394714,0.035807427018880844,-0.04513845220208168
;-84.11964416503906;-0.000006775056135666091,1.7160509457880835e-8,-0.0023124413564801216,-0.012766473926603794;3.4582950392270106e-10,0.22350876033306122,0.030784858390688896,-0.4985724687576294;0.4041120111942291,-0.12249498069286346,0.03578612580895424,-0.04513908550143242
;-84.12187194824219;-0.000006778624992875848,1.7134615504232897e-8,-0.0023139922413975,-0.012710041366517544;3.453120844820745e-10,0.2235012799501419,0.030634988099336624,-0.4981430768966675;0.4037868082523346,-0.12250300496816635,0.03576456755399704,-0.04513971880078316
;-84.12409973144531;-0.0000067821874836226925,1.7108817473854288e-8,-0.0023155417293310165,-0.012653864920139313;3.44796829976346e-10,0.2234938144683838,0.03048589825630188,-0.4977121353149414;0.4034627079963684,-0.12251105904579163,0.035742923617362976,-0.0451403483748436
;-84.12632751464844;-0.00000678568494549836,1.7083053194255626e-8,-0.002317088423296809,-0.012597941793501377;3.442823526267347e-10,0.22348633408546448,0.030337471514940262,-0.4972921907901764;0.40313833951950073,-0.12251894921064377,0.0357218012213707,-0.04514097422361374
