voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-84.23873138427734;-0.000006439102435251698,1.5798752528439763e-8,-0.002286293776705861,-0.012654903344810009;3.185799402061207e-10,0.22149772942066193,0.02819134294986725,-0.4762011766433716;0.3864316940307617,-0.1229342669248581,0.034611474722623825,-0.04524235427379608
;-84.24079132080078;-0.000006442918675020337,1.5775762918224245e-8,-0.0022878635209053755,-0.012598779983818531;3.1811991929586725e-10,0.22149087488651276,0.02805335447192192,-0.4757906496524811;0.38612398505210876,-0.12294217199087143,0.034590404480695724,-0.04524293914437294
;-84.24283599853516;-0.00000644674173599924,1.5752862125850697e-8,-0.0022894309367984533,-0.01254290621727705;3.176614526978483e-10,0.22148405015468597,0.02791609615087509,-0.4753800332546234;0.3858172297477722,-0.12295006960630417,0.03456932678818703,-0.0452435165643692
;-84.24488067626953;-0.000006450540695368545,1.5730055480389638e-8,-0.0022909967228770256,-0.012487281113862991;3.172054008349079e-10,0.22147725522518158,0.02777956612408161,-0.4749692976474762;0.38551151752471924,-0.12295796722173691,0.034548237919807434,-0.04524409770965576
;-84.2469253540039;-0.000006454301910707727,1.5707266598496972e-8,-0.0022925599478185177,-0.012431912124156952;3.1674923794966503e-10,0.2214704304933548,0.02764364890754223,-0.474558562040329;0.3852056562900543,-0.12296587973833084,0.034527137875556946,-0.045244671404361725
;-84.24897003173828;-0.000006458015832322417,1.5684500809243218e-8,-0.0022941208444535732,-0.012376794591546059;3.162933526201783e-10,0.2214636355638504,0.027508344501256943,-0.47414785623550415;0.38489964604377747,-0.12297379970550537,0.03450603038072586,-0.045245252549648285
;-84.25101470947266;-0.000006461672910518246,1.5661759888985216e-8,-0.0022956791799515486,-0.012321935035288334;3.158381334245064e-10,0.22145681083202362,0.027373643592000008,-0.47373703122138977;0.38459348678588867,-0.1229817196726799,0.03448491171002388,-0.04524582624435425
;-84.25305938720703;-0.00000646530179437832,1.5639038508652447e-8,-0.0022972344886511564,-0.012267324142158031;3.153827754509564e-10,0.22145000100135803,0.027239548042416573,-0.4733262062072754;0.38428711891174316,-0.12298963963985443,0.0344637855887413,-0.04524640738964081
;-84.2551040649414;-0.000006468886567745358,1.561634199731543e-8,-0.002298786537721753,-0.012212966568768024;3.149281391223724e-10,0.22144322097301483,0.02710605412721634,-0.4729347229003906;0.3839806914329529,-0.12299727648496628,0.034443605691194534,-0.04524698108434677
;-84.25713348388672;-0.000006472465884144185,1.5593728974749865e-8,-0.0023003353271633387,-0.012158852070569992;3.1447502935044724e-10,0.22143644094467163,0.026973269879817963,-0.47254323959350586;0.383675217628479,-0.12300489842891693,0.03442341834306717,-0.04524755850434303
