voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-83.07950592041016;-0.0000035349567042430863,1.3392568121162185e-7,-0.0016503697261214256,-0.061828210949897766;6.348526149224654e-10,0.22246088087558746,0.12900683283805847,-0.5887355804443359;0.5475227236747742,-0.12053500860929489,0.04025460034608841,-0.04503760486841202
;-83.08792877197266;-0.0000035595428471424384,1.2880556710115343e-7,-0.0016524947714060545,-0.06157604604959488;6.322011247839043e-10,0.22243230044841766,0.1282345950603485,-0.5881654024124146;0.5464714169502258,-0.12054834514856339,0.04022602736949921,-0.04504004493355751
;-83.09622955322266;-0.0000035840530472341925,1.2393174131375417e-7,-0.001654630759730935,-0.061324283480644226;6.295935439659672e-10,0.2224041074514389,0.12747034430503845,-0.5875939130783081;0.545434296131134,-0.1205616220831871,0.04019743576645851,-0.04504244774580002
;-83.10442352294922;-0.000003608453198467032,1.19291982514369e-7,-0.0016567776910960674,-0.06107296049594879;6.270279850895122e-10,0.22237630188465118,0.12671370804309845,-0.5870211720466614;0.5444107055664062,-0.12057483941316605,0.04016881808638573,-0.04504481330513954
;-83.11250305175781;-0.000003632764219219098,1.1487490780837106e-7,-0.0016589342849329114,-0.06082209572196007;6.245033934426658e-10,0.2223488986492157,0.12596465647220612,-0.5864473581314087;0.5434005856513977,-0.12058799713850021,0.04014018923044205,-0.045047152787446976
;-83.12047576904297;-0.0000036569708754541352,1.1066947536164662e-7,-0.0016610999591648579,-0.06057171896100044;6.220178816462862e-10,0.22232183814048767,0.12522289156913757,-0.5858723521232605;0.5424028635025024,-0.1206011101603508,0.04011153429746628,-0.045049455016851425
;-83.12834167480469;-0.0000036810774872719776,1.0666541783166394e-7,-0.0016632744809612632,-0.06032184511423111;6.195705060108025e-10,0.2222951203584671,0.12448833137750626,-0.5852962136268616;0.54141765832901,-0.12061416357755661,0.04008286073803902,-0.045051734894514084
;-83.1361083984375;-0.0000037050629089208087,1.0285272367127618e-7,-0.001665456802584231,-0.060072511434555054;6.171594346682241e-10,0.22226883471012115,0.1237606331706047,-0.5847190618515015;0.5404439568519592,-0.12062715739011765,0.04005416855216026,-0.04505397751927376
;-83.1437759399414;-0.000003728965339178103,9.922239030402125e-8,-0.001667647622525692,-0.05982368439435959;6.147861109084829e-10,0.22224286198616028,0.12304007261991501,-0.5841408967971802;0.5394829511642456,-0.1206401064991951,0.04002545773983002,-0.045056190341711044
;-83.15135192871094;-0.0000037527386211877456,9.576511672548804e-8,-0.0016698456602171063,-0.05957544222474098;6.124462603729341e-10,0.22221721708774567,0.12232602387666702,-0.5835806727409363;0.5385326147079468,-0.12065275758504868,0.03999757021665573,-0.04505838081240654
