voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-84.13053131103516;-0.000006765358648408437,1.7009183395089167e-8,-0.0023219245485961437,-0.01245104055851698;3.4284100558501507e-10,0.22365090250968933,0.030112817883491516,-0.49797511100769043;0.4021312892436981,-0.1225103959441185,0.03575733304023743,-0.04513448849320412
;-84.1327133178711;-0.000006769012088625459,1.6984003536890668e-8,-0.002323472872376442,-0.012396003119647503;3.4233788026583056e-10,0.22364358603954315,0.029966650530695915,-0.497541606426239;0.40181300044059753,-0.12251845002174377,0.035735584795475006,-0.04513510316610336
;-84.13489532470703;-0.000006772621418349445,1.695885032404476e-8,-0.0023250188678503036,-0.012341217137873173;3.4183506025797783e-10,0.22363628447055817,0.02982112392783165,-0.49712568521499634;0.401494562625885,-0.12252624332904816,0.03571467474102974,-0.04513571783900261
;-84.13706970214844;-0.000006776208010705886,1.693379303446818e-8,-0.0023265620693564415,-0.012286674231290817;3.4133429416272065e-10,0.22362904250621796,0.02967635728418827,-0.49670282006263733;0.4011770784854889,-0.12253414839506149,0.035693421959877014,-0.045136332511901855
;-84.13923645019531;-0.000006779758678021608,1.6908760613887353e-8,-0.0023281036410480738,-0.012232382781803608;3.408338888899465e-10,0.22362174093723297,0.029532229527831078,-0.49626708030700684;0.40085944533348083,-0.12254225462675095,0.03567153960466385,-0.0451369434595108
;-84.14140319824219;-0.000006783295248169452,1.6883822340219012e-8,-0.002329642651602626,-0.012178334407508373;3.403355652853435e-10,0.22361449897289276,0.029388858005404472,-0.4958426058292389;0.4005427658557892,-0.12255018204450607,0.035650189965963364,-0.04513755813241005
;-84.14356994628906;-0.000006786781341361348,1.6858910711903263e-8,-0.0023311793338507414,-0.012124529108405113;3.3983751923649663e-10,0.22360721230506897,0.029246119782328606,-0.49542880058288574;0.4002259373664856,-0.12255795300006866,0.035629358142614365,-0.045138169080019
;-84.1457290649414;-0.000006790220595576102,1.6834027505296945e-8,-0.0023327141534537077,-0.012070974335074425;3.393398340101328e-10,0.22359998524188995,0.029104012995958328,-0.49499794840812683;0.39990898966789246,-0.12256599217653275,0.03560768812894821,-0.045138780027627945
;-84.14788055419922;-0.000006793676220695488,1.6809300618092493e-8,-0.002334246877580881,-0.01201765239238739;3.388459790532039e-10,0.22359278798103333,0.028962764889001846,-0.4945811331272125;0.39959412813186646,-0.12257381528615952,0.03558669239282608,-0.045139387249946594
;-84.15003204345703;-0.000006797091828047996,1.6784602152597472e-8,-0.0023357782047241926,-0.01196457538753748;3.383524571631824e-10,0.22358554601669312,0.028822140768170357,-0.4941454529762268;0.39927908778190613,-0.12258191406726837,0.03556477651000023,-0.045139994472265244
