voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-83.97635650634766;-0.000006477906936197542,1.891795520236883e-8,-0.0021885004825890064,-0.017565706744790077;3.808517945458334e-10,0.22337815165519714,0.042029865086078644,-0.5200815796852112;0.42554524540901184,-0.12208143621683121,0.03685272857546806,-0.045124806463718414
;-83.9789047241211;-0.000006483628112619044,1.8887014618940157e-8,-0.002190213417634368,-0.017487645149230957;3.802348158554736e-10,0.2233695089817047,0.04182475432753563,-0.5196139812469482;0.4251846671104431,-0.12208998948335648,0.03682968392968178,-0.045125532895326614
;-83.98145294189453;-0.00000648930472380016,1.8856182393278687e-8,-0.0021919237915426493,-0.017409928143024445;3.7962011312231425e-10,0.22336094081401825,0.04162067919969559,-0.5191400647163391;0.4248250126838684,-0.12209863215684891,0.036806341260671616,-0.04512625187635422
;-83.98400115966797;-0.000006494917670352152,1.8825391023824523e-8,-0.002193631837144494,-0.017332570627331734;3.790053548780037e-10,0.22335240244865417,0.04141750559210777,-0.518673300743103;0.42446523904800415,-0.12210717797279358,0.03678331896662712,-0.04512697458267212
;-83.9865493774414;-0.000006500468316517072,1.8794640510577665e-8,-0.0021953366231173277,-0.017255567014217377;3.7839156807883967e-10,0.2233438789844513,0.04121522605419159,-0.5182079076766968;0.424105167388916,-0.12211571633815765,0.0367603525519371,-0.04512770101428032
;-83.98908233642578;-0.000006505987585114781,1.8763994802384332e-8,-0.0021970379166305065,-0.017178906127810478;3.7778011274802736e-10,0.22333528101444244,0.04101397842168808,-0.5177502036094666;0.42374610900878906,-0.12212413549423218,0.03673774003982544,-0.045128416270017624
;-83.99161529541016;-0.000006511466835945612,1.8733448570174005e-8,-0.0021987371146678925,-0.01710258238017559;3.7717043377405446e-10,0.22332683205604553,0.04081376641988754,-0.517272412776947;0.4233878254890442,-0.12213285267353058,0.03671417385339737,-0.04512913525104523
;-83.99414825439453;-0.000006516896519315196,1.8702944970527824e-8,-0.0022004335187375546,-0.017026610672473907;3.765617262452281e-10,0.22331830859184265,0.040614429861307144,-0.5168046951293945;0.42302945256233215,-0.12214142084121704,0.03669107332825661,-0.04512985423207283
;-83.99666595458984;-0.000006522287549159955,1.8672546175935167e-8,-0.002202126896008849,-0.016950974240899086;3.7595476731766553e-10,0.22330984473228455,0.04041610658168793,-0.5163562297821045;0.42267200350761414,-0.12214971333742142,0.03666887432336807,-0.045130569487810135
;-83.99918365478516;-0.000006527638106490485,1.8642253962752875e-8,-0.002203818643465638,-0.016875676810741425;3.7535066721439136e-10,0.22330135107040405,0.040218811482191086,-0.5159145593643188;0.422315388917923,-0.12215790897607803,0.03664699196815491,-0.04513128101825714
;-84.00169372558594;-0.000006532937732117716,1.861199905306421e-8,-0.0022055073641240597,-0.01680072396993637;3.7474645608881474e-10,0.22329288721084595,0.04002237319946289,-0.5154654383659363;0.4219586253166199,-0.1221662163734436,0.03662474453449249,-0.04513199254870415
;-84.00419616699219;-0.000006538226443808526,1.8581914673632127e-8,-0.002207194222137332,-0.016726093366742134;3.7414693565551715e-10,0.2232844978570938,0.03982708230614662,-0.5150138139724731;0.421603798866272,-0.12217455357313156,0.03660237416625023,-0.045132704079151154
;-84.00669860839844;-0.000006543465133290738,1.855186937405051e-8,-0.0022088787518441677,-0.016651807352900505;3.735473041999171e-10,0.22327609360218048,0.0396326519548893,-0.5145483613014221;0.4212488532066345,-0.12218311429023743,0.03657933697104454,-0.04513341188430786
;-84.00920104980469;-0.000006548624696733896,1.8521861377962523e-8,-0.0022105600219219923,-0.016577860340476036;3.72948616433888e-10,0.22326773405075073,0.03943907096982002,-0.5140892863273621;0.42089375853538513,-0.12219156324863434,0.036556605249643326,-0.04513411968946457
;-84.0116958618164;-0.000006553738785441965,1.8491890685368162e-8,-0.002212237799540162,-0.016504252329468727;3.7234987315670764e-10,0.2232593297958374,0.03924635052680969,-0.513633668422699;0.4205385148525238,-0.12219998240470886,0.036534011363983154,-0.04513482749462128
;-84.0141830444336;-0.000006558841050718911,1.8462088746673544e-8,-0.0022139132488518953,-0.016430959105491638;3.717557650606551e-10,0.22325098514556885,0.0390547513961792,-0.5131694078445435;0.4201851189136505,-0.12220852077007294,0.03651100769639015,-0.045135531574487686
;-84.01667022705078;-0.000006563895567524014,1.8432324111472553e-8,-0.002215586369857192,-0.01635800488293171;3.711615459423001e-10,0.2232426255941391,0.03886399790644646,-0.512721598148346;0.41983163356781006,-0.12221682071685791,0.03648877888917923,-0.045136239379644394
;-84.0191421508789;-0.000006568915068783099,1.8402667834038766e-8,-0.0022172576282173395,-0.016285374760627747;3.7057010238150667e-10,0.22323431074619293,0.03867422044277191,-0.5122712850570679;0.4194790720939636,-0.12222515791654587,0.03646642342209816,-0.045136939734220505
;-84.02161407470703;-0.000006573910013685236,1.8373112808944825e-8,-0.0022189265582710505,-0.0162130706012249;3.6998043517755264e-10,0.22322602570056915,0.03848541900515556,-0.5118213891983032;0.41912737488746643,-0.12223349511623383,0.03644407540559769,-0.045137640088796616
;-84.02408599853516;-0.000006578843112947652,1.8343591534630832e-8,-0.002220593160018325,-0.016141090542078018;3.6939121206280845e-10,0.22321772575378418,0.03829744830727577,-0.5113736391067505;0.4187755584716797,-0.1222418025135994,0.036421820521354675,-0.045138344168663025
;-84.02654266357422;-0.000006583742106158752,1.8314178618084043e-8,-0.0022222562693059444,-0.0160694383084774;3.688047089944746e-10,0.2232094556093216,0.03811044618487358,-0.5109326243400574;0.4184246361255646,-0.1222500130534172,0.03639988601207733,-0.04513903707265854
;-84.02899932861328;-0.000006588620635739062,1.8284870506590778e-8,-0.0022239184472709894,-0.015998098999261856;3.682199545274045e-10,0.2232012152671814,0.037924397736787796,-0.5104898810386658;0.4180746376514435,-0.1222582459449768,0.036377858370542526,-0.04513973370194435
;-84.03145599365234;-0.00000659344186715316,1.8255594369520622e-8,-0.002225578064098954,-0.015927091240882874;3.676356719051199e-10,0.2231929898262024,0.037739165127277374,-0.510044515132904;0.41772446036338806,-0.12226652354001999,0.036355696618556976,-0.045140426605939865
;-84.03390502929688;-0.0000065981989791907836,1.8226355535944094e-8,-0.0022272346541285515,-0.015856405720114708;3.6705177786089394e-10,0.2231847494840622,0.03755476325750351,-0.509604811668396;0.4173740744590759,-0.1222747191786766,0.03633379563689232,-0.045141126960515976
;-84.03634643554688;-0.0000066029656409227755,1.819728545626731e-8,-0.002228888450190425,-0.015786027535796165;3.664724079754933e-10,0.22317656874656677,0.0373714417219162,-0.5091720819473267;0.41702568531036377,-0.12228281050920486,0.03631221503019333,-0.04514181613922119
;-84.03878784179688;-0.000006607670002267696,1.816825268008415e-8,-0.0022305406164377928,-0.01571597158908844;3.6589301033451704e-10,0.22316838800907135,0.03718893229961395,-0.5087260007858276;0.41667720675468445,-0.12229110300540924,0.0362899973988533,-0.04514250531792641
;-84.04121398925781;-0.000006612343440792756,1.813932293259768e-8,-0.0022321902215480804,-0.015646228566765785;3.6531586089516566e-10,0.22316022217273712,0.03700734302401543,-0.5082709789276123;0.41632959246635437,-0.12229952961206436,0.036267343908548355,-0.04514319822192192
;-84.04364013671875;-0.000006616999598918483,1.8110496213807892e-8,-0.0022338374983519316,-0.015576796606183052;3.647409319018635e-10,0.22315208613872528,0.03682669624686241,-0.5078300833702087;0.4159828722476959,-0.12230774015188217,0.03624536097049713,-0.04514388367533684
;-84.04606628417969;-0.0000066215902734256815,1.8081705022154893e-8,-0.00223548267967999,-0.015507681295275688;3.641663637310444e-10,0.22314393520355225,0.03664684295654297,-0.5073933005332947;0.41563600301742554,-0.1223159059882164,0.03622356057167053,-0.045144569128751755
;-84.0484848022461;-0.000006626146387134213,1.8052947581281842e-8,-0.002237125067040324,-0.015438883565366268;3.635922396494351e-10,0.2231358289718628,0.0364677868783474,-0.506953775882721;0.4152890145778656,-0.12232411652803421,0.03620162233710289,-0.04514525458216667
;-84.05089569091797;-0.00000663068976791692,1.8024360670665374e-8,-0.002238765126094222,-0.015370381996035576;3.630221401262901e-10,0.22312770783901215,0.03628978133201599,-0.5065321922302246;0.41494396328926086,-0.12233205139636993,0.036180537194013596,-0.04514593631029129
;-84.05329895019531;-0.000006635179033764871,1.7995807510828854e-8,-0.0022404026240110397,-0.015302193351089954;3.624524846923549e-10,0.22311964631080627,0.03611256182193756,-0.5060915946960449;0.4145987331867218,-0.12234026938676834,0.03615853190422058,-0.04514662176370621
;-84.05569458007812;-0.00000663967239233898,1.7967424881248917e-8,-0.002242039190605283,-0.015234299004077911;3.618868260613084e-10,0.22311162948608398,0.0359363928437233,-0.505657970905304;0.4142555892467499,-0.12234839051961899,0.03613686189055443,-0.04514729976654053
;-84.05809020996094;-0.0000066441243689041585,1.7939077778805768e-8,-0.0022436741273850203,-0.01516671571880579;3.613215837638961e-10,0.22310364246368408,0.035760995000600815,-0.5052325129508972;0.41391223669052124,-0.12235638499259949,0.03611556813120842,-0.04514797776937485
;-84.06048583984375;-0.000006648509497608757,1.7910767979856246e-8,-0.0022453060373663902,-0.01509944349527359;3.6075673004454245e-10,0.2230955809354782,0.035586368292570114,-0.5048021674156189;0.41356873512268066,-0.12236446142196655,0.03609403595328331,-0.04514865204691887
;-84.0628662109375;-0.000006652875072177267,1.788255943324657e-8,-0.0022469349205493927,-0.015032467432320118;3.6019409677123804e-10,0.2230875939130783,0.03541265055537224,-0.5043599605560303;0.4132261574268341,-0.12237271666526794,0.03607192635536194,-0.04514933004975319
;-84.06524658203125;-0.000006657211997662671,1.78544503626199e-8,-0.0022485624067485332,-0.014965794049203396;3.5963365618840726e-10,0.2230796068906784,0.035239823162555695,-0.503922700881958;0.4128844738006592,-0.12238088995218277,0.03605004400014877,-0.04515000432729721
;-84.067626953125;-0.00000666150526740239,1.782637681913002e-8,-0.0022501873318105936,-0.014899421483278275;3.590736041836351e-10,0.2230716496706009,0.035067763179540634,-0.503503680229187;0.4125427007675171,-0.1223888024687767,0.03602902963757515,-0.045150674879550934
;-84.06999206542969;-0.000006665771252301056,1.7798402751623144e-8,-0.0022518099285662174,-0.014833345077931881;3.5851574486933657e-10,0.22306370735168457,0.03489658981561661,-0.5030693411827087;0.41220179200172424,-0.12239694595336914,0.03600728139281273,-0.045151349157094955
;-84.07235717773438;-0.000006670008588116616,1.7770531712812954e-8,-0.0022534311283379793,-0.014767564833164215;3.579601060010873e-10,0.22305577993392944,0.034726306796073914,-0.5026448965072632;0.4118618071079254,-0.12240494042634964,0.03598598763346672,-0.04515201598405838
;-84.07472229003906;-0.000006674202722933842,1.7742692648425873e-8,-0.0022550495341420174,-0.014702083542943;3.57404827955321e-10,0.22304785251617432,0.03455677255988121,-0.502210795879364;0.41152170300483704,-0.12241307646036148,0.035964235663414,-0.045152682811021805
;-84.07707977294922;-0.000006678330919385189,1.771489088753242e-8,-0.002256665611639619,-0.014636905863881111;3.5684988297646214e-10,0.22303995490074158,0.0343879833817482,-0.5017740726470947;0.41118136048316956,-0.1224212646484375,0.03594234213232994,-0.04515335336327553
;-84.07943725585938;-0.000006682458661089186,1.7687186826265133e-8,-0.0022582788951694965,-0.014572016894817352;3.5629671435444266e-10,0.22303205728530884,0.034220073372125626,-0.5013415813446045;0.41084200143814087,-0.12242938578128815,0.0359206460416317,-0.04515402019023895
;-84.081787109375;-0.000006686543201794848,1.7659582240980853e-8,-0.0022598893847316504,-0.014507411979138851;3.5574618251210666e-10,0.2230241745710373,0.034053023904561996,-0.5009116530418396;0.4105035066604614,-0.1224374771118164,0.03589906543493271,-0.04515468329191208
;-84.08413696289062;-0.000006690590907965088,1.763201318283336e-8,-0.0022614977788180113,-0.0144431097432971;3.551960670034049e-10,0.22301632165908813,0.03388671576976776,-0.5004909634590149;0.4101649522781372,-0.12244542688131332,0.03587792441248894,-0.045155346393585205
;-84.08647918701172;-0.000006694584953947924,1.760447432275214e-8,-0.002263103611767292,-0.014379101805388927;3.546462845616105e-10,0.22300846874713898,0.03372114524245262,-0.5000579357147217;0.4098261892795563,-0.12245356291532516,0.03585617244243622,-0.04515601322054863
;-84.08881378173828;-0.000006698574452457251,1.757710421657066e-8,-0.00226470734924078,-0.014315372332930565;3.541000270779193e-10,0.22300061583518982,0.033556558191776276,-0.49963560700416565;0.4094894528388977,-0.12246154248714447,0.035834938287734985,-0.04515667259693146
