voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-84.1348648071289;-0.000006772879714844748,1.6952371950651468e-8,-0.0023266321513801813,-0.01229919120669365;3.4171343532563014e-10,0.22370854020118713,0.029769839718937874,-0.4974392354488373;0.4013909101486206,-0.12252099812030792,0.03573150187730789,-0.04513261094689369
;-84.13703155517578;-0.000006776501322747208,1.6927405255273698e-8,-0.0023281758185476065,-0.012244834564626217;3.412145010983636e-10,0.22370125353336334,0.02962541952729225,-0.497018039226532;0.40107449889183044,-0.12252886593341827,0.03571034222841263,-0.04513322189450264
;-84.13919830322266;-0.0000067800729084410705,1.690246342889168e-8,-0.0023297176230698824,-0.012190727517008781;3.407158721824288e-10,0.22369401156902313,0.029481640085577965,-0.4966064691543579;0.40075796842575073,-0.12253659963607788,0.035689640790224075,-0.04513383284211159
;-84.14134979248047;-0.000006783629032725003,1.687761397306531e-8,-0.002331256866455078,-0.012136862613260746;3.4021938044581645e-10,0.22368676960468292,0.029338613152503967,-0.4961758852005005;0.40044236183166504,-0.12254460155963898,0.035668011754751205,-0.045134443789720535
;-84.14350891113281;-0.000006787151505704969,1.6852794715305208e-8,-0.002332794712856412,-0.012083246372640133;3.3972316626496024e-10,0.2236795276403427,0.02919621579349041,-0.4957350492477417;0.400126576423645,-0.1225527748465538,0.03564587980508804,-0.04513505473732948
;-84.14566040039062;-0.000006790648058085935,1.6828064275387078e-8,-0.0023343292996287346,-0.012029867619276047;3.3922861741864097e-10,0.2236723154783249,0.029054565355181694,-0.4953135550022125;0.3998117744922638,-0.12256065011024475,0.0356246754527092,-0.04513566195964813
;-84.14781188964844;-0.00000679410277371062,1.6803364033535217e-8,-0.002335862023755908,-0.011976734735071659;3.3873473470613646e-10,0.22366516292095184,0.02891354076564312,-0.4948863089084625;0.3994968831539154,-0.12256862968206406,0.035603176802396774,-0.04513626918196678
;-84.14996337890625;-0.000006797510195610812,1.6778690437035948e-8,-0.0023373926524072886,-0.011923843063414097;3.382412683272662e-10,0.22365793585777283,0.028773140162229538,-0.4944736957550049;0.3991818130016327,-0.12257638573646545,0.03558238968253136,-0.04513687267899513
;-84.152099609375;-0.000006800914434279548,1.6754107434735488e-8,-0.0023389204870909452,-0.011871187016367912;3.377498558609915e-10,0.2236507534980774,0.028633475303649902,-0.494064599275589;0.398867666721344,-0.12258409708738327,0.03556176275014877,-0.04513747990131378
;-84.15423583984375;-0.000006804299118812196,1.6729616802990677e-8,-0.0023404466919600964,-0.01181876752525568;3.3726049730731233e-10,0.22364354133605957,0.028494540601968765,-0.4936424195766449;0.39855456352233887,-0.12259198725223541,0.03554049879312515,-0.04513808712363243
;-84.1563720703125;-0.000006807636964367703,1.6705152816598456e-8,-0.0023419708013534546,-0.01176658645272255;3.3677147182054057e-10,0.22363635897636414,0.028356218710541725,-0.49323052167892456;0.3982413113117218,-0.12259974330663681,0.035519711673259735,-0.04513868689537048
;-84.15849304199219;-0.000006810968898207648,1.6680782977118724e-8,-0.0023434930481016636,-0.011714640073478222;3.362840284015789e-10,0.22362922132015228,0.028218625113368034,-0.4928227365016937;0.39792898297309875,-0.12260742485523224,0.03549912944436073,-0.045139290392398834
;-84.16061401367188;-0.0000068142940108373296,1.6656503731837802e-8,-0.0023450145963579416,-0.011662924662232399;3.3579911073999824e-10,0.22362211346626282,0.028081750497221947,-0.4924226701259613;0.3976176679134369,-0.12261499464511871,0.03547891229391098,-0.04513988643884659
;-84.16273498535156;-0.000006817565463279607,1.663225113190947e-8,-0.002346533816307783,-0.01161144208163023;3.3531449838974936e-10,0.22361497581005096,0.02794548124074936,-0.4920227527618408;0.3973061740398407,-0.12262256443500519,0.03545869514346123,-0.04514048993587494
;-84.16484069824219;-0.000006820828275522217,1.6608090902536787e-8,-0.0023480509407818317,-0.011560188606381416;3.348319121965204e-10,0.2236078530550003,0.027809925377368927,-0.49161121249198914;0.3969956636428833,-0.12263032048940659,0.03543790802359581,-0.04514108598232269
;-84.16694641113281;-0.000006824073352618143,1.6584021267362914e-8,-0.0023495664354413748,-0.011509167961776257;3.343509635822528e-10,0.22360077500343323,0.027675073593854904,-0.4911949038505554;0.3966861367225647,-0.12263814359903336,0.03541688621044159,-0.04514168202877045
;-84.16905212402344;-0.0000068272875068942085,1.655998183025531e-8,-0.0023510800674557686,-0.0114583820104599;3.338707921241024e-10,0.22359366714954376,0.027540823444724083,-0.4907792806625366;0.39637646079063416,-0.12264595180749893,0.03539588674902916,-0.0451422780752182
;-84.17115783691406;-0.000006830445272498764,1.653596726214346e-8,-0.002352591836825013,-0.011407826095819473;3.333908982217082e-10,0.22358661890029907,0.027407167479395866,-0.49036791920661926;0.39606666564941406,-0.12265370786190033,0.03537508845329285,-0.045142874121665955
;-84.17324829101562;-0.000006833601219113916,1.6512045064587255e-8,-0.0023541005793958902,-0.011357495561242104;3.3291255863154845e-10,0.22357957065105438,0.02727421186864376,-0.4899531900882721;0.39575785398483276,-0.12266150861978531,0.035354118794202805,-0.04514346644282341
;-84.17533874511719;-0.000006836748980276752,1.648821346122986e-8,-0.002355608157813549,-0.01130739040672779;3.324367447987697e-10,0.22357258200645447,0.027141954749822617,-0.48952654004096985;0.3954499363899231,-0.12266950309276581,0.035332560539245605,-0.04514405503869057
;-84.17742919921875;-0.000006839846719230991,1.646440850322506e-8,-0.002357114339247346,-0.011257518082857132;3.319607921881129e-10,0.22356556355953217,0.02701028250157833,-0.48912665247917175;0.39514195919036865,-0.12267708033323288,0.03531229496002197,-0.04514464735984802
;-84.17951965332031;-0.000006842908533144509,1.6440631966929686e-8,-0.002358617726713419,-0.01120787113904953;3.314855612224221e-10,0.22355851531028748,0.026879193261265755,-0.48871666193008423;0.3948337733745575,-0.12268482148647308,0.03529154509305954,-0.04514523968100548
;-84.18161010742188;-0.0000068459321482805535,1.6416880299630066e-8,-0.002360118553042412,-0.01115845050662756;3.3101019147885324e-10,0.22355148196220398,0.026748690754175186,-0.4883039891719818;0.3945254981517792,-0.12269260734319687,0.03527063876390457,-0.045145828276872635
;-84.18368530273438;-0.000006848940756754018,1.6393217450172415e-8,-0.002361616585403681,-0.011109252460300922;3.3053729198151416e-10,0.22354447841644287,0.026618873700499535,-0.48788419365882874;0.39421823620796204,-0.1227005124092102,0.03524938225746155,-0.04514641687273979
;-84.18576049804688;-0.000006851930265838746,1.6369646971270413e-8,-0.002363113220781088,-0.011060275137424469;3.30066418641195e-10,0.22353750467300415,0.026489736512303352,-0.4874771237373352;0.3939118981361389,-0.12270821630954742,0.03522874042391777,-0.04514700546860695
;-84.18783569335938;-0.000006854891580587719,1.6346101361364163e-8,-0.0023646079935133457,-0.011011521331965923;3.295954342785734e-10,0.22353056073188782,0.026361173018813133,-0.4870718717575073;0.39360541105270386,-0.12271589785814285,0.03520818054676056,-0.04514759033918381
;-84.18991088867188;-0.000006857808330096304,1.6322580620453664e-8,-0.0023661002051085234,-0.010962989181280136;3.2912508829419096e-10,0.2235235869884491,0.026233183220028877,-0.48666083812713623;0.39329883456230164,-0.12272366881370544,0.03518732264637947,-0.045148178935050964
;-84.19197845458984;-0.0000068606755121436436,1.6299082972182077e-8,-0.002367589622735977,-0.010914678685367107;3.286546867986573e-10,0.22351661324501038,0.026105761528015137,-0.486264705657959;0.3929920494556427,-0.12273121625185013,0.03516720235347748,-0.04514876380562782
;-84.19403839111328;-0.0000068635758907475974,1.627573986695552e-8,-0.002369077643379569,-0.010866579599678516;3.2818844863946595e-10,0.22350966930389404,0.025979112833738327,-0.48586952686309814;0.39268743991851807,-0.12273874878883362,0.035147108137607574,-0.04514934867620468
;-84.19609832763672;-0.000006866433523100568,1.625242163072471e-8,-0.0023705638013780117,-0.01081869937479496;3.2772207170239653e-10,0.2235027700662613,0.025853024795651436,-0.48547494411468506;0.3923826515674591,-0.12274626642465591,0.03512704744935036,-0.04514992609620094
