voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-83.83206939697266;-0.0000056293729358003475,2.0933047295557117e-8,-0.0020093144848942757,-0.026567203924059868;4.1980688370024666e-10,0.22191789746284485,0.06012976914644241,-0.5365734100341797;0.4481414556503296,-0.12175767123699188,0.037637218832969666,-0.04516758397221565
;-83.83504486083984;-0.0000056398425840598065,2.089254813597563e-8,-0.0020112774800509214,-0.026448633521795273;4.1905384717821903e-10,0.22190792858600616,0.059833940118551254,-0.536096453666687;0.44773298501968384,-0.12176647037267685,0.037613917142152786,-0.0451684333384037
;-83.8380126953125;-0.0000056502362895116676,2.0852306548135857e-8,-0.0020132374484091997,-0.02633058838546276;4.1830394703623597e-10,0.22189798951148987,0.05953960493206978,-0.5356107950210571;0.44732531905174255,-0.12177539616823196,0.03759021311998367,-0.045169275254011154
;-83.84097290039062;-0.000005660589977196651,2.0812395362668212e-8,-0.002015194855630398,-0.026213044300675392;4.175579881859903e-10,0.22188815474510193,0.05924692749977112,-0.5351060032844543;0.44691964983940125,-0.12178457528352737,0.037565603852272034,-0.04517011344432831
;-83.84393310546875;-0.00000567082906854921,2.0772660036527668e-8,-0.0020171492360532284,-0.02609604224562645;4.1681325058107177e-10,0.2218783050775528,0.05895552039146423,-0.534618079662323;0.44651371240615845,-0.12179353833198547,0.03754177689552307,-0.04517095535993576
;-83.84687805175781;-0.000005680986760125961,2.0733164518560443e-8,-0.002019099658355117,-0.025979559868574142;4.1607109424468547e-10,0.22186845541000366,0.058665573596954346,-0.5341368317604065;0.44610852003097534,-0.12180239707231522,0.03751824423670769,-0.045171793550252914
;-83.84982299804688;-0.000005691087608283851,2.0693907032409697e-8,-0.002021046821027994,-0.025863591581583023;4.153309640653191e-10,0.2218586504459381,0.05837707966566086,-0.5336501598358154;0.44570422172546387,-0.12181133031845093,0.03749445080757141,-0.04517262801527977
;-83.85275268554688;-0.000005701101144950371,2.0654880472648074e-8,-0.0020229907240718603,-0.02574814110994339;4.1459335964333377e-10,0.22184884548187256,0.058090027421712875,-0.5331592559814453;0.44530078768730164,-0.12182033807039261,0.037470459938049316,-0.04517345875501633
;-83.85568237304688;-0.000005711040103051346,2.0616075957491375e-8,-0.002024930901825428,-0.025633197277784348;4.138588638458174e-10,0.22183911502361298,0.0578044168651104,-0.5326724052429199;0.44489815831184387,-0.12182927876710892,0.03744664043188095,-0.04517429322004318
;-83.85860443115234;-0.00000572087628825102,2.0577424209022865e-8,-0.002026868052780628,-0.025518784299492836;4.1312447907060346e-10,0.22182932496070862,0.05752004310488701,-0.5321839451789856;0.4444953501224518,-0.12183824181556702,0.03742274269461632,-0.04517512395977974
