voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-83.99527740478516;-0.000005508593403646955,1.8838035131807374e-8,-0.0020171585492789745,-0.02448936179280281;3.7870584446153543e-10,0.22007571160793304,0.05209643766283989,-0.5071945190429688;0.42479121685028076,-0.12230506539344788,0.03616100177168846,-0.04527021199464798
;-83.99797821044922;-0.000005517735189641826,1.880446021118587e-8,-0.0020190742798149586,-0.024379665032029152;3.780560031696467e-10,0.22006678581237793,0.05183831602334976,-0.5067333579063416;0.4244097173213959,-0.12231381237506866,0.03613788262009621,-0.04527097940444946
;-84.00067901611328;-0.00000552678648091387,1.8770979437476853e-8,-0.0020209874492138624,-0.02427048236131668;3.774066614781191e-10,0.22005780041217804,0.05158132687211037,-0.5062915682792664;0.424028217792511,-0.12232227623462677,0.036115679889917374,-0.04527174308896065
;-84.00336456298828;-0.0000055357722885673866,1.8737653206812865e-8,-0.002022896660491824,-0.02416178584098816;3.7676017861087985e-10,0.22004887461662292,0.05132565647363663,-0.5058495998382568;0.423647403717041,-0.12233074009418488,0.036093465983867645,-0.04527251049876213
;-84.00605010986328;-0.0000055447167142119724,1.8704488624621263e-8,-0.0020248035434633493,-0.02405356615781784;3.7611555536720687e-10,0.2200399786233902,0.05107130482792854,-0.5054076910018921;0.4232676029205322,-0.12233920395374298,0.036071233451366425,-0.04527327045798302
;-84.00872039794922;-0.000005553581559070153,1.867147680911785e-8,-0.0020267071668058634,-0.023945830762386322;3.754732635918856e-10,0.22003112733364105,0.050818249583244324,-0.5049655437469482;0.4228886365890503,-0.12234766781330109,0.036048997193574905,-0.045274026691913605
;-84.01139068603516;-0.000005562405021919403,1.8638619536659462e-8,-0.0020286082290112972,-0.023838581517338753;3.7483383064085274e-10,0.2200222611427307,0.05056649446487427,-0.5045233964920044;0.4225105345249176,-0.12235613167285919,0.03602674975991249,-0.04527479037642479
;-84.01404571533203;-0.000005571152087213704,1.8605909701818746e-8,-0.0020305057987570763,-0.023731810972094536;3.7419625731338613e-10,0.22001346945762634,0.05031603202223778,-0.504081130027771;0.42213332653045654,-0.1223646029829979,0.03600448742508888,-0.04527554288506508
;-84.0167007446289;-0.0000055798591347411275,1.8573354410023057e-8,-0.0020324010401964188,-0.02362551912665367;3.7356101545427123e-10,0.22000464797019958,0.05006685107946396,-0.5036386847496033;0.4217569828033447,-0.122373066842556,0.03598221763968468,-0.04527629539370537
;-84.01934814453125;-0.000005588469321082812,1.8540868396144106e-8,-0.002034293720498681,-0.023519713431596756;3.729262176843662e-10,0.2199958711862564,0.04981876164674759,-0.5031962990760803;0.4213804304599762,-0.1223815530538559,0.03595993295311928,-0.04527704417705536
;-84.02198791503906;-0.000005597063136519864,1.85086008741564e-8,-0.0020361829083412886,-0.02341436967253685;3.722956387619547e-10,0.21998710930347443,0.049572139978408813,-0.5027537941932678;0.4210059642791748,-0.1223900243639946,0.03593763709068298,-0.04527779296040535
;-84.02462768554688;-0.0000056055614550132304,1.847640795915595e-8,-0.0020380693022161722,-0.023309512063860893;3.716655039287531e-10,0.21997839212417603,0.04932660236954689,-0.5023111701011658;0.4206312298774719,-0.1223985105752945,0.03591533377766609,-0.04527854546904564
;-84.02725982666016;-0.0000056139883781725075,1.8444286098429075e-8,-0.0020399524364620447,-0.02320513315498829;3.7103586869591254e-10,0.21996964514255524,0.04908215254545212,-0.501868486404419;0.42025628685951233,-0.1224069893360138,0.03589301183819771,-0.04527929425239563
;-84.0298843383789;-0.000005622388471238082,1.841237384780925e-8,-0.0020418325439095497,-0.023101208731532097;3.7041039679941434e-10,0.21996092796325684,0.04883913695812225,-0.5014258027076721;0.41988325119018555,-0.12241547554731369,0.03587068244814873,-0.045280035585165024
;-84.03250885009766;-0.000005630696705338778,1.8380523769678803e-8,-0.0020437089260667562,-0.02299775928258896;3.697858963480627e-10,0.21995222568511963,0.04859720170497894,-0.5009828805923462;0.4195101261138916,-0.12242395430803299,0.03584834560751915,-0.045280780643224716
;-84.03511810302734;-0.000005638954917230876,1.834881224738183e-8,-0.002045582514256239,-0.022894766181707382;3.6916322776470167e-10,0.2199435979127884,0.04835650324821472,-0.5005398988723755;0.4191378355026245,-0.12243244796991348,0.03582599386572838,-0.04528151825070381
;-84.03772735595703;-0.00000564716492590378,1.831723395184781e-8,-0.002047453774139285,-0.022792231291532516;3.6854230778260444e-10,0.21993491053581238,0.04811704531311989,-0.5000969767570496;0.41876646876335144,-0.12244093418121338,0.03580362722277641,-0.045282259583473206
;-84.04033660888672;-0.0000056552994465164375,1.828572315787369e-8,-0.0020493213087320328,-0.022690176963806152;3.67922414756805e-10,0.21992632746696472,0.04787864536046982,-0.4996539056301117;0.4183948040008545,-0.12244943529367447,0.03578125685453415,-0.0452830009162426
;-84.04293823242188;-0.000005663350293616531,1.825427098367527e-8,-0.0020511848852038383,-0.022588584572076797;3.673029658202154e-10,0.2199176400899887,0.047641314566135406,-0.49921077489852905;0.4180230498313904,-0.12245794385671616,0.03575887158513069,-0.04528374224901199
;-84.0455322265625;-0.000005671377039107028,1.822301776144286e-8,-0.0020530465990304947,-0.02248743735253811;3.666876524643925e-10,0.21990904211997986,0.04740538448095322,-0.49876758456230164;0.41765323281288147,-0.12246644496917725,0.03573647141456604,-0.04528447613120079
;-84.04812622070312;-0.0000056793151088641025,1.8191826711699832e-8,-0.0020549045875668526,-0.022386755794286728;3.660728109533551e-10,0.219900444149971,0.0471704825758934,-0.4983243942260742;0.417283296585083,-0.12247495353221893,0.03571406379342079,-0.04528521001338959
;-84.05072021484375;-0.000005687190423486754,1.8160690729018825e-8,-0.0020567586179822683,-0.022286536172032356;3.654583857759519e-10,0.21989189088344574,0.046936631202697754,-0.49788105487823486;0.41691306233406067,-0.12248346209526062,0.03569164499640465,-0.045285943895578384
;-84.05330657958984;-0.000005694986157323001,1.8129613366113517e-8,-0.0020586091559380293,-0.022186778485774994;3.6484448795448543e-10,0.21988332271575928,0.04670381918549538,-0.4974376857280731;0.416542649269104,-0.1224919855594635,0.03566921129822731,-0.04528667777776718
;-84.0558853149414;-0.0000057027573348023,1.8098726073390026e-8,-0.002060456434264779,-0.022087445482611656;3.642346146914832e-10,0.219874769449234,0.04647238552570343,-0.4969941973686218;0.41617435216903687,-0.12250050157308578,0.035646770149469376,-0.04528740793466568
;-84.05846405029297;-0.000005710457116947509,1.8067895624085395e-8,-0.0020623013842850924,-0.02198856696486473;3.636252687844177e-10,0.21986623108386993,0.04624197632074356,-0.4965507388114929;0.41580575704574585,-0.12250901758670807,0.03562431409955025,-0.04528813809156418
;-84.06104278564453;-0.0000057180786825483665,1.8037118465485946e-8,-0.00206414214335382,-0.021890146657824516;3.6301586736620095e-10,0.21985767781734467,0.04601259157061577,-0.49610719084739685;0.4154369831085205,-0.12251754850149155,0.03560184687376022,-0.04528886824846268
;-84.06361389160156;-0.0000057256247600889765,1.800639282123484e-8,-0.002065979642793536,-0.021792177110910416;3.6240743739313075e-10,0.21984916925430298,0.045784223824739456,-0.4956636428833008;0.41506797075271606,-0.12252608686685562,0.0355793721973896,-0.045289598405361176
;-84.06617736816406;-0.000005733149464504095,1.797585369445187e-8,-0.0020678136497735977,-0.021694637835025787;3.6180305973410043e-10,0.21984070539474487,0.045557212084531784,-0.495219886302948;0.414700984954834,-0.1225346177816391,0.03555688261985779,-0.045290328562259674
;-84.06874084472656;-0.000005740601864090422,1.7945366082017244e-8,-0.0020696448627859354,-0.02159753441810608;3.611991539198556e-10,0.21983221173286438,0.045331209897994995,-0.49477604031562805;0.41433385014533997,-0.12254315614700317,0.03553438186645508,-0.045291054993867874
;-84.07130432128906;-0.000005747979685111204,1.7914926431217282e-8,-0.0020714723505079746,-0.021500885486602783;3.605957199503962e-10,0.21982373297214508,0.04510620981454849,-0.49433228373527527;0.41396647691726685,-0.12255170196294785,0.03551186993718147,-0.045291781425476074
;-84.07386779785156;-0.0000057552842918084934,1.7884536518408822e-8,-0.0020732958801090717,-0.021404679864645004;3.5999223046978557e-10,0.2198152244091034,0.044882215559482574,-0.4938884973526001;0.4135989546775818,-0.12256024777889252,0.03548935055732727,-0.045292507857084274
;-84.07643127441406;-0.000005762527962360764,1.7854192790878187e-8,-0.0020751154515892267,-0.021308917552232742;3.5938965692317026e-10,0.2198067307472229,0.044659215956926346,-0.49344462156295776;0.41323113441467285,-0.12256880849599838,0.035466812551021576,-0.045293234288692474
;-84.0789794921875;-0.000005769707513536559,1.7823960973828434e-8,-0.0020769317634403706,-0.021213583648204803;3.5878935933375544e-10,0.2197982668876648,0.04443737491965294,-0.4930006265640259;0.4128643274307251,-0.12257736176252365,0.035444267094135284,-0.04529395326972008
;-84.08152770996094;-0.000005776850684924284,1.7793842843616403e-8,-0.0020787445828318596,-0.02111867628991604;3.5819086585675564e-10,0.21978984773159027,0.044216688722372055,-0.4925565719604492;0.4124983549118042,-0.12258592993021011,0.0354217104613781,-0.04529467597603798
