voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-83.28311920166016;-0.0000037410050026664976,7.107264821115677e-8,-0.0016971025615930557,-0.05612623691558838;5.720274254272795e-10,0.22205723822116852,0.1144796758890152,-0.5827216506004333;0.52154541015625,-0.12075605243444443,0.039912112057209015,-0.04508405551314354
;-83.28955078125;-0.0000037642669212800683,6.890132908665692e-8,-0.0016993697499856353,-0.05588803067803383;5.701156768900262e-10,0.22203539311885834,0.11383786797523499,-0.5821496844291687;0.5207256078720093,-0.12076807022094727,0.03988415002822876,-0.04508591443300247
;-83.29591369628906;-0.000003787437890423462,6.683290365572248e-8,-0.001701641594991088,-0.055650461465120316;5.682316284172373e-10,0.2220139354467392,0.11320192366838455,-0.5815767645835876;0.5199158191680908,-0.12078003585338593,0.03985616937279701,-0.04508774355053902
;-83.30220031738281;-0.0000038104822124296334,6.486204284783526e-8,-0.0017039173981174827,-0.05541360750794411;5.663713387171754e-10,0.22199265658855438,0.11257120221853256,-0.5810222625732422;0.519114077091217,-0.1207917258143425,0.03982901945710182,-0.04508955776691437
;-83.30841064453125;-0.000003833413757092785,6.29842134003411e-8,-0.0017061979742720723,-0.05517740175127983;5.645370282358897e-10,0.22197169065475464,0.11194603145122528,-0.5804669857025146;0.5183213949203491,-0.12080337107181549,0.03980185464024544,-0.04509134963154793
;-83.31454467773438;-0.0000038562466215807945,6.119491757772266e-8,-0.0017084820428863168,-0.05494187772274017;5.627276977726581e-10,0.2219509333372116,0.11132634431123734,-0.5799108743667603;0.5175380110740662,-0.12081499397754669,0.03977466747164726,-0.0450931154191494
;-83.32061767578125;-0.000003878965344483731,5.9489725146022465e-8,-0.0017107698367908597,-0.05470706894993782;5.609419040375485e-10,0.22193045914173126,0.11071181297302246,-0.5793540477752686;0.5167627334594727,-0.12082656472921371,0.039747465401887894,-0.04509486258029938
;-83.32661437988281;-0.000003901569471054245,5.786457890621932e-8,-0.001713060773909092,-0.054472967982292175;5.591793694748048e-10,0.22191017866134644,0.11010242253541946,-0.5787965655326843;0.5159955620765686,-0.12083812057971954,0.03972024470567703,-0.045096591114997864
;-83.33255004882812;-0.000003924063548765844,5.6315617058544376e-8,-0.0017153550870716572,-0.05423958972096443;5.574393724394611e-10,0.2218901515007019,0.10949816554784775,-0.5782382488250732;0.5152366161346436,-0.12084963917732239,0.03969300538301468,-0.04509830102324486
;-83.33842468261719;-0.000003946436663682107,5.4839031093933954e-8,-0.0017176516121253371,-0.05400693416595459;5.557202475969802e-10,0.22187036275863647,0.10889868438243866,-0.577679455280304;0.5144849419593811,-0.12086112797260284,0.03966574743390083,-0.04509999230504036
;-83.34423828125;-0.000003968684268329525,5.343131803670076e-8,-0.001719950931146741,-0.05377502366900444;5.540219394362111e-10,0.22185072302818298,0.1083039790391922,-0.577119767665863;0.513740599155426,-0.12087259441614151,0.03963847830891609,-0.04510166496038437
;-83.34999084472656;-0.000003990811364928959,5.208917031040983e-8,-0.001722252112813294,-0.05354386568069458;5.523441704013976e-10,0.2218313068151474,0.10771403461694717,-0.5765596628189087;0.5130033493041992,-0.1208840161561966,0.03961118310689926,-0.045103318989276886
;-83.35568237304688;-0.000004012823410448618,5.080941889445967e-8,-0.001724555273540318,-0.05331345275044441;5.506863853810273e-10,0.2218121737241745,0.10712878406047821,-0.5759987235069275;0.5122736096382141,-0.12089543044567108,0.039583880454301834,-0.04510495439171791
;-83.361328125;-0.000004034705852973275,4.9588948058953974e-8,-0.0017268602969124913,-0.05308379605412483;5.490468635294121e-10,0.22179315984249115,0.10654796659946442,-0.5754374265670776;0.5115500688552856,-0.12090680748224258,0.03955655172467232,-0.04510657489299774
;-83.36691284179688;-0.000004056450507050613,4.8424890763953954e-8,-0.0017291666008532047,-0.05285491421818733;5.474248276904348e-10,0.22177432477474213,0.10597154498100281,-0.5748754739761353;0.5108327865600586,-0.1209181621670723,0.03952920809388161,-0.04510818049311638
;-83.37245178222656;-0.000004078079200553475,4.731454339435004e-8,-0.001731473603285849,-0.05262679606676102;5.458216101317248e-10,0.22175569832324982,0.10539949685335159,-0.5743128061294556;0.5101219415664673,-0.12092950195074081,0.039501845836639404,-0.04510977491736412
;-83.37793731689453;-0.000004099579655303387,4.6255312469156706e-8,-0.0017337813042104244,-0.05239944905042648;5.44235712052199e-10,0.22173725068569183,0.10483178496360779,-0.5737496614456177;0.5094175338745117,-0.12094081193208694,0.03947446495294571,-0.04511135071516037
;-83.38337707519531;-0.000004120945050090086,4.524463292909786e-8,-0.0017360893543809652,-0.052172888070344925;5.426656346507741e-10,0.2217189073562622,0.10426812618970871,-0.5731859803199768;0.5087183713912964,-0.12095209956169128,0.03944706916809082,-0.045112911611795425
;-83.38876342773438;-0.0000041421699279453605,4.428016708857285e-8,-0.0017383975209668279,-0.05194711312651634;5.411111558828452e-10,0.22170071303844452,0.10370846837759018,-0.5726218819618225;0.5080246329307556,-0.12096337229013443,0.03941965103149414,-0.045114461332559586
