voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-84.19463348388672;-0.000006231527549971361,1.6415375725387094e-8,-0.002247279044240713,-0.013896948657929897;3.308726903572534e-10,0.22129304707050323,0.03272032365202904,-0.48038989305496216;0.39502444863319397,-0.12284009903669357,0.03482641279697418,-0.04524511471390724
;-84.19680786132812;-0.0000062363428696698975,1.6390689694389948e-8,-0.0022488897666335106,-0.01383522804826498;3.30379668067593e-10,0.22128580510616302,0.032559920102357864,-0.47999072074890137;0.39470386505126953,-0.12284785509109497,0.034805942326784134,-0.04524572566151619
;-84.198974609375;-0.000006241148639674066,1.6366096033948452e-8,-0.0022504974622279406,-0.013773781247437;3.2988872744610376e-10,0.221278578042984,0.032400358468294144,-0.4795936942100525;0.3943842947483063,-0.12285556644201279,0.03478557616472244,-0.045246340334415436
;-84.20114135742188;-0.000006245899839996127,1.6341532571573225e-8,-0.0022521032951772213,-0.013712618499994278;3.2939806438037067e-10,0.221271350979805,0.03224150836467743,-0.4792062044143677;0.3940645158290863,-0.12286315113306046,0.03476566821336746,-0.045246951282024384
;-84.20330047607422;-0.000006250601018109592,1.631699220183691e-8,-0.002253707032650709,-0.013651736080646515;3.289077621371206e-10,0.22126415371894836,0.03208336979150772,-0.4788309335708618;0.3937445878982544,-0.122870534658432,0.034746360033750534,-0.04524756595492363
;-84.20545196533203;-0.000006255310836422723,1.629261348057298e-8,-0.0022553084418177605,-0.013591119088232517;3.284212068965786e-10,0.2212570160627365,0.03192619979381561,-0.47843506932258606;0.393426775932312,-0.12287824600934982,0.03472603112459183,-0.04524817317724228
;-84.20760345458984;-0.000006259984729695134,1.6268264957375322e-8,-0.0022569079883396626,-0.013530781492590904;3.27934984722944e-10,0.22124984860420227,0.03176972270011902,-0.4780401587486267;0.3931088447570801,-0.12288594245910645,0.034705739468336105,-0.04524878412485123
;-84.20974731445312;-0.000006264595867833123,1.6243943079530254e-8,-0.002258504740893841,-0.013470716774463654;3.2744862377143136e-10,0.22124269604682922,0.031613945960998535,-0.4776620864868164;0.39279067516326904,-0.12289338558912277,0.03468627110123634,-0.04524938762187958
;-84.21188354492188;-0.000006269215191423427,1.6219777521087053e-8,-0.0022600998636335135,-0.013410909101366997;3.2696648166741227e-10,0.22123554348945618,0.03145911544561386,-0.47728022933006287;0.3924746811389923,-0.12290087342262268,0.03466661646962166,-0.04524999484419823
;-84.21401977539062;-0.000006273788130783942,1.6195642160710122e-8,-0.0022616933565586805,-0.013351378031075;3.2648464487472495e-10,0.2212284505367279,0.0313049741089344,-0.4768911898136139;0.39215847849845886,-0.12290848046541214,0.03464660048484802,-0.045250602066516876
;-84.21615600585938;-0.000006278309683693806,1.6171531669328942e-8,-0.0022632840555161238,-0.013292118906974792;3.260030856377938e-10,0.22122135758399963,0.031151527538895607,-0.47649815678596497;0.39184215664863586,-0.12291614711284637,0.03462637588381767,-0.04525120183825493
;-84.2182846069336;-0.000006282818958425196,1.614751532486025e-8,-0.0022648724261671305,-0.013233126141130924;3.255236080690338e-10,0.22121427953243256,0.03099888749420643,-0.4761181175708771;0.39152681827545166,-0.12292362749576569,0.03460679203271866,-0.04525180533528328
