voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-84.25570678710938;-0.000006449427019106224,1.5600186031861085e-8,-0.0022988985292613506,-0.012190664187073708;3.1461672156396503e-10,0.2214871495962143,0.027153024449944496,-0.47378915548324585;0.3837342858314514,-0.1229838952422142,0.03448683023452759,-0.04524516314268112
;-84.25772857666016;-0.0000064530863710388076,1.5577683143419563e-8,-0.0023004517424851656,-0.01213664747774601;3.14165915504816e-10,0.22148041427135468,0.027020081877708435,-0.4733782112598419;0.38342979550361633,-0.12299180775880814,0.03446570411324501,-0.045245733112096786
;-84.2597427368164;-0.0000064567675508442335,1.555533124530939e-8,-0.0023020028602331877,-0.012082860805094242;3.1371835684801397e-10,0.22147370874881744,0.026887958869338036,-0.4729671776294708;0.3831275701522827,-0.12299972027540207,0.03444456681609154,-0.04524630680680275
;-84.26175689697266;-0.00000646040280116722,1.553299888712445e-8,-0.002303551649674773,-0.012029321864247322;3.132711035025437e-10,0.22146698832511902,0.02675643190741539,-0.47255605459213257;0.38282510638237,-0.1230076402425766,0.03442341834306717,-0.045246873050928116
;-84.2637710571289;-0.000006463996669481276,1.551069139793526e-8,-0.0023050992749631405,-0.011976031586527824;3.128240444461028e-10,0.22146031260490417,0.0266254935413599,-0.4721449315547943;0.3825225234031677,-0.12301556766033173,0.034402258694171906,-0.04524744302034378
;-84.26578521728516;-0.000006467551884270506,1.5488407001384985e-8,-0.002306643407791853,-0.011922987177968025;3.1237770703462786e-10,0.22145362198352814,0.026495138183236122,-0.4717531204223633;0.38221976161003113,-0.12302318960428238,0.03438205271959305,-0.045248012989759445
;-84.2677993774414;-0.000006471071628766367,1.5466143921116782e-8,-0.0023081849794834852,-0.01187018770724535;3.1193125860085047e-10,0.2214469015598297,0.026365377008914948,-0.47136127948760986;0.38191691040992737,-0.12303082644939423,0.034361839294433594,-0.04524857923388481
;-84.2697982788086;-0.000006474565907410579,1.544396255326319e-8,-0.0023097237572073936,-0.011817621067166328;3.1148672530179056e-10,0.22144022583961487,0.02623630501329899,-0.47098878026008606;0.3816150426864624,-0.123038150370121,0.034342579543590546,-0.04524914547801018
;-84.27179718017578;-0.000006478069281001808,1.542187000325157e-8,-0.002311261370778084,-0.01176529098302126;3.1104416264859935e-10,0.22143355011940002,0.026107922196388245,-0.4705968499183655;0.3813141882419586,-0.12304577231407166,0.0343223474919796,-0.045249707996845245
;-84.27379608154297;-0.000006481513992184773,1.5399793440451504e-8,-0.002312796888872981,-0.011713202111423016;3.106019053067399e-10,0.22142693400382996,0.025980111211538315,-0.4701854884624481;0.3810132145881653,-0.12305372208356857,0.034301139414310455,-0.04525027424097061
