voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-84.13548278808594;-0.000006769389074179344,1.6945056913186818e-8,-0.002325919223949313,-0.012314913794398308;3.4156658057504785e-10,0.22369183599948883,0.029775470495224,-0.49733802676200867;0.40129682421684265,-0.12252306938171387,0.03572604060173035,-0.04513341188430786
;-84.13764953613281;-0.000006773016593797365,1.6920093770522726e-8,-0.002327463822439313,-0.01226048730313778;3.4106772961450815e-10,0.22368457913398743,0.029631007462739944,-0.49691903591156006;0.4009803533554077,-0.12253089994192123,0.03570498526096344,-0.04513402283191681
;-84.13981628417969;-0.0000067765959101961926,1.6895159049568065e-8,-0.002329005626961589,-0.012206309475004673;3.4056921172087584e-10,0.22367732226848602,0.029487183317542076,-0.4964968264102936;0.40066373348236084,-0.12253878265619278,0.0356837660074234,-0.045134637504816055
;-84.14197540283203;-0.0000067801529439748265,1.6870314922812213e-8,-0.002330546034500003,-0.012152371928095818;3.400728032509903e-10,0.2236701250076294,0.029344109818339348,-0.49606239795684814;0.40034812688827515,-0.12254685908555984,0.03566195070743561,-0.045135244727134705
;-84.14412689208984;-0.0000067836790549336,1.684549921776579e-8,-0.002332083648070693,-0.01209868211299181;3.395762282476511e-10,0.223662868142128,0.029201671481132507,-0.49565941095352173;0.4000323414802551,-0.12255445867776871,0.03564164415001869,-0.04513585567474365
;-84.14627838134766;-0.000006787184702261584,1.6820779435988698e-8,-0.0023336196318268776,-0.012045231647789478;3.390821790016929e-10,0.22365564107894897,0.02905997447669506,-0.49523141980171204;0.3997175395488739,-0.12256244570016861,0.035620126873254776,-0.0451364628970623
;-84.14842987060547;-0.000006790643510612426,1.6796082746850516e-8,-0.0023351532872766256,-0.011992027051746845;3.385884905782177e-10,0.22364847362041473,0.028918901458382607,-0.49479806423187256;0.39940252900123596,-0.12257050722837448,0.035598333925008774,-0.04513707011938095
;-84.15057373046875;-0.000006794056389480829,1.6771412703064925e-8,-0.0023366843815892935,-0.011939065530896187;3.380950797104987e-10,0.22364124655723572,0.028778458014130592,-0.4943733215332031;0.39908739924430847,-0.1225784495472908,0.0355769544839859,-0.0451376773416996
;-84.1527099609375;-0.0000067974920057167765,1.674690253139488e-8,-0.002338214311748743,-0.011886334046721458;3.376054991122146e-10,0.22363412380218506,0.028638865798711777,-0.49396538734436035;0.3987743556499481,-0.12258612364530563,0.035556383430957794,-0.04513828083872795
;-84.15484619140625;-0.0000068008898779226,1.6722419005077427e-8,-0.0023397416807711124,-0.011833841912448406;3.371162238252623e-10,0.22362694144248962,0.028499888256192207,-0.4935474395751953;0.39846116304397583,-0.1225939691066742,0.03553532063961029,-0.0451388843357563
;-84.156982421875;-0.000006804229997214861,1.6697962124112564e-8,-0.0023412667214870453,-0.011781594716012478;3.3662683751600753e-10,0.2236197590827942,0.028361525386571884,-0.493120938539505;0.398147851228714,-0.1226019412279129,0.03551382198929787,-0.04513948783278465
;-84.15910339355469;-0.000006807567842770368,1.667359761370335e-8,-0.0023427894338965416,-0.011729579418897629;3.3613994920855816e-10,0.22361259162425995,0.02822388894855976,-0.49270865321159363;0.39783546328544617,-0.1226096972823143,0.035493023693561554,-0.045140091329813004
;-84.16122436523438;-0.000006810884769947734,1.6649325473849785e-8,-0.0023443112149834633,-0.01167779415845871;3.3565511481370436e-10,0.22360548377037048,0.028086965903639793,-0.4922829866409302;0.3975241184234619,-0.12261765450239182,0.035471562296152115,-0.04514068737626076
;-84.16334533691406;-0.000006814159405621467,1.662507997934881e-8,-0.0023458313662558794,-0.011626246385276318;3.351705579746067e-10,0.22359834611415863,0.027950653806328773,-0.4918542206287384;0.3972126245498657,-0.12262566387653351,0.03544994071125984,-0.04514129087328911
;-84.16546630859375;-0.000006817404027970042,1.660085935384359e-8,-0.0023473482578992844,-0.011574933305382729;3.346858901132066e-10,0.22359119355678558,0.027814947068691254,-0.49144676327705383;0.39690089225769043,-0.12263336032629013,0.035429347306489944,-0.04514188691973686
;-84.16758728027344;-0.000006820591352152405,1.6576663597334118e-8,-0.002348862821236253,-0.011523859575390816;3.342019994079237e-10,0.22358405590057373,0.027679841965436935,-0.49102380871772766;0.39658915996551514,-0.12264129519462585,0.03540799021720886,-0.04514249041676521
;-84.16969299316406;-0.0000068237709456298035,1.6552560211380296e-8,-0.0023503745906054974,-0.01147300936281681;3.3372010710408517e-10,0.22357694804668427,0.027545446529984474,-0.49061182141304016;0.3962782919406891,-0.12264905869960785,0.03538716584444046,-0.04514308646321297
;-84.17179870605469;-0.00000682693416820257,1.6528549195982123e-8,-0.0023518847301602364,-0.011422389186918736;3.3323985237920795e-10,0.2235698699951172,0.02741175703704357,-0.49019700288772583;0.39596837759017944,-0.12265687435865402,0.03536619246006012,-0.04514368250966072
;-84.17390441894531;-0.000006830069651186932,1.6504559496866023e-8,-0.0023533939383924007,-0.01137199904769659;3.327603192992967e-10,0.2235628217458725,0.027278658002614975,-0.4897787570953369;0.395658403635025,-0.12266473472118378,0.03534504026174545,-0.045144278556108475
;-84.17601013183594;-0.000006833148745499784,1.6480599995816192e-8,-0.0023548994213342667,-0.011321840807795525;3.322810915307173e-10,0.22355572879314423,0.027146149426698685,-0.48936453461647034;0.39534828066825867,-0.12267255038022995,0.03532407805323601,-0.04514487460255623
;-84.17811584472656;-0.000006836197826487478,1.6456663587405274e-8,-0.002356401877477765,-0.011271909810602665;3.3180172498425975e-10,0.22354865074157715,0.02701423317193985,-0.48895126581192017;0.3950379192829132,-0.12268035113811493,0.035303156822919846,-0.045145466923713684
;-84.18020629882812;-0.000006839225989097031,1.6432817773193165e-8,-0.002357902703806758,-0.011222205124795437;3.3132485643960763e-10,0.22354160249233246,0.02688300982117653,-0.48853641748428345;0.3947286605834961,-0.1226881742477417,0.03528214991092682,-0.04514605924487114
;-84.18229675292969;-0.000006842240964033408,1.6409060776823026e-8,-0.0023594023659825325,-0.011172719299793243;3.3084998629639983e-10,0.22353458404541016,0.026752471923828125,-0.48811960220336914;0.3944203555583954,-0.12269602715969086,0.035261042416095734,-0.045146651566028595
;-84.18438720703125;-0.000006845228654128732,1.6385330425805478e-8,-0.0023608992341905832,-0.01112346164882183;3.303750328864652e-10,0.22352756559848785,0.02662251517176628,-0.487718790769577;0.3941118121147156,-0.12270364910364151,0.03524070233106613,-0.04514724016189575
;-84.18647003173828;-0.0000068481713242363185,1.636162494378368e-8,-0.002362394006922841,-0.011074427515268326;3.2990077336592094e-10,0.22352054715156555,0.026493137702345848,-0.4873172342777252;0.3938031792640686,-0.12271127104759216,0.03522032871842384,-0.045147836208343506
;-84.18854522705078;-0.000006851122634543572,1.6338074004806913e-8,-0.002363886684179306,-0.011025608517229557;3.2942984451445056e-10,0.22351357340812683,0.02636454440653324,-0.4869019687175751;0.39349666237831116,-0.12271911650896072,0.03519926965236664,-0.045148417353630066
