voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-84.27777099609375;-0.0000062569301917392295,1.5397620956036917e-8,-0.002232711296528578,-0.01370395440608263;3.106098711569416e-10,0.22031643986701965,0.02858707495033741,-0.4709406793117523;0.38120490312576294,-0.12305270880460739,0.034311745315790176,-0.04529903456568718
;-84.27972412109375;-0.0000062613080444862135,1.5376089734786547e-8,-0.0022343548480421305,-0.013642869889736176;3.1017824420054296e-10,0.22030998766422272,0.028447723016142845,-0.4705289304256439;0.3809107542037964,-0.12306062132120132,0.034290533512830734,-0.04529958590865135
;-84.28167724609375;-0.000006265627689572284,1.535457982981825e-8,-0.0022359956055879593,-0.013582064770162106;3.0974689479990047e-10,0.2203035205602646,0.028308993205428123,-0.47013646364212036;0.3806164860725403,-0.12306825071573257,0.034270279109478,-0.045300137251615524
;-84.28361511230469;-0.000006269952336879214,1.5333149860907724e-8,-0.002237633801996708,-0.013521534390747547;3.093174882895511e-10,0.22029714286327362,0.028171002864837646,-0.4697633683681488;0.38032323122024536,-0.12307555228471756,0.034250978380441666,-0.0453006848692894
;-84.28555297851562;-0.000006274242878134828,1.531180693348233e-8,-0.0022392708342522383,-0.013461277820169926;3.0888960833586054e-10,0.22029073536396027,0.028033750131726265,-0.46939024329185486;0.3800309896469116,-0.12308286130428314,0.03423167020082474,-0.045301228761672974
;-84.28749084472656;-0.000006278505679802038,1.529048532233901e-8,-0.002240905072540045,-0.01340129692107439;3.084623945159848e-10,0.22028431296348572,0.027897115796804428,-0.4689781665802002;0.37973856925964355,-0.12309079617261887,0.03421042114496231,-0.04530177637934685
;-84.2894287109375;-0.000006282723006734159,1.526918502747776e-8,-0.0022425372153520584,-0.013341587036848068;3.0803543049628956e-10,0.22027795016765594,0.02776109054684639,-0.46856623888015747;0.37944602966308594,-0.12309873104095459,0.03418916091322899,-0.04530232027173042
;-84.29136657714844;-0.0000062868857639841735,1.5247900719828067e-8,-0.002244166564196348,-0.01328215654939413;3.0760868852119927e-10,0.220271497964859,0.0276256762444973,-0.4681735336780548;0.37915340065956116,-0.12310636788606644,0.03416886180639267,-0.045302871614694595
;-84.29329681396484;-0.000006291018053161679,1.5226637728460446e-8,-0.0022457928862422705,-0.013222998939454556;3.071821963462895e-10,0.22026515007019043,0.027490874752402306,-0.4677809476852417;0.37886062264442444,-0.12311401218175888,0.034148551523685455,-0.04530341550707817
;-84.29521942138672;-0.000006295166713243816,1.5205523951067335e-8,-0.002247416879981756,-0.013164103031158447;3.067593401517854e-10,0.22025878727436066,0.02735690027475357,-0.46740758419036865;0.37856993079185486,-0.12312133610248566,0.034129198640584946,-0.045303959399461746
;-84.2971420288086;-0.000006299274900811724,1.5184427937242617e-8,-0.0022490397095680237,-0.013105476275086403;3.0633670600188623e-10,0.2202524095773697,0.027223527431488037,-0.46703413128852844;0.37827926874160767,-0.12312866747379303,0.03410983458161354,-0.04530449956655502
;-84.2990493774414;-0.000006303363079496194,1.516341541218935e-8,-0.0022506602108478546,-0.013047109358012676;3.059155984086459e-10,0.2202461063861847,0.02709086984395981,-0.46666058897972107;0.3779895007610321,-0.123136006295681,0.03409046679735184,-0.0453050397336483
;-84.30095672607422;-0.0000063074453464651015,1.5142491704978056e-8,-0.0022522793151438236,-0.012989007867872715;3.054968222837573e-10,0.2202398031949997,0.026958921924233437,-0.46628695726394653;0.3777008056640625,-0.12314333021640778,0.03407108783721924,-0.04530557990074158
;-84.30286407470703;-0.000006311485321930377,1.5121585761335155e-8,-0.0022538970224559307,-0.012931173667311668;3.0507832371462484e-10,0.22023352980613708,0.026827560737729073,-0.46591344475746155;0.37741199135780334,-0.12315067648887634,0.03405170142650604,-0.04530611261725426
;-84.30475616455078;-0.000006315519385680091,1.5100765082820544e-8,-0.0022555121686309576,-0.012873598374426365;3.0466171252463425e-10,0.22022727131843567,0.026696905493736267,-0.46553969383239746;0.3771241307258606,-0.12315800786018372,0.03403230756521225,-0.045306649059057236
;-84.30664825439453;-0.000006319536169030471,1.5080029669434225e-8,-0.00225712638348341,-0.012816282920539379;3.042466001357269e-10,0.22022102773189545,0.026566945016384125,-0.46516597270965576;0.3768373131752014,-0.12316535413265228,0.03401290625333786,-0.045307185500860214
;-84.30854034423828;-0.000006323512934613973,1.5059317348686818e-8,-0.002258738735690713,-0.01275923103094101;3.0383215388063434e-10,0.22021479904651642,0.02643756754696369,-0.4647921621799469;0.3765503764152527,-0.12317268550395966,0.033993493765592575,-0.045307714492082596
;-84.3104248046875;-0.000006327447408693843,1.5038624567864645e-8,-0.002260348293930292,-0.012702442705631256;3.034179296701467e-10,0.2202085256576538,0.026308774948120117,-0.46441835165023804;0.376263290643692,-0.12318003922700882,0.03397407755255699,-0.045308250933885574
;-84.31230163574219;-0.000006331402801151853,1.5018077448303302e-8,-0.0022619564551860094,-0.0126459039747715;3.0300689735085484e-10,0.22020238637924194,0.026180775836110115,-0.4640444219112396;0.37597841024398804,-0.12318738549947739,0.033954646438360214,-0.04530877619981766
;-84.31417846679688;-0.000006335315902106231,1.499755342138087e-8,-0.002263563685119152,-0.012589627876877785;3.0259647565422654e-10,0.22019615769386292,0.026053352281451225,-0.46367040276527405;0.3756934404373169,-0.12319473177194595,0.03393520787358284,-0.04530930519104004
;-84.31605529785156;-0.000006339184892567573,1.4977048934383674e-8,-0.0022651676554232836,-0.012533607892692089;3.021863315133544e-10,0.22018998861312866,0.025926498696208,-0.4632965326309204;0.37540826201438904,-0.12320208549499512,0.033915769308805466,-0.04530983418226242
;-84.31791687011719;-0.000006343053883028915,1.495662971251477e-8,-0.002266769530251622,-0.012477840296924114;3.0177765841798987e-10,0.22018378973007202,0.025800324976444244,-0.46292248368263245;0.37512412667274475,-0.12320943921804428,0.0338963121175766,-0.0453103631734848
;-84.31977844238281;-0.000006346906502585625,1.4936297532130993e-8,-0.002268371172249317,-0.012422322295606136;3.0137131679097706e-10,0.22017760574817657,0.02567482553422451,-0.46254831552505493;0.3748411238193512,-0.12321680039167404,0.033876851201057434,-0.045310888439416885
;-84.32164001464844;-0.000006350719559122808,1.4915983115315612e-8,-0.0022699700202792883,-0.012367064133286476;3.0096478087493495e-10,0.22017143666744232,0.025549890473484993,-0.4621742069721222;0.37455788254737854,-0.1232241615653038,0.033857379108667374,-0.04531141370534897
;-84.32350158691406;-0.000006354502602334833,1.4895693567495982e-8,-0.0022715663071721792,-0.012312059290707111;3.00558883337132e-10,0.22016528248786926,0.025425519794225693,-0.4618000388145447;0.3742745816707611,-0.12323152273893356,0.033837903290987015,-0.04531194269657135
;-84.32536315917969;-0.000006358236987580312,1.4875420895066327e-8,-0.0022731609642505646,-0.012257306836545467;3.0015281926587534e-10,0.22015909850597382,0.025301700457930565,-0.4614258408546448;0.3739910423755646,-0.12323888391256332,0.03381841629743576,-0.04531246796250343
;-84.32720947265625;-0.000006361963642120827,1.4855234375943382e-8,-0.0022747518960386515,-0.012202803045511246;2.9974900339624355e-10,0.22015298902988434,0.02517854981124401,-0.4610516428947449;0.37370866537094116,-0.12324625253677368,0.03379891812801361,-0.04531298950314522
;-84.32905578613281;-0.000006365677108988166,1.483513045741347e-8,-0.0022763418965041637,-0.012148539535701275;2.9934671408327063e-10,0.22014681994915009,0.025056062266230583,-0.46067726612091064;0.37342730164527893,-0.12325362861156464,0.03377941995859146,-0.045313511043787
;-84.33090209960938;-0.000006369366474245908,1.481504874334405e-8,-0.002277929801493883,-0.012094526551663876;2.9894506314853686e-10,0.2201407104730606,0.02493412047624588,-0.46030300855636597;0.37314581871032715,-0.12326100468635559,0.03375990688800812,-0.045314036309719086
;-84.33274841308594;-0.000006373002179316245,1.4794983904664605e-8,-0.002279515378177166,-0.012040763162076473;2.985432179247738e-10,0.22013458609580994,0.024812722578644753,-0.45992863178253174;0.3728641867637634,-0.12326838821172714,0.03374038264155388,-0.04531455785036087
;-84.3345947265625;-0.000006376599685609108,1.4774941270445652e-8,-0.0022810983937233686,-0.011987246572971344;2.9814198332367425e-10,0.22012846171855927,0.024691877886652946,-0.4595542848110199;0.37258240580558777,-0.1232757642865181,0.03372085466980934,-0.04531507566571236
