voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-84.1445083618164;-0.000006753773050149903,1.6841166683434494e-8,-0.002328482223674655,-0.012182082049548626;3.394963477010293e-10,0.2236153781414032,0.029444657266139984,-0.4957369565963745;0.3999829590320587,-0.12255389988422394,0.03564417362213135,-0.04513794928789139
;-84.14664459228516;-0.000006757419669156661,1.6816530390428852e-8,-0.002330024726688862,-0.012128242291510105;3.3900410256748614e-10,0.22360821068286896,0.029301883652806282,-0.4953237771987915;0.39966920018196106,-0.12256164848804474,0.035623375326395035,-0.04513855651021004
;-84.1487808227539;-0.000006761048553016735,1.679198646797886e-8,-0.0023315660655498505,-0.01207464374601841;3.3851399461326537e-10,0.22360104322433472,0.029159853234887123,-0.49489980936050415;0.3993564546108246,-0.12256956100463867,0.03560204803943634,-0.04513915628194809
;-84.15091705322266;-0.000006764626959920861,1.6767470967238296e-8,-0.00233310554176569,-0.012021289207041264;3.3802416421480075e-10,0.22359392046928406,0.029018446803092957,-0.4944806694984436;0.3990435302257538,-0.12257739901542664,0.03558094799518585,-0.04513975977897644
;-84.15304565429688;-0.000006768162620574003,1.6742982111850324e-8,-0.0023346422240138054,-0.011968178674578667;3.3753419503845805e-10,0.22358675301074982,0.02887766994535923,-0.49406132102012634;0.39873048663139343,-0.12258525937795639,0.03555982559919357,-0.04514035955071449
;-84.15516662597656;-0.000006771732387278462,1.6718654904934738e-8,-0.0023361772764474154,-0.011915297247469425;3.370485279763358e-10,0.22357964515686035,0.028737736865878105,-0.4936465919017792;0.3984195590019226,-0.12259303778409958,0.035538919270038605,-0.045140963047742844
;-84.15728759765625;-0.0000067752403083432,1.6694352567014903e-8,-0.0023377109318971634,-0.011862659826874733;3.3656311071439404e-10,0.2235725075006485,0.028598427772521973,-0.49322617053985596;0.39810845255851746,-0.12260090559720993,0.03551773354411125,-0.0451415590941906
;-84.15940856933594;-0.000006778705028409604,1.667007509809082e-8,-0.0023392417933791876,-0.011810263618826866;3.360779987637841e-10,0.22356539964675903,0.028459737077355385,-0.49280062317848206;0.39779719710350037,-0.12260885536670685,0.035496290773153305,-0.04514216259121895
;-84.1615219116211;-0.000006782140644645551,1.6645827827233006e-8,-0.0023407703265547752,-0.01175810769200325;3.3559280354644727e-10,0.22355826199054718,0.028321661055088043,-0.4923965334892273;0.3974858224391937,-0.1226164847612381,0.03547587990760803,-0.045142762362957
;-84.16362762451172;-0.0000067855798988603055,1.662173509942022e-8,-0.0023422969970852137,-0.011706178076565266;3.351117994210284e-10,0.2235511839389801,0.02818441577255726,-0.49197542667388916;0.39717647433280945,-0.12262437492609024,0.0354546383023262,-0.045143354684114456
;-84.16573333740234;-0.0000067889845922763925,1.6597672569673705e-8,-0.0023438213393092155,-0.011654487811028957;3.3463112836251696e-10,0.22354407608509064,0.028047775849699974,-0.49155178666114807;0.3968670666217804,-0.12263229489326477,0.035433266311883926,-0.04514395445585251
;-84.16783905029297;-0.000006792335625505075,1.657363668527978e-8,-0.002345343818888068,-0.011603031307458878;3.341503185261274e-10,0.22353705763816833,0.027911748737096786,-0.49111849069595337;0.39655745029449463,-0.12264037132263184,0.03541141375899315,-0.045144546777009964
;-84.1699447631836;-0.00000679565710015595,1.6549622117167928e-8,-0.002346863504499197,-0.0115518132224679;3.3367020257912827e-10,0.22352994978427887,0.02777632139623165,-0.49070391058921814;0.3962477147579193,-0.12264817953109741,0.0353904627263546,-0.04514514282345772
;-84.17205047607422;-0.000006798920821893262,1.6525634194408667e-8,-0.0023483808618038893,-0.011500827968120575;3.3319044745461213e-10,0.2235228717327118,0.027641495689749718,-0.4902823865413666;0.39593780040740967,-0.12265609204769135,0.03536916896700859,-0.04514573886990547
;-84.17414855957031;-0.000006802152256568661,1.6501671140645158e-8,-0.002349895890802145,-0.011450077407062054;3.3271049804106667e-10,0.22351579368114471,0.027507271617650986,-0.48987877368927;0.39562779664993286,-0.12266372889280319,0.03534872829914093,-0.045146334916353226
;-84.17623901367188;-0.000006805390967201674,1.6477866182640355e-8,-0.0023514078930020332,-0.011399546638131142;3.32234822986166e-10,0.2235087901353836,0.02737385593354702,-0.4894641935825348;0.3953198790550232,-0.12267153710126877,0.035327762365341187,-0.04514692351222038
;-84.17832946777344;-0.0000068086028477409855,1.6454086093631304e-8,-0.0023529184982180595,-0.011349248699843884;3.317589813978117e-10,0.2235018014907837,0.027241036295890808,-0.4890568256378174;0.39501187205314636,-0.12267923355102539,0.035307131707668304,-0.04514751583337784
;-84.180419921875;-0.000006811753792135278,1.6430327320904325e-8,-0.002354427007958293,-0.01129918172955513;3.3128388920999896e-10,0.2234947234392166,0.027108801528811455,-0.4886432886123657;0.3947036862373352,-0.12268703430891037,0.03528619930148125,-0.045148104429244995
;-84.18250274658203;-0.000006814880634919973,1.6406595193529938e-8,-0.0023559320252388716,-0.011249343864619732;3.308090468223668e-10,0.22348769009113312,0.026977157220244408,-0.488239586353302;0.39439529180526733,-0.12269468605518341,0.0352657288312912,-0.04514869675040245
;-84.18457794189453;-0.000006818026577093406,1.638301760920058e-8,-0.0023574361111968756,-0.01119972113519907;3.303375906149597e-10,0.2234807312488556,0.02684631571173668,-0.4878339469432831;0.39408907294273376,-0.12270236760377884,0.03524516895413399,-0.04514928162097931
;-84.18665313720703;-0.000006821117494837381,1.635947022293749e-8,-0.002358938567340374,-0.011150323785841465;3.2986688380809426e-10,0.22347375750541687,0.026716049760580063,-0.48743367195129395;0.39378273487091064,-0.1227099597454071,0.035224854946136475,-0.045149870216846466
;-84.18872833251953;-0.000006824177944508847,1.6335944152956472e-8,-0.002360437996685505,-0.011101153679192066;3.293959827121995e-10,0.22346678376197815,0.026586361229419708,-0.4870184659957886;0.39347612857818604,-0.12271779775619507,0.03520381078124046,-0.045150455087423325
;-84.1907958984375;-0.000006827198831160786,1.6312441175614367e-8,-0.0023619357962161303,-0.01105220802128315;3.2892580326127074e-10,0.22345983982086182,0.026457255706191063,-0.4866175055503845;0.39316946268081665,-0.12272541224956512,0.03518344834446907,-0.04515104368329048
;-84.19285583496094;-0.000006830226993770339,1.628909451767413e-8,-0.0023634317331016064,-0.01100347749888897;3.284589822349915e-10,0.22345292568206787,0.026328928768634796,-0.48621436953544617;0.39286497235298157,-0.12273306399583817,0.03516298159956932,-0.04515162110328674
;-84.19491577148438;-0.000006833226052549435,1.6265772728729644e-8,-0.002364926040172577,-0.010954970493912697;3.279928828536782e-10,0.22344601154327393,0.026201173663139343,-0.48579227924346924;0.3925602436065674,-0.12274101376533508,0.03514157235622406,-0.0451522059738636
;-84.19697570800781;-0.0000068361832745722495,1.624247936149459e-8,-0.0023664177861064672,-0.010906685143709183;3.275266169389113e-10,0.22343909740447998,0.026073988527059555,-0.4853900671005249;0.39225542545318604,-0.12274864315986633,0.0351211316883564,-0.04515278711915016
;-84.19903564453125;-0.000006839104571554344,1.6219203757827927e-8,-0.002367907203733921,-0.010858620516955853;3.2706057306874925e-10,0.22343218326568604,0.025947364047169685,-0.4849868714809418;0.391950398683548,-0.12275630980730057,0.03510063886642456,-0.04515337198972702
