voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-84.26103210449219;-0.000006389648660842795,1.5558223154243933e-8,-0.0022894409485161304,-0.012402177788317204;3.137619608573061e-10,0.22124627232551575,0.02755076438188553,-0.471861332654953;0.3832251727581024,-0.1230197548866272,0.03438397869467735,-0.04525633528828621
;-84.2630615234375;-0.000006393439889507135,1.553566342238355e-8,-0.002290999051183462,-0.012347189709544182;3.133096282414982e-10,0.22123949229717255,0.02741565927863121,-0.4714503884315491;0.3829193711280823,-0.12302770465612411,0.034362804144620895,-0.04525691270828247
;-84.26509094238281;-0.000006397209745045984,1.5513188955651458e-8,-0.0022925552912056446,-0.012292448431253433;3.128591830048322e-10,0.22123277187347412,0.027281273156404495,-0.4710586369037628;0.38261452317237854,-0.12303534895181656,0.034342579543590546,-0.045257482677698135
;-84.26712036132812;-0.000006400939582817955,1.549073580520144e-8,-0.002294110134243965,-0.012237959541380405;3.1240951492428337e-10,0.2212260514497757,0.027147488668560982,-0.47064754366874695;0.38230952620506287,-0.12304330617189407,0.034321386367082596,-0.0452580563724041
;-84.26914978027344;-0.000006404623491107486,1.5468303971033492e-8,-0.002295661950483918,-0.012183718383312225;3.1195968031028087e-10,0.2212192714214325,0.02701430954039097,-0.4702364504337311;0.38200443983078003,-0.12305127084255219,0.03430017828941345,-0.04525863006711006
;-84.27117919921875;-0.0000064082673816301394,1.544589345314762e-8,-0.0022972107399255037,-0.012129729613661766;3.1151015100761015e-10,0.2212125062942505,0.02688172645866871,-0.4698253571987152;0.38169923424720764,-0.1230592355132103,0.03427895903587341,-0.045259203761816025
;-84.27320861816406;-0.000006411870799638564,1.5423504251543818e-8,-0.0022987567353993654,-0.012075988575816154;3.1106123232760297e-10,0.22120577096939087,0.02674974501132965,-0.4694335162639618;0.38139376044273376,-0.12306690216064453,0.03425870090723038,-0.045259781181812286
;-84.27523803710938;-0.000006415431016648654,1.540113636622209e-8,-0.0023002999369055033,-0.012022492475807667;3.1061223038086894e-10,0.22119903564453125,0.02661835588514805,-0.46902239322662354;0.3810881972312927,-0.12307488918304443,0.034237466752529144,-0.04526035115122795
;-84.27725982666016;-0.000006418945758923655,1.5378786244468756e-8,-0.00230183987878263,-0.011969244107604027;3.1016345047873983e-10,0.22119227051734924,0.02648756094276905,-0.46863049268722534;0.3807825446128845,-0.12308255583047867,0.03421718627214432,-0.045260921120643616
;-84.2792739868164;-0.000006422482329071499,1.5356585336689932e-8,-0.0023033777251839638,-0.011916227638721466;3.0971880615737746e-10,0.221185564994812,0.02635757066309452,-0.46825793385505676;0.38047897815704346,-0.12308991700410843,0.0341978594660759,-0.04526149109005928
;-84.28128814697266;-0.00000642597615296836,1.533440574519318e-8,-0.0023049137089401484,-0.011863448657095432;3.0927396754698577e-10,0.22117890417575836,0.026228167116642,-0.4678659439086914;0.38017526268959045,-0.12309759855270386,0.03417756035923958,-0.04526205733418465
