voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-84.21990203857422;-0.000006459091764554614,1.606669464138122e-8,-0.0023090150207281113,-0.01210146676748991;3.2396549332069924e-10,0.22217941284179688,0.0287308432161808,-0.47979024052619934;0.39025190472602844,-0.12286027520895004,0.03480999171733856,-0.04521026834845543
;-84.22196197509766;-0.0000064631080931576435,1.6043511408270206e-8,-0.002310562878847122,-0.012047895230352879;3.2350253031943055e-10,0.22217251360416412,0.028590846806764603,-0.47939202189445496;0.38994601368904114,-0.12286793440580368,0.034789614379405975,-0.04521084576845169
;-84.2240219116211;-0.000006467074399552075,1.6020353044154945e-8,-0.0023121084086596966,-0.011994571425020695;3.2303940078470816e-10,0.22216562926769257,0.028451472520828247,-0.47900334000587463;0.3896399438381195,-0.12287545204162598,0.0347696952521801,-0.04521143063902855
;-84.22608184814453;-0.000006470993866969366,1.5997217772678596e-8,-0.0023136513773351908,-0.011941492557525635;3.2257657656131755e-10,0.222158744931221,0.028312724083662033,-0.47860923409461975;0.38933369517326355,-0.12288305908441544,0.034749504178762436,-0.04521201178431511
;-84.22813415527344;-0.000006474896508734673,1.5974173095401056e-8,-0.0023151920177042484,-0.011888647451996803;3.221161948285811e-10,0.22215190529823303,0.028174705803394318,-0.4782223403453827;0.38902848958969116,-0.12289055436849594,0.03472965955734253,-0.04521258920431137
;-84.23017883300781;-0.000006478766863438068,1.595115151076243e-8,-0.002316730795428157,-0.011836045421659946;3.2165561880681537e-10,0.22214506566524506,0.028037305921316147,-0.47784224152565;0.3887231647968292,-0.12289794534444809,0.034710146486759186,-0.04521317034959793
;-84.23222351074219;-0.000006482619028247427,1.592822052032261e-8,-0.002318267012014985,-0.011783680878579617;3.211974575201282e-10,0.2221381962299347,0.027900632470846176,-0.47744879126548767;0.3884188234806061,-0.12290554493665695,0.03468996658921242,-0.04521375149488449
;-84.23426818847656;-0.000006486412075901171,1.5905316175235384e-8,-0.002319801365956664,-0.011731554754078388;3.2073921296671415e-10,0.22213143110275269,0.027764566242694855,-0.47704267501831055;0.388114333152771,-0.12291334569454193,0.03466915339231491,-0.045214325189590454
;-84.23631286621094;-0.000006490175110229757,1.588243137007339e-8,-0.0023213326930999756,-0.011679667979478836;3.2028121821348066e-10,0.2221245914697647,0.02762911096215248,-0.47664040327072144;0.3878096342086792,-0.12292108684778214,0.03464852645993233,-0.045214906334877014
;-84.23834991455078;-0.000006493893124570604,1.5859574986620828e-8,-0.002322862157598138,-0.011628019623458385;3.1982391734963755e-10,0.22211775183677673,0.027494262903928757,-0.47625336050987244;0.3875048756599426,-0.12292860448360443,0.03462863340973854,-0.04521548002958298
