voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-84.33924865722656;-0.000006160087650641799,1.4750619392600584e-8,-0.0022856707219034433,-0.011905903927981853;2.975838742091952e-10,0.2201785147190094,0.026044365018606186,-0.4565715193748474;0.37228357791900635,-0.12332712858915329,0.033570192754268646,-0.04531353339552879
;-84.34115600585938;-0.000006164145361253759,1.4729938158097866e-8,-0.002287227427586913,-0.011853065341711044;2.971699553100393e-10,0.2201722413301468,0.025916539132595062,-0.45619750022888184;0.371992290019989,-0.12333459407091141,0.03355059027671814,-0.04531407356262207
;-84.34306335449219;-0.000006168161689856788,1.4709272910806703e-8,-0.0022887815721333027,-0.01180046796798706;2.9675584212185413e-10,0.22016587853431702,0.0257892869412899,-0.4558233618736267;0.3717007040977478,-0.12334205955266953,0.033530980348587036,-0.04531461372971535
;-84.34495544433594;-0.0000061721657402813435,1.468869559317909e-8,-0.0022903322242200375,-0.011748108081519604;2.9634400489086943e-10,0.2201596200466156,0.025662720203399658,-0.45544928312301636;0.3714102506637573,-0.12334953993558884,0.03351135924458504,-0.045315150171518326
;-84.34684753417969;-0.000006176159331516828,1.466820176432293e-8,-0.0022918821778148413,-0.0116959810256958;2.959341105501778e-10,0.2201533019542694,0.02553684078156948,-0.45507505536079407;0.371120810508728,-0.12335701286792755,0.03349173069000244,-0.045315686613321304
;-84.34873962402344;-0.000006180109721753979,1.4647730139927262e-8,-0.0022934298031032085,-0.011644095182418823;2.9552396640930567e-10,0.220147043466568,0.02541152760386467,-0.4547008275985718;0.37083128094673157,-0.12336448580026627,0.03347209468483925,-0.045316219329833984
;-84.35063171386719;-0.000006184021913213655,1.4627275390921568e-8,-0.0022949748672544956,-0.011592446826398373;2.951145161578239e-10,0.22014077007770538,0.025286776944994926,-0.4543265402317047;0.3705415427684784,-0.12337195873260498,0.03345244750380516,-0.04531675577163696
;-84.35252380371094;-0.000006187889994180296,1.4606844622733206e-8,-0.002296518301591277,-0.011541038751602173;2.947052879509471e-10,0.22013446688652039,0.025162598118185997,-0.45395225286483765;0.37025174498558044,-0.12337944656610489,0.033432796597480774,-0.04531728848814964
;-84.35441589355469;-0.00000619171896687476,1.4586428953577979e-8,-0.002298057312145829,-0.011489865370094776;2.9429586545504094e-10,0.22012819349765778,0.025038976222276688,-0.4535779058933258;0.3699617385864258,-0.1233869418501854,0.033413130789995193,-0.04531782120466232
;-84.35630798339844;-0.0000061955083765496965,1.4566034600704825e-8,-0.0022995939943939447,-0.011438929475843906;2.9388710909294957e-10,0.22012192010879517,0.024915916845202446,-0.45320361852645874;0.36967167258262634,-0.1233944371342659,0.033393461257219315,-0.0453183576464653
;-84.35820007324219;-0.000006199259587447159,1.4545657123221645e-8,-0.00230112811550498,-0.01138822641223669;2.934785470198875e-10,0.22011564671993256,0.024793418124318123,-0.4528293013572693;0.36938145756721497,-0.123401939868927,0.03337378054857254,-0.04531889408826828
;-84.36009216308594;-0.000006202969416335691,1.452529563295002e-8,-0.0023026589769870043,-0.011337757110595703;2.9306981841337176e-10,0.22010938823223114,0.024671468883752823,-0.45245495438575745;0.3690910041332245,-0.1234094500541687,0.03335409238934517,-0.04531943053007126
;-84.36197662353516;-0.000006206641046446748,1.4504956347138886e-8,-0.0023041870445013046,-0.011287521570920944;2.9266172818509517e-10,0.22010307013988495,0.02455008029937744,-0.45208054780960083;0.36880049109458923,-0.123416967689991,0.0333343967795372,-0.04531995952129364
;-84.36385345458984;-0.000006210327683220385,1.4484758281696486e-8,-0.0023057134822010994,-0.01123750489205122;2.92257218426073e-10,0.22009685635566711,0.024429455399513245,-0.45170605182647705;0.36851218342781067,-0.1234244704246521,0.03331468999385834,-0.04532049223780632
;-84.36573028564453;-0.000006213980668690056,1.4464581532536158e-8,-0.0023072375915944576,-0.01118771918118;2.918525143780215e-10,0.22009062767028809,0.024309372529387474,-0.4513314664363861;0.36822375655174255,-0.1234319880604744,0.03329497575759888,-0.0453210212290287
;-84.36760711669922;-0.000006217592726898147,1.4444421658765805e-8,-0.002308759605512023,-0.011138161644339561;2.9144839319705795e-10,0.22008442878723145,0.02418983355164528,-0.45097628235816956;0.3679351508617401,-0.12343918532133102,0.033276237547397614,-0.04532155394554138
;-84.3694839477539;-0.000006221179319254588,1.4424282213099104e-8,-0.0023102788254618645,-0.011088828556239605;2.9104452181627494e-10,0.22007815539836884,0.02407084032893181,-0.4506017863750458;0.3676464557647705,-0.12344671040773392,0.03325650840997696,-0.04532208293676376
;-84.37135314941406;-0.000006224709977686871,1.4404159642822378e-8,-0.0023117957171052694,-0.01103972364217043;2.9064051165761384e-10,0.2200719565153122,0.023952385410666466,-0.45026594400405884;0.36735761165618896,-0.12345359474420547,0.033238742500543594,-0.045322615653276443
;-84.37321472167969;-0.000006228266556718154,1.4384180957449644e-8,-0.002313310746103525,-0.010990831069648266;2.902403595239633e-10,0.22006580233573914,0.023834675550460815,-0.44989120960235596;0.3670710325241089,-0.12346111983060837,0.03321899473667145,-0.04532313719391823
;-84.37507629394531;-0.000006231785846466664,1.4364220923823723e-8,-0.0023148246109485626,-0.010942162945866585;2.8984009636801034e-10,0.2200595885515213,0.023717498406767845,-0.44951650500297546;0.3667842149734497,-0.12346865236759186,0.033199243247509,-0.04532366245985031
;-84.37693786621094;-0.000006235275122890016,1.4344282206479875e-8,-0.002316336380317807,-0.01089372020214796;2.894404438347209e-10,0.22005340456962585,0.023600855842232704,-0.4491804540157318;0.36649736762046814,-0.12347554415464401,0.03318145126104355,-0.04532419145107269
;-84.37879180908203;-0.000006238713467610069,1.4324357699990742e-8,-0.0023178458213806152,-0.01084550004452467;2.8904056925682653e-10,0.220047265291214,0.023484740406274796,-0.4488445222377777;0.36621034145355225,-0.12348243594169617,0.033163655549287796,-0.045324716717004776
;-84.3806381225586;-0.000006242173640202964,1.430457974294086e-8,-0.0023193531669676304,-0.010797490365803242;2.886446637262452e-10,0.22004112601280212,0.023369353264570236,-0.4485084116458893;0.36592549085617065,-0.12348932772874832,0.033145856112241745,-0.04532523825764656
;-84.38248443603516;-0.000006245607892196858,1.428482221399463e-8,-0.0023208593484014273,-0.010749699547886848;2.8824856390663456e-10,0.22003503143787384,0.02325449138879776,-0.44817233085632324;0.3656405508518219,-0.12349623441696167,0.0331280454993248,-0.04532575607299805
;-84.38431549072266;-0.000006249030775506981,1.4265142844749334e-8,-0.0023223639000207186,-0.010702123865485191;2.878547122886488e-10,0.22002892196178436,0.023140253499150276,-0.44783613085746765;0.3653566539287567,-0.12350312620401382,0.033110231161117554,-0.04532627761363983
;-84.38614654541016;-0.0000062524404711439274,1.4245545187918651e-8,-0.0023238679859787226,-0.010654760524630547;2.8746233171617064e-10,0.22002284228801727,0.023026632145047188,-0.4474998116493225;0.3650738298892975,-0.12351001799106598,0.03309240564703941,-0.04532679542899132
;-84.38796997070312;-0.000006255821972445119,1.4225967959191621e-8,-0.0023253702092915773,-0.010607615113258362;2.870701454327218e-10,0.22001677751541138,0.022913524881005287,-0.44716352224349976;0.36479082703590393,-0.12351691722869873,0.03307458013296127,-0.045327309519052505
;-84.38978576660156;-0.000006259214387682732,1.4206537279903841e-8,-0.002326870569959283,-0.010560677386820316;2.866819004410104e-10,0.22001072764396667,0.022801129147410393,-0.44682708382606506;0.36451005935668945,-0.12352380901575089,0.03305673971772194,-0.04532782733440399
;-84.3916015625;-0.000006262580882321345,1.4187124364184456e-8,-0.0023283702321350574,-0.010513953864574432;2.8629346116026966e-10,0.22000476717948914,0.022689243778586388,-0.44649073481559753;0.3642292022705078,-0.12353070825338364,0.033038899302482605,-0.04532833769917488
;-84.39340209960938;-0.000006265936463023536,1.4167794049058102e-8,-0.0023298687301576138,-0.010467441752552986;2.8590685374751956e-10,0.21999876201152802,0.02257796749472618,-0.4461542069911957;0.36394938826560974,-0.12353761494159698,0.033021047711372375,-0.04532885178923607
;-84.39520263671875;-0.0000062692865867575165,1.414855077541688e-8,-0.002331366064026952,-0.010421136394143105;2.8552249453639433e-10,0.2199927717447281,0.022467289119958878,-0.44581758975982666;0.36367055773735046,-0.12354450672864914,0.03300318866968155,-0.04532935470342636
;-84.39700317382812;-0.000006272592599998461,1.412932615352247e-8,-0.002332862699404359,-0.01037504617124796;2.851379687918154e-10,0.21998684108257294,0.022357113659381866,-0.4454810321331024;0.3633916676044464,-0.12355140596628189,0.032985325902700424,-0.04532986506819725
;-84.39878845214844;-0.000006275909527175827,1.4110183244042673e-8,-0.002334357239305973,-0.010329159907996655;2.847552471596515e-10,0.2199808955192566,0.02224753238260746,-0.44514432549476624;0.3631138801574707,-0.12355832010507584,0.0329674556851387,-0.04533037170767784
;-84.40057373046875;-0.0000062791959862806834,1.4091122935155909e-8,-0.0023358503822237253,-0.01028348132967949;2.8437441290662946e-10,0.21997500956058502,0.022138545289635658,-0.44480758905410767;0.3628370463848114,-0.12356521934270859,0.032949574291706085,-0.045330870896577835
;-84.40235900878906;-0.000006282467438722961,1.4072086607086476e-8,-0.0023373423609882593,-0.010238012298941612;2.839937729426367e-10,0.21996906399726868,0.022030051797628403,-0.44447091221809387;0.36256012320518494,-0.12357211858034134,0.03293168917298317,-0.045331377536058426
;-84.40413665771484;-0.000006285695235419553,1.4053068042585437e-8,-0.002338832477107644,-0.01019275188446045;2.836137158457319e-10,0.21996313333511353,0.021922048181295395,-0.4441341459751129;0.3622830808162689,-0.12357903271913528,0.03291379287838936,-0.04533188045024872
;-84.4059066772461;-0.000006288952135946602,1.4034195139345229e-8,-0.0023403216619044542,-0.010147688910365105;2.8323673961772045e-10,0.21995730698108673,0.021814730018377304,-0.44379720091819763;0.36200833320617676,-0.12358593940734863,0.03289589658379555,-0.04533237963914871
;-84.40767669677734;-0.000006292171292443527,1.4015341776030255e-8,-0.0023418087512254715,-0.010102832689881325;2.828600131898895e-10,0.21995145082473755,0.021707894280552864,-0.4434603154659271;0.3617333471775055,-0.12359285354614258,0.03287798911333084,-0.045332882553339005
;-84.4094467163086;-0.000006295356342889136,1.3996510617175772e-8,-0.0023432946763932705,-0.01005818322300911;2.8248339778436105e-10,0.21994557976722717,0.021601542830467224,-0.44312340021133423;0.36145833134651184,-0.12359976768493652,0.032860077917575836,-0.045333381742239
;-84.41120910644531;-0.000006298502739809919,1.3977697221889684e-8,-0.0023447780404239893,-0.010013740509748459;2.8210705993458873e-10,0.2199397087097168,0.021495677530765533,-0.44278642535209656;0.36118319630622864,-0.12360668182373047,0.03284215182065964,-0.045333877205848694
;-84.4129638671875;-0.000006301674147835001,1.3959028599686008e-8,-0.0023462597746402025,-0.009969489648938179;2.8173413602061714e-10,0.21993395686149597,0.021390480920672417,-0.4424493908882141;0.3609102666378021,-0.12361360341310501,0.03282422199845314,-0.04533437266945839
;-84.41471862792969;-0.0000063048137235455215,1.3940380405585984e-8,-0.002347740810364485,-0.00992544461041689;2.813614341512505e-10,0.21992811560630798,0.021285763010382652,-0.4421122968196869;0.36063721776008606,-0.12362051755189896,0.032806288450956345,-0.045334868133068085
;-84.41647338867188;-0.000006307916919467971,1.3921752639589613e-8,-0.0023492195177823305,-0.009881600737571716;2.809889265709131e-10,0.21992231905460358,0.021181518211960793,-0.44177520275115967;0.36036399006843567,-0.1236274391412735,0.032788343727588654,-0.04533536359667778
;-84.41822814941406;-0.000006310985554591753,1.3903143525340056e-8,-0.0023506951984018087,-0.00983795989304781;2.806166410351807e-10,0.21991652250289917,0.021077748388051987,-0.44143807888031006;0.3600907623767853,-0.12363436818122864,0.03277039900422096,-0.045335859060287476
;-84.41996765136719;-0.000006314056008704938,1.3884616123505111e-8,-0.002352170180529356,-0.009794513694941998;2.8024613185628766e-10,0.21991077065467834,0.020974542945623398,-0.4411008954048157;0.35981854796409607,-0.12364129722118378,0.03275243937969208,-0.04533635079860687
