voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-83.64522552490234;-0.000004421465291670756,3.1206965900310024e-8,-0.0016791485249996185,-0.05156482383608818;4.682094711938589e-10,0.220889151096344,0.08643609285354614,-0.5733327269554138;0.4732803404331207,-0.12113621085882187,0.039350178092718124,-0.045185841619968414
;-83.64871978759766;-0.0000044403059291653335,3.077223098557624e-8,-0.001681760186329484,-0.05133349075913429;4.672779940761984e-10,0.22087758779525757,0.08600807189941406,-0.5727491974830627;0.4728150963783264,-0.12114638090133667,0.03932270035147667,-0.045186836272478104
;-83.65219116210938;-0.00000445900241174968,3.0356709146417415e-8,-0.0016843663761392236,-0.051103152334690094;4.663509023394852e-10,0.22086602449417114,0.08558236807584763,-0.5721846222877502;0.47235164046287537,-0.12115629017353058,0.03929606452584267,-0.045187823474407196
;-83.65564727783203;-0.000004477600214158883,2.9959554836977986e-8,-0.0016869677929207683,-0.0508737713098526;4.6543024989631476e-10,0.22085458040237427,0.08515924960374832,-0.5716005563735962;0.4718908667564392,-0.12116645276546478,0.039268553256988525,-0.04518881067633629
;-83.65908813476562;-0.0000044960602281207684,2.9579801719137322e-8,-0.0016895639710128307,-0.0506453663110733;4.645152040794187e-10,0.220843106508255,0.08473845571279526,-0.5710164308547974;0.47143200039863586,-0.12117662280797958,0.03924101963639259,-0.045189786702394485
;-83.66251373291016;-0.000004514397915045265,2.9216613128824065e-8,-0.0016921547940000892,-0.0504179522395134;4.6360515426613347e-10,0.2208317667245865,0.08431994169950485,-0.5704512000083923;0.4709748923778534,-0.1211865246295929,0.03921433165669441,-0.04519076645374298
;-83.66592407226562;-0.000004532607817964163,2.8869191481817325e-8,-0.0016947407275438309,-0.05019151791930199;4.627000449453078e-10,0.22082042694091797,0.0839037373661995,-0.5698859095573425;0.4705196022987366,-0.1211964339017868,0.03918762877583504,-0.04519173502922058
;-83.66931915283203;-0.0000045506885726354085,2.8536778273746677e-8,-0.001697321655228734,-0.04996601119637489;4.6179934876100504e-10,0.2208091765642166,0.0834897980093956,-0.5693395137786865;0.4700660705566406,-0.12120608240365982,0.039161767810583115,-0.04519269987940788
;-83.67269134521484;-0.000004568662006931845,2.8218741121577295e-8,-0.0016998975770547986,-0.04974149167537689;4.609062020932697e-10,0.22079797089099884,0.08307839184999466,-0.5687928199768066;0.4696153402328491,-0.12121572345495224,0.03913589194417,-0.045193661004304886
;-83.6760482788086;-0.000004586520844895858,2.791430731008404e-8,-0.0017024688422679901,-0.0495179183781147;4.6001738529533043e-10,0.22078686952590942,0.0826692283153534,-0.568246066570282;0.46916642785072327,-0.12122536450624466,0.03911000117659569,-0.04519461467862129
;-83.67938995361328;-0.00000460425599158043,2.7622826692663693e-8,-0.001705035101622343,-0.04929531365633011;4.5913409185693865e-10,0.2207757830619812,0.082262322306633,-0.567699134349823;0.46871936321258545,-0.12123501300811768,0.039084095507860184,-0.0451955683529377
;-83.68270874023438;-0.000004621869720722316,2.7343675768065623e-8,-0.0017075963551178575,-0.04907366633415222;4.582551005327673e-10,0.22076475620269775,0.08185762912034988,-0.5671519041061401;0.4682740867137909,-0.1212446540594101,0.03905817121267319,-0.04519651457667351
;-83.6860122680664;-0.0000046393861339311115,2.707635005094744e-8,-0.001710153534077108,-0.048852939158678055;4.5738302034692424e-10,0.2207537740468979,0.08145542442798615,-0.5666044354438782;0.467831552028656,-0.12125428020954132,0.039032232016325,-0.04519745334982872
;-83.68930053710938;-0.000004656787950807484,2.6820202947419602e-8,-0.0017127065220847726,-0.0486331582069397;4.5651588065354076e-10,0.22074289619922638,0.0810554176568985,-0.5660568475723267;0.4673909544944763,-0.12126390635967255,0.03900627791881561,-0.045198384672403336
;-83.69257354736328;-0.000004674071533372626,2.6574697997716612e-8,-0.0017152547370642424,-0.048414330929517746;4.556535704303144e-10,0.22073203325271606,0.08065761625766754,-0.5655091404914856;0.4669521450996399,-0.12127353996038437,0.038980308920145035,-0.04519931972026825
;-83.69583892822266;-0.000004691244612331502,2.633932894013924e-8,-0.0017177984118461609,-0.048196449875831604;4.5479608967724516e-10,0.22072121500968933,0.08026199787855148,-0.5649418234825134;0.46651503443717957,-0.12128341943025589,0.03895345702767372,-0.04520024359226227
;-83.69908905029297;-0.0000047082735363801476,2.6113525564142037e-8,-0.001720336964353919,-0.047979529947042465;4.5394146774846433e-10,0.22071045637130737,0.07986830919981003,-0.5643745064735413;0.4660787582397461,-0.1212933138012886,0.03892658278346062,-0.045201171189546585
;-83.70233154296875;-0.0000047251760406652465,2.58968277933036e-8,-0.0017228698125109076,-0.04776357486844063;4.530896768883963e-10,0.220699742436409,0.07947653532028198,-0.5638262629508972;0.46564343571662903,-0.12130295485258102,0.03890056535601616,-0.045202095061540604
;-83.70555877685547;-0.000004741963948617922,2.568888213261289e-8,-0.0017253973055630922,-0.047548554837703705;4.5224265998733415e-10,0.22068902850151062,0.07908692210912704,-0.5632777810096741;0.4652097821235657,-0.12131258100271225,0.03887452930212021,-0.045203011482954025
;-83.70877838134766;-0.000004758651357406052,2.5489271138212644e-8,-0.001727920025587082,-0.0473344661295414;4.514004725564291e-10,0.2206783890724182,0.07869945466518402,-0.5627292394638062;0.46477800607681274,-0.12132220715284348,0.038848478347063065,-0.04520392045378685
;-83.71198272705078;-0.000004775191882799845,2.5297515193756226e-8,-0.001730437157675624,-0.0471213161945343;4.5056050557157334e-10,0.220667764544487,0.07831389456987381,-0.5621805191040039;0.46434709429740906,-0.1213318482041359,0.03882240876555443,-0.04520483314990997
;-83.71517181396484;-0.000004791639639734058,2.5113326529435653e-8,-0.0017329489346593618,-0.04690909758210182;4.49725923168387e-10,0.22065721452236176,0.07793045789003372,-0.5616315603256226;0.46391794085502625,-0.12134148925542831,0.038796328008174896,-0.0452057421207428
;-83.71835327148438;-0.000004807957793673268,2.4936259279684236e-8,-0.0017354544252157211,-0.046697814017534256;4.488940885671866e-10,0.2206466794013977,0.07754890620708466,-0.5610826015472412;0.4634896516799927,-0.12135111540555954,0.03877022862434387,-0.045206643640995026
;-83.72152709960938;-0.000004824161806027405,2.4766050543689744e-8,-0.0017379556084051728,-0.04648744314908981;4.480664728134798e-10,0.22063617408275604,0.07716946303844452,-0.5605334043502808;0.4630630910396576,-0.12136075645685196,0.038744110614061356,-0.04520754516124725
