voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-83.02912139892578;-0.0000034539675652922597,1.585655979852163e-7,-0.0016417859587818384,-0.06316226720809937;6.510084138433569e-10,0.2225653976202011,0.13291002810001373,-0.5906815528869629;0.5538946390151978,-0.12047448754310608,0.040359482169151306,-0.045025888830423355
;-83.03816223144531;-0.0000034788768061844166,1.5226855509808956e-7,-0.001643844530917704,-0.06290797889232635;6.481212788678192e-10,0.222534641623497,0.13209828734397888,-0.5901178121566772;0.5527711510658264,-0.12048816680908203,0.040330979973077774,-0.045028507709503174
;-83.04706573486328;-0.000003503706693663844,1.4627542554990214e-7,-0.0016459173057228327,-0.06265398859977722;6.452842704618433e-10,0.2225043922662735,0.1312953382730484,-0.5895527005195618;0.5516635775566101,-0.12050177156925201,0.04030245915055275,-0.04503108933568001
;-83.05583953857422;-0.0000035284658679302083,1.4057145847345964e-7,-0.001648003701120615,-0.06240031123161316;6.424982212926977e-10,0.2224745899438858,0.13050112128257751,-0.5889860987663269;0.5505721569061279,-0.12051530927419662,0.040273915976285934,-0.04503362998366356
;-83.06449127197266;-0.0000035531161302060355,1.351419030015677e-7,-0.001650102436542511,-0.062147028744220734;6.397568586002933e-10,0.22244521975517273,0.1297149658203125,-0.5884183049201965;0.5494949817657471,-0.12052877992391586,0.040245357900857925,-0.045036133378744125
;-83.0730209350586;-0.0000035776797631115187,1.2997350040677702e-7,-0.0016522123478353024,-0.06189413741230965;6.370601268734788e-10,0.22241626679897308,0.12893682718276978,-0.5878491401672363;0.548431932926178,-0.12054218351840973,0.040216777473688126,-0.045038603246212006
;-83.08142852783203;-0.000003602159722504439,1.2505356039582693e-7,-0.001654333551414311,-0.06164165958762169;6.344084146903128e-10,0.22238773107528687,0.12816670536994934,-0.5872787237167358;0.5473832488059998,-0.12055552750825882,0.04018818214535713,-0.0450410358607769
;-83.0897216796875;-0.0000036265425933379447,1.203700747964831e-7,-0.0016564651159569621,-0.061389561742544174;6.31800667338922e-10,0.22235959768295288,0.12740452587604523,-0.5867070555686951;0.5463488698005676,-0.12056881189346313,0.04015955701470375,-0.04504343494772911
;-83.097900390625;-0.000003650817006928264,1.1591093596052815e-7,-0.0016586072742938995,-0.06113796308636665;6.292326104606616e-10,0.22233182191848755,0.1266496479511261,-0.5861342549324036;0.545326828956604,-0.12058203667402267,0.040130916982889175,-0.045045800507068634
;-83.10597229003906;-0.000003675002972158836,1.1166559943376342e-7,-0.001660758862271905,-0.06088681519031525;6.267056318343123e-10,0.22230441868305206,0.12590232491493225,-0.5855602622032166;0.5443183183670044,-0.12059520184993744,0.040102262049913406,-0.04504813253879547
;-83.11393737792969;-0.0000036990797980251955,1.0762343549686193e-7,-0.00166291871573776,-0.06063615530729294;6.24217788569581e-10,0.2222774475812912,0.1251622587442398,-0.5849851965904236;0.5433222651481628,-0.12060831487178802,0.04007358103990555,-0.04505043849349022
;-83.1218032836914;-0.000003723058853211114,1.0377462444921548e-7,-0.0016650875331833959,-0.06038599833846092;6.217681369768968e-10,0.2222507745027542,0.1244293823838234,-0.5844281315803528;0.5423386693000793,-0.12062112241983414,0.04004572704434395,-0.04505271464586258
;-83.12956237792969;-0.0000037469326343853027,1.0010954554218188e-7,-0.0016672646161168814,-0.06013638153672218;6.193549006994203e-10,0.22222453355789185,0.12370337545871735,-0.5838698148727417;0.541366696357727,-0.12063389271497726,0.040017854422330856,-0.045054953545331955
;-83.13722229003906;-0.0000037706886359956115,9.66193027807094e-8,-0.0016694489168003201,-0.05988731235265732;6.169768584918245e-10,0.22219853103160858,0.12298416346311569,-0.5833107233047485;0.5404064059257507,-0.12064659595489502,0.03998996317386627,-0.04505717009305954
;-83.14478302001953;-0.0000037943686947983224,9.329571781790946e-8,-0.0016716406680643559,-0.059638746082782745;6.146372855120319e-10,0.22217294573783875,0.12227208912372589,-0.5827503204345703;0.5394585132598877,-0.1206592544913292,0.039962057024240494,-0.04505935683846474
;-83.15225219726562;-0.0000038179277908056974,9.013022150838879e-8,-0.0016738398699089885,-0.05939077213406563;6.123310747341293e-10,0.2221476435661316,0.12156644463539124,-0.5821890234947205;0.5385215878486633,-0.12067186832427979,0.039934128522872925,-0.04506151005625725
;-83.15962982177734;-0.000003841379111690912,8.711518262316531e-8,-0.0016760460566729307,-0.05914335697889328;6.100571714462433e-10,0.2221226692199707,0.12086721509695053,-0.5816458463668823;0.5375952124595642,-0.1206841766834259,0.039907027035951614,-0.04506364464759827
;-83.16691589355469;-0.000003864717200485757,8.424337494261636e-8,-0.0016782580642029643,-0.05889653414487839;6.078154646260714e-10,0.22209800779819489,0.12017439305782318,-0.5811017155647278;0.5366796851158142,-0.12069645524024963,0.03987991064786911,-0.0450657457113266
;-83.17411041259766;-0.000003887955699610757,8.150784935878619e-8,-0.001680476008914411,-0.058650318533182144;6.056073420523944e-10,0.22207370400428772,0.11948791146278381,-0.5805566310882568;0.5357748866081238,-0.12070867419242859,0.039852775633335114,-0.04506782442331314
;-83.18122863769531;-0.000003911073690687772,7.890183439940301e-8,-0.0016827001236379147,-0.058404721319675446;6.034279742550552e-10,0.22204959392547607,0.11880743503570557,-0.5800105929374695;0.5348798632621765,-0.12072086334228516,0.03982562571763992,-0.045069873332977295
;-83.1882553100586;-0.00000393408527088468,7.641907728839215e-8,-0.0016849295934662223,-0.05815976858139038;6.012795261689519e-10,0.22202587127685547,0.11813299357891083,-0.5794637799263;0.5339947938919067,-0.12073300033807755,0.03979845345020294,-0.04507190361618996
;-83.19520568847656;-0.0000039569799810124096,7.405365209933734e-8,-0.0016871643019840121,-0.057915445417165756;5.991601659260937e-10,0.222002312541008,0.11746452003717422,-0.5789159536361694;0.5331194996833801,-0.12074510008096695,0.03977126628160477,-0.04507390782237053
;-83.20207977294922;-0.0000039797546378395054,7.179969685466858e-8,-0.0016894026193767786,-0.057671792805194855;5.970683392142462e-10,0.22197914123535156,0.1168016642332077,-0.5783674120903015;0.5322532653808594,-0.12075715512037277,0.0397440642118454,-0.04507589340209961
;-83.20886993408203;-0.000004002429250249406,6.965202459241482e-8,-0.0016916462918743491,-0.05742876976728439;5.950053227898877e-10,0.22195619344711304,0.11614473164081573,-0.5778180956840515;0.5313968658447266,-0.12076918035745621,0.03971683979034424,-0.0450778529047966
;-83.21559143066406;-0.000004024965164717287,6.76051641335107e-8,-0.0016938941553235054,-0.05718645825982094;5.929672863835833e-10,0.2219335287809372,0.11549306660890579,-0.5772679448127747;0.5305485129356384,-0.12078116834163666,0.039689600467681885,-0.0450797863304615
;-83.22224426269531;-0.000004047391485073604,6.565443300132756e-8,-0.0016961453948169947,-0.0569448247551918;5.909562283967773e-10,0.22191104292869568,0.11484698951244354,-0.5767170786857605;0.5297090411186218,-0.12079311907291412,0.03966234251856804,-0.04508170485496521
;-83.22882080078125;-0.000004069692295161076,6.37950563486811e-8,-0.0016983997775241733,-0.05670388787984848;5.889689846938495e-10,0.22188885509967804,0.11420614272356033,-0.5761653184890747;0.5288776755332947,-0.1208050400018692,0.0396350659430027,-0.04508360102772713
;-83.23533630371094;-0.0000040918675949797034,6.202262170518225e-8,-0.0017006575362756848,-0.056463658809661865;5.870063324309172e-10,0.22186684608459473,0.11357050389051437,-0.5756129622459412;0.5280543565750122,-0.1208169236779213,0.03960777074098587,-0.04508547857403755
;-83.24178314208984;-0.000004113899194635451,6.033278054928815e-8,-0.0017029173905029893,-0.05622415244579315;5.850656625838724e-10,0.2218450903892517,0.11293977499008179,-0.5750598311424255;0.527238130569458,-0.120828777551651,0.039580460637807846,-0.045087333768606186
;-83.24816131591797;-0.0000041358293856319506,5.872189134947803e-8,-0.0017051793402060866,-0.05598532408475876;5.831507499109989e-10,0.22182360291481018,0.11231449991464615,-0.5745059847831726;0.5264310240745544,-0.12084059417247772,0.03955313190817833,-0.04508917033672333
;-83.25447845458984;-0.000004157639978075167,5.71858471687392e-8,-0.0017074447823688388,-0.05574724078178406;5.812576531205593e-10,0.22180232405662537,0.11169406026601791,-0.5739515423774719;0.5256309509277344,-0.12085239589214325,0.03952578455209732,-0.045090992003679276
;-83.26073455810547;-0.000004179306415608153,5.572105266082872e-8,-0.0017097118543460965,-0.05550990253686905;5.793863722125536e-10,0.22178120911121368,0.11107846349477768,-0.5733963251113892;0.5248380303382874,-0.1208641529083252,0.039498426020145416,-0.04509279504418373
;-83.2669448852539;-0.000004200833245704416,5.432394800664042e-8,-0.0017119807889685035,-0.05527334660291672;5.775344091851764e-10,0.22176025807857513,0.11046736687421799,-0.5728405714035034;0.5240514874458313,-0.12087589502334595,0.03947104141116142,-0.045094579458236694
;-83.2730941772461;-0.000004222210463922238,5.299127892044453e-8,-0.001714249956421554,-0.05503755807876587;5.75700875860008e-10,0.2217395007610321,0.10986077785491943,-0.5722843408584595;0.5232709050178528,-0.12088761478662491,0.039443641901016235,-0.04509635269641876
;-83.27918243408203;-0.000004243472176312935,5.172009309717396e-8,-0.0017165198223665357,-0.05480251833796501;5.738888808615172e-10,0.22171899676322937,0.10925893485546112,-0.5717273354530334;0.5224976539611816,-0.12089931219816208,0.039416223764419556,-0.04509810730814934
;-83.28522491455078;-0.000004264597464498365,5.050730678135551e-8,-0.0017187909688800573,-0.054568253457546234;5.720958706767476e-10,0.22169862687587738,0.10866155475378036,-0.5711888670921326;0.5217306017875671,-0.12091071903705597,0.03938964754343033,-0.04509984329342842
;-83.29120635986328;-0.0000042855804167629685,4.9350131092751326e-8,-0.001721062115393579,-0.054334744811058044;5.703210681495818e-10,0.22167842090129852,0.10806860029697418,-0.5706499218940735;0.5209697484970093,-0.12092211097478867,0.03936305269598961,-0.04510156437754631
;-83.29712677001953;-0.000004306462869863026,4.824601518294003e-8,-0.0017233340768143535,-0.05410199984908104;5.685681925271524e-10,0.22165843844413757,0.10748032480478287,-0.5701293349266052;0.520216166973114,-0.12093321979045868,0.03933729976415634,-0.045103270560503006
;-83.3030014038086;-0.000004327213446231326,4.719230162208987e-8,-0.0017256067367270589,-0.05387002229690552;5.668334135400244e-10,0.22163867950439453,0.10689643770456314,-0.5695700645446777;0.5194689035415649,-0.12094481289386749,0.03930981457233429,-0.045104965567588806
;-83.30883026123047;-0.000004347813955973834,4.6186457325347874e-8,-0.0017278804443776608,-0.05363883450627327;5.651150658536608e-10,0.22161905467510223,0.10631665587425232,-0.5690292119979858;0.5187268257141113,-0.12095613032579422,0.03928316757082939,-0.045106638222932816
;-83.31460571289062;-0.00000436829577665776,4.522629382108789e-8,-0.0017301536863669753,-0.0534084290266037;5.634146482691449e-10,0.22159956395626068,0.1057412177324295,-0.5685070753097534;0.5179911255836487,-0.12096717208623886,0.03925736993551254,-0.04510829970240593
;-83.32032775878906;-0.0000043886370804102626,4.43095196089871e-8,-0.0017324271611869335,-0.0531788095831871;5.617313281192082e-10,0.22158029675483704,0.10516981780529022,-0.5679844617843628;0.5172606706619263,-0.12097819149494171,0.0392315536737442,-0.04510994628071785
;-83.32600402832031;-0.000004408855602378026,4.343418424923584e-8,-0.0017347006360068917,-0.05294996127486229;5.600656605153631e-10,0.22156114876270294,0.10460270941257477,-0.5674611926078796;0.51653653383255,-0.12098919600248337,0.03920571878552437,-0.045111581683158875
;-83.33163452148438;-0.000004428945885592839,4.259817387719522e-8,-0.0017369742272421718,-0.05272192135453224;5.584162021676775e-10,0.22154220938682556,0.10403959453105927,-0.5669374465942383;0.5158177614212036,-0.12100017070770264,0.03917986899614334,-0.04511319845914841
;-83.33721160888672;-0.000004448926574696088,4.17997370050216e-8,-0.00173924770206213,-0.05249463766813278;5.56784285343781e-10,0.2215234488248825,0.1034807339310646,-0.5664131045341492;0.5151053667068481,-0.12101111561059952,0.03915400803089142,-0.045114800333976746
;-83.3427505493164;-0.000004468750830710633,4.103685569134541e-8,-0.001741520594805479,-0.05226816609501839;5.551669679526583e-10,0.2215047925710678,0.10292555391788483,-0.5658884048461914;0.5143973231315613,-0.1210220530629158,0.039128124713897705,-0.04511639475822449
;-83.3482437133789;-0.0000044884541239298414,4.030794187315223e-8,-0.0017437932547181845,-0.05204250290989876;5.53564860616973e-10,0.22148630023002625,0.10237433016300201,-0.5653632283210754;0.5136946439743042,-0.12103297561407089,0.039102230221033096,-0.045117974281311035
;-83.35369110107422;-0.000004508030087890802,3.9611368407577174e-8,-0.001746065099723637,-0.0518176406621933;5.519786294705398e-10,0.221467986702919,0.1018269956111908,-0.564837634563446;0.5129973292350769,-0.1210438683629036,0.039076320827007294,-0.04511953890323639
