voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-84.23710632324219;-0.000006508453225251287,1.5774906714227654e-8,-0.002341662533581257,-0.011178463697433472;3.181934993268243e-10,0.2230440080165863,0.02690698578953743,-0.47947585582733154;0.3860187530517578,-0.1228705570101738,0.034809764474630356,-0.04517534375190735
;-84.23907470703125;-0.000006512358140753349,1.5752936732837952e-8,-0.0023431882727891207,-0.011129056103527546;3.17753684475619e-10,0.22303743660449982,0.026776518672704697,-0.47907769680023193;0.3857245147228241,-0.12287814915180206,0.03478942811489105,-0.04517589882016182
;-84.24104309082031;-0.0000065162303144461475,1.5730989844087162e-8,-0.0023447119165211916,-0.01107987854629755;3.1731420269132116e-10,0.22303085029125214,0.026646636426448822,-0.47866541147232056;0.38543015718460083,-0.12288597226142883,0.03476838767528534,-0.04517645388841629
;-84.24301147460938;-0.000006520051101688296,1.5709064271618445e-8,-0.0023462323006242514,-0.011030926369130611;3.16874887440477e-10,0.22302427887916565,0.02651732787489891,-0.47827577590942383;0.38513562083244324,-0.12289343774318695,0.03474844992160797,-0.04517701268196106
;-84.24496459960938;-0.000006523864158225479,1.568722218792118e-8,-0.0023477498907595873,-0.010982192121446133;3.1643759834665275e-10,0.22301770746707916,0.026388712227344513,-0.47789427638053894;0.3848421275615692,-0.12290079146623611,0.03472891077399254,-0.045177560299634933
;-84.24691772460938;-0.000006527672212541802,1.5665468922065884e-8,-0.0023492658510804176,-0.01093367487192154;3.1600230765427284e-10,0.22301122546195984,0.026260776445269585,-0.47748976945877075;0.38454970717430115,-0.12290848791599274,0.034708231687545776,-0.045178115367889404
;-84.24887084960938;-0.000006531425242428668,1.56437387488495e-8,-0.0023507799487560987,-0.010885381139814854;3.1556721125092224e-10,0.2230045646429062,0.026133408769965172,-0.4770839214324951;0.384257048368454,-0.12291620671749115,0.034687478095293045,-0.04517866671085358
;-84.25082397460938;-0.0000065351473494956736,1.562202811555835e-8,-0.0023522921837866306,-0.010837309993803501;3.151323924033278e-10,0.22299806773662567,0.026006611064076424,-0.47670143842697144;0.38396427035331726,-0.1229235827922821,0.03466787189245224,-0.04517921805381775
;-84.25276184082031;-0.000006538857178384205,1.5600402747395492e-8,-0.0023538018576800823,-0.010789452120661736;3.1469951644602645e-10,0.22299157083034515,0.0258804839104414,-0.47631698846817017;0.3836725354194641,-0.12293098121881485,0.034648165106773376,-0.04517976567149162
;-84.25469970703125;-0.000006542559276567772,1.5578866197074603e-8,-0.002355310134589672,-0.010741809383034706;3.142686111345938e-10,0.22298510372638702,0.025755029171705246,-0.47592613101005554;0.38338175415992737,-0.12293847650289536,0.03462813422083855,-0.0451803132891655
;-84.25663757324219;-0.000006546219992742408,1.5557350963035788e-8,-0.0023568167816847563,-0.01069438736885786;3.138379556233417e-10,0.2229786515235901,0.025630129501223564,-0.4755277633666992;0.38309094309806824,-0.12294609099626541,0.034607719630002975,-0.04518085718154907
;-84.25857543945312;-0.000006549826139234938,1.5535855268922205e-8,-0.0023583208676427603,-0.0106471823528409;3.1340754991227016e-10,0.22297215461730957,0.02550579234957695,-0.47513076663017273;0.3827999234199524,-0.12295369803905487,0.03458736836910248,-0.045181408524513245
;-84.26051330566406;-0.00000655340818411787,1.5514380891090696e-8,-0.002359822392463684,-0.010600193403661251;3.1297739400137914e-10,0.22296567261219025,0.025382012128829956,-0.47475582361221313;0.382508784532547,-0.12296096235513687,0.034568097442388535,-0.04518195241689682
;-84.26243591308594;-0.0000065569684011279605,1.5492993554744316e-8,-0.0023613220546394587,-0.01055341400206089;3.125491809807812e-10,0.22295917570590973,0.025258885696530342,-0.47437071800231934;0.38221871852874756,-0.12296836823225021,0.0345483273267746,-0.045182496309280396
;-84.26435852050781;-0.0000065605281633907,1.547168793081255e-8,-0.0023628196213394403,-0.010506844148039818;3.1212246676126654e-10,0.22295278310775757,0.025136413052678108,-0.4739852845668793;0.38192954659461975,-0.12297580391168594,0.03452852740883827,-0.04518304020166397
