voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-84.14261627197266;-0.000006752264198439661,1.686564665703827e-8,-0.002326615620404482,-0.012243845500051975;3.399724113339886e-10,0.22361548244953156,0.029572689905762672,-0.4959913194179535;0.4002944231033325,-0.12254876643419266,0.035657044500112534,-0.0451376847922802
;-84.14476776123047;-0.000006755886261089472,1.684082029385081e-8,-0.0023281583562493324,-0.01218973658978939;3.394763914421617e-10,0.22360828518867493,0.029429124668240547,-0.4955582320690155;0.3999786078929901,-0.12255682051181793,0.03563528135418892,-0.04513828828930855
;-84.14691925048828;-0.000006759487405361142,1.6816086301219002e-8,-0.0023296985309571028,-0.012135866098105907;3.3898242546293034e-10,0.2236010879278183,0.02928631566464901,-0.49512872099876404;0.3996637165546417,-0.12256482988595963,0.035613685846328735,-0.045138899236917496
;-84.1490707397461;-0.000006763040801160969,1.6791380730296623e-8,-0.0023312363773584366,-0.012082245200872421;3.384887925506064e-10,0.22359386086463928,0.029144134372472763,-0.4947032630443573;0.39934873580932617,-0.12257277965545654,0.03559228032827377,-0.045139506459236145
;-84.1512222290039;-0.000006766552814951865,1.6766703581083675e-8,-0.002332771895453334,-0.012028869241476059;3.3799543719403857e-10,0.22358667850494385,0.029002586379647255,-0.4942711889743805;0.3990335762500763,-0.12258082628250122,0.03557054325938225,-0.045140113681554794
;-84.15337371826172;-0.000006770026629965287,1.6742053077223318e-8,-0.0023343046195805073,-0.011975737288594246;3.3750238714880254e-10,0.22357946634292603,0.02886166423559189,-0.4938405156135559;0.39871829748153687,-0.1225888654589653,0.0355488546192646,-0.045140717178583145
;-84.155517578125;-0.000006773443146812497,1.671742921871555e-8,-0.002335834549739957,-0.011922850273549557;3.370096979260495e-10,0.22357222437858582,0.028721367940306664,-0.49343061447143555;0.3984028398990631,-0.12259659916162491,0.03552817180752754,-0.04514132812619209
;-84.15765380859375;-0.0000067768819462799,1.6692961679609652e-8,-0.0023373623844236135,-0.011870190501213074;3.365208112171558e-10,0.2235650271177292,0.02858191914856434,-0.4930185079574585;0.39808952808380127,-0.12260434776544571,0.03550737723708153,-0.045141931623220444
;-84.1597900390625;-0.000006780275271012215,1.6668519009499505e-8,-0.002338888356462121,-0.01181777473539114;3.3603181348595967e-10,0.22355784475803375,0.02844308875501156,-0.4926069378852844;0.3977760672569275,-0.12261209636926651,0.035486605018377304,-0.04514253884553909
;-84.16191101074219;-0.0000067836613197869156,1.6644170486301846e-8,-0.0023404124658554792,-0.011765590868890285;3.355452860009933e-10,0.2235507071018219,0.028304988518357277,-0.492197185754776;0.39746353030204773,-0.12261983007192612,0.03546591475605965,-0.045143138617277145
;-84.16403198242188;-0.000006787029178667581,1.6619916110016675e-8,-0.0023419351782649755,-0.01171364076435566;3.3506084018419813e-10,0.22354356944561005,0.02816760540008545,-0.4917788505554199;0.3971519470214844,-0.12262768298387527,0.03544479236006737,-0.0451437383890152
;-84.16615295410156;-0.000006790362931496929,1.6595686602727255e-8,-0.002343457192182541,-0.011661926284432411;3.345766996787347e-10,0.2235364466905594,0.02803083322942257,-0.49136069416999817;0.39684027433395386,-0.12263553589582443,0.035423677414655685,-0.04514433816075325
;-84.16826629638672;-0.0000067936425693915226,1.6571483740790427e-8,-0.0023449761793017387,-0.011610442772507668;3.340924203953932e-10,0.22352930903434753,0.02789466455578804,-0.49094444513320923;0.39652836322784424,-0.1226433739066124,0.03540264070034027,-0.0451449379324913
