voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;8.543758392333984;-1.6491037974815663e-16,0.010535200126469135,-0.9419199228286743,0.3778824508190155;0.08311700075864792,0.3886528015136719,0.19533902406692505,-0.10031179338693619;0.010737890377640724,-0.05931359529495239,0.06658700108528137,-0.0182642862200737
;8.510473251342773;-1.6792462590029986e-16,0.010545911267399788,-0.941634476184845,0.3785361349582672;0.08265513181686401,0.38863617181777954,0.19563636183738708,-0.10031019151210785;0.010769853368401527,-0.05934165045619011,0.06655431538820267,-0.018273932859301567
;8.477052688598633;-1.7100646263465603e-16,0.010556689463555813,-0.9413471221923828,0.3791891038417816;0.0821937769651413,0.38861972093582153,0.19593428075313568,-0.1003100797533989;0.010802040807902813,-0.059369780123233795,0.06652168929576874,-0.018283622339367867
;8.443496704101562;-1.7415792812425446e-16,0.010567530058324337,-0.9410577416419983,0.37984099984169006;0.08173302561044693,0.38860294222831726,0.19623276591300964,-0.10030941665172577;0.01083445455878973,-0.05939804017543793,0.06648886203765869,-0.01829334907233715
;8.409805297851562;-1.7738009439516902e-16,0.010578436776995659,-0.9407661557197571,0.380492240190506;0.08127281069755554,0.3885863125324249,0.1965317726135254,-0.10031116008758545;0.010867089033126831,-0.05942634120583534,0.06645618379116058,-0.01830311492085457
;8.375977516174316;-1.8067527755311486e-16,0.010589406825602055,-0.9404726028442383,0.38114288449287415;0.0808132141828537,0.3885694146156311,0.1968313604593277,-0.10031341016292572;0.010899964720010757,-0.05945473909378052,0.0664234310388565,-0.01831291988492012
;8.342013359069824;-1.840453304826641e-16,0.010600440204143524,-0.940176784992218,0.381792813539505;0.0803542286157608,0.38855254650115967,0.19713149964809418,-0.10031864792108536;0.010933059267699718,-0.059483155608177185,0.06639090925455093,-0.018322765827178955
;8.307913780212402;-1.8749177519614385e-16,0.010611535981297493,-0.9398792386054993,0.38244155049324036;0.07989588379859924,0.3885355293750763,0.19743220508098602,-0.10032317787408829;0.010966396890580654,-0.05951171740889549,0.06635817140340805,-0.018332650884985924
;8.273677825927734;-1.9101686162482023e-16,0.010622695088386536,-0.9395793080329895,0.38308918476104736;0.07943817228078842,0.38851848244667053,0.19773352146148682,-0.10032947361469269;0.010999958030879498,-0.05954033136367798,0.06632550805807114,-0.018342575058341026
;8.23930549621582;-1.9462258823705318e-16,0.010633916594088078,-0.9392772316932678,0.38373658061027527;0.07898108661174774,0.3885013163089752,0.19803538918495178,-0.10033770650625229;0.011033770628273487,-0.05956900119781494,0.06629293411970139,-0.018352538347244263
;8.204795837402344;-1.9831104614543123e-16,0.010645201429724693,-0.9389732480049133,0.3843832314014435;0.07852473855018616,0.38848409056663513,0.1983378380537033,-0.10034752637147903;0.011067810468375683,-0.05959773808717728,0.06626041978597641,-0.018362540751695633
;8.170148849487305;-2.0208427352298372e-16,0.010656547732651234,-0.9386670589447021,0.3850291967391968;0.07806900888681412,0.3884667754173279,0.1986408829689026,-0.10035531222820282;0.011102082207798958,-0.05962665006518364,0.06622754037380219,-0.018372584134340286
