voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-84.13085174560547;-0.000006771856988052605,1.700291996087344e-8,-0.0023236696142703295,-0.012404577806591988;3.427105543796216e-10,0.22367128729820251,0.030015872791409492,-0.4979672431945801;0.4020366966724396,-0.12251058220863342,0.03575733304023743,-0.04513365402817726
;-84.1330337524414;-0.000006775456768082222,1.6977665495687688e-8,-0.002325213048607111,-0.01234976202249527;3.4220612454838317e-10,0.22366400063037872,0.02987004444003105,-0.4975338876247406;0.40171727538108826,-0.1225186437368393,0.035735584795475006,-0.045134272426366806
;-84.13521575927734;-0.000006779036993975751,1.6952508730128102e-8,-0.002326755551621318,-0.012295190244913101;3.4170333229610605e-10,0.22365666925907135,0.029724979773163795,-0.497117817401886;0.40139877796173096,-0.12252643704414368,0.03571467474102974,-0.04513488709926605
;-84.13739776611328;-0.000006782557193218963,1.6927376833564267e-8,-0.002328295726329088,-0.012240863405168056;3.4120090086631194e-10,0.22364932298660278,0.029580553993582726,-0.49669507145881653;0.4010801613330841,-0.12253434956073761,0.035693421959877014,-0.0451355054974556
;-84.13957214355469;-0.000006786081485188333,1.690233730755608e-8,-0.0023298333398997784,-0.012186786159873009;3.4070010701547915e-10,0.22364206612110138,0.029436884447932243,-0.49625930190086365;0.40076252818107605,-0.12254244089126587,0.03567153960466385,-0.045136116445064545
;-84.14173889160156;-0.000006789546660002088,1.6877326203257326e-8,-0.0023313690908253193,-0.012132951989769936;3.40200062565188e-10,0.2236347794532776,0.0292938482016325,-0.4958283305168152;0.4004446864128113,-0.12255048006772995,0.03564987704157829,-0.04513673111796379
;-84.14390563964844;-0.00000679300501360558,1.685240924587106e-8,-0.0023329027462750673,-0.012079358100891113;3.397021552942192e-10,0.22362752258777618,0.02915155701339245,-0.4954078495502472;0.4001277983188629,-0.1225583478808403,0.03562871739268303,-0.04513734206557274
;-84.14607238769531;-0.00000679641652823193,1.6827518933837382e-8,-0.002334434073418379,-0.012026011012494564;3.392045255790066e-10,0.22362029552459717,0.029009902849793434,-0.49497002363204956;0.3998107612133026,-0.12256649881601334,0.03560670465230942,-0.045137953013181686
;-84.14823913574219;-0.000006799784841859946,1.6802655267156297e-8,-0.00233596283942461,-0.011972907930612564;3.3870720117512576e-10,0.22361299395561218,0.028868870809674263,-0.4945486783981323;0.39949363470077515,-0.12257439643144608,0.03558548539876938,-0.045138563960790634
;-84.15039825439453;-0.00000680314178680419,1.677788219467402e-8,-0.0023374890442937613,-0.011920043267309666;3.382119861949917e-10,0.22360582649707794,0.028728578239679337,-0.4941265881061554;0.3991774320602417,-0.12258230894804001,0.035564228892326355,-0.04513917490839958
;-84.15254974365234;-0.00000680646098771831,1.6753135767544336e-8,-0.0023390131536871195,-0.011867417953908443;3.377170210150382e-10,0.22359851002693176,0.02858891151845455,-0.4937123954296112;0.3988610804080963,-0.12259010225534439,0.03554333373904228,-0.04513978585600853
;-84.15470123291016;-0.000006809757451264886,1.672848526368398e-8,-0.002340535167604685,-0.011815027333796024;3.372241930144071e-10,0.22359128296375275,0.028449973091483116,-0.49328896403312683;0.3985457122325897,-0.12259802967309952,0.03552199527621269,-0.04514039680361748
;-84.15685272216797;-0.000006813007075834321,1.6703859628819373e-8,-0.002342055318877101,-0.01176287792623043;3.3673167032510776e-10,0.22358408570289612,0.028311649337410927,-0.49285468459129333;0.3982302248477936,-0.12260613590478897,0.035500116646289825,-0.04514100402593613
;-84.15899658203125;-0.000006816211680416018,1.667926063930736e-8,-0.002343572210520506,-0.011710969731211662;3.362394251915646e-10,0.22357681393623352,0.028173938393592834,-0.4924393892288208;0.39791449904441833,-0.12261395901441574,0.03547915443778038,-0.045141611248254776
;-84.1611328125;-0.0000068194408413546626,1.665481796919721e-8,-0.0023450874723494053,-0.011659281328320503;3.3575062174939774e-10,0.22356963157653809,0.028037063777446747,-0.4920254647731781;0.3976009488105774,-0.12262175232172012,0.03545824810862541,-0.04514221474528313
;-84.16326904296875;-0.0000068226249823055696,1.6630398391725976e-8,-0.0023466013371944427,-0.01160783227533102;3.352625121966213e-10,0.22356244921684265,0.02790079265832901,-0.49159011244773865;0.39728718996047974,-0.12262988090515137,0.035436298698186874,-0.045142821967601776
;-84.1654052734375;-0.000006825778200436616,1.660600901232101e-8,-0.0023481128737330437,-0.011556616984307766;3.347747079551766e-10,0.22355525195598602,0.027765125036239624,-0.49118173122406006;0.39697328209877014,-0.12263759970664978,0.0354156456887722,-0.04514342173933983
;-84.16753387451172;-0.000006828875029896153,1.6581642725554957e-8,-0.0023496218491345644,-0.011505639180541039;3.3428726453621493e-10,0.22354808449745178,0.027630064636468887,-0.49077075719833374;0.39665931463241577,-0.12264536321163177,0.035394858568906784,-0.04514402896165848
;-84.1696548461914;-0.000006831991413491778,1.655743275819077e-8,-0.0023511287290602922,-0.011454882100224495;3.338036236311126e-10,0.22354096174240112,0.027495820075273514,-0.49035733938217163;0.39634737372398376,-0.12265317142009735,0.035373952239751816,-0.04514462500810623
;-84.1717758178711;-0.000006835076874267543,1.6533251212536015e-8,-0.002352633746340871,-0.01140435691922903;3.3331981619255657e-10,0.22353383898735046,0.027362167835235596,-0.48994535207748413;0.3960353136062622,-0.12266094982624054,0.035353101789951324,-0.04514522850513458
;-84.17389678955078;-0.000006838104582129745,1.650909453587701e-8,-0.0023541373666375875,-0.011354058980941772;3.3283675815454217e-10,0.22352668642997742,0.02722911536693573,-0.4895404279232025;0.3957230746746063,-0.12266862392425537,0.03533259034156799,-0.045145828276872635
;-84.1760025024414;-0.0000068411300162551925,1.6485030229773656e-8,-0.002355638425797224,-0.011303992010653019;3.3235578178469893e-10,0.22351959347724915,0.027096757665276527,-0.4891338050365448;0.395411878824234,-0.122676320374012,0.035311996936798096,-0.04514642432332039
