voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;8.573161125183105;-1.6267531126325875e-16,0.010540591552853584,-0.9219492077827454,0.39470505714416504;0.08353043347597122,0.3874998390674591,0.19583925604820251,-0.10496160387992859;0.01070275530219078,-0.05920207500457764,0.06695376336574554,-0.01828472688794136
;8.540459632873535;-1.6559686024723684e-16,0.010551107116043568,-0.9216658473014832,0.3953692615032196;0.08307450264692307,0.3874836266040802,0.19613298773765564,-0.1049533560872078;0.010734048672020435,-0.05922979488968849,0.06692111492156982,-0.018294205889105797
;8.5076265335083;-1.6858266462119805e-16,0.01056168507784605,-0.9213801622390747,0.39603278040885925;0.0826190635561943,0.3874673843383789,0.19642724096775055,-0.1049451157450676;0.010765573009848595,-0.059257619082927704,0.06688833981752396,-0.018303724005818367
;8.474661827087402;-1.716346699139431e-16,0.010572328232228756,-0.9210925698280334,0.39669549465179443;0.08216419070959091,0.38745105266571045,0.19672204554080963,-0.10493484139442444;0.01079730223864317,-0.059285618364810944,0.06685519218444824,-0.018313279375433922
;8.44156551361084;-1.7475422608423169e-16,0.010583034716546535,-0.9208029508590698,0.3973570466041565;0.0817098319530487,0.38743463158607483,0.19701740145683289,-0.10492795705795288;0.010829264298081398,-0.05931363254785538,0.06682232022285461,-0.01832287386059761
;8.408337593078613;-1.7794335807020333e-16,0.010593803599476814,-0.9205114245414734,0.39801841974258423;0.08125609159469604,0.38741812109947205,0.19731327891349792,-0.10492268949747086;0.01086143683642149,-0.05934169888496399,0.06678950041532516,-0.018332507461309433
;8.374977111816406;-1.8120334965616872e-16,0.010604636743664742,-0.9202178120613098,0.39867910742759705;0.08080290257930756,0.38740161061286926,0.19760966300964355,-0.104917012155056;0.01089382916688919,-0.05936989188194275,0.06675649434328079,-0.01834217645227909
;8.341483116149902;-1.845364772431736e-16,0.010615531355142593,-0.9199221134185791,0.39933905005455017;0.08035026490688324,0.38738498091697693,0.19790664315223694,-0.10491297394037247;0.010926461778581142,-0.059398140758275986,0.06672357022762299,-0.018351886421442032
;8.307857513427734;-1.8794436872266346e-16,0.010626489296555519,-0.9196244478225708,0.399997740983963;0.07989829033613205,0.38736823201179504,0.19820420444011688,-0.10491137206554413;0.010959304869174957,-0.059426434338092804,0.06669079512357712,-0.018361633643507957
;8.27409839630127;-1.9142877110009203e-16,0.010637507773935795,-0.9193245768547058,0.4006553590297699;0.07944689691066742,0.38735148310661316,0.19850225746631622,-0.10490860044956207;0.010992390103638172,-0.059454869478940964,0.06665775924921036,-0.018371419981122017
;8.240206718444824;-1.9499186813227645e-16,0.010648590512573719,-0.9190229773521423,0.4013131260871887;0.07899615913629532,0.3873346447944641,0.1988009363412857,-0.10490920394659042;0.011025690473616123,-0.05948331952095032,0.06662498414516449,-0.01838124543428421
;8.206182479858398;-1.9863571122713585e-16,0.010659734718501568,-0.9187192916870117,0.4019692838191986;0.07854609936475754,0.3873176872730255,0.19910018146038055,-0.10490921884775162;0.011059225536882877,-0.05951189622282982,0.0665920078754425,-0.018391108140349388
;8.172024726867676;-2.0236199445056472e-16,0.010670939460396767,-0.918413519859314,0.40262463688850403;0.07809669524431229,0.38730061054229736,0.19940002262592316,-0.10491171479225159;0.011092997156083584,-0.059540506452322006,0.06655920296907425,-0.0184010099619627
;8.137733459472656;-2.0617304714316804e-16,0.01068220566958189,-0.9181057810783386,0.40327954292297363;0.07764795422554016,0.3872836232185364,0.19970041513442993,-0.10491559654474258;0.011127005331218243,-0.059569183737039566,0.06652642786502838,-0.018410949036478996
