voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-66.69639587402344;-0.0000058293944675824605,0.00024119905719999224,-0.006077767815440893,0.061121728271245956;6.445400657639766e-8,0.26976749300956726,0.766852080821991,-0.5182879567146301;1.8317853212356567,-0.10960255563259125,0.04427393153309822,-0.04042969271540642
;-67.01162719726562;-0.000005533165676752105,0.00023193118977360427,-0.005884458776563406,0.05638088285923004;6.01478404860245e-8,0.26887527108192444,0.7618076205253601,-0.520810604095459;1.8280726671218872,-0.10979786515235901,0.04424499347805977,-0.04052140936255455
;-67.32457733154297;-0.0000052531254368659575,0.0002229518722742796,-0.005698187276721001,0.05171183869242668;5.614161935341144e-8,0.26798495650291443,0.756608247756958,-0.5233120918273926;1.8234676122665405,-0.10999187082052231,0.044216036796569824,-0.04061248525977135
;-67.63508605957031;-0.000004988883574696956,0.00021425540035124868,-0.005518805701285601,0.04711592569947243;5.241507494702091e-8,0.26709720492362976,0.751255989074707,-0.5257601737976074;1.8179848194122314,-0.1101849228143692,0.04418553411960602,-0.04070287570357323
;-67.9429931640625;-0.000004740099484479288,0.0002058365207631141,-0.0053461468778550625,0.04259512946009636;4.894968697044533e-8,0.2662125825881958,0.7457545399665833,-0.5281832814216614;1.8116438388824463,-0.11037646979093552,0.044155001640319824,-0.04079253599047661
;-68.24813842773438;-0.000004506206096266396,0.0001976898784050718,-0.005180054344236851,0.03815094009041786;4.572783041112416e-8,0.2653316259384155,0.7401083707809448,-0.5305795669555664;1.804465889930725,-0.11056644469499588,0.04412444680929184,-0.04088141769170761
;-68.55036926269531;-0.000004286675903131254,0.00018980975437443703,-0.005020358599722385,0.03378485515713692;4.2732747118634506e-8,0.2644549310207367,0.7343205213546753,-0.5329474210739136;1.7964740991592407,-0.11075476557016373,0.04409387335181236,-0.040969476103782654
;-68.84954833984375;-0.000004080961389263393,0.00018219069170299917,-0.00486689293757081,0.029498355463147163;3.994895081405048e-8,0.26358312368392944,0.7283964157104492,-0.5352850556373596;1.7876955270767212,-0.1109413132071495,0.044063273817300797,-0.04105667024850845
;-69.1455307006836;-0.000003888377705152379,0.00017482702969573438,-0.004719479475170374,0.025292519479990005;3.7361740368169194e-8,0.2627166509628296,0.7223405838012695,-0.5375914573669434;1.7781593799591064,-0.11112602800130844,0.04403265193104744,-0.04114295914769173
;-69.43818664550781;-0.0000037083275401528226,0.00016771300579421222,-0.004577942658215761,0.021168600767850876;3.49573667790537e-8,0.2618561387062073,0.7161582112312317,-0.5398646593093872;1.7678955793380737,-0.11130881309509277,0.04400200769305229,-0.04122829809784889
;-69.7273941040039;-0.000003540158331816201,0.00016084300295915455,-0.004442109260708094,0.017127448692917824;3.272304738288767e-8,0.2610020637512207,0.7098551392555237,-0.5421034097671509;1.7569377422332764,-0.11148960143327713,0.043971333652734756,-0.041312653571367264
;-70.01303100585938;-0.000003383304829185363,0.00015421125863213092,-0.004311796743422747,0.01317005418241024;3.064665321517168e-8,0.2601549029350281,0.7034372687339783,-0.5443065166473389;1.7453194856643677,-0.11166832596063614,0.04394064098596573,-0.041395995765924454
;-70.29498291015625;-0.0000032370987810281804,0.00014781198115088046,-0.004186828620731831,0.009297134354710579;2.871699855688803e-8,0.2593151926994324,0.6969104409217834,-0.5464884042739868;1.7330764532089233,-0.11184469610452652,0.04391069337725639,-0.04147827997803688
;-70.57315826416016;-0.0000031009565191197908,0.00014163943706080317,-0.004067028872668743,0.005509314592927694;2.6923565599190624e-8,0.2584833800792694,0.6902811527252197,-0.548616349697113;1.7202463150024414,-0.11201908439397812,0.043879952281713486,-0.04155948385596275
;-70.84745788574219;-0.0000029742702736257343,0.0001356878929072991,-0.0039522224105894566,0.0018069179495796561;2.525654352325546e-8,0.2576598525047302,0.683556079864502,-0.5507052540779114;1.706865668296814,-0.11219121515750885,0.04384918883442879,-0.041639577597379684
