voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-83.99691009521484;-0.000005853341917827493,1.8740447416121242e-8,-0.0020679226145148277,-0.022168783470988274;3.770937451186285e-10,0.22100187838077545,0.048059817403554916,-0.5108895897865295;0.4235907196998596,-0.12224547564983368,0.03635747358202934,-0.045230235904455185
;-83.99952697753906;-0.000005861155386810424,1.8708535165501416e-8,-0.0020697801373898983,-0.022069646045565605;3.7646324946294385e-10,0.22099316120147705,0.04782306030392647,-0.5104472637176514;0.4232194423675537,-0.12225383520126343,0.036335378885269165,-0.04523098096251488
;-84.00213623046875;-0.000005868956577614881,1.8676814761420246e-8,-0.002071634866297245,-0.02197093516588211;3.758369448991772e-10,0.22098445892333984,0.04758768156170845,-0.509985625743866;0.42285019159317017,-0.12226247042417526,0.03631235286593437,-0.04523171856999397
;-84.00474548339844;-0.0000058766813708643895,1.8645154753471616e-8,-0.002073486801236868,-0.02187267877161503;3.75211112180196e-10,0.2209758162498474,0.0473533496260643,-0.5095046162605286;0.4224807024002075,-0.12227140367031097,0.036288391798734665,-0.04523245990276337
;-84.0073471069336;-0.000005884329311811598,1.8613546259871327e-8,-0.0020753357093781233,-0.02177487500011921;3.7458575130600025e-10,0.2209671288728714,0.04712003841996193,-0.5090621709823608;0.4221110939979553,-0.12227976322174072,0.0362662672996521,-0.04523319751024246
;-84.00994110107422;-0.0000058919572438753676,1.8582129612809695e-8,-0.002077181590721011,-0.021677494049072266;3.7396455376814686e-10,0.22095847129821777,0.04688810184597969,-0.5086003541946411;0.42174339294433594,-0.12228841334581375,0.03624320402741432,-0.045233938843011856
;-84.01253509521484;-0.000005899496500205714,1.8550764480096404e-8,-0.002079024910926819,-0.021580561995506287;3.733438003195033e-10,0.22094988822937012,0.046657174825668335,-0.5081576704978943;0.42137548327445984,-0.1222967877984047,0.03622105345129967,-0.04523467272520065
;-84.01512145996094;-0.000005906970727664884,1.8519454414445136e-8,-0.0020808642730116844,-0.021484076976776123;3.7272357422679647e-10,0.22094126045703888,0.046427272260189056,-0.5076956152915955;0.4210074841976166,-0.12230544537305832,0.0361979678273201,-0.04523540660738945
;-84.0177001953125;-0.000005914424946240615,1.8488332642618843e-8,-0.0020827013067901134,-0.021388009190559387;3.7210742820370513e-10,0.2209327220916748,0.04619872197508812,-0.5072528719902039;0.4206415116786957,-0.12231381237506866,0.036175794899463654,-0.04523613676428795
;-84.02027893066406;-0.000005921805950492853,1.8457258832427215e-8,-0.0020845357794314623,-0.02129238098859787;3.7149175402539925e-10,0.22092412412166595,0.04597117379307747,-0.5068100094795227;0.42027512192726135,-0.1223221942782402,0.036153607070446014,-0.04523686692118645
;-84.02284240722656;-0.000005929146027483512,1.8426305814500665e-8,-0.0020863665267825127,-0.021197181195020676;3.70877911715084e-10,0.2209155559539795,0.04574479162693024,-0.5063669681549072;0.419909805059433,-0.12233057618141174,0.03613141179084778,-0.045237597078084946
;-84.02540588378906;-0.000005936435172770871,1.8395468259768677e-8,-0.00208819517865777,-0.021102404221892357;3.7026690047348154e-10,0.2209070473909378,0.04551957920193672,-0.5059239268302917;0.4195452332496643,-0.12233895808458328,0.03610920161008835,-0.045238323509693146
;-84.02796173095703;-0.000005943649284745334,1.836468221938503e-8,-0.002090021036565304,-0.021008070558309555;3.696562500543621e-10,0.2208985686302185,0.045295361429452896,-0.5054808855056763;0.41918060183525085,-0.12234733998775482,0.03608698397874832,-0.04523904621601105
;-84.03050994873047;-0.00000595084975429927,1.8334079143755844e-8,-0.0020918441005051136,-0.020914139226078987;3.690498184827362e-10,0.22089004516601562,0.045072462409734726,-0.5050376653671265;0.4188179671764374,-0.12235573679208755,0.0360647551715374,-0.04523976892232895
;-84.0330581665039;-0.000005957976100035012,1.830352580611816e-8,-0.002093664836138487,-0.020820636302232742;3.6844324813323226e-10,0.2208816111087799,0.04485054686665535,-0.5045943856239319;0.4184551537036896,-0.12236412614583969,0.036042507737874985,-0.04524049162864685
;-84.03559112548828;-0.000005965059244772419,1.8273084378961357e-8,-0.002095482312142849,-0.020727552473545074;3.678394810968655e-10,0.2208731770515442,0.044629763811826706,-0.5041509866714478;0.41809311509132385,-0.12237250804901123,0.03602025657892227,-0.045241210609674454
;-84.03812408447266;-0.0000059720996432588436,1.8242758414999116e-8,-0.0020972974598407745,-0.020634884014725685;3.672375181729137e-10,0.22086477279663086,0.04441012069582939,-0.5037076473236084;0.4177320599555969,-0.12238090485334396,0.03599799424409866,-0.04524192959070206
;-84.04065704345703;-0.000005979080015094951,1.8212482189028378e-8,-0.00209911004640162,-0.02054264396429062;3.666364989385329e-10,0.22085636854171753,0.044191449880599976,-0.5032640695571899;0.4173707962036133,-0.1223893016576767,0.03597571700811386,-0.04524264484643936
;-84.04317474365234;-0.00000598600990997511,1.8182316097181683e-8,-0.0021009198389947414,-0.020450813695788383;3.6603772790577693e-10,0.2208479791879654,0.043973907828330994,-0.5028204917907715;0.41701045632362366,-0.12239771336317062,0.03595342859625816,-0.045243363827466965
;-84.04569244384766;-0.000005992888873151969,1.815226369217271e-8,-0.002102726837620139,-0.020359395071864128;3.6544073322986037e-10,0.22083958983421326,0.04375748336315155,-0.5023768544197083;0.41665107011795044,-0.12240611016750336,0.03593112900853157,-0.04524407535791397
;-84.04821014404297;-0.000005999702807457652,1.812225569608472e-8,-0.0021045298781245947,-0.0202683974057436;3.6484468224351474e-10,0.2208312600851059,0.04354201257228851,-0.5019331574440002;0.4162914752960205,-0.12241452187299728,0.03590882197022438,-0.04524478688836098
;-84.05072021484375;-0.000006006459898344474,1.8092292108917718e-8,-0.00210633035749197,-0.020177816972136497;3.6424852023486665e-10,0.22082282602787018,0.04332749545574188,-0.5014894604682922;0.4159316420555115,-0.12242293357849121,0.035886500030756,-0.04524549841880798
;-84.05322265625;-0.000006013188794895541,1.8062506157434655e-8,-0.0021081282757222652,-0.020087627694010735;3.6365699340734636e-10,0.2208145409822464,0.04311424493789673,-0.5010455250740051;0.4155738353729248,-0.12243135273456573,0.03586416691541672,-0.04524620622396469
;-84.05572509765625;-0.000006019864486006554,1.8032762838515737e-8,-0.0021099229343235493,-0.0199978519231081;3.630653555575236e-10,0.22080625593662262,0.042901940643787384,-0.5006016492843628;0.4152158796787262,-0.12243976444005966,0.03584182262420654,-0.0452469140291214
;-84.0582275390625;-0.00000602646969127818,1.8003063928517804e-8,-0.0021117147989571095,-0.019908487796783447;3.624746613972718e-10,0.22079792618751526,0.04269057512283325,-0.5001576542854309;0.4148577153682709,-0.12244819104671478,0.03581947088241577,-0.045247625559568405
;-84.06071472167969;-0.000006033027602825314,1.7973473376287075e-8,-0.002113503171131015,-0.01981952227652073;3.618857435938594e-10,0.22078967094421387,0.04248030483722687,-0.49971362948417664;0.4145004451274872,-0.1224566102027893,0.035797104239463806,-0.04524833336472511
;-84.06320190429688;-0.000006039542768121464,1.794399118182355e-8,-0.0021152892149984837,-0.019730953499674797;3.612995735924329e-10,0.22078141570091248,0.04227111116051674,-0.4992694556713104;0.4141440689563751,-0.12246503680944443,0.035774730145931244,-0.045249033719301224
;-84.06568908691406;-0.000006046001089998754,1.791454984356733e-8,-0.0021170719992369413,-0.019642792642116547;3.60713292568704e-10,0.2207731306552887,0.042062852531671524,-0.4988253712654114;0.4137875735759735,-0.12247347086668015,0.03575234115123749,-0.04524973779916763
;-84.06817626953125;-0.000006052395747246919,1.7885149361518415e-8,-0.002118852222338319,-0.01955503597855568;3.6012748338976053e-10,0.22076493501663208,0.04185551777482033,-0.498381108045578;0.4134308695793152,-0.12248191237449646,0.03572993725538254,-0.04525044187903404
;-84.07066345214844;-0.000006058712187950732,1.785578795931997e-8,-0.002120628720149398,-0.019467679783701897;3.5954253463366115e-10,0.2207566499710083,0.04164910316467285,-0.4979369342327118;0.41307395696640015,-0.12249035388231277,0.03570752590894699,-0.04525114968419075
