voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-84.1304702758789;-0.00000677024900141987,1.700843377250294e-8,-0.002323230030015111,-0.012417652644217014;3.4282157668208413e-10,0.22368137538433075,0.030053991824388504,-0.49804964661598206;0.40211182832717896,-0.12250901758670807,0.03576165437698364,-0.04513316974043846
;-84.13265228271484;-0.000006773874702048488,1.6983243256163405e-8,-0.00232477649115026,-0.012362764216959476;3.423183958517484e-10,0.22367405891418457,0.029908105731010437,-0.4976355731487274;0.40179356932640076,-0.12251678109169006,0.035740844905376434,-0.04513378441333771
;-84.13483428955078;-0.000006777465841878438,1.69580811615333e-8,-0.0023263206239789724,-0.012308130040764809;3.4181557584389566e-10,0.2236667424440384,0.029762867838144302,-0.4972045123577118;0.40147507190704346,-0.12252479791641235,0.03571920841932297,-0.045134399086236954
;-84.13700866699219;-0.000006781048341508722,1.6933013213815684e-8,-0.0023278631269931793,-0.012253738939762115;3.413148375042141e-10,0.2236594706773758,0.029618382453918457,-0.49677059054374695;0.4011576175689697,-0.12253286689519882,0.03569742664694786,-0.0451350137591362
;-84.13917541503906;-0.000006784568540751934,1.690797013509382e-8,-0.0023294028360396624,-0.012199600227177143;3.408144322314399e-10,0.223652184009552,0.0294745322316885,-0.49635037779808044;0.4008399248123169,-0.12254073470830917,0.035676293075084686,-0.04513562470674515
;-84.14134216308594;-0.000006788088285247795,1.6883022979641282e-8,-0.00233094091527164,-0.012145699933171272;3.403161086268369e-10,0.2236449420452118,0.02933143638074398,-0.49591511487960815;0.40052327513694763,-0.12254881858825684,0.03565442934632301,-0.045136239379644394
;-84.14350891113281;-0.0000067915557337983046,1.6858104245898176e-8,-0.002332476433366537,-0.012092048302292824;3.398181180891413e-10,0.2236376702785492,0.029188981279730797,-0.4954838454723358;0.40020644664764404,-0.12255686521530151,0.035632748156785965,-0.04513685032725334
;-84.14566802978516;-0.00000679497998135048,1.683321038115082e-8,-0.002334009390324354,-0.012038643471896648;3.3932040510720185e-10,0.22363047301769257,0.029047152027487755,-0.4950719177722931;0.3998894989490509,-0.12256460636854172,0.03561199828982353,-0.04513746127486229
;-84.14781951904297;-0.000006798422873544041,1.680847638851901e-8,-0.002335540484637022,-0.011985467746853828;3.388261060610631e-10,0.22362326085567474,0.02890617586672306,-0.4946479797363281;0.3995745778083801,-0.12257253378629684,0.03559065982699394,-0.04513806849718094
;-84.14997100830078;-0.0000068018298406968825,1.6783772593953472e-8,-0.002337070181965828,-0.011932537890970707;3.383325841710416e-10,0.22361606359481812,0.02876582369208336,-0.4942350387573242;0.3992595076560974,-0.12258029729127884,0.03556984290480614,-0.04513867571949959
;-84.1521224975586;-0.000006805179509683512,1.6759095444740524e-8,-0.00233859708532691,-0.011879848316311836;3.378393675923519e-10,0.2236088216304779,0.0286260936409235,-0.49380919337272644;0.3989444077014923,-0.12258826941251755,0.03554840013384819,-0.045139286667108536
;-84.15426635742188;-0.000006808489160903264,1.6734443164523327e-8,-0.0023401211947202682,-0.011827399954199791;3.373464285694183e-10,0.22360160946846008,0.028486980125308037,-0.4933888912200928;0.39862900972366333,-0.12259615212678909,0.03552720695734024,-0.04513989016413689
;-84.15640258789062;-0.0000068118151830276474,1.6709950756421676e-8,-0.0023416434414684772,-0.011775180697441101;3.368573475714953e-10,0.22359442710876465,0.028348708525300026,-0.4929738938808441;0.3983158469200134,-0.12260395288467407,0.03550627827644348,-0.045140497386455536
;-84.15853881835938;-0.000006815093911427539,1.6685488546386296e-8,-0.0023431642912328243,-0.011723204515874386;3.363685996404797e-10,0.22358718514442444,0.028211049735546112,-0.49255800247192383;0.39800238609313965,-0.12261177599430084,0.03548528626561165,-0.04514110088348389
;-84.16067504882812;-0.0000068183476287231315,1.6661049428989827e-8,-0.002344682812690735,-0.011671463027596474;3.358796574204348e-10,0.2235800325870514,0.028074003756046295,-0.4921381175518036;0.3976888954639435,-0.12261965870857239,0.035464104264974594,-0.04514170438051224
;-84.16281127929688;-0.00000682154268361046,1.663663695694595e-8,-0.002346199005842209,-0.011619959026575089;3.3539152011208273e-10,0.22357285022735596,0.02793756313621998,-0.49170738458633423;0.3973751664161682,-0.12262771278619766,0.035442374646663666,-0.04514231160283089
;-84.16493225097656;-0.0000068247281888034195,1.6612313302744042e-8,-0.0023477128706872463,-0.011568685993552208;3.34905381205175e-10,0.22356568276882172,0.027801839634776115,-0.49129918217658997;0.3970625102519989,-0.12263542413711548,0.03542173653841019,-0.04514291509985924
;-84.16705322265625;-0.0000068278986873338,1.6588085571811462e-8,-0.002349224640056491,-0.011517638340592384;3.3442137947758965e-10,0.22355856001377106,0.027666829526424408,-0.4908832311630249;0.39675071835517883,-0.12264325469732285,0.035400714725255966,-0.04514351114630699
;-84.16917419433594;-0.000006831025530118495,1.6563882709874633e-8,-0.0023507343139499426,-0.011466825380921364;3.339372112165506e-10,0.22355146706104279,0.027532409876585007,-0.49048200249671936;0.3964388370513916,-0.1226508617401123,0.03538040444254875,-0.04514411464333534
;-84.1712875366211;-0.000006834122359578032,1.6539706493290396e-8,-0.0023522416595369577,-0.011416245251893997;3.334537646004776e-10,0.22354426980018616,0.027398591861128807,-0.49006378650665283;0.39612680673599243,-0.12265873700380325,0.035359252244234085,-0.045144710689783096
;-84.17340087890625;-0.000006837202818132937,1.6515620870904968e-8,-0.0023537473753094673,-0.011365892365574837;3.3297239965257575e-10,0.22353722155094147,0.027265476062893867,-0.48965272307395935;0.39581573009490967,-0.12266650795936584,0.03533845394849777,-0.04514530673623085
;-84.17550659179688;-0.00000684026190356235,1.6491629395432028e-8,-0.0023552505299448967,-0.01131576206535101;3.3249258901690837e-10,0.223530113697052,0.02713305689394474,-0.4892410933971405;0.3955056369304657,-0.12267427146434784,0.03531762212514877,-0.0451459065079689
;-84.1776123046875;-0.000006843294613645412,1.646765923624116e-8,-0.0023567520547658205,-0.011265861801803112;3.3201355553735823e-10,0.22352305054664612,0.02700122818350792,-0.48883238434791565;0.39519551396369934,-0.12268200516700745,0.03529691696166992,-0.04514649882912636
;-84.1797103881836;-0.000006846270025562262,1.6443717498759725e-8,-0.0023582512512803078,-0.011216188780963421;3.315348551247155e-10,0.22351597249507904,0.026869988068938255,-0.48843684792518616;0.3948850631713867,-0.12268954515457153,0.03527684137225151,-0.04514709487557411
;-84.18180084228516;-0.0000068492804530251306,1.6419933857036995e-8,-0.002359749050810933,-0.011166729964315891;3.31059457625571e-10,0.22350896894931793,0.026739537715911865,-0.4880272448062897;0.3945768475532532,-0.12269728630781174,0.03525608405470848,-0.04514768347144127
;-84.18389129638672;-0.0000068522326728270855,1.6396173307953177e-8,-0.0023612449876964092,-0.011117500253021717;3.305847817713925e-10,0.22350193560123444,0.026609668508172035,-0.4876351058483124;0.3942683935165405,-0.12270478159189224,0.0352361686527729,-0.045148275792598724
;-84.18597412109375;-0.000006855161700514145,1.637244118057879e-8,-0.002362739061936736,-0.0110684959217906;3.30110466739697e-10,0.22349490225315094,0.02648037299513817,-0.4872409403324127;0.3939598798751831,-0.12271229177713394,0.03521614521741867,-0.04514886438846588
;-84.18804931640625;-0.000006858094820927363,1.634886359624943e-8,-0.0023642308078706264,-0.01101970300078392;3.296394268659242e-10,0.22348791360855103,0.026351865381002426,-0.48684030771255493;0.39365342259407043,-0.122719906270504,0.03519580885767937,-0.04514945298433304
;-84.19012451171875;-0.000006861005203973036,1.632531798634318e-8,-0.0023657220881432295,-0.010971133597195148;3.2916910863711735e-10,0.2234809696674347,0.0262239221483469,-0.486442506313324;0.3933468759059906,-0.12272747606039047,0.03517559915781021,-0.0451500378549099
;-84.19219970703125;-0.000006863871476525674,1.6301793692719002e-8,-0.0023672108072787523,-0.010922785848379135;3.2869867938600805e-10,0.22347398102283478,0.02609655074775219,-0.48602980375289917;0.39304012060165405,-0.12273528426885605,0.03515464812517166,-0.045150626450777054
;-84.19425964355469;-0.000006866722287668381,1.6278356440579955e-8,-0.002368697663769126,-0.010874654166400433;3.2823072038112855e-10,0.22346705198287964,0.02596985176205635,-0.4856395423412323;0.3927343189716339,-0.12274274230003357,0.03513479605317116,-0.04515121132135391
;-84.19631958007812;-0.0000068695758272951934,1.6255013335353397e-8,-0.0023701833561062813,-0.01082673855125904;3.2776434344405914e-10,0.2234601378440857,0.025843815878033638,-0.4852525293827057;0.39242956042289734,-0.12275015562772751,0.03511509671807289,-0.04515179619193077
;-84.19837951660156;-0.0000068723834374395665,1.623169687547943e-8,-0.0023716671857982874,-0.010779039934277534;3.2729821630717026e-10,0.22345319390296936,0.025718338787555695,-0.4848608374595642;0.3921246826648712,-0.12275765091180801,0.035095155239105225,-0.04515237361192703
;-84.20042419433594;-0.000006875173767184606,1.620846923344743e-8,-0.002373148687183857,-0.01073155552148819;3.268345871720868e-10,0.2234462946653366,0.025593524798750877,-0.48447033762931824;0.3918208181858063,-0.12276510894298553,0.035075269639492035,-0.04515295475721359
;-84.20246887207031;-0.000006877965006424347,1.6185333961971082e-8,-0.0023746294900774956,-0.010684283450245857;3.263725401048134e-10,0.22343945503234863,0.025469360873103142,-0.4840695261955261;0.3915178179740906,-0.12277274578809738,0.03505488112568855,-0.045153532177209854
;-84.20451354980469;-0.000006880718046886614,1.6162225335847324e-8,-0.002376108430325985,-0.010637227445840836;3.259111591713548e-10,0.22343258559703827,0.025345755741000175,-0.4836727976799011;0.39121484756469727,-0.12278030812740326,0.035034678876399994,-0.045154109597206116
