voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-84.33821105957031;-0.0000061819705479138065,1.4748785304163903e-8,-0.0022907820530235767,-0.011784442700445652;2.9755767294581403e-10,0.22031493484973907,0.02582615055143833,-0.457142174243927;0.3722129464149475,-0.12331607192754745,0.0336025208234787,-0.045307457447052
;-84.34010314941406;-0.000006186016889841994,1.4728255948170954e-8,-0.00229233643040061,-0.011732151731848717;2.971470014490052e-10,0.22030864655971527,0.025699611753225327,-0.45676806569099426;0.3719239830970764,-0.12332351505756378,0.033582933247089386,-0.04530799388885498
;-84.34199523925781;-0.000006190019121277146,1.4707747908460078e-8,-0.0022938891779631376,-0.011680099181830883;2.9673619117431826e-10,0.22030234336853027,0.025573642924427986,-0.4563939571380615;0.37163475155830383,-0.1233309805393219,0.03356333449482918,-0.04530853033065796
;-84.34388732910156;-0.000006193981789692771,1.4687258520496016e-8,-0.002295438665896654,-0.01162828877568245;2.9632596376671927e-10,0.22029606997966766,0.02544824406504631,-0.456019788980484;0.3713454008102417,-0.12333843857049942,0.03354372829198837,-0.04530905932188034
;-84.34577941894531;-0.000006197900347615359,1.4666791336992446e-8,-0.002296984661370516,-0.011576716788113117;2.959159861593008e-10,0.22028979659080505,0.02532341331243515,-0.4556455612182617;0.3710559606552124,-0.12334588915109634,0.03352411836385727,-0.04530959576368332
;-84.34765625;-0.000006201819360285299,1.464640408954665e-8,-0.0022985278628766537,-0.01152537576854229;2.955075351085412e-10,0.22028352320194244,0.02519925683736801,-0.45527127385139465;0.3707675039768219,-0.12335336208343506,0.03350449353456497,-0.0453101322054863
;-84.34953308105469;-0.000006205715635587694,1.4626102995407564e-8,-0.0023000703658908606,-0.011474266648292542;2.951013600149821e-10,0.22027729451656342,0.025075767189264297,-0.45489686727523804;0.37048014998435974,-0.12336082011461258,0.03348486125469208,-0.04531065747141838
;-84.35140991210938;-0.000006209574166859966,1.4605818776658452e-8,-0.0023016103077679873,-0.011423391290009022;2.946953514548767e-10,0.22027108073234558,0.024952838197350502,-0.4545224905014038;0.37019258737564087,-0.1233682930469513,0.03346521779894829,-0.04531119018793106
;-84.35328674316406;-0.000006213402230059728,1.4585554986012994e-8,-0.0023031479213386774,-0.01137275155633688;2.942892596280444e-10,0.22026483714580536,0.02483046054840088,-0.45414814352989197;0.3699049651622772,-0.12337576597929001,0.0334455706179142,-0.04531171917915344
;-84.35516357421875;-0.0000062171839090297,1.4565312511649608e-8,-0.0023046836722642183,-0.011322342790663242;2.9388372291272447e-10,0.22025862336158752,0.024708639830350876,-0.45377370715141296;0.36961716413497925,-0.12338325381278992,0.033425915986299515,-0.04531225189566612
