voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-84.11649322509766;-0.0000067623450377141126,1.7182244960167736e-8,-0.002312922151759267,-0.012782647274434566;3.4628588885254885e-10,0.22364942729473114,0.030947990715503693,-0.5000994205474854;0.4043419659137726,-0.122468963265419,0.03586392477154732,-0.045132607221603394
;-84.11870574951172;-0.000006766091246390715,1.7156578380195242e-8,-0.0023144795559346676,-0.012726123444736004;3.457734654155331e-10,0.2236420214176178,0.03079773671925068,-0.49966171383857727;0.4040202498435974,-0.12247707694768906,0.03584199771285057,-0.045133233070373535
;-84.12091827392578;-0.000006769800165784545,1.7130941998289018e-8,-0.0023160355631262064,-0.012669856660068035;3.4526134728984914e-10,0.22363458573818207,0.030648143962025642,-0.4992344379425049;0.4036984443664551,-0.12248504906892776,0.03582058101892471,-0.04513385519385338
;-84.12312316894531;-0.000006773463610443287,1.7105332261735384e-8,-0.0023175892420113087,-0.012613847851753235;3.447495899866482e-10,0.22362717986106873,0.030499210581183434,-0.49882686138153076;0.4033764600753784,-0.122492715716362,0.035800088196992874,-0.04513448104262352
;-84.12532043457031;-0.000006777145244996063,1.7079884173654136e-8,-0.0023191405925899744,-0.01255808211863041;3.44241746219609e-10,0.22361983358860016,0.030351173132658005,-0.4983939528465271;0.4030565917491913,-0.12250076234340668,0.035778384655714035,-0.045135099440813065
;-84.12751770019531;-0.000006780763214919716,1.7054466283639158e-8,-0.0023206910118460655,-0.012502568773925304;3.437341244971748e-10,0.2236124575138092,0.03020378388464451,-0.4979541301727295;0.40273645520210266,-0.12250892072916031,0.03575633093714714,-0.04513572156429291
;-84.12971496582031;-0.000006784347988286754,1.702907859169045e-8,-0.002322238637134433,-0.012447313405573368;3.432269468639504e-10,0.22360511124134064,0.030057048425078392,-0.49753862619400024;0.4024161994457245,-0.12251671403646469,0.035735439509153366,-0.04513634368777275
;-84.13191223144531;-0.000006787884103687247,1.7003719321451172e-8,-0.0023237834684550762,-0.012392308562994003;3.4272004678648216e-10,0.2235977202653885,0.029910966753959656,-0.49709582328796387;0.40209582448005676,-0.1225249245762825,0.035713229328393936,-0.045136962085962296
;-84.13409423828125;-0.000006791402029193705,1.6978452421767543e-8,-0.0023253262042999268,-0.012337548658251762;3.422152561327607e-10,0.2235904335975647,0.029765643179416656,-0.49667665362358093;0.40177640318870544,-0.12253278493881226,0.03569214791059494,-0.04513757675886154
;-84.13627624511719;-0.000006794909495511092,1.695328322171008e-8,-0.0023268666118383408,-0.012283030897378922;3.4171257490278606e-10,0.2235831320285797,0.029621081426739693,-0.4962374269962311;0.40145793557167053,-0.12254094332456589,0.035670094192028046,-0.045138195157051086
;-84.13845825195312;-0.000006798371941840742,1.692814066700521e-8,-0.002328405622392893,-0.012228764593601227;3.4121014347299194e-10,0.22357580065727234,0.029477152973413467,-0.4958183467388153;0.4011393189430237,-0.12254880368709564,0.03564900532364845,-0.04513881355524063
;-84.14064025878906;-0.000006801788913435303,1.690302475765293e-8,-0.0023299413733184338,-0.01217474602162838;3.4070810062125645e-10,0.22356849908828735,0.029333868995308876,-0.49539193511009216;0.4008205533027649,-0.12255677580833435,0.03562754765152931,-0.04513942822813988
;-84.14281463623047;-0.000006805155408073915,1.687793727001008e-8,-0.002331474795937538,-0.012120974250137806;3.402063630808527e-10,0.22356121242046356,0.029191220179200172,-0.4949745535850525;0.40050166845321655,-0.12256462126970291,0.03560652583837509,-0.045140042901039124
;-84.14498901367188;-0.000006808507350797299,1.685294215292288e-8,-0.0023330061230808496,-0.012067442759871483;3.3970670720862017e-10,0.22355392575263977,0.029049312695860863,-0.4945404529571533;0.40018367767333984,-0.12257272005081177,0.03558468073606491,-0.04514065757393837
;-84.14715576171875;-0.00000681184747008956,1.6828039406391326e-8,-0.0023345351219177246,-0.012014146894216537;3.392091330045588e-10,0.22354668378829956,0.028908150270581245,-0.49411848187446594;0.3998667001724243,-0.1225806325674057,0.03556342422962189,-0.04514126852154732
;-84.14932250976562;-0.000006815146207372891,1.6803166857926044e-8,-0.0023360608611255884,-0.01196109876036644;3.387119196229804e-10,0.22353939712047577,0.02876761369407177,-0.4936977028846741;0.39954957365989685,-0.12258853763341904,0.03554220870137215,-0.045141883194446564
;-84.1514892578125;-0.0000068183994699211325,1.6778317402099674e-8,-0.002337585436180234,-0.011908293701708317;3.382149837971582e-10,0.22353211045265198,0.028627699241042137,-0.4932785630226135;0.39923229813575745,-0.12259641289710999,0.03552106395363808,-0.04514249414205551
;-84.15364074707031;-0.000006821647275501164,1.675356386954263e-8,-0.002339106984436512,-0.011855724267661572;3.3772012963950715e-10,0.22352483868598938,0.028488516807556152,-0.492861807346344;0.39891594648361206,-0.12260426580905914,0.03550003468990326,-0.04514310508966446
;-84.15579223632812;-0.000006824874617450405,1.672889915482756e-8,-0.0023406273685395718,-0.01180338766425848;3.3722735715002727e-10,0.22351761162281036,0.028350062668323517,-0.4924432337284088;0.39860060811042786,-0.1226121336221695,0.03547890856862068,-0.04514371603727341
;-84.15794372558594;-0.000006828060122643365,1.6704264638178756e-8,-0.002342146122828126,-0.011751292273402214;3.3673486221630355e-10,0.22351036965847015,0.028212225064635277,-0.492034375667572;0.3982851803302765,-0.1226198673248291,0.03545824810862541,-0.04514431953430176
