voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-84.10350799560547;-0.000006175358521431917,1.742022170958535e-8,-0.002163114259019494,-0.017388692125678062;3.5091637928807984e-10,0.22105498611927032,0.03850780054926872,-0.49566566944122314;0.40756750106811523,-0.12254508584737778,0.035594359040260315,-0.045242778956890106
;-84.10588073730469;-0.000006181000571814366,1.7392510542890705e-8,-0.0021648365072906017,-0.017311157658696175;3.503624335099431e-10,0.2210470587015152,0.03831840679049492,-0.49522027373313904;0.4072229862213135,-0.1225535050034523,0.0355718769133091,-0.04524344950914383
;-84.10824584960938;-0.000006186656264617341,1.7364966353738964e-8,-0.0021665566600859165,-0.017233962193131447;3.498120126899096e-10,0.22103919088840485,0.03813014551997185,-0.4947747588157654;0.40688061714172363,-0.12256192415952682,0.03554938733577728,-0.04524412378668785
;-84.11061096191406;-0.0000061922360146127176,1.7337455915367173e-8,-0.0021682740189135075,-0.017157120630145073;3.492624245371445e-10,0.22103136777877808,0.03794271498918533,-0.49432921409606934;0.4065380096435547,-0.12257034331560135,0.035526882857084274,-0.04524478688836098
;-84.11297607421875;-0.0000061977716541150585,1.730997567506165e-8,-0.0021699885837733746,-0.017080631107091904;3.4871322496243806e-10,0.22102349996566772,0.03775612264871597,-0.49388355016708374;0.4061952233314514,-0.12257877737283707,0.03550436347723007,-0.045245461165905
;-84.11534118652344;-0.000006203237717272714,1.7282527409179238e-8,-0.0021716991905122995,-0.01700449362397194;3.4816441396579023e-10,0.22101569175720215,0.03757036104798317,-0.4934380352497101;0.4058522880077362,-0.12258721143007278,0.03548184037208557,-0.04524612799286842
;-84.11770629882812;-0.000006208655122463824,1.7255109341363095e-8,-0.0021734065376222134,-0.01692870818078518;3.476159637916254e-10,0.221007838845253,0.03738541528582573,-0.4929923415184021;0.40550917387008667,-0.1225956454873085,0.03545929864048958,-0.04524679481983185
;-84.12007141113281;-0.0000062140011323208455,1.7227719695256383e-8,-0.002175110625103116,-0.016853271052241325;3.470678744399436e-10,0.22099998593330383,0.03720131143927574,-0.4925466775894165;0.4051658511161804,-0.12260410189628601,0.03543674945831299,-0.04524746537208557
;-84.12242889404297;-0.0000062193043959268834,1.720036202357278e-8,-0.0021768109872937202,-0.01677817851305008;3.4651978508826176e-10,0.22099213302135468,0.03701801970601082,-0.49210092425346375;0.4048224091529846,-0.12261255085468292,0.035414185374975204,-0.045248132199048996
;-84.1247787475586;-0.0000062246072047855705,1.717316600036156e-8,-0.0021785087883472443,-0.01670341193675995;3.4597599785080035e-10,0.2209843099117279,0.03683583065867424,-0.4916551113128662;0.4044809341430664,-0.12262100726366043,0.035391613841056824,-0.04524879530072212
