voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-84.1412124633789;-0.000006274407496675849,1.697591400784404e-8,-0.0021993343252688646,-0.01587040349841118;3.4205124843644796e-10,0.2211451530456543,0.03536992147564888,-0.49034732580184937;0.4019782245159149,-0.12265108525753021,0.03532665595412254,-0.04524410888552666
;-84.14351654052734;-0.0000062793719735054765,1.694940721108651e-8,-0.0022010032553225756,-0.01579975336790085;3.4152072836413083e-10,0.22113744914531708,0.0351959653198719,-0.48992037773132324;0.4016420543193817,-0.12265924364328384,0.03530497848987579,-0.04524476081132889
;-84.14582061767578;-0.000006284282790147699,1.6922932388752088e-8,-0.0022026696242392063,-0.015729423612356186;3.4099098544793094e-10,0.22112978994846344,0.0350227877497673,-0.4894932508468628;0.4013056755065918,-0.12266740202903748,0.03528329357504845,-0.04524541646242142
;-84.14810943603516;-0.000006289158591243904,1.6896548160616476e-8,-0.0022043336648494005,-0.015659408643841743;3.404629633774192e-10,0.2211221307516098,0.03485051915049553,-0.4890661835670471;0.4009702205657959,-0.12267555296421051,0.0352616012096405,-0.04524606093764305
;-84.15039825439453;-0.000006294018476182828,1.687025985575019e-8,-0.0022059965413063765,-0.015589705668389797;3.3993749481986413e-10,0.22111453115940094,0.034679144620895386,-0.48865827918052673;0.40063580870628357,-0.12268342077732086,0.035240836441516876,-0.04524671286344528
;-84.1526870727539;-0.00000629883652436547,1.6844001748950177e-8,-0.002207655692473054,-0.015520323067903519;3.394119152400066e-10,0.22110691666603088,0.034508541226387024,-0.48823100328445435;0.4003011882305145,-0.12269158661365509,0.03521911799907684,-0.045247357338666916
;-84.15496063232422;-0.00000630361273579183,1.681783956541949e-8,-0.002209312980994582,-0.015451252460479736;3.3888888917310567e-10,0.22109924256801605,0.03433883190155029,-0.487822949886322;0.3999675214290619,-0.12269946932792664,0.035198334604501724,-0.04524800553917885
;-84.15723419189453;-0.000006308372576313559,1.6791767976087613e-8,-0.0022109681740403175,-0.015382489189505577;3.383675561963173e-10,0.22109170258045197,0.034170012921094894,-0.4874149262905121;0.39963477849960327,-0.12270733714103699,0.03517754375934601,-0.04524865001440048
;-84.15949249267578;-0.00000631311331744655,1.6765794086381902e-8,-0.0022126215044409037,-0.015314036048948765;3.378487767324856e-10,0.22108414769172668,0.03400207310914993,-0.4870067238807678;0.3993030786514282,-0.12271521240472794,0.0351567417383194,-0.04524929076433182
;-84.16175079345703;-0.00000631783768767491,1.673991434358868e-8,-0.002214273437857628,-0.015245886519551277;3.373316348476152e-10,0.22107663750648499,0.033835019916296005,-0.4865984618663788;0.39897218346595764,-0.12272308766841888,0.03513592854142189,-0.045249927788972855
;-84.16400146484375;-0.000006322498393274145,1.6714063022504888e-8,-0.002215923508629203,-0.01517805177718401;3.368148537852278e-10,0.2210690975189209,0.03366870805621147,-0.48619017004966736;0.3986412584781647,-0.12273096293210983,0.03511510789394379,-0.04525057226419449
;-84.16624450683594;-0.000006327165920083644,1.668837334989348e-8,-0.0022175712510943413,-0.01511051133275032;3.3630240259263644e-10,0.2210616171360016,0.03350340202450752,-0.4857816994190216;0.3983123004436493,-0.12273884564638138,0.03509427607059479,-0.04525120183825493
;-84.16848754882812;-0.000006331792064884212,1.6662715651705184e-8,-0.002219217596575618,-0.015043281018733978;3.357897848665914e-10,0.22105416655540466,0.03333882614970207,-0.4853733479976654;0.39798328280448914,-0.12274672836065292,0.03507343307137489,-0.045251842588186264
;-84.17071533203125;-0.000006336393198580481,1.6637153876786215e-8,-0.0022208616137504578,-0.014976353384554386;3.3527933207544436e-10,0.22104671597480774,0.033175114542245865,-0.4849647581577301;0.3976551294326782,-0.12275461107492447,0.0350525826215744,-0.045252472162246704
;-84.17294311523438;-0.0000063409615904674865,1.6611684472422894e-8,-0.0022225044667720795,-0.014909722842276096;3.3477087768574165e-10,0.2210393100976944,0.033012259751558304,-0.4845561385154724;0.3973280191421509,-0.12276249378919601,0.035031720995903015,-0.045253101736307144
;-84.1751708984375;-0.000006345496331050526,1.6586247042482682e-8,-0.002224144758656621,-0.014843398705124855;3.3426328371888303e-10,0.22103190422058105,0.03285013139247894,-0.48414745926856995;0.3970007002353668,-0.12277038395404816,0.03501085191965103,-0.04525373503565788
;-84.17738342285156;-0.000006350000148813706,1.656090375945496e-8,-0.0022257836535573006,-0.014777373522520065;3.3375732733098573e-10,0.2210245281457901,0.03268885612487793,-0.48373880982398987;0.3966743052005768,-0.1227782741189003,0.034989967942237854,-0.04525436460971832
;-84.17959594726562;-0.000006354492143145762,1.6535656399696563e-8,-0.002227420685812831,-0.01471163984388113;3.3325339710010837e-10,0.22101713716983795,0.03252842277288437,-0.4833299517631531;0.3963489830493927,-0.12278616428375244,0.03496908023953438,-0.045254986733198166
;-84.18180847167969;-0.000006358931386785116,1.6510442790718116e-8,-0.002229055156931281,-0.014646206982433796;3.32749827691714e-10,0.2210097759962082,0.03236870840191841,-0.4829210340976715;0.39602336287498474,-0.12279406189918518,0.03494818136096001,-0.045255616307258606
;-84.18400573730469;-0.000006363344709825469,1.648531799958164e-8,-0.0022306868340820074,-0.01458107028156519;3.3224833995149083e-10,0.22100242972373962,0.03220983222126961,-0.48251214623451233;0.3956988751888275,-0.12280196696519852,0.03492727130651474,-0.04525623843073845
;-84.18620300292969;-0.0000063677452999399975,1.646029090807133e-8,-0.002232317114248872,-0.014516222290694714;3.317489061238632e-10,0.22099512815475464,0.03205179050564766,-0.482103168964386;0.39537525177001953,-0.12280986458063126,0.03490635007619858,-0.04525686055421829
;-84.18840026855469;-0.000006372084953909507,1.643529401462729e-8,-0.0022339457646012306,-0.014451675117015839;3.3124977760756735e-10,0.22098779678344727,0.03189445659518242,-0.48169413208961487;0.39505136013031006,-0.122817762196064,0.03488541767001152,-0.04525747895240784
;-84.19059753417969;-0.00000637638549960684,1.6410327319249518e-8,-0.0022355711553245783,-0.014387419447302818;3.307510099137545e-10,0.22098049521446228,0.03173782303929329,-0.48128509521484375;0.394727498292923,-0.12282568216323853,0.034864481538534164,-0.04525810107588768
;-84.19277954101562;-0.000006380662853189278,1.6385451218070557e-8,-0.002237194450572133,-0.014323457144200802;3.302543238881128e-10,0.2209731787443161,0.03158201277256012,-0.4808759093284607;0.39440447092056274,-0.12283357977867126,0.034843530505895615,-0.04525872319936752
