voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-84.25861358642578;-0.000006346213467622874,1.5606937964207646e-8,-0.0022779752034693956,-0.012714052572846413;3.147233584854803e-10,0.22100475430488586,0.028203997761011124,-0.4715341627597809;0.3839626610279083,-0.12302505970001221,0.034362804144620895,-0.04526647552847862
;-84.26067352294922;-0.000006350115654640831,1.5584104673393995e-8,-0.0022795440163463354,-0.012657647021114826;3.142653914878224e-10,0.2209979146718979,0.028065459802746773,-0.47114264965057373;0.3836537003517151,-0.12303272634744644,0.034342579543590546,-0.04526706039905548
;-84.26272583007812;-0.0000063539710026816465,1.5561296251576096e-8,-0.0022811098024249077,-0.012601502239704132;3.1380817389070614e-10,0.2209910750389099,0.027927545830607414,-0.47075122594833374;0.3833446502685547,-0.12304038554430008,0.0343223474919796,-0.04526763781905174
;-84.2647705078125;-0.000006357843176374445,1.5538635267375867e-8,-0.0022826739586889744,-0.012545599602162838;3.133541759403613e-10,0.22098428010940552,0.027790481224656105,-0.4703596234321594;0.3830377161502838,-0.12304805964231491,0.03430210426449776,-0.0452682189643383
;-84.26681518554688;-0.000006361660780385137,1.551599915217139e-8,-0.002284235553815961,-0.012489956803619862;3.1290051105692385e-10,0.22097750008106232,0.02765403315424919,-0.4699486196041107;0.3827306926250458,-0.12305603176355362,0.034280888736248016,-0.045268792659044266
;-84.26885986328125;-0.000006365445642586565,1.5493384353248985e-8,-0.0022857957519590855,-0.01243456918746233;3.1244745679614994e-10,0.22097070515155792,0.027518196031451225,-0.46953755617141724;0.38242343068122864,-0.12306401133537292,0.03425966575741768,-0.045269373804330826
;-84.27090454101562;-0.000006369187758537009,1.5470789094251813e-8,-0.002287351991981268,-0.012379437685012817;3.1199429151307356e-10,0.22096392512321472,0.027382971718907356,-0.46914589405059814;0.3821161687374115,-0.12307170033454895,0.03423939645290375,-0.04526994749903679
;-84.27294158935547;-0.000006372890311467927,1.5448215151536715e-8,-0.002288905903697014,-0.012324555777013302;3.1154143154132896e-10,0.22095708549022675,0.027248358353972435,-0.46875423192977905;0.38180863857269287,-0.12307938188314438,0.03421911597251892,-0.04527052864432335
;-84.27497100830078;-0.000006376604233082617,1.5425792199152966e-8,-0.002290457021445036,-0.012269915081560612;3.1109265163919986e-10,0.22095037996768951,0.02711457572877407,-0.4683817923069;0.38150322437286377,-0.12308675050735474,0.0341997928917408,-0.045271098613739014
;-84.2770004272461;-0.0000063802781369304284,1.540338878669445e-8,-0.0022920079063624144,-0.012215527705848217;3.1064370520361706e-10,0.2209436595439911,0.02698139101266861,-0.46797052025794983;0.3811977505683899,-0.12309475243091583,0.03417852893471718,-0.04527167230844498
;-84.2790298461914;-0.000006383909294527257,1.5381008466874846e-8,-0.0022935555316507816,-0.012161387130618095;3.101950085682148e-10,0.22093692421913147,0.02684881165623665,-0.4675980508327484;0.3808921277523041,-0.12310212850570679,0.034159187227487564,-0.04527224600315094
;-84.28104400634766;-0.0000063875354499032255,1.5358715188540373e-8,-0.0022951015271246433,-0.012107489630579948;3.097487544234667e-10,0.22093023359775543,0.026716938242316246,-0.46722549200057983;0.38058751821517944,-0.12310951203107834,0.03413984179496765,-0.045272815972566605
;-84.2830581665039;-0.000006391141596395755,1.5336503622620512e-8,-0.0022966458927839994,-0.012053833343088627;3.093039990798019e-10,0.2209235280752182,0.026585765182971954,-0.4668528139591217;0.38028383255004883,-0.12311690300703049,0.03412048518657684,-0.04527338594198227
;-84.2850570678711;-0.0000063947413764253724,1.531438265089946e-8,-0.002298189327120781,-0.012000421062111855;3.0886124213758137e-10,0.22091682255268097,0.02645529806613922,-0.4664801061153412;0.3799811899662018,-0.12312427908182144,0.03410112112760544,-0.045273952186107635
;-84.28705596923828;-0.0000063983261497924104,1.529234872066354e-8,-0.0022997306659817696,-0.011947245337069035;3.0842042808565395e-10,0.2209102213382721,0.026325520128011703,-0.46610718965530396;0.37967953085899353,-0.12313167005777359,0.03408174589276314,-0.0452745147049427
;-84.28904724121094;-0.00000640187090539257,1.5270336106709692e-8,-0.0023012710735201836,-0.01189431082457304;3.079798638339071e-10,0.22090362012386322,0.026196327060461044,-0.4657343924045563;0.3793777823448181,-0.12313906103372574,0.03406236320734024,-0.04527508094906807
;-84.29103088378906;-0.000006405442036339082,1.5248478035800872e-8,-0.002302809851244092,-0.0118416054174304;3.075433796517757e-10,0.22089698910713196,0.026067933067679405,-0.4653613865375519;0.3790782392024994,-0.1231464371085167,0.034042976796627045,-0.04527563974261284
;-84.29301452636719;-0.000006408959507098189,1.5226641281174125e-8,-0.002304347697645426,-0.011789143085479736;3.071067289361906e-10,0.22089043259620667,0.02594011090695858,-0.4649884104728699;0.3787784278392792,-0.12315382808446884,0.034023575484752655,-0.045276202261447906
;-84.29499053955078;-0.00000641243832433247,1.520482761918629e-8,-0.0023058829829096794,-0.011736921034753323;3.066703557763617e-10,0.22088386118412018,0.025812869891524315,-0.4646154046058655;0.3784785866737366,-0.12316122651100159,0.03400417044758797,-0.04527675732970238
;-84.29695892333984;-0.000006415950338123366,1.5183166723886643e-8,-0.0023074173368513584,-0.01168492715805769;3.062375908413628e-10,0.22087733447551727,0.025686414912343025,-0.46424227952957153;0.3781808316707611,-0.12316861748695374,0.03398475795984268,-0.04527731612324715
;-84.2989273071289;-0.000006419406872737454,1.516152714486907e-8,-0.002308950060978532,-0.011633171699941158;3.0580507570654447e-10,0.22087080776691437,0.025560522451996803,-0.4638691246509552;0.3778829872608185,-0.12317600101232529,0.0339653342962265,-0.04527786746621132
;-84.30089569091797;-0.00000642283657725784,1.5139910658490408e-8,-0.0023104804567992687,-0.011581653729081154;3.053728658830579e-10,0.22086425125598907,0.025435199961066246,-0.46349596977233887;0.37758496403694153,-0.12318341434001923,0.033945899456739426,-0.04527842625975609
;-84.30284881591797;-0.000006426249001378892,1.5118379437240037e-8,-0.0023120096884667873,-0.011530368588864803;3.0494251568313757e-10,0.22085770964622498,0.025310548022389412,-0.46312272548675537;0.37728798389434814,-0.12319081276655197,0.03392646089196205,-0.04527898132801056
;-84.30480194091797;-0.000006429646418837365,1.5096938810188476e-8,-0.0023135370574891567,-0.011479313485324383;3.0451413612908595e-10,0.22085118293762207,0.025186562910676003,-0.4627493619918823;0.37699195742607117,-0.12319821864366531,0.03390701487660408,-0.04527953267097473
;-84.30675506591797;-0.000006433017006202135,1.5075519499418988e-8,-0.002315063029527664,-0.011428491212427616;3.040860063752149e-10,0.22084464132785797,0.025063132867217064,-0.46237605810165405;0.3766958713531494,-0.12320561707019806,0.033887553960084915,-0.0452800877392292
;-84.30870056152344;-0.000006436345302063273,1.505412505764525e-8,-0.0023165864404290915,-0.011377900838851929;3.0365812642152434e-10,0.22083818912506104,0.024940259754657745,-0.4620026648044586;0.3763996362686157,-0.123213030397892,0.03386808931827545,-0.045280639082193375
;-84.31063842773438;-0.00000643968314761878,1.5032879829846024e-8,-0.0023181079886853695,-0.011327533051371574;3.0323388244823946e-10,0.2208317220211029,0.02481815032660961,-0.46162915229797363;0.37610551714897156,-0.12322043627500534,0.03384861722588539,-0.04528118669986725
;-84.31257629394531;-0.000006442992798838532,1.501165947104255e-8,-0.0023196283727884293,-0.011277396231889725;3.0280947194150087e-10,0.22082524001598358,0.02469658851623535,-0.46125563979148865;0.37581127882003784,-0.12322784960269928,0.033829133957624435,-0.04528173804283142
;-84.31451416015625;-0.000006446262887038756,1.4990460428521146e-8,-0.00232114689424634,-0.01122749038040638;3.0238567205742584e-10,0.22081877291202545,0.024575574323534966,-0.4608820676803589;0.37551698088645935,-0.12323526293039322,0.03380964323878288,-0.045282285660505295
;-84.31645202636719;-0.000006449486136261839,1.4969284478638656e-8,-0.002322662388905883,-0.011177814565598965;3.0196214972910695e-10,0.2208123505115509,0.024455105885863304,-0.4605085253715515;0.37522244453430176,-0.12324269115924835,0.03379014506936073,-0.04528282955288887
;-84.31837463378906;-0.00000645271302346373,1.4948193793884457e-8,-0.0023241753224283457,-0.011128358542919159;3.0154054253550555e-10,0.22080594301223755,0.024335283786058426,-0.460134893655777;0.37492895126342773,-0.12325011193752289,0.03377063572406769,-0.045283377170562744
;-84.32029724121094;-0.000006455928541981848,1.4927190150615388e-8,-0.002325688023120165,-0.011079126037657261;3.01120822721046e-10,0.2207994908094406,0.024216102436184883,-0.4597611427307129;0.37463653087615967,-0.12325753271579742,0.033751118928194046,-0.04528392106294632
;-84.32221984863281;-0.000006459091764554614,1.4906209599985232e-8,-0.00232719792984426,-0.011030119843780994;3.00701352706767e-10,0.22079309821128845,0.024097461253404617,-0.4593874216079712;0.3743439316749573,-0.12326496094465256,0.03373159468173981,-0.0452844612300396
;-84.32414245605469;-0.000006462228157033678,1.488524681292347e-8,-0.002328705508261919,-0.010981340892612934;3.0028174391460993e-10,0.2207867056131363,0.02397935278713703,-0.4590136706829071;0.3740512430667877,-0.12327239662408829,0.03371206298470497,-0.04528500512242317
;-84.32606506347656;-0.000006465329988714075,1.4864308006679039e-8,-0.002330211689695716,-0.010932781733572483;2.9986280125626763e-10,0.22078031301498413,0.023861777037382126,-0.45863988995552063;0.3737584054470062,-0.12327983230352402,0.03369252011179924,-0.04528554901480675
;-84.3279800415039;-0.000006468391347880242,1.4843388740359842e-8,-0.002331714378669858,-0.010884447954595089;2.9944405288695464e-10,0.2207738757133484,0.0237447340041399,-0.45826607942581177;0.3734653890132904,-0.12328727543354034,0.03367297351360321,-0.04528609663248062
;-84.32988739013672;-0.000006471477718150709,1.4822618688015154e-8,-0.002333215204998851,-0.010836322791874409;2.9902888498689606e-10,0.2207675576210022,0.023628421127796173,-0.45789214968681335;0.3731745779514313,-0.12329471856355667,0.033653415739536285,-0.0452866367995739
