voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-83.99714660644531;-0.000005343587872630451,1.883298139659928e-8,-0.001996557228267193,-0.02552681975066662;3.7832401100779123e-10,0.21982909739017487,0.05380385369062424,-0.504482090473175;0.4245803654193878,-0.12234825640916824,0.03602489456534386,-0.04528120160102844
;-83.99988555908203;-0.0000053533103709924035,1.8798278489384757e-8,-0.0019984955433756113,-0.025412432849407196;3.776638446417735e-10,0.21981997787952423,0.05353609099984169,-0.5040405988693237;0.42419230937957764,-0.12235677242279053,0.03600263223052025,-0.04528198018670082
;-84.00261688232422;-0.000005362990577850724,1.8763840259339304e-8,-0.0020004308316856623,-0.025298552587628365;3.770074530340395e-10,0.21981093287467957,0.053269870579242706,-0.5035988688468933;0.4238063097000122,-0.12236529588699341,0.035980358719825745,-0.0452827550470829
;-84.00534057617188;-0.0000053725680118077435,1.872952459791577e-8,-0.0020023630931973457,-0.025185193866491318;3.7635208838260326e-10,0.2198018878698349,0.053004831075668335,-0.5031571388244629;0.4234200716018677,-0.12237381190061569,0.035958074033260345,-0.04528352990746498
;-84.008056640625;-0.000005382115432439605,1.869546295552027e-8,-0.0020042925607413054,-0.025072317570447922;3.757004152227239e-10,0.2197929322719574,0.052741341292858124,-0.5027152895927429;0.42303580045700073,-0.12238232791423798,0.03593577817082405,-0.045284297317266464
;-84.01077270507812;-0.000005391573722590692,1.8661514999962492e-8,-0.0020062190014868975,-0.02495996467769146;3.750497412635667e-10,0.21978390216827393,0.05247901752591133,-0.5022733807563782;0.4226512610912323,-0.12239085882902145,0.03591347485780716,-0.045285072177648544
;-84.01347351074219;-0.000005400972440838814,1.8627748232802332e-8,-0.0020081414841115475,-0.024848120287060738;3.744009546835514e-10,0.21977490186691284,0.052218034863471985,-0.5018312931060791;0.4222676753997803,-0.12239938229322433,0.035891152918338776,-0.04528583958745003
;-84.01617431640625;-0.00000541030158274225,1.8594151995898756e-8,-0.0020100621040910482,-0.024736767634749413;3.737544995718878e-10,0.21976596117019653,0.05195840448141098,-0.50138920545578;0.4218849241733551,-0.12240791320800781,0.03586882725358009,-0.04528660327196121
;-84.01886749267578;-0.000005419541139417561,1.856066589311922e-8,-0.0020119789987802505,-0.024625929072499275;3.7310907141652194e-10,0.21975703537464142,0.05169990658760071,-0.5009470582008362;0.42150193452835083,-0.12241644412279129,0.03584648296236992,-0.045287370681762695
;-84.02155303955078;-0.000005428746135294205,1.852741071672881e-8,-0.002013892401009798,-0.02451557107269764;3.7246730699713737e-10,0.2197481393814087,0.051442939788103104,-0.5005048513412476;0.4211210012435913,-0.12242497503757477,0.03582412749528885,-0.04528813064098358
;-84.02423858642578;-0.000005437861091195373,1.8494256792678243e-8,-0.002015802776440978,-0.024405719712376595;3.718260421781139e-10,0.21973924338817596,0.05118710547685623,-0.5000624060630798;0.4207398593425751,-0.12243351340293884,0.03580176457762718,-0.04528889060020447
;-84.02690887451172;-0.000005446921932161786,1.8461260964386383e-8,-0.0020177101250737906,-0.024296361953020096;3.711876361833788e-10,0.21973039209842682,0.05093258246779442,-0.4996200501918793;0.4203595221042633,-0.12244205921888351,0.03577938675880432,-0.04528965428471565
;-84.02957916259766;-0.0000054559145610255655,1.842842856092375e-8,-0.002019614214077592,-0.024187488481402397;3.7055108981220997e-10,0.21972154080867767,0.05067937448620796,-0.4991774260997772;0.41998010873794556,-0.12245059013366699,0.035757001489400864,-0.04529041051864624
;-84.0322494506836;-0.000005464833975565853,1.8395683198946244e-8,-0.002021515043452382,-0.02407911606132984;3.69914987530251e-10,0.21971270442008972,0.05042729526758194,-0.4987349510192871;0.4196005165576935,-0.12245913594961166,0.03573460504412651,-0.04529116675257683
;-84.03490447998047;-0.000005473690634971717,1.8363094156370607e-8,-0.0020234123803675175,-0.023971224203705788;3.692812167166437e-10,0.21970385313034058,0.05017651244997978,-0.49829229712486267;0.41922178864479065,-0.12246768176555634,0.035712193697690964,-0.045291922986507416
;-84.03755950927734;-0.000005482482265506405,1.833065610412632e-8,-0.0020253071561455727,-0.023863820359110832;3.686502492161736e-10,0.2196951061487198,0.049927033483982086,-0.49784955382347107;0.4188438057899475,-0.1224762350320816,0.03568977490067482,-0.045292675495147705
;-84.04021453857422;-0.000005491187948791776,1.8298301540653483e-8,-0.002027197740972042,-0.023756906390190125;3.6801930947127914e-10,0.21968631446361542,0.049678653478622437,-0.49740684032440186;0.41846585273742676,-0.12248479574918747,0.03566734120249748,-0.045293428003787994
;-84.04286193847656;-0.00000549982360098511,1.826602513688158e-8,-0.0020290850661695004,-0.023650484159588814;3.673888138155945e-10,0.21967752277851105,0.049431368708610535,-0.4969639480113983;0.41808754205703735,-0.12249335646629333,0.03564489632844925,-0.045294180512428284
;-84.04550170898438;-0.000005508415597432759,1.8233960119573567e-8,-0.0020309695973992348,-0.023544522002339363;3.6676250925182785e-10,0.21966877579689026,0.049185555428266525,-0.4965210258960724;0.41771116852760315,-0.1225019097328186,0.03562244400382042,-0.045294929295778275
;-84.04814147949219;-0.0000055169357437989675,1.8201969709252808e-8,-0.0020328497048467398,-0.02343904599547386;3.6613667653284665e-10,0.21966004371643066,0.04894081503152847,-0.4960779845714569;0.4173347055912018,-0.12251048535108566,0.035599976778030396,-0.04529567435383797
;-84.05078125;-0.000005525366304937052,1.8170053905919303e-8,-0.0020347267854958773,-0.02333405241370201;3.655112879030753e-10,0.21965131163597107,0.04869716987013817,-0.49563491344451904;0.4169580042362213,-0.12251905351877213,0.035577498376369476,-0.04529642313718796
;-84.05341339111328;-0.0000055337259254883975,1.8138207380502536e-8,-0.0020366001408547163,-0.02322954311966896;3.6488642662924065e-10,0.21964257955551147,0.04845460504293442,-0.49519190192222595;0.4165811836719513,-0.12252762913703918,0.03555500879883766,-0.04529717192053795
;-84.05603790283203;-0.00000554205325897783,1.81065651361223e-8,-0.002038470236584544,-0.023125482723116875;3.642656454250215e-10,0.21963389217853546,0.04821348935365677,-0.4947487711906433;0.4162062108516693,-0.12253619730472565,0.03553250804543495,-0.04529791325330734
;-84.05866241455078;-0.000005550293280975893,1.807498861694512e-8,-0.002040337072685361,-0.02302190102636814;3.636453638211634e-10,0.21962523460388184,0.04797343909740448,-0.49430546164512634;0.4158310890197754,-0.1225447878241539,0.03550999239087105,-0.045298658311367035
;-84.06128692626953;-0.000005558461452892516,1.8043477822971e-8,-0.002042199717834592,-0.02291880175471306;3.630255540620908e-10,0.21961656212806702,0.04773445799946785,-0.4938621520996094;0.41545581817626953,-0.12255337089300156,0.03548746928572655,-0.045299407094717026
;-84.06390380859375;-0.000005566552772506839,1.8012030977843096e-8,-0.0020440591033548117,-0.022816170006990433;3.6240671574816474e-10,0.21960783004760742,0.04749653488397598,-0.4934189021587372;0.41508030891418457,-0.12256196141242981,0.03546493873000145,-0.04530014842748642
;-84.06651306152344;-0.0000055746081670804415,1.7980781308324367e-8,-0.0020459145307540894,-0.022713983431458473;3.6179104156985886e-10,0.21959920227527618,0.04726002737879753,-0.4929753839969635;0.4147067368030548,-0.12257055938243866,0.03544238582253456,-0.045300889760255814
;-84.06912231445312;-0.000005582593075814657,1.7949590258581338e-8,-0.002047766698524356,-0.022612251341342926;3.611762555699727e-10,0.21959058940410614,0.04702456668019295,-0.4925512373447418;0.4143331050872803,-0.12257886677980423,0.03542076796293259,-0.04530162736773491
;-84.07172393798828;-0.000005590502496488625,1.791845782861401e-8,-0.002049615839496255,-0.022511005401611328;3.6056194141487197e-10,0.2195819765329361,0.04679014906287193,-0.4921269118785858;0.4139591455459595,-0.1225871741771698,0.035399142652750015,-0.045302364975214005
;-84.0743179321289;-0.000005598384177574189,1.7887520797899015e-8,-0.0020514624193310738,-0.022410191595554352;3.5995173508496237e-10,0.21957340836524963,0.046557143330574036,-0.4917026162147522;0.41358712315559387,-0.12259547412395477,0.03537750244140625,-0.0453030988574028
;-84.076904296875;-0.000005606192644336261,1.785663883424604e-8,-0.002053305506706238,-0.02230984717607498;3.5934202835541385e-10,0.2195647805929184,0.046325162053108215,-0.49129751324653625;0.4132150411605835,-0.12260349094867706,0.0353567935526371,-0.0453038364648819
;-84.07948303222656;-0.000005613972916762577,1.7825945164418044e-8,-0.0020551455672830343,-0.022209934890270233;3.587363461843296e-10,0.21955622732639313,0.046094559133052826,-0.4908730387687683;0.4128449261188507,-0.12261179834604263,0.03533513471484184,-0.045304566621780396
;-84.08206176757812;-0.000005621681339107454,1.7795311890722587e-8,-0.0020569830667227507,-0.022110478952527046;3.581311081024552e-10,0.21954774856567383,0.045864976942539215,-0.4904484748840332;0.41247451305389404,-0.1226201206445694,0.03531346097588539,-0.045305296778678894
;-84.08462524414062;-0.000005629335646517575,1.776479763293537e-8,-0.002058818470686674,-0.022011473774909973;3.575281737333569e-10,0.21953925490379333,0.04563659057021141,-0.490043044090271;0.41210514307022095,-0.12262813001871109,0.035292722284793854,-0.04530602693557739
;-84.08718872070312;-0.00000563694584343466,1.7734402391056392e-8,-0.0020606510806828737,-0.021912911906838417;3.5692698796552236e-10,0.21953074634075165,0.045409396290779114,-0.4896376430988312;0.41173654794692993,-0.12263616174459457,0.03527197614312172,-0.045306749641895294
;-84.08973693847656;-0.000005644513748848112,1.7704127941442493e-8,-0.002062480431050062,-0.02181478589773178;3.5632852224409817e-10,0.21952228248119354,0.045183371752500534,-0.4892321527004242;0.4113689363002777,-0.12264418601989746,0.03525121510028839,-0.045307476073503494
;-84.09227752685547;-0.000005652028903568862,1.7673976060450514e-8,-0.002064308151602745,-0.021717099472880363;3.5573236023545007e-10,0.21951381862163544,0.04495852813124657,-0.4888265132904053;0.41100218892097473,-0.12265220284461975,0.035230450332164764,-0.045308202505111694
;-84.09481048583984;-0.0000056595249589008745,1.7644007144212992e-8,-0.0020661340095102787,-0.02161983959376812;3.5513969542932955e-10,0.21950536966323853,0.04473501443862915,-0.4884207844734192;0.4106374979019165,-0.12266021966934204,0.03520967438817024,-0.045308917760849
;-84.09733581542969;-0.000005666956894856412,1.7614091518680652e-8,-0.002067957306280732,-0.021523024886846542;3.5454797431277996e-10,0.21949702501296997,0.04451249912381172,-0.4880150258541107;0.4102725386619568,-0.12266825139522552,0.035188887268304825,-0.0453096367418766
;-84.099853515625;-0.000005674358817486791,1.758436063425961e-8,-0.002069778274744749,-0.02142663300037384;3.5396033326584586e-10,0.21948862075805664,0.04429129883646965,-0.4876091480255127;0.4099096357822418,-0.12267626076936722,0.03516808897256851,-0.04531035199761391
;-84.10237121582031;-0.0000056817025324562564,1.7554677711473232e-8,-0.002071597147732973,-0.021330682560801506;3.533726089521849e-10,0.21948027610778809,0.04407108575105667,-0.4872032403945923;0.40954649448394775,-0.1226842924952507,0.0351472832262516,-0.04531106725335121
