voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;1.7792553901672363;-6.712634886553133e-15,0.013333993963897228,-1.1169135570526123,0.26440829038619995;0.025983788073062897,0.3763318657875061,0.20101667940616608,-0.0522303506731987;0.019584227353334427,-0.06721999496221542,0.051414139568805695,-0.020446177572011948
;1.7362422943115234;-6.869503694318735e-15,0.013346558436751366,-1.116268515586853,0.2649288773536682;0.02578909508883953,0.3763073980808258,0.20137149095535278,-0.05230768397450447;0.019658807665109634,-0.06725337356328964,0.0513838529586792,-0.0204586423933506
;1.6930488348007202;-7.0307169340708044e-15,0.01335921511054039,-1.1156219244003296,0.26544904708862305;0.025595013052225113,0.37628281116485596,0.20172718167304993,-0.052385855466127396;0.01973399892449379,-0.06728686392307281,0.051353540271520615,-0.02047116309404373
;1.649674654006958;-7.196396155037272e-15,0.01337196584790945,-1.1149736642837524,0.26596876978874207;0.025401558727025986,0.37625807523727417,0.20208382606506348,-0.052464887499809265;0.0198097825050354,-0.06732046604156494,0.05132320895791054,-0.02048373408615589
;1.6061195135116577;-7.366681117654435e-15,0.013384809717535973,-1.1143239736557007,0.2664880156517029;0.025208735838532448,0.37623322010040283,0.20244137942790985,-0.05254477262496948;0.019886163994669914,-0.06735418736934662,0.051292844116687775,-0.02049635723233223
;1.5623830556869507;-7.541721323237483e-15,0.013397746719419956,-1.1136724948883057,0.2670070230960846;0.0250165443867445,0.37620824575424194,0.20279984176158905,-0.05262553319334984;0.019963158294558525,-0.06738802790641785,0.05126245692372322,-0.020509034395217896
;1.5184650421142578;-7.721663308486292e-15,0.013410779647529125,-1.1130194664001465,0.26752519607543945;0.02482500486075878,0.3761831521987915,0.20315925776958466,-0.052707135677337646;0.020040756091475487,-0.06742198020219803,0.05123204365372658,-0.02052176371216774
;1.4743653535842896;-7.906655304166631e-15,0.013423904776573181,-1.1123648881912231,0.2680428922176361;0.0246341023594141,0.37615787982940674,0.20351961255073547,-0.05278957262635231;0.02011900208890438,-0.06745605170726776,0.051201608031988144,-0.020534543320536613
;1.4300836324691772;-8.096855705439637e-15,0.013437124900519848,-1.111708641052246,0.268559992313385;0.024443872272968292,0.3761325180530548,0.2038809210062027,-0.05287288874387741;0.020197855308651924,-0.06749022752046585,0.05117114633321762,-0.020547380670905113
;1.3856195211410522;-8.292429683730024e-15,0.013450440019369125,-1.1110509634017944,0.26907721161842346;0.02425430156290531,0.37610700726509094,0.20424316823482513,-0.05295703560113907;0.020277326926589012,-0.06752452999353409,0.05114065855741501,-0.020560266450047493
;1.3409733772277832;-8.49355088079198e-15,0.013463848270475864,-1.11039137840271,0.2695932686328888;0.024065393954515457,0.3760814368724823,0.20460635423660278,-0.053045954555273056;0.02035745605826378,-0.06755878031253815,0.05111077427864075,-0.0205732062458992
;1.2961446046829224;-8.70038700914906e-15,0.01347734872251749,-1.1097303628921509,0.2701088786125183;0.02387716807425022,0.37605562806129456,0.20497052371501923,-0.053135719150304794;0.02043820545077324,-0.06759314239025116,0.05108087882399559,-0.020586198195815086
;1.2511337995529175;-8.913117639786083e-15,0.013490946963429451,-1.109067440032959,0.2706242501735687;0.023689625784754753,0.37602975964546204,0.20533569157123566,-0.05323028564453125;0.020519603043794632,-0.0676274523139,0.051051583141088486,-0.0205992441624403
;1.205939769744873;-9.131918955556078e-15,0.013504639267921448,-1.1084030866622925,0.271138995885849;0.023502765223383904,0.37600377202033997,0.2057017982006073,-0.05331788212060928;0.020601656287908554,-0.06766222417354584,0.051020994782447815,-0.020612342283129692
;1.1605623960494995;-9.357010337992383e-15,0.01351842563599348,-1.1077371835708618,0.2716529965400696;0.023316601291298866,0.37597760558128357,0.20606884360313416,-0.05341021716594696;0.020684370771050453,-0.06769692897796631,0.05099101737141609,-0.020625494420528412
;1.1150020360946655;-9.588578134343394e-15,0.013532305136322975,-1.1070693731307983,0.2721666693687439;0.023131143301725388,0.3759513199329376,0.2064369171857834,-0.05350736901164055;0.020767750218510628,-0.0677315890789032,0.050961654633283615,-0.02063869871199131
;1.0692579746246338;-9.82681123295635e-15,0.01354628149420023,-1.1064001321792603,0.2726796269416809;0.02294638380408287,0.3759249448776245,0.206806018948555,-0.0536014586687088;0.02085179090499878,-0.06776653975248337,0.05093162879347801,-0.020651957020163536
;1.0233303308486938;-1.0071942567891744e-14,0.013560349121689796,-1.105729103088379,0.2731923758983612;0.022762343287467957,0.3758983910083771,0.207176074385643,-0.053700365126132965;0.020936505869030952,-0.06780143082141876,0.05090221390128136,-0.02066526934504509
;0.9772189855575562;-1.0324197449913548e-14,0.013574515469372272,-1.1050567626953125,0.2737042307853699;0.0225790124386549,0.3758716881275177,0.2075471580028534,-0.05380009114742279;0.021021902561187744,-0.06783643364906311,0.05087278410792351,-0.020678633823990822
;0.9309235215187073;-1.0583791025390362e-14,0.01358877494931221,-1.1043827533721924,0.27421537041664124;0.02239641174674034,0.3758448660373688,0.20791923999786377,-0.05390072241425514;0.021107977256178856,-0.0678715631365776,0.05084332451224327,-0.020692050457000732
;0.8844437003135681;-1.0850968933876892e-14,0.013603132218122482,-1.10370671749115,0.27472609281539917;0.022214531898498535,0.3758178949356079,0.20829233527183533,-0.05400221794843674;0.021194741129875183,-0.06790680438280106,0.050813838839530945,-0.02070552296936512
