voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;6.64271354675293;-4.715481651154749e-16,0.011386272497475147,-0.9872288107872009,0.3399486541748047;0.06026970595121384,0.3819209635257721,0.1961171180009842,-0.07471276819705963;0.012717763893306255,-0.062044572085142136,0.060309216380119324,-0.018959885463118553
;6.607215404510498;-4.807093558356222e-16,0.011396772228181362,-0.9868077039718628,0.3405550718307495;0.05990661308169365,0.3819027841091156,0.1964319944381714,-0.07473822683095932;0.01275802031159401,-0.062073737382888794,0.06027717515826225,-0.018970174714922905
;6.571565628051758;-4.900887104792467e-16,0.01140734925866127,-0.9863844513893127,0.34116116166114807;0.059544093906879425,0.38188454508781433,0.1967475712299347,-0.07475749403238297;0.012798577547073364,-0.06210324540734291,0.060244135558605194,-0.018980510532855988
;6.535763740539551;-4.996919465187423e-16,0.011417998932301998,-0.9859591722488403,0.3417665362358093;0.05918212607502937,0.3818661868572235,0.19706377387046814,-0.07477762550115585;0.012839443981647491,-0.062132854014635086,0.06021105498075485,-0.018990887328982353
;6.499809265136719;-5.095244637891478e-16,0.01142872404307127,-0.9855319857597351,0.34237101674079895;0.05882071331143379,0.38184767961502075,0.1973806619644165,-0.07480199635028839;0.01288061123341322,-0.062162429094314575,0.06017842888832092,-0.01900130696594715
;6.463703155517578;-5.195933561913965e-16,0.011439526453614235,-0.9851025938987732,0.3429749310016632;0.05845991522073746,0.38182923197746277,0.1976982206106186,-0.07483068853616714;0.012922078371047974,-0.06219198554754257,0.060146257281303406,-0.01901177503168583
;6.4274444580078125;-5.299045529561191e-16,0.011450404301285744,-0.9846709966659546,0.34357815980911255;0.05809972435235977,0.3818105459213257,0.19801640510559082,-0.07485674321651459;0.012963860295712948,-0.06222176179289818,0.0601135715842247,-0.01902228407561779
;6.391033172607422;-5.4046525386336735e-16,0.011461354792118073,-0.9842374324798584,0.3441804051399231;0.05774013325572014,0.381791889667511,0.19833530485630035,-0.07488354295492172;0.013005941174924374,-0.06225163862109184,0.06008084490895271,-0.019032839685678482
;6.354469299316406;-5.512807528690615e-16,0.01147238165140152,-0.9838019609451294,0.344782292842865;0.05738117918372154,0.38177305459976196,0.1986548751592636,-0.07491467148065567;0.013048351742327213,-0.062281493097543716,0.06004856899380684,-0.019043438136577606
;6.317752838134766;-5.623596261817925e-16,0.011483481153845787,-0.9833641648292542,0.34538301825523376;0.05702289938926697,0.38175415992736816,0.19897517561912537,-0.07494662702083588;0.013091059401631355,-0.06231144443154335,0.060016267001628876,-0.019054081290960312
;6.280882835388184;-5.737081736091056e-16,0.011494655162096024,-0.9829244613647461,0.34598308801651;0.056665245443582535,0.38173508644104004,0.19929613173007965,-0.07497936487197876;0.01313408836722374,-0.062341492623090744,0.059983935207128525,-0.01906476728618145
;6.243859767913818;-5.853338596288485e-16,0.011505904607474804,-0.9824826717376709,0.3465828597545624;0.05630828067660332,0.3817160129547119,0.19961783289909363,-0.07501291483640671;0.013177436776459217,-0.062371645122766495,0.05995156243443489,-0.01907549984753132
;6.206683158874512;-5.972445722353425e-16,0.01151722576469183,-0.9820384979248047,0.3471817076206207;0.055952005088329315,0.381696879863739,0.19994020462036133,-0.07504729181528091;0.013221104629337788,-0.062401894479990005,0.05991915985941887,-0.01908627524971962
;6.1693525314331055;-6.09447987664672e-16,0.0115286223590374,-0.9815927743911743,0.34777969121932983;0.055596426129341125,0.3816775679588318,0.20026329159736633,-0.07508247345685959;0.013265104033052921,-0.062432244420051575,0.05988672748208046,-0.01909709721803665
;6.1318678855896;-6.219519939111584e-16,0.011540093459188938,-0.9811449646949768,0.3483767807483673;0.05524154007434845,0.38165825605392456,0.20058713853359222,-0.07511846721172333;0.013309424743056297,-0.062462691217660904,0.059854261577129364,-0.019107962027192116
;6.094228744506836;-6.347646377878006e-16,0.011551638133823872,-0.9806950688362122,0.3489733040332794;0.05488738417625427,0.3816387355327606,0.20091165602207184,-0.07515527307987213;0.013354082591831684,-0.06249324232339859,0.059821758419275284,-0.01911887153983116
;6.0564351081848145;-6.478949719592223e-16,0.0115632563829422,-0.9802429676055908,0.34956902265548706;0.054533977061510086,0.3816192150115967,0.20123694837093353,-0.07519291341304779;0.013399060815572739,-0.06252389401197433,0.059789225459098816,-0.01912982575595379
;6.018486976623535;-6.613518373318106e-16,0.011574947275221348,-0.9797888398170471,0.35016384720802307;0.0541812926530838,0.3815996050834656,0.20156295597553253,-0.07523132115602493;0.013444378040730953,-0.06255464255809784,0.05975665897130966,-0.019140826538205147
;5.980383396148682;-6.751449218448996e-16,0.01158671174198389,-0.9793325662612915,0.3507576584815979;0.053829390555620193,0.38157981634140015,0.20188967883586884,-0.0752706229686737;0.013490037061274052,-0.0625854879617691,0.05972406268119812,-0.019151872023940086
;5.942124366760254;-6.892823781906067e-16,0.011598549783229828,-0.9788742065429688,0.351351261138916;0.05347824841737747,0.3815600275993347,0.20221717655658722,-0.07531067728996277;0.013536032289266586,-0.06261644512414932,0.05969143286347389,-0.019162962213158607
;5.903709411621094;-7.037751119181278e-16,0.01161046139895916,-0.9784138798713684,0.3519439995288849;0.05312788113951683,0.3815400302410126,0.2025454044342041,-0.07535155117511749;0.013582367449998856,-0.0626474916934967,0.05965875834226608,-0.01917409710586071
;5.865138053894043;-7.186324933294418e-16,0.011622445657849312,-0.9779514670372009,0.3525359332561493;0.05277830734848976,0.38152000308036804,0.20287440717220306,-0.07539325207471848;0.013629045337438583,-0.06267864257097244,0.05962606519460678,-0.019185276702046394
;5.82641077041626;-7.338647397594751e-16,0.011634502559900284,-0.977487325668335,0.3531271815299988;0.05242954194545746,0.38149985671043396,0.2032041698694229,-0.07543578743934631;0.013676078990101814,-0.06270990520715714,0.059593331068754196,-0.01919650100171566
;5.787526607513428;-7.494825449991867e-16,0.011646633967757225,-0.9770210385322571,0.3537174165248871;0.05208159238100052,0.3814796507358551,0.20353472232818604,-0.07547911256551743;0.013723459094762802,-0.0627412497997284,0.059560563415288925,-0.019207773730158806
;5.748485565185547;-7.654970263560094e-16,0.011658837087452412,-0.9765524864196777,0.35430651903152466;0.05173445865511894,0.3814592957496643,0.20386600494384766,-0.07552329450845718;0.01377120055258274,-0.0627727136015892,0.05952776223421097,-0.019219089299440384
;5.709287166595459;-7.819200422912046e-16,0.011671114712953568,-0.9760818481445312,0.3548954129219055;0.051388178020715714,0.38143885135650635,0.20419807732105255,-0.07556827366352081;0.013819284737110138,-0.06280427426099777,0.059494927525520325,-0.019230451434850693
;5.669931411743164;-7.987622336561723e-16,0.011683464981615543,-0.975609302520752,0.35548341274261475;0.05104272440075874,0.381418377161026,0.20453092455863953,-0.0756140872836113;0.013867739588022232,-0.0628359317779541,0.05946206673979759,-0.019241858273744583
;5.630417346954346;-8.160364118242397e-16,0.01169588603079319,-0.9751346707344055,0.3560704290866852;0.05069815367460251,0.38139772415161133,0.20486456155776978,-0.07566064596176147;0.013916559517383575,-0.06286770105361938,0.05942916497588158,-0.019253311678767204
;5.59074592590332;-8.337544352566683e-16,0.011708380654454231,-0.9746580123901367,0.3566564917564392;0.05035443231463432,0.3813770115375519,0.2051989883184433,-0.0757116973400116;0.013965743593871593,-0.06289944052696228,0.05939673259854317,-0.019264809787273407
;5.550917148590088;-8.519285329916342e-16,0.011720949783921242,-0.9741795063018799,0.3572421669960022;0.05001159757375717,0.3813561499118805,0.2055342197418213,-0.07576704770326614;0.014015289023518562,-0.06293115019798279,0.059364769607782364,-0.01927635632455349
;5.510930061340332;-8.705727869518854e-16,0.011733591556549072,-0.9736990928649902,0.35782718658447266;0.04966967925429344,0.38133522868156433,0.20587030053138733,-0.07581969350576401;0.014065203256905079,-0.0629630982875824,0.05933227017521858,-0.019287947565317154
;5.470784664154053;-8.897004320272228e-16,0.011746306903660297,-0.9732163548469543,0.3584109842777252;0.04932866618037224,0.3813142478466034,0.20620720088481903,-0.07587670534849167;0.014115497469902039,-0.06299500912427902,0.05930023640394211,-0.01929958164691925
;5.43048095703125;-9.093250207448025e-16,0.011759095825254917,-0.972731351852417,0.35899415612220764;0.04898856580257416,0.38129308819770813,0.20654486119747162,-0.07593459635972977;0.01416616328060627,-0.063027024269104,0.05926816910505295,-0.019311264157295227
;5.390018939971924;-9.294612173625237e-16,0.011771958321332932,-0.9722446203231812,0.35957610607147217;0.04864941164851189,0.3812718689441681,0.20688340067863464,-0.07599329203367233;0.014217210002243519,-0.06305915117263794,0.0592360757291317,-0.019322993233799934
;5.349398136138916;-9.50123950836082e-16,0.011784895323216915,-0.9717559814453125,0.36015745997428894;0.04831117019057274,0.38125061988830566,0.20722277462482452,-0.07605280727148056;0.014268633909523487,-0.06309136748313904,0.059203945100307465,-0.019334768876433372
;5.308618068695068;-9.71329844187067e-16,0.011797904036939144,-0.9712650775909424,0.36073774099349976;0.047973912209272385,0.38122913241386414,0.20756298303604126,-0.07611317187547684;0.01432045828551054,-0.06312370300292969,0.05917178466916084,-0.019346587359905243
;5.267678737640381;-9.93091708788806e-16,0.011810983531177044,-0.9707723259925842,0.3613177537918091;0.047637585550546646,0.3812076151371002,0.20790401101112366,-0.07617433369159698;0.014372670091688633,-0.0631561279296875,0.059139594435691833,-0.019358456134796143
;5.226579189300537;-1.0154294499155597e-15,0.011824140325188637,-0.9702777862548828,0.3618968725204468;0.047302257269620895,0.38118600845336914,0.2082459032535553,-0.07623633742332458;0.014425256289541721,-0.06318866461515427,0.05910737067461014,-0.019370367750525475
;5.185319423675537;-1.0383565142153654e-15,0.01183736976236105,-0.9697808623313904,0.3624747693538666;0.04696788638830185,0.38116419315338135,0.20858865976333618,-0.07629919797182083;0.014478251338005066,-0.06322129815816879,0.059075117111206055,-0.019382325932383537
;5.143898963928223;-1.0618936539954311e-15,0.011850670911371708,-0.9692822098731995,0.3630521595478058;0.04663452133536339,0.38114240765571594,0.2089322805404663,-0.07636290043592453;0.01453164592385292,-0.06325403600931168,0.05904282629489899,-0.01939433254301548
;5.102317810058594;-1.086056539365281e-15,0.01186404749751091,-0.9687813520431519,0.36362841725349426;0.04630216583609581,0.3811204433441162,0.20927676558494568,-0.07642747461795807;0.014585438184440136,-0.06328687816858292,0.05901050195097923,-0.019406385719776154
;5.060575008392334;-1.1108653932365305e-15,0.011877496726810932,-0.968278706073761,0.36420390009880066;0.04597079008817673,0.3810983896255493,0.2096220850944519,-0.07649276405572891;0.014639641158282757,-0.06331982463598251,0.05897815525531769,-0.01941848360002041
;5.018671035766602;-1.1363378974219539e-15,0.011891022324562073,-0.9677738547325134,0.3647785484790802;0.04564043879508972,0.38107624650001526,0.20996832847595215,-0.07655899226665497;0.014694241806864738,-0.06335288286209106,0.05894577130675316,-0.019430629909038544
;4.97660493850708;-1.162495651261706e-15,0.011904621496796608,-0.9672671556472778,0.3653523921966553;0.04531112313270569,0.38105398416519165,0.21031543612480164,-0.07662602514028549;0.014749259687960148,-0.06338603794574738,0.05891335383057594,-0.01944282278418541
;4.9343767166137695;-1.1893570777223895e-15,0.011918294243514538,-0.9667587280273438,0.36592525243759155;0.04498283937573433,0.3810316324234009,0.21066343784332275,-0.07669393718242645;0.01480470597743988,-0.06341929733753204,0.05888090282678604,-0.019455064088106155
;4.891985893249512;-1.216943882023278e-15,0.011932041496038437,-0.9662483334541321,0.36649686098098755;0.044655609875917435,0.38100919127464294,0.2110123634338379,-0.0767626240849495;0.014860562048852444,-0.06345266103744507,0.05884842202067375,-0.019467350095510483
;4.849431991577148;-1.2452800987242498e-15,0.01194586232304573,-0.9657357335090637,0.36706820130348206;0.04432942345738411,0.38098660111427307,0.21136218309402466,-0.07683221995830536;0.014916838146746159,-0.06348612904548645,0.05881590396165848,-0.01947968453168869
