voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;8.73565673828125;-1.485964987142592e-16,0.010462161153554916,-0.9214890599250793,0.3958495557308197;0.08583182841539383,0.38838717341423035,0.19589285552501678,-0.10568413883447647;0.010551695711910725,-0.05900691822171211,0.06733843684196472,-0.018217559903860092
;8.703047752380371;-1.5125839239523445e-16,0.01047274935990572,-0.9212161898612976,0.3965168297290802;0.0853654220700264,0.388371080160141,0.1961851716041565,-0.10567302256822586;0.010582471266388893,-0.059034645557403564,0.0673055648803711,-0.01822701282799244
;8.670308113098145;-1.5397886369846825e-16,0.010483399964869022,-0.9209412336349487,0.39718320965766907;0.08489955961704254,0.3883548676967621,0.1964779794216156,-0.1056644469499588;0.010613461025059223,-0.059062410145998,0.06727287173271179,-0.01823650486767292
;8.63743782043457;-1.5675905082448348e-16,0.010494116693735123,-0.9206640720367432,0.397848516702652;0.08443418890237808,0.3883386552333832,0.19677132368087769,-0.10565508157014847;0.010644662193953991,-0.059090305119752884,0.06723994761705399,-0.018246032297611237
;8.604436874389648;-1.5960091253697066e-16,0.010504893027245998,-0.9203853011131287,0.3985133469104767;0.08396939188241959,0.38832229375839233,0.19706520438194275,-0.10564663261175156;0.010676085948944092,-0.059118278324604034,0.06720700860023499,-0.018255598843097687
;8.571305274963379;-1.6250579879468948e-16,0.010515732690691948,-0.9201041460037231,0.39917752146720886;0.08350518345832825,0.3883059024810791,0.19735963642597198,-0.10564237833023071;0.010707718320190907,-0.05914624035358429,0.06717442721128464,-0.01826520450413227
;8.538043022155762;-1.6547548307287326e-16,0.010526631958782673,-0.9198212623596191,0.39984050393104553;0.08304158598184586,0.3882894217967987,0.1976546049118042,-0.10563808679580688;0.010739579796791077,-0.0591743104159832,0.06714171171188354,-0.01827484741806984
;8.50464916229248;-1.6851127562561227e-16,0.010537594556808472,-0.9195363521575928,0.4005030691623688;0.08257853984832764,0.38827288150787354,0.19795012474060059,-0.10563649982213974;0.010771648027002811,-0.0592024140059948,0.06710918247699738,-0.018284527584910393
;8.471123695373535;-1.7161485728391123e-16,0.01054861769080162,-0.9192492365837097,0.40116482973098755;0.08211614191532135,0.3882561922073364,0.19824621081352234,-0.10563506931066513;0.010803945362567902,-0.05923061445355415,0.06707654148340225,-0.01829424500465393
;8.437466621398926;-1.7478796181833405e-16,0.010559704154729843,-0.9189601540565491,0.4018257260322571;0.08165434002876282,0.3882395327091217,0.19854281842708588,-0.10563237965106964;0.0108364662155509,-0.059258971363306046,0.06704363226890564,-0.01830400340259075
;8.403677940368652;-1.7803244211345284e-16,0.010570849291980267,-0.9186692833900452,0.40248537063598633;0.0811932310461998,0.38822272419929504,0.19884002208709717,-0.10563182830810547;0.010869204066693783,-0.05928737297654152,0.06701084226369858,-0.018313799053430557
;8.369756698608398;-1.8135013781894993e-16,0.010582054033875465,-0.9183762073516846,0.40314507484436035;0.08073276281356812,0.388205885887146,0.19913779199123383,-0.10563233494758606;0.010902169160544872,-0.05931584909558296,0.06697805225849152,-0.018323630094528198
;8.335702896118164;-1.8474283564494842e-16,0.010593320243060589,-0.9180811047554016,0.4038034975528717;0.08027295768260956,0.3881889581680298,0.19943614304065704,-0.10563406348228455;0.010935368947684765,-0.059344399720430374,0.06694526225328445,-0.01833350397646427
