voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-83.59419250488281;-0.000008212129614548758,2.374583196740332e-8,-0.0024304583203047514,-0.013277105055749416;4.783264895280581e-10,0.2249763458967209,0.045632269233465195,-0.5023971796035767;0.4775761365890503,-0.12206694483757019,0.03616347908973694,-0.0450030080974102
;-83.59661865234375;-0.000008218162292905618,2.371312923798996e-8,-0.002432105829939246,-0.01321872416883707;4.776725681665539e-10,0.22496825456619263,0.04542624205350876,-0.5019568800926208;0.47725531458854675,-0.12207521498203278,0.03614134341478348,-0.04500369355082512
;-83.59904479980469;-0.000008224127668654546,2.368046203571339e-8,-0.0024337510112673044,-0.01316060684621334;4.770190353831083e-10,0.22496014833450317,0.04522106796503067,-0.5015190839767456;0.47693443298339844,-0.12208346277475357,0.036119308322668076,-0.045004379004240036
;-83.60147094726562;-0.000008230034836742561,2.3647828584216768e-8,-0.002435393165796995,-0.013102751225233078;4.76366057711175e-10,0.22495202720165253,0.045016735792160034,-0.5010829567909241;0.47661343216896057,-0.12209169566631317,0.03609734773635864,-0.04500506818294525
;-83.60389709472656;-0.000008235862878791522,2.3615232436213773e-8,-0.0024370315950363874,-0.013045158237218857;4.757134686173004e-10,0.22494389116764069,0.04481324926018715,-0.5006594061851501;0.47629228234291077,-0.12209973484277725,0.03607598692178726,-0.04500574991106987
;-83.60630798339844;-0.000008241645446105395,2.3582737540550625e-8,-0.0024386669974774122,-0.012987815774977207;4.750640991701971e-10,0.22493578493595123,0.044610731303691864,-0.5002328753471375;0.47597211599349976,-0.12210781872272491,0.03605447709560394,-0.04500643536448479
;-83.60871887207031;-0.000008247425284935161,2.3550356331725197e-8,-0.0024403007701039314,-0.012930730357766151;4.744165615910845e-10,0.22492770850658417,0.04440918192267418,-0.4997919499874115;0.475652813911438,-0.12211611866950989,0.03603226691484451,-0.045007117092609406
;-83.61112976074219;-0.000008253119631262962,2.351800887367972e-8,-0.0024419319815933704,-0.012873907573521137;4.737695236123329e-10,0.22491967678070068,0.04420845955610275,-0.499361515045166;0.4753332734107971,-0.12212427705526352,0.03601054474711418,-0.045007798820734024
;-83.61354064941406;-0.000008258748493972234,2.348569516641419e-8,-0.0024435603991150856,-0.012817340902984142;4.731228187004888e-10,0.22491158545017242,0.044008560478687286,-0.498935729265213;0.47501376271247864,-0.12213236093521118,0.035989049822092056,-0.04500848427414894
;-83.61595153808594;-0.000008264310963568278,2.3453416986285447e-8,-0.0024451850913465023,-0.012761034071445465;4.724767244113082e-10,0.22490350902080536,0.04380948841571808,-0.4985083341598511;0.4746941328048706,-0.12214047461748123,0.03596745803952217,-0.04500916600227356
;-83.61835479736328;-0.000008269802492577583,2.3421170780579814e-8,-0.002446806523948908,-0.012704981490969658;4.718309631890349e-10,0.22489546239376068,0.04361123964190483,-0.4980810284614563;0.47437429428100586,-0.12214859575033188,0.035945866256952286,-0.04500984773039818
;-83.6207504272461;-0.000008275320396933239,2.338910398691496e-8,-0.0024484258610755205,-0.01264917105436325;4.711897538811627e-10,0.22488747537136078,0.04341407120227814,-0.4976699948310852;0.4740564525127411,-0.12215646356344223,0.035925060510635376,-0.0450105257332325
;-83.6231460571289;-0.000008280755537271034,2.3357070944030056e-8,-0.002450042637065053,-0.012593613006174564;4.705490441736515e-10,0.2248794138431549,0.04321771860122681,-0.4972342252731323;0.4737384617328644,-0.12216471135616302,0.035903044044971466,-0.04501120373606682
;-83.62554168701172;-0.000008286128831969108,2.332507520463878e-8,-0.0024516568519175053,-0.012538306415081024;4.69908723044199e-10,0.2248714119195938,0.043022166937589645,-0.4968224763870239;0.4734204113483429,-0.12217259407043457,0.03588218241930008,-0.04501188546419144
;-83.6279296875;-0.000008291447556985077,2.329310966331377e-8,-0.00245326803997159,-0.012483255006372929;4.692688460039562e-10,0.2248634397983551,0.04282742738723755,-0.4964026212692261;0.4731021225452423,-0.12218061834573746,0.03586091846227646,-0.04501255974173546
