voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-83.95621490478516;-0.000006280567049543606,1.9199788425794395e-8,-0.002147618681192398,-0.019222868606448174;3.8641811972439655e-10,0.22295702993869781,0.045379023998975754,-0.5215290784835815;0.4289191663265228,-0.12204963713884354,0.03691774979233742,-0.04514011740684509
;-83.9588394165039;-0.000006287193173193373,1.9167741172054775e-8,-0.0021493849344551563,-0.01913730427622795;3.8578040761905186e-10,0.22294826805591583,0.045157115906476974,-0.5210718512535095;0.4285506010055542,-0.12205807119607925,0.03689519688487053,-0.045140862464904785
;-83.9614486694336;-0.000006293766091403086,1.9135809381509716e-8,-0.002151147462427616,-0.01905211992561817;3.8514499922648326e-10,0.22293955087661743,0.04493633657693863,-0.5205994248390198;0.4281829297542572,-0.12206672877073288,0.03687192499637604,-0.04514160007238388
;-83.96405792236328;-0.0000063002958086144645,1.910398950144554e-8,-0.002152907894924283,-0.018967317417263985;3.845119223022664e-10,0.22293078899383545,0.044716693460941315,-0.5201305747032166;0.4278161823749542,-0.12207533419132233,0.036848802119493484,-0.045142337679862976
;-83.96666717529297;-0.000006306761861196719,1.9072214030302348e-8,-0.0021546653006225824,-0.01888289675116539;3.8387931722283497e-10,0.22292207181453705,0.044498007744550705,-0.5196599960327148;0.4274492561817169,-0.12208396941423416,0.03682559356093407,-0.04514307901263237
;-83.96927642822266;-0.000006313163339655148,1.9040479415366462e-8,-0.0021564194466918707,-0.018798870965838432;3.8324726725491587e-10,0.22291329503059387,0.0442802831530571,-0.5191858410835266;0.4270820915699005,-0.12209267169237137,0.03680220618844032,-0.045143816620111465
;-83.97187805175781;-0.000006319512522168225,1.9008860263625138e-8,-0.0021581705659627914,-0.01871521770954132;3.8261752099977286e-10,0.22290459275245667,0.044063668698072433,-0.5187050700187683;0.4267159402370453,-0.12210146337747574,0.03677849844098091,-0.04514455422759056
;-83.97447204589844;-0.000006325802587525686,1.897728019173428e-8,-0.0021599179599434137,-0.0186319462954998;3.8198771923347863e-10,0.22289586067199707,0.043848004192113876,-0.5182397961616516;0.426349401473999,-0.1221100240945816,0.0367555133998394,-0.045145295560359955
;-83.97706604003906;-0.000006332038537948392,1.8945812030324305e-8,-0.002161662792786956,-0.01854904182255268;3.813608040470484e-10,0.22288717329502106,0.043633438646793365,-0.5177757143974304;0.42598384618759155,-0.12211858481168747,0.03673257306218147,-0.04514602944254875
;-83.97965240478516;-0.0000063382140069734305,1.8914384725121636e-8,-0.0021634039003401995,-0.018466515466570854;3.8073430519425244e-10,0.22287844121456146,0.043419819325208664,-0.5173221826553345;0.42561817169189453,-0.1221269890666008,0.03671012073755264,-0.04514676332473755
;-83.98223114013672;-0.000006344385383272311,1.8883135055602907e-8,-0.0021651422139257193,-0.01838434301316738;3.8011205294452566e-10,0.22286979854106903,0.04320744052529335,-0.5168523788452148;0.4252544641494751,-0.12213563174009323,0.03668689727783203,-0.04514749348163605
