voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-84.04673767089844;-0.000006655987363046734,1.8044946870077183e-8,-0.00225322344340384,-0.01493063010275364;3.6348202225866544e-10,0.2234395146369934,0.03610462322831154,-0.5100743174552917;0.41511350870132446,-0.12227486073970795,0.0363580621778965,-0.045131951570510864
;-84.04911804199219;-0.000006660549388470827,1.8016752534322222e-8,-0.002254852559417486,-0.014864429831504822;3.629191391851805e-10,0.2234315574169159,0.03592890128493309,-0.5096306800842285;0.41477280855178833,-0.12228306382894516,0.03633600473403931,-0.045132625848054886
;-84.05149841308594;-0.000006665063665423077,1.7988586620276692e-8,-0.0022564800456166267,-0.014798534102737904;3.6235667244532976e-10,0.2234235405921936,0.035753946751356125,-0.5091698169708252;0.41443192958831787,-0.12229152768850327,0.03631311655044556,-0.04513329640030861
;-84.05387878417969;-0.000006669510639767395,1.796045623336795e-8,-0.0022581045050174,-0.014732941053807735;3.6179453877238643e-10,0.2234155684709549,0.03557977452874184,-0.5087195634841919;0.4140909016132355,-0.12229982763528824,0.0362907312810421,-0.04513397067785263
;-84.0562515258789;-0.000006673918051092187,1.7932359597239156e-8,-0.0022597259376198053,-0.014667644165456295;3.6123287694422856e-10,0.2234075665473938,0.035406362265348434,-0.5082876682281494;0.4137496054172516,-0.12230787426233292,0.036269210278987885,-0.04513464495539665
;-84.0586166381836;-0.000006678318641206715,1.7904424609582748e-8,-0.002261345274746418,-0.014602633193135262;3.606751564078081e-10,0.22339965403079987,0.03523397445678711,-0.5078348517417908;0.41341039538383484,-0.12231622636318207,0.03624667972326279,-0.045135315507650375
;-84.06098175048828;-0.000006682677394564962,1.7876523372706288e-8,-0.0022629625163972378,-0.014537915587425232;3.601178522050219e-10,0.22339169681072235,0.03506234660744667,-0.507399320602417;0.41307103633880615,-0.12232431769371033,0.03622496500611305,-0.0451359860599041
;-84.06333923339844;-0.000006687009772576857,1.7848721611812834e-8,-0.0022645771969109774,-0.014473489485681057;3.595622966034995e-10,0.223383828997612,0.034891605377197266,-0.5069593191146851;0.4127325415611267,-0.12233248353004456,0.03620303422212601,-0.04513665288686752
;-84.06568908691406;-0.000006691288035653997,1.782095360169933e-8,-0.0022661900147795677,-0.014409354887902737;3.590075459136699e-10,0.22337590157985687,0.03472161665558815,-0.5065134167671204;0.4123939871788025,-0.12234073877334595,0.03618081286549568,-0.04513731598854065
;-84.06803894042969;-0.0000066955471993424,1.779328506756883e-8,-0.0022678012028336525,-0.014345509931445122;3.584550434254652e-10,0.2233680635690689,0.03455251082777977,-0.5060786008834839;0.4120562970638275,-0.1223488375544548,0.03615911304950714,-0.045137979090213776
;-84.07038116455078;-0.000006699741788906977,1.7765644955147764e-8,-0.002269409829750657,-0.014281952753663063;3.5790287400416787e-10,0.22336016595363617,0.034384146332740784,-0.5056470036506653;0.4117184281349182,-0.12235688418149948,0.03613756224513054,-0.0451386496424675
;-84.07271575927734;-0.000006703959115839098,1.773817359662644e-8,-0.0022710151970386505,-0.014218672178685665;3.5735475689691043e-10,0.2233523279428482,0.034216783940792084,-0.5052126049995422;0.4113825857639313,-0.12236496806144714,0.036115869879722595,-0.04513930901885033
;-84.0750503540039;-0.000006708124146825867,1.7710730659814544e-8,-0.002272619167342782,-0.014155684038996696;3.568064455006237e-10,0.22334450483322144,0.034050147980451584,-0.5047618746757507;0.4110466539859772,-0.1223733052611351,0.036093391478061676,-0.045139968395233154
