voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-84.1666030883789;-0.000006669368303846568,1.660835025063534e-8,-0.002323175547644496,-0.012150152586400509;3.3482253081196234e-10,0.22323186695575714,0.029195360839366913,-0.49102652072906494;0.39707109332084656,-0.12264315038919449,0.035400182008743286,-0.045157503336668015
;-84.16873168945312;-0.000006673051302641397,1.6583983963869287e-8,-0.0023247157223522663,-0.012096445076167583;3.3433467105936643e-10,0.2232247143983841,0.029053334146738052,-0.4906104803085327;0.3967570960521698,-0.12265099585056305,0.03537914156913757,-0.045158106833696365
;-84.17086029052734;-0.000006676698831142858,1.655971182401572e-8,-0.0023262538015842438,-0.012042980641126633;3.338493093085759e-10,0.22321757674217224,0.028912048786878586,-0.4901888072490692;0.39644405245780945,-0.12265893816947937,0.035357821732759476,-0.04515870660543442
;-84.17298126220703;-0.000006680355454591336,1.6535530278360966e-8,-0.002327790018171072,-0.01198974996805191;3.333660292259566e-10,0.2232104390859604,0.02877150848507881,-0.4897838830947876;0.39613208174705505,-0.1226666048169136,0.03533731400966644,-0.04515931010246277
;-84.17510223388672;-0.000006683947503915988,1.6511373601701962e-8,-0.0023293246049433947,-0.011936764232814312;3.328829989435178e-10,0.22320331633090973,0.02863159216940403,-0.48936644196510315;0.39581987261772156,-0.12267448008060455,0.03531618416309357,-0.04515990614891052
;-84.17721557617188;-0.00000668749862597906,1.648724357039555e-8,-0.002330856630578637,-0.011884022504091263;3.3239988539435217e-10,0.22319623827934265,0.028492296114563942,-0.48896336555480957;0.3955075144767761,-0.12268213927745819,0.0352957509458065,-0.04516050964593887
;-84.1793212890625;-0.000006691081125609344,1.6463268082134164e-8,-0.002332387026399374,-0.01183150801807642;3.319209906926801e-10,0.22318913042545319,0.028353843837976456,-0.48855045437812805;0.3951973617076874,-0.12268994003534317,0.03527483344078064,-0.04516110196709633
;-84.18142700195312;-0.000006694601324852556,1.6439322791939048e-8,-0.0023339155595749617,-0.011779233813285828;3.314424013023398e-10,0.2231820821762085,0.028216006234288216,-0.48812976479530334;0.39488694071769714,-0.1226978674530983,0.03525352478027344,-0.04516169801354408
;-84.18353271484375;-0.000006698094694002066,1.6415402370739685e-8,-0.0023354419972747564,-0.011727201752364635;3.309636176229702e-10,0.22317500412464142,0.028078781440854073,-0.48773249983787537;0.3945764899253845,-0.12270543724298477,0.035233356058597565,-0.04516229033470154
;-84.18563079833984;-0.000006701530764985364,1.6391506818536072e-8,-0.0023369656410068274,-0.011675408110022545;3.3048561109971786e-10,0.22316795587539673,0.02794216200709343,-0.4873298704624176;0.3942657709121704,-0.12271309643983841,0.035212915390729904,-0.04516289010643959
;-84.1877212524414;-0.000006704995939799119,1.6367767585734327e-8,-0.0023384871892631054,-0.011623839847743511;3.300113793347492e-10,0.22316093742847443,0.027806373313069344,-0.48692357540130615;0.3939571678638458,-0.12272081524133682,0.03519228845834732,-0.04516347870230675
;-84.18981170654297;-0.000006708420187351294,1.6344053221928334e-8,-0.0023400073405355215,-0.011572504416108131;3.295370365474781e-10,0.22315391898155212,0.027671191841363907,-0.4865210950374603;0.39364853501319885,-0.12272846698760986,0.03517184406518936,-0.0451640710234642
;-84.19190216064453;-0.000006711787591484608,1.6320361950761253e-8,-0.0023415256291627884,-0.011521409265697002;3.290633598940218e-10,0.2231469303369522,0.027536606416106224,-0.48610132932662964;0.3933396637439728,-0.12273639440536499,0.035150546580553055,-0.04516465961933136
;-84.19397735595703;-0.000006715149538649712,1.629676305014982e-8,-0.0023430411238223314,-0.01147054135799408;3.285913208195268e-10,0.22313997149467468,0.027402730658650398,-0.4857090413570404;0.3930317759513855,-0.12274390459060669,0.035130586475133896,-0.04516524821519852
;-84.19605255126953;-0.000006718505119351903,1.6273254743737198e-8,-0.0023445552214980125,-0.011419898830354214;3.281218075024128e-10,0.2231329381465912,0.02726956084370613,-0.4853052496910095;0.3927249610424042,-0.12275157868862152,0.03511005640029907,-0.045165836811065674
;-84.19812774658203;-0.000006721817953803111,1.6249769529963487e-8,-0.002346068387851119,-0.011369489133358002;3.276520443851183e-10,0.22312600910663605,0.02713697776198387,-0.4849115014076233;0.39241787791252136,-0.12275911122560501,0.03509001061320305,-0.045166417956352234
;-84.2001953125;-0.0000067250757638248615,1.6226312737899207e-8,-0.002347578527405858,-0.011319308541715145;3.271830306683654e-10,0.22311905026435852,0.027004985138773918,-0.4845016300678253;0.3921107351779938,-0.1227668896317482,0.035069167613983154,-0.04516700655221939
;-84.20226287841797;-0.000006728339485562174,1.6202942987320057e-8,-0.002349086804315448,-0.011269351467490196;3.267156267749982e-10,0.2231120765209198,0.026873696595430374,-0.4841020405292511;0.39180460572242737,-0.12277451157569885,0.035048823803663254,-0.04516759142279625
;-84.2043228149414;-0.000006731577286700485,1.6179665607296556e-8,-0.002350592752918601,-0.011219616048038006;3.262506653722852e-10,0.22310519218444824,0.026743091642856598,-0.48370712995529175;0.3914993703365326,-0.12278207391500473,0.03502870351076126,-0.04516817629337311
;-84.20638275146484;-0.00000673478098178748,1.6156413096268807e-8,-0.0023520973045378923,-0.01117011345922947;3.257855651916941e-10,0.22309832274913788,0.02661306783556938,-0.4833014905452728;0.39119407534599304,-0.12278980016708374,0.03500805050134659,-0.04516875743865967
