voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-84.13446807861328;-0.0000067740566009888425,1.6956617443497635e-8,-0.0023265753407031298,-0.01230340451002121;3.418032246127467e-10,0.22369487583637238,0.029780851677060127,-0.4975147843360901;0.40144750475883484,-0.12251968681812286,0.035734955221414566,-0.04513314366340637
;-84.13663482666016;-0.000006777678208891302,1.6931657853547222e-8,-0.0023281206376850605,-0.012249031104147434;3.4130423487432893e-10,0.22368761897087097,0.029636386781930923,-0.497083455324173;0.40113118290901184,-0.12252771109342575,0.035713303834199905,-0.04513375461101532
;-84.13880157470703;-0.000006781253887311323,1.690672313259256e-8,-0.0023296631406992674,-0.012194905430078506;3.4080557820281854e-10,0.22368034720420837,0.029492560774087906,-0.49665969610214233;0.40081459283828735,-0.12253561615943909,0.035692013800144196,-0.045134369283914566
;-84.14095306396484;-0.000006784809102100553,1.6881880782193548e-8,-0.0023312033154070377,-0.012141020968556404;3.403089754439037e-10,0.22367314994335175,0.029349489137530327,-0.4962414503097534;0.40049901604652405,-0.12254344671964645,0.03567098453640938,-0.045134976506233215
;-84.14310455322266;-0.00000678835749567952,1.6857132578707024e-8,-0.002332741627469659,-0.012087376788258553;3.3981448210873566e-10,0.22366592288017273,0.02920716628432274,-0.49581676721572876;0.40018439292907715,-0.12255136668682098,0.03564963489770889,-0.045135580003261566
;-84.14525604248047;-0.000006791859505028697,1.683240924421625e-8,-0.002334277844056487,-0.012033979408442974;3.393202940848994e-10,0.2236587107181549,0.029065469279885292,-0.49539265036582947;0.3998696506023407,-0.12255928665399551,0.0356283038854599,-0.045136190950870514
;-84.14739990234375;-0.000006795326498831855,1.680771433143491e-8,-0.0023358117323368788,-0.01198082510381937;3.3882596728318504e-10,0.22365149855613708,0.028924396261572838,-0.49498140811920166;0.3995547890663147,-0.12256702035665512,0.03560759127140045,-0.04513679817318916
;-84.1495361328125;-0.000006798799859097926,1.6783177514412273e-8,-0.0023373435251414776,-0.011927901767194271;3.383359703512667e-10,0.22364439070224762,0.028784174472093582,-0.49455565214157104;0.39924195408821106,-0.12257495522499084,0.035586167126894,-0.045137401670217514
;-84.15167236328125;-0.000006802229563618312,1.6758669119099068e-8,-0.002338874153792858,-0.011875223368406296;3.3784625097510457e-10,0.22363722324371338,0.02864457666873932,-0.4941388964653015;0.39892902970314026,-0.12258276343345642,0.035565171390771866,-0.045138001441955566
;-84.15380859375;-0.0000068056147028983105,1.6734185592781614e-8,-0.002340401988476515,-0.011822782456874847;3.3735680915469857e-10,0.22363004088401794,0.02850559540092945,-0.4937283396720886;0.39861592650413513,-0.12259049713611603,0.03554446995258331,-0.045138608664274216
