voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-84.09416961669922;-0.0000067399073486740235,1.7459036882883083e-8,-0.00229533645324409,-0.013403662480413914;3.5180736102091714e-10,0.2235357016324997,0.03248412907123566,-0.5032110214233398;0.4078544080257416,-0.12240809202194214,0.036017611622810364,-0.045134395360946655
;-84.09644317626953;-0.000006743839549017139,1.743251054620032e-8,-0.002296913880854845,-0.013344348408281803;3.512775348379904e-10,0.22352808713912964,0.03232617303729057,-0.5027706623077393;0.40752550959587097,-0.12241625040769577,0.03599561005830765,-0.04513503983616829
;-84.09871673583984;-0.000006747718998667551,1.7406014407583825e-8,-0.00229848874732852,-0.01328530628234148;3.507476253883368e-10,0.22352048754692078,0.0321689136326313,-0.5023230910301208;0.4071965217590332,-0.12242452055215836,0.03597325086593628,-0.04513568431138992
;-84.10099029541016;-0.000006751547971362015,1.73795484670336e-8,-0.0023000610526651144,-0.013226534239947796;3.5021807676116623e-10,0.22351287305355072,0.032012343406677246,-0.5018748044967651;0.40686729550361633,-0.12243280559778214,0.03595084697008133,-0.04513632506132126
;-84.10325622558594;-0.00000675534147376311,1.7353109171835968e-8,-0.0023016303312033415,-0.013168031349778175;3.496893330456885e-10,0.22350524365901947,0.031856469810009,-0.5014409422874451;0.4065380096435547,-0.1224408820271492,0.035929128527641296,-0.045136965811252594
;-84.10551452636719;-0.000006759134066669503,1.732683330146756e-8,-0.0023031970486044884,-0.013109782710671425;3.491640310215871e-10,0.22349770367145538,0.031701527535915375,-0.5009923577308655;0.40621069073677063,-0.12244918197393417,0.03590669482946396,-0.04513760283589363
;-84.10777282714844;-0.000006762880730093457,1.730058407645174e-8,-0.002304762601852417,-0.01305179949849844;3.4863911757554433e-10,0.2234901338815689,0.031547270715236664,-0.5005624294281006;0.4058832824230194,-0.12245720624923706,0.035885151475667953,-0.045138243585824966
;-84.11003112792969;-0.0000067665869210031815,1.7274363273145354e-8,-0.0023063253611326218,-0.012994085438549519;3.481149812856188e-10,0.22348254919052124,0.03139370307326317,-0.5001493096351624;0.4055556356906891,-0.12246497720479965,0.03586440905928612,-0.0451388843357563
;-84.11227416992188;-0.000006770257641619537,1.7248236616751456e-8,-0.00230788579210639,-0.012936626560986042;3.475925103302302e-10,0.22347503900527954,0.03124092146754265,-0.49972325563430786;0.40522897243499756,-0.12247294187545776,0.03584303334355354,-0.04513951390981674
;-84.11451721191406;-0.000006773936092940858,1.7222207659983724e-8,-0.0023094441276043653,-0.012879425659775734;3.470722043097396e-10,0.22346751391887665,0.03108893893659115,-0.499309241771698;0.4049032926559448,-0.12248072773218155,0.03582223877310753,-0.04514015093445778
;-84.11675262451172;-0.000006777547696401598,1.7196207124925422e-8,-0.0023110006004571915,-0.012822483666241169;3.465527032009419e-10,0.22346001863479614,0.03093763068318367,-0.4988820254802704;0.404577374458313,-0.12248872220516205,0.03580079227685928,-0.04514078423380852
;-84.11898803710938;-0.000006781152478652075,1.717029896042277e-8,-0.002312555443495512,-0.012765796855092049;3.460348396711055e-10,0.22345253825187683,0.030787108466029167,-0.498456746339798;0.4042524993419647,-0.12249667942523956,0.0357794314622879,-0.045141417533159256
;-84.1212158203125;-0.000006784746346966131,1.7144490271903123e-8,-0.0023141077253967524,-0.01270935870707035;3.4551908556501587e-10,0.22344501316547394,0.030637366697192192,-0.49802306294441223;0.4039285480976105,-0.12250476330518723,0.03575766459107399,-0.045142047107219696
;-84.12344360351562;-0.000006788293831050396,1.711870645237923e-8,-0.0023156586103141308,-0.01265318226069212;3.4500366452583364e-10,0.22343756258487701,0.030488289892673492,-0.4976070821285248;0.4036044478416443,-0.12251259386539459,0.03573673963546753,-0.045142676681280136
;-84.12566375732422;-0.000006791779469494941,1.7092952830921604e-8,-0.002317206235602498,-0.012597263790667057;3.4448904839834427e-10,0.22343012690544128,0.03033987432718277,-0.4971812963485718;0.4032801389694214,-0.1225205734372139,0.035715337842702866,-0.04514330253005028
;-84.12787628173828;-0.000006795294666517293,1.7067360857936364e-8,-0.002318751998245716,-0.012541587464511395;3.4397787396223123e-10,0.22342270612716675,0.030192343518137932,-0.4967661499977112;0.4029579162597656,-0.12252838909626007,0.03569444641470909,-0.04514392837882042
;-84.13008880615234;-0.000006798751201131381,1.7041793753946877e-8,-0.002320295898243785,-0.012486166320741177;3.434670603486012e-10,0.223415344953537,0.030045468360185623,-0.49635204672813416;0.4026356637477875,-0.12253618240356445,0.035673588514328,-0.04514455050230026
;-84.13229370117188;-0.000006802174539188854,1.7016258624380498e-8,-0.002321837469935417,-0.012430992908775806;3.429565242907273e-10,0.22340790927410126,0.029899241402745247,-0.49592357873916626;0.40231311321258545,-0.12254420667886734,0.0356520339846611,-0.0451451800763607
;-84.13449096679688;-0.0000068056147028983105,1.6990885143286505e-8,-0.002323377411812544,-0.012376061640679836;3.424498740134396e-10,0.2234005630016327,0.029753897339105606,-0.4954926073551178;0.40199270844459534,-0.12255226075649261,0.035630349069833755,-0.04514579847455025
;-84.13668823242188;-0.000006809006663388573,1.6965538307545103e-8,-0.002324915723875165,-0.01232137717306614;3.4194358455863494e-10,0.22339320182800293,0.029609190300107002,-0.4950639009475708;0.4016721546649933,-0.1225602850317955,0.035608772188425064,-0.04514641687273979
;-84.13888549804688;-0.000006812354058638448,1.694021989351313e-8,-0.002326452638953924,-0.012266948819160461;3.41437600415162e-10,0.22338584065437317,0.029465125873684883,-0.49464151263237;0.40135133266448975,-0.12256821990013123,0.03558748960494995,-0.045147038996219635
;-84.14108276367188;-0.000006815642791480059,1.691492812483375e-8,-0.0023279862944036722,-0.012212769128382206;3.409319493385965e-10,0.2233785092830658,0.0293217021971941,-0.4942220449447632;0.4010305404663086,-0.12257612496614456,0.035566337406635284,-0.04514765739440918
;-84.14327239990234;-0.000006818938345531933,1.6889732279423697e-8,-0.0023295171558856964,-0.012158828787505627;3.4042837993020214e-10,0.2233712077140808,0.029179023578763008,-0.4938005805015564;0.4007105827331543,-0.12258405238389969,0.03554508462548256,-0.045148275792598724
;-84.14545440673828;-0.000006822175237175543,1.6864561303009395e-8,-0.0023310461547225714,-0.01210513524711132;3.3992514358871517e-10,0.22336383163928986,0.029036981984972954,-0.49337831139564514;0.40039050579071045,-0.12259198725223541,0.035523783415555954,-0.04514889791607857
;-84.14763641357422;-0.000006825403488619486,1.6839484473507582e-8,-0.0023325735237449408,-0.012051683850586414;3.39424016670975e-10,0.2233564555644989,0.028895679861307144,-0.4929596185684204;0.40007132291793823,-0.12259988486766815,0.03550264984369278,-0.04514951631426811
;-84.14981842041016;-0.000006828585810580989,1.6814439618428878e-8,-0.0023340978659689426,-0.011998476460576057;3.3892313955341535e-10,0.22334913909435272,0.028755007311701775,-0.492541640996933;0.39975211024284363,-0.1226077675819397,0.035481538623571396,-0.04515013098716736
;-84.1520004272461;-0.000006831729024270317,1.6789414303275407e-8,-0.002335619181394577,-0.01194551307708025;3.3842267876948995e-10,0.22334180772304535,0.0286149550229311,-0.49210959672927856;0.39943262934684753,-0.12261587381362915,0.0354597307741642,-0.045150745660066605
;-84.1541748046875;-0.00000683482403474045,1.6764419186188206e-8,-0.0023371379356831312,-0.011892793700098991;3.379224955413207e-10,0.22333449125289917,0.028475528582930565,-0.4917088449001312;0.39911311864852905,-0.1226235032081604,0.035439442843198776,-0.04515136405825615
;-84.15634155273438;-0.000006837940418336075,1.673958394121655e-8,-0.002338654361665249,-0.01184029970318079;3.374261425825864e-10,0.22332723438739777,0.028336938470602036,-0.4913143217563629;0.39879557490348816,-0.12263104319572449,0.03541945293545723,-0.045151982456445694
;-84.15850067138672;-0.000006841010417701909,1.6714773565240648e-8,-0.0023401696234941483,-0.011788048781454563;3.369300949351839e-10,0.2233199179172516,0.02819897048175335,-0.49091196060180664;0.3984779417514801,-0.12263869494199753,0.035399071872234344,-0.04515258967876434
;-84.16065216064453;-0.000006844099971203832,1.669012306138029e-8,-0.002341683255508542,-0.011736022308468819;3.3643793306836756e-10,0.223312646150589,0.02806182950735092,-0.49050942063331604;0.3981624245643616,-0.12264633923768997,0.03537868335843086,-0.04515320062637329
