voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-84.0952377319336;-0.000006738440788467415,1.7446062372528104e-8,-0.0022955697495490313,-0.013390679843723774;3.5154290589645143e-10,0.22356978058815002,0.03243585675954819,-0.503100574016571;0.40768712759017944,-0.12241021543741226,0.03601277992129326,-0.0451330803334713
;-84.09750366210938;-0.0000067423575274006,1.741953958855902e-8,-0.002297146711498499,-0.013331425376236439;3.5101282991334415e-10,0.22356216609477997,0.03227809816598892,-0.5026739239692688;0.40735822916030884,-0.12241817265748978,0.035991426557302475,-0.04513372480869293
;-84.09976196289062;-0.000006746289727743715,1.739318022941916e-8,-0.0022987229749560356,-0.013272428885102272;3.5048713931118414e-10,0.2235545814037323,0.03212128207087517,-0.5022363662719727;0.40703126788139343,-0.12242628633975983,0.035969555377960205,-0.04513436183333397
;-84.10202026367188;-0.000006750181455572601,1.7366851068345568e-8,-0.0023002964444458485,-0.013213700614869595;3.4996128217557043e-10,0.2235470414161682,0.03196515142917633,-0.5018057227134705;0.40670424699783325,-0.12243430316448212,0.035948000848293304,-0.045134998857975006
;-84.10427856445312;-0.000006754015885235276,1.7340553881695087e-8,-0.002301868051290512,-0.01315524335950613;3.4943584137359096e-10,0.22353948652744293,0.03180970996618271,-0.5013818144798279;0.40637704730033875,-0.12244221568107605,0.03592676669359207,-0.04513563960790634
;-84.10652160644531;-0.000006757834853488021,1.7314349065600254e-8,-0.002303437562659383,-0.013097044080495834;3.4891298184014374e-10,0.22353196144104004,0.03165508061647415,-0.5009549260139465;0.40605074167251587,-0.12245018780231476,0.0359053760766983,-0.04513627290725708
;-84.1087646484375;-0.0000067616324486152735,1.728824194913159e-8,-0.0023050052113831043,-0.013039103709161282;3.4839178764123346e-10,0.22352443635463715,0.031501248478889465,-0.5005324482917786;0.4057254493236542,-0.1224580779671669,0.035884201526641846,-0.04513690620660782
;-84.11100769042969;-0.000006765395028196508,1.7262168583442872e-8,-0.002306570764631033,-0.012981429696083069;3.478709542648062e-10,0.22351694107055664,0.0313480980694294,-0.5001142621040344;0.40540000796318054,-0.12246592342853546,0.03586321324110031,-0.045137543231248856
;-84.11323547363281;-0.000006769129868189339,1.7236189364666643e-8,-0.0023081342224031687,-0.012924013659358025;3.4735270215691116e-10,0.22350940108299255,0.0311957448720932,-0.4996742904186249;0.4050755202770233,-0.12247408926486969,0.03584117814898491,-0.045138169080019
;-84.11546325683594;-0.0000067728469730354846,1.721030784551658e-8,-0.002309696516022086,-0.012866852805018425;3.4683608762797746e-10,0.22350196540355682,0.031044185161590576,-0.4992598295211792;0.4047519266605377,-0.12248187512159348,0.035820361226797104,-0.045138802379369736
