voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-81.09260559082031;-0.0000025570889192749746,0.0000027302928629069356,-0.0017326816450804472,-0.076214499771595;1.4656484914610246e-9,0.22988289594650269,0.2545659840106964,-0.6371738314628601;0.7822104096412659,-0.1185111328959465,0.043188903480768204,-0.04443240165710449
;-81.12954711914062;-0.0000025811255000007804,0.000002600220796011854,-0.0017300128238275647,-0.07612774521112442;1.4458000352490785e-9,0.22975663840770721,0.252223938703537,-0.6368190050125122;0.777967631816864,-0.11854192614555359,0.04315800964832306,-0.04444320127367973
;-81.16569519042969;-0.0000026053335204778705,0.000002476466534062638,-0.0017274996498599648,-0.07603418827056885;1.4265629788567935e-9,0.22963301837444305,0.249921515583992,-0.6364527344703674;0.7738127708435059,-0.11857228726148605,0.04312697798013687,-0.04445377737283707
;-81.20105743408203;-0.000002629729578984552,0.0000023587303985550534,-0.001725136418826878,-0.07593394070863724;1.4079177823589362e-9,0.22951211035251617,0.24765847623348236,-0.6360810995101929;0.7697455883026123,-0.11860215663909912,0.04309607297182083,-0.0444641187787056
;-81.23565673828125;-0.000002654310037542018,0.0000022467179405794013,-0.0017229184741154313,-0.07582728564739227;1.3898396877820574e-9,0.22939369082450867,0.24543380737304688,-0.6357191801071167;0.7657630443572998,-0.11863135546445847,0.04306590184569359,-0.044474244117736816
;-81.26951599121094;-0.000002679063300092821,0.0000021401519916253164,-0.0017208403442054987,-0.07571441680192947;1.3723104874685532e-9,0.22927790880203247,0.2432469129562378,-0.6353350877761841;0.7618640065193176,-0.11866027861833572,0.043035123497247696,-0.04448414221405983
;-81.30265045166016;-0.0000027039934593631187,0.000002038765387624153,-0.0017188985366374254,-0.07559560984373093;1.3553054234449746e-9,0.2291644811630249,0.24109682440757751,-0.6349470615386963;0.7580457329750061,-0.11868873238563538,0.04300449788570404,-0.04449383541941643
;-81.3350830078125;-0.0000027290827802062267,0.0000019423041521804407,-0.001717088045552373,-0.07547105103731155;1.3388050668083906e-9,0.22905351221561432,0.23898254334926605,-0.6345410346984863;0.754305899143219,-0.11871689558029175,0.04297341778874397,-0.04450331628322601
;-81.36683654785156;-0.000002754327169895987,0.0000018505289745007758,-0.0017154049128293991,-0.07534102350473404;1.3227883233213333e-9,0.22894489765167236,0.23690342903137207,-0.6341463923454285;0.7506427764892578,-0.11874444037675858,0.042943116277456284,-0.04451259970664978
;-81.3979263305664;-0.0000027797141228802502,0.0000017632092976782587,-0.0017138448311015964,-0.07520570605993271;1.3072357640808718e-9,0.22883851826190948,0.2348584681749344,-0.633734941482544;0.747053861618042,-0.11877170205116272,0.04291238635778427,-0.04452168568968773
;-81.42835998535156;-0.00000280524545814842,0.0000016801290030343807,-0.0017124027945101261,-0.07506530731916428;1.2921305136970318e-9,0.2287343293428421,0.23284703493118286,-0.6333258748054504;0.7435375452041626,-0.11879847198724747,0.042882051318883896,-0.044530585408210754
;-81.45816802978516;-0.0000028309173103480134,0.0000016010818626455148,-0.0017110760090872645,-0.07491999864578247;1.2774570290474685e-9,0.22863230109214783,0.23086842894554138,-0.6329085826873779;0.7400923371315002,-0.11882489174604416,0.04285162687301636,-0.04453929886221886
;-81.48735809326172;-0.0000028567262688738992,0.0000015258708572218893,-0.0017098604002967477,-0.07476998120546341;1.2631992118983248e-9,0.22853240370750427,0.22892199456691742,-0.6324988603591919;0.7367162704467773,-0.11885076016187668,0.04282180592417717,-0.044547826051712036
;-81.51595306396484;-0.0000028826525522163138,0.0000014543066981786978,-0.0017087527085095644,-0.07461544871330261;1.2493401868596266e-9,0.22843453288078308,0.2270066738128662,-0.6320721507072449;0.7334071397781372,-0.11887642741203308,0.04279150441288948,-0.04455617815256119
;-81.54396057128906;-0.0000029087113944115117,0.0000013862140804121736,-0.0017077490920200944,-0.07445652782917023;1.235867075344288e-9,0.22833867371082306,0.22512218356132507,-0.6316412091255188;0.7301639318466187,-0.11890171468257904,0.04276128485798836,-0.04456436634063721
;-81.5714111328125;-0.0000029348773296078434,0.0000013214211094236816,-0.001706845359876752,-0.07429347187280655;1.2227622248062175e-9,0.22824472188949585,0.22326743602752686,-0.6312015652656555;0.7269842624664307,-0.11892669647932053,0.04273093491792679,-0.0445723831653595
;-81.59831237792969;-0.0000029611333047796506,0.0000012597644172274158,-0.0017060384852811694,-0.0741264820098877;1.210009981100768e-9,0.22815266251564026,0.22144141793251038,-0.6307563781738281;0.7238653898239136,-0.11895136535167694,0.04270058870315552,-0.044580236077308655
;-81.62467193603516;-0.000002987498646689346,0.0000012010954151264741,-0.0017053249757736921,-0.07395562529563904;1.1976024616444647e-9,0.22806242108345032,0.21964412927627563,-0.6303078532218933;0.7208074927330017,-0.1189756840467453,0.04267032817006111,-0.044587936252355576
;-81.6505126953125;-0.0000030139588034217013,0.0000011452657417976297,-0.0017047030851244926,-0.07378112524747849;1.1855231241142405e-9,0.22797399759292603,0.21787454187870026,-0.6298443078994751;0.7178083062171936,-0.11899980902671814,0.042639657855033875,-0.04459548369050026
;-81.67584228515625;-0.00000304051059174526,0.0000010921382909145905,-0.0017041695537045598,-0.07360309362411499;1.1737659733057626e-9,0.2278873175382614,0.21613231301307678,-0.6293814182281494;0.7148668169975281,-0.11902356892824173,0.04260922595858574,-0.04460287466645241
;-81.70068359375;-0.0000030671380955027416,0.0000010415790256956825,-0.001703720772638917,-0.0734216719865799;1.1623121354276122e-9,0.22780227661132812,0.21441632509231567,-0.6289194226264954;0.711980402469635,-0.11904695630073547,0.042579036206007004,-0.04461012780666351
;-81.72503662109375;-0.000003093840859946795,9.934640274877893e-7,-0.001703354180790484,-0.07323705404996872;1.1511535058517097e-9,0.22771893441677094,0.21272628009319305,-0.6284542083740234;0.709148108959198,-0.11907004565000534,0.042548924684524536,-0.04461723566055298
;-81.7489242553711;-0.0000031206229778035777,9.476752893533558e-7,-0.0017030673334375024,-0.07304930686950684;1.140284533462932e-9,0.22763721644878387,0.21106179058551788,-0.6279803514480591;0.7063695192337036,-0.1190928965806961,0.04251863434910774,-0.0446242094039917
;-81.77235412597656;-0.0000031474651223106775,9.040969644047436e-7,-0.0017028575530275702,-0.07285862416028976;1.1296887869605143e-9,0.22755703330039978,0.20942184329032898,-0.6275131106376648;0.7036417722702026,-0.11911534518003464,0.04248881712555885,-0.04463104531168938
;-81.79533386230469;-0.0000031743802537675947,8.62624062847317e-7,-0.0017027230933308601,-0.07266506552696228;1.1193608262516364e-9,0.22747837007045746,0.20780639350414276,-0.6270422339439392;0.7009649872779846,-0.11913751810789108,0.04245903715491295,-0.04463775083422661
;-81.81788635253906;-0.0000032013408599596005,8.231514243561833e-7,-0.0017026609275490046,-0.07246880978345871;1.1092877727492123e-9,0.22740119695663452,0.20621435344219208,-0.6265686750411987;0.6983367204666138,-0.11915943026542664,0.04242933169007301,-0.04464432969689369
;-81.84001159667969;-0.0000032283574000757653,7.855825856495358e-7,-0.0017026683781296015,-0.072269968688488;1.0994636312489092e-9,0.2273254692554474,0.20464541018009186,-0.6260828375816345;0.6957560181617737,-0.11918117105960846,0.042399268597364426,-0.04465078189969063
;-81.8617172241211;-0.000003255437377447379,7.49826654100616e-7,-0.0017027436988428235,-0.07206858694553375;1.0898822955240917e-9,0.22725121676921844,0.2030995488166809,-0.6256133317947388;0.693223237991333,-0.11920242756605148,0.042370084673166275,-0.04465711489319801
;-81.88302612304688;-0.0000032825528251123615,7.157934760471107e-7,-0.0017028860747814178,-0.07186484336853027;1.0805327743668158e-9,0.22717833518981934,0.20157566666603088,-0.6251067519187927;0.6907352209091187,-0.11922384053468704,0.04233948141336441,-0.04466332867741585
;-81.90394592285156;-0.0000033097096547862748,6.833993779764569e-7,-0.001703091198578477,-0.07165882736444473;1.0714070741713044e-9,0.22710676491260529,0.20007340610027313,-0.6246110200881958;0.6882915496826172,-0.11924485117197037,0.04230949655175209,-0.04466942325234413
;-81.92449188232422;-0.000003336875579407206,6.525626758957515e-7,-0.0017033579060807824,-0.07145076990127563;1.0624922053281693e-9,0.2270364761352539,0.1985916942358017,-0.6241002678871155;0.6858898401260376,-0.11926577240228653,0.04227903485298157,-0.04467541724443436
;-81.94466400146484;-0.000003364072881595348,6.23210439698596e-7,-0.001703683752566576,-0.0712406262755394;1.053788500904318e-9,0.2269674688577652,0.19713085889816284,-0.6236092448234558;0.6835305094718933,-0.1192862018942833,0.04224955290555954,-0.04468129575252533
;-81.96448516845703;-0.000003391279733477859,5.952684318799584e-7,-0.0017040667589753866,-0.07102856785058975;1.0452846366248991e-9,0.22689968347549438,0.1956898272037506,-0.6230952143669128;0.6812111735343933,-0.11930664628744125,0.04221924766898155,-0.044687073677778244
;-81.98394775390625;-0.0000034185184176749317,5.686696340490016e-7,-0.0017045052954927087,-0.07081462442874908;1.0369766156870242e-9,0.22683314979076385,0.1942685842514038,-0.6225866079330444;0.6789321303367615,-0.11932678520679474,0.04218931123614311,-0.0446927435696125
;-82.0030746459961;-0.0000034457509627827676,5.433477099359152e-7,-0.001704997499473393,-0.07059893757104874;1.0288553342618911e-9,0.22676773369312286,0.19286641478538513,-0.6220701336860657;0.6766912937164307,-0.11934677511453629,0.04215918108820915,-0.044698316603899
;-82.02186584472656;-0.0000034729830531432526,5.19241041274654e-7,-0.0017055415082722902,-0.07038159668445587;1.0209165735020065e-9,0.2267034500837326,0.19148297607898712,-0.6215642690658569;0.6744880080223083,-0.11936640739440918,0.04212964326143265,-0.04470378905534744
;-82.04033660888672;-0.00000350022401107708,4.962906814398593e-7,-0.001706135575659573,-0.07016265392303467;1.013155004336852e-9,0.22664029896259308,0.19011785089969635,-0.6210529208183289;0.672321617603302,-0.11938586831092834,0.04209998995065689,-0.04470917209982872
;-82.05848693847656;-0.0000035274558740638895,4.744406112422439e-7,-0.0017067785374820232,-0.06994222849607468;1.0055631882721627e-9,0.2265782654285431,0.18877065181732178,-0.6205462217330933;0.6701907515525818,-0.11940504610538483,0.042070675641298294,-0.04471445456147194
;-82.07632446289062;-0.000003554695467755664,4.536384778930369e-7,-0.001707468880340457,-0.0697203055024147;9.981399040626115e-10,0.22651730477809906,0.1874414086341858,-0.6200428605079651;0.6680960655212402,-0.11942397058010101,0.04204161837697029,-0.044719647616147995
;-82.09386444091797;-0.0000035819293771055527,4.338324686159467e-7,-0.0017082057893276215,-0.06949707120656967;9.90877602191631e-10,0.2264573723077774,0.1861293762922287,-0.6195340752601624;0.6660354137420654,-0.11944275349378586,0.04201246052980423,-0.044724754989147186
;-82.1111068725586;-0.000003609130317272502,4.1497355596220586e-7,-0.0017089865868911147,-0.06927258521318436;9.83768067008839e-10,0.22639840841293335,0.1848338097333908,-0.6190289258956909;0.664007306098938,-0.11946128308773041,0.04198357090353966,-0.044729772955179214
;-82.12806701660156;-0.000003636326027844916,3.9701748733023123e-7,-0.0017098108073696494,-0.06904685497283936;9.768115205588401e-10,0.22634048759937286,0.1835549920797348,-0.61850506067276;0.6620124578475952,-0.11947983503341675,0.04195399209856987,-0.044734708964824677
;-82.1447525024414;-0.000003663482630145154,3.799189016717719e-7,-0.0017106762388721108,-0.06882000714540482;9.699990810574377e-10,0.2262834757566452,0.18229196965694427,-0.6179800629615784;0.6600485444068909,-0.11949820816516876,0.04192447289824486,-0.04473956301808357
;-82.16116333007812;-0.0000036906160403304966,3.6363707067721407e-7,-0.001711581484414637,-0.0685921236872673;9.63326973746348e-10,0.22622738778591156,0.18104465305805206,-0.617461085319519;0.6581154465675354,-0.11951632052659988,0.041895315051078796,-0.0447443425655365
;-82.17731475830078;-0.000003717713298101444,3.481323176401929e-7,-0.001712525961920619,-0.0683632418513298;9.5679020262196e-10,0.22617217898368835,0.17981265485286713,-0.616939902305603;0.6562122106552124,-0.11953427642583847,0.04186617583036423,-0.04474903643131256
;-82.1932144165039;-0.0000037447694012371358,3.3336695537400374e-7,-0.0017135072266682982,-0.06813344359397888;9.503868803051319e-10,0.22611795365810394,0.178595632314682,-0.6164126396179199;0.654338002204895,-0.1195521205663681,0.04183686897158623,-0.04475365951657295
;-82.20885467529297;-0.0000037717741179221775,3.1930520094647363e-7,-0.0017145250458270311,-0.06790275871753693;9.441097903462037e-10,0.226064532995224,0.17739319801330566,-0.6158671379089355;0.6524921655654907,-0.11957002431154251,0.04180687665939331,-0.044758208096027374
;-82.22425079345703;-0.0000037987408632034203,3.059136588490219e-7,-0.0017155773239210248,-0.06767124682664871;9.379591547897803e-10,0.2260119616985321,0.1762053370475769,-0.6153364777565002;0.6506744027137756,-0.11958757042884827,0.04177761450409889,-0.044762685894966125
;-82.23941040039062;-0.000003825672138191294,2.9315967253751296e-7,-0.001716664177365601,-0.06743890792131424;9.319300886545534e-10,0.22596020996570587,0.1750316321849823,-0.6148174405097961;0.6488842368125916,-0.11960479617118835,0.041748955845832825,-0.044767092913389206
;-82.25434112548828;-0.00000385253042622935,2.8101183602302626e-7,-0.0017177837435156107,-0.06720598042011261;9.260157085577703e-10,0.22590923309326172,0.17387144267559052,-0.6142891645431519;0.6471197605133057,-0.11962199211120605,0.04171997308731079,-0.044771429151296616
;-82.26904296875;-0.000003879322775901528,2.6944130127048993e-7,-0.0017189348582178354,-0.06697238981723785;9.202146267206501e-10,0.22585907578468323,0.1727246791124344,-0.613771378993988;0.6453810930252075,-0.11963889002799988,0.04169153422117233,-0.04477570578455925
;-82.28352355957031;-0.000003906057827407494,2.5842010131782445e-7,-0.0017201162409037352,-0.06673822551965714;9.145227353180019e-10,0.22580966353416443,0.17159099876880646,-0.6132344007492065;0.6436671018600464,-0.11965586990118027,0.04166235029697418,-0.04477991536259651
;-82.29778289794922;-0.000003932759227609495,2.47922628204833e-7,-0.0017213270766660571,-0.06650345772504807;9.089419217289674e-10,0.22576096653938293,0.1704707145690918,-0.6127063632011414;0.6419788599014282,-0.11967259645462036,0.04163364693522453,-0.0447840616106987
;-82.31184387207031;-0.0000039593674046045635,2.3792242132003594e-7,-0.0017225671326741576,-0.06626823544502258;9.03462193946325e-10,0.22571304440498352,0.16936279833316803,-0.6121814250946045;0.6403139233589172,-0.11968913674354553,0.041605144739151,-0.044788140803575516
;-82.32569122314453;-0.000003985906005254947,2.2839593327717012e-7,-0.0017238347791135311,-0.06603256613016129;8.980824972582013e-10,0.22566576302051544,0.16826719045639038,-0.6116489768028259;0.6386719942092896,-0.11970562487840652,0.04157640039920807,-0.044792164117097855
;-82.33934783935547;-0.000004012380941276206,2.193205972389478e-7,-0.001725129084661603,-0.06579646468162537;8.92801776952723e-10,0.22561924159526825,0.16718386113643646,-0.6111120581626892;0.637053370475769,-0.11972202360630035,0.041547536849975586,-0.04479612782597542
;-82.3528060913086;-0.000004038752194901463,2.1067411637432087e-7,-0.001726449467241764,-0.06556003540754318;8.87613316180591e-10,0.2255733460187912,0.16611211001873016,-0.6105987429618835;0.6354561448097229,-0.11973801255226135,0.041519757360219955,-0.044800035655498505
;-82.3660659790039;-0.000004065065240865806,2.0243651022155973e-7,-0.0017277946462854743,-0.06532324850559235;8.825190578320985e-10,0.22552810609340668,0.16505225002765656,-0.6100633144378662;0.6338812708854675,-0.1197541356086731,0.041491102427244186,-0.044803883880376816
