voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;6.631790637969971;-4.714553620681914e-16,0.011365626938641071,-0.9999560713768005,0.3307588994503021;0.0601600781083107,0.38555359840393066,0.19571588933467865,-0.08278387784957886;0.012732123956084251,-0.06159128621220589,0.06210756674408913,-0.01887207105755806
;6.595525741577148;-4.808145996793186e-16,0.01137642189860344,-0.9995402097702026,0.33135828375816345;0.059789810329675674,0.3855348825454712,0.19603505730628967,-0.08280950039625168;0.012773300521075726,-0.06162107735872269,0.06207482889294624,-0.01888258196413517
;6.559105396270752;-4.904006833016323e-16,0.011387291364371777,-0.9991220235824585,0.3319567143917084;0.05942016467452049,0.38551613688468933,0.19635489583015442,-0.08283737301826477;0.012814796529710293,-0.06165091693401337,0.062042225152254105,-0.018893137574195862
;6.522529125213623;-5.002190127701713e-16,0.011398239992558956,-0.9987021088600159,0.33255448937416077;0.05905112624168396,0.385497123003006,0.19667543470859528,-0.0828656330704689;0.012856591492891312,-0.0616808757185936,0.0620095320045948,-0.018903739750385284
;6.48579740524292;-5.102768408045465e-16,0.011409265920519829,-0.9982798099517822,0.3331514894962311;0.05868271738290787,0.38547810912132263,0.19699665904045105,-0.0828937217593193;0.012898704968392849,-0.06171097606420517,0.06197666376829147,-0.01891438663005829
;6.448909282684326;-5.205806789705398e-16,0.011420365422964096,-0.9978554844856262,0.3337479531764984;0.05831495299935341,0.3854590356349945,0.19731858372688293,-0.08292366564273834;0.01294113602489233,-0.06174113601446152,0.061943892389535904,-0.018925078213214874
;6.411865711212158;-5.311375682295254e-16,0.011431543156504631,-0.9974287748336792,0.33434370160102844;0.05794784054160118,0.3854398727416992,0.19764119386672974,-0.08295772969722748;0.012983882799744606,-0.061771295964717865,0.06191151589155197,-0.01893581449985504
;6.3746657371521;-5.4195370250993e-16,0.011442795395851135,-0.9970000982284546,0.33493825793266296;0.05758144333958626,0.3854205012321472,0.19796450436115265,-0.08299046754837036;0.013026943430304527,-0.06180162355303764,0.061878807842731476,-0.01894659921526909
;6.337308406829834;-5.530370227456341e-16,0.011454124934971333,-0.9965688586235046,0.3355327844619751;0.05721569433808327,0.3854011595249176,0.19828851521015167,-0.08302430808544159;0.013070336543023586,-0.06183205172419548,0.06184609979391098,-0.01895742677152157
;6.299794673919678;-5.643938287441829e-16,0.011465529911220074,-0.9961357712745667,0.33612632751464844;0.05685065686702728,0.38538163900375366,0.1986132562160492,-0.08306042104959488;0.013114041648805141,-0.0618625245988369,0.06181354448199272,-0.01896829903125763
;6.2621235847473145;-5.760330143515227e-16,0.011477011255919933,-0.9957005381584167,0.3367190957069397;0.05648631975054741,0.3853621184825897,0.19893869757652283,-0.08309605717658997;0.01315809041261673,-0.06189315766096115,0.06178078055381775,-0.01897921785712242
;6.224294662475586;-5.879618322872642e-16,0.011488566175103188,-0.9952629208564758,0.33731141686439514;0.05612272396683693,0.38534244894981384,0.19926486909389496,-0.08313396573066711;0.013202467001974583,-0.06192383915185928,0.06174815446138382,-0.018990183249115944
